command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/02_fixed_dl_dst_substitute.c								
ANR	2	Function	_dl_dst_substitute	1:0:0:1899							
ANR	3	FunctionDef	"_dl_dst_substitute (struct link_map * l , const char * name , char * result , int is_path)"		2	0					
ANR	4	CompoundStatement		3:0:91:1899	2	0					
ANR	5	Statement	const	4:2:95:99	2	0	True				
ANR	6	Statement	char	4:8:101:104	2	1	True				
ANR	7	Statement	*	4:13:106:106	2	2	True				
ANR	8	Statement	const	4:14:107:111	2	3	True				
ANR	9	ExpressionStatement	start = name	4:20:113:125	2	4	True				
ANR	10	AssignmentExpression	start = name		2	0		=			
ANR	11	Identifier	start		2	0					
ANR	12	Identifier	name		2	1					
ANR	13	IdentifierDeclStatement	"char * last_elem , * wp ;"	5:2:129:149	2	5	True				
ANR	14	IdentifierDecl	* last_elem		2	0					
ANR	15	IdentifierDeclType	char *		2	0					
ANR	16	Identifier	last_elem		2	1					
ANR	17	IdentifierDecl	* wp		2	1					
ANR	18	IdentifierDeclType	char *		2	0					
ANR	19	Identifier	wp		2	1					
ANR	20	ExpressionStatement	last_elem = wp = result	11:2:409:432	2	6	True				
ANR	21	AssignmentExpression	last_elem = wp = result		2	0		=			
ANR	22	Identifier	last_elem		2	0					
ANR	23	AssignmentExpression	wp = result		2	1		=			
ANR	24	Identifier	wp		2	0					
ANR	25	Identifier	result		2	1					
ANR	26	DoStatement	do		2	7					
ANR	27	CompoundStatement		12:4:352:352	2	0					
ANR	28	IfStatement	if ( * name == '$' )		2	0					
ANR	29	Condition	* name == '$'	15:10:456:467	2	0	True				
ANR	30	EqualityExpression	* name == '$'		2	0		==			
ANR	31	UnaryOperationExpression	* name		2	0					
ANR	32	UnaryOperator	*		2	0					
ANR	33	Identifier	name		2	1					
ANR	34	PrimaryExpression	'$'		2	1					
ANR	35	CompoundStatement		16:3:405:415	2	1					
ANR	36	IdentifierDeclStatement	const char * repl ;	17:3:476:492	2	0	True				
ANR	37	IdentifierDecl	* repl		2	0					
ANR	38	IdentifierDeclType	const char *		2	0					
ANR	39	Identifier	repl		2	1					
ANR	40	IdentifierDeclStatement	size_t len ;	18:3:497:507	2	1	True				
ANR	41	IdentifierDecl	len		2	0					
ANR	42	IdentifierDeclType	size_t		2	0					
ANR	43	Identifier	len		2	1					
ANR	44	IfStatement	"if ( ( ( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) ) ) || ( name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) ) ) )"		2	2					
ANR	45	Condition	"( ( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) ) ) || ( name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) ) )"	22:7:660:1045	2	0	True				
ANR	46	OrExpression	"( ( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) ) ) || ( name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) ) )"		2	0		||			
ANR	47	AndExpression	"( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) )"		2	0		&&			
ANR	48	OrExpression	"( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 )"		2	0		||			
ANR	49	AndExpression	"strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0"		2	0		&&			
ANR	50	EqualityExpression	"strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0"		2	0		==			
ANR	51	CallExpression	"strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 )"		2	0					
ANR	52	Callee	strncmp		2	0					
ANR	53	Identifier	strncmp		2	0					
ANR	54	ArgumentList	& name [ 1 ]		2	1					
ANR	55	Argument	& name [ 1 ]		2	0					
ANR	56	UnaryOperationExpression	& name [ 1 ]		2	0					
ANR	57	UnaryOperator	&		2	0					
ANR	58	ArrayIndexing	name [ 1 ]		2	1					
ANR	59	Identifier	name		2	0					
ANR	60	PrimaryExpression	1		2	1					
ANR	61	Argument	"""ORIGIN}"""		2	1					
ANR	62	PrimaryExpression	"""ORIGIN}"""		2	0					
ANR	63	Argument	6		2	2					
ANR	64	PrimaryExpression	6		2	0					
ANR	65	PrimaryExpression	0		2	1					
ANR	66	EqualityExpression	( len = 7 ) != 0		2	1		!=			
ANR	67	AssignmentExpression	len = 7		2	0		=			
ANR	68	Identifier	len		2	0					
ANR	69	PrimaryExpression	7		2	1					
ANR	70	PrimaryExpression	0		2	1					
ANR	71	AndExpression	"strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0"		2	1		&&			
ANR	72	EqualityExpression	"strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0"		2	0		==			
ANR	73	CallExpression	"strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 )"		2	0					
ANR	74	Callee	strncmp		2	0					
ANR	75	Identifier	strncmp		2	0					
ANR	76	ArgumentList	& name [ 1 ]		2	1					
ANR	77	Argument	& name [ 1 ]		2	0					
ANR	78	UnaryOperationExpression	& name [ 1 ]		2	0					
ANR	79	UnaryOperator	&		2	0					
ANR	80	ArrayIndexing	name [ 1 ]		2	1					
ANR	81	Identifier	name		2	0					
ANR	82	PrimaryExpression	1		2	1					
ANR	83	Argument	"""PLATFORM}"""		2	1					
ANR	84	PrimaryExpression	"""PLATFORM}"""		2	0					
ANR	85	Argument	8		2	2					
ANR	86	PrimaryExpression	8		2	0					
ANR	87	PrimaryExpression	0		2	1					
ANR	88	EqualityExpression	( len = 9 ) != 0		2	1		!=			
ANR	89	AssignmentExpression	len = 9		2	0		=			
ANR	90	Identifier	len		2	0					
ANR	91	PrimaryExpression	9		2	1					
ANR	92	PrimaryExpression	0		2	1					
ANR	93	OrExpression	name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' )		2	1		||			
ANR	94	EqualityExpression	name [ len ] == '\\0'		2	0		==			
ANR	95	ArrayIndexing	name [ len ]		2	0					
ANR	96	Identifier	name		2	0					
ANR	97	Identifier	len		2	1					
ANR	98	PrimaryExpression	'\\0'		2	1					
ANR	99	OrExpression	name [ len ] == '/' || ( is_path && name [ len ] == ':' )		2	1		||			
ANR	100	EqualityExpression	name [ len ] == '/'		2	0		==			
