command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/03_vulnerable_void_ff_insert_pad.c								
ANR	2	Function	ff_insert_pad	1:0:0:778							
ANR	3	FunctionDef	"ff_insert_pad (unsigned idx , unsigned * count , size_t padidx_off , AVFilterPad * * pads , AVFilterLink * * * links , AVFilterPad * newpad)"		2	0					
ANR	4	CompoundStatement		7:0:174:778	2	0					
ANR	5	IdentifierDeclStatement	unsigned i ;	9:4:181:191	2	0	True				
ANR	6	IdentifierDecl	i		2	0					
ANR	7	IdentifierDeclType	unsigned		2	0					
ANR	8	Identifier	i		2	1					
ANR	9	ExpressionStatement	"idx = FFMIN ( idx , * count )"	13:4:200:224	2	1	True				
ANR	10	AssignmentExpression	"idx = FFMIN ( idx , * count )"		2	0		=			
ANR	11	Identifier	idx		2	0					
ANR	12	CallExpression	"FFMIN ( idx , * count )"		2	1					
ANR	13	Callee	FFMIN		2	0					
ANR	14	Identifier	FFMIN		2	0					
ANR	15	ArgumentList	idx		2	1					
ANR	16	Argument	idx		2	0					
ANR	17	Identifier	idx		2	0					
ANR	18	Argument	* count		2	1					
ANR	19	UnaryOperationExpression	* count		2	0					
ANR	20	UnaryOperator	*		2	0					
ANR	21	Identifier	count		2	1					
ANR	22	ExpressionStatement	"* pads = av_realloc ( * pads , sizeof ( AVFilterPad ) * ( * count + 1 ) )"	17:4:233:298	2	2	True				
ANR	23	AssignmentExpression	"* pads = av_realloc ( * pads , sizeof ( AVFilterPad ) * ( * count + 1 ) )"		2	0		=			
ANR	24	UnaryOperationExpression	* pads		2	0					
ANR	25	UnaryOperator	*		2	0					
ANR	26	Identifier	pads		2	1					
ANR	27	CallExpression	"av_realloc ( * pads , sizeof ( AVFilterPad ) * ( * count + 1 ) )"		2	1					
ANR	28	Callee	av_realloc		2	0					
ANR	29	Identifier	av_realloc		2	0					
ANR	30	ArgumentList	* pads		2	1					
ANR	31	Argument	* pads		2	0					
ANR	32	UnaryOperationExpression	* pads		2	0					
ANR	33	UnaryOperator	*		2	0					
ANR	34	Identifier	pads		2	1					
ANR	35	Argument	sizeof ( AVFilterPad ) * ( * count + 1 )		2	1					
ANR	36	MultiplicativeExpression	sizeof ( AVFilterPad ) * ( * count + 1 )		2	0		*			
ANR	37	SizeofExpression	sizeof ( AVFilterPad )		2	0					
ANR	38	Sizeof	sizeof		2	0					
ANR	39	SizeofOperand	AVFilterPad		2	1					
