command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/15_fixed_decode_entities.c								
ANR	2	Function	decode_entities	1:0:0:4385							
ANR	3	FunctionDef	"decode_entities (pTHX_ SV * sv , HV * entity2char , bool expand_prefix)"		2	0					
ANR	4	CompoundStatement		2:0:67:4385	2	0					
ANR	5	IdentifierDeclStatement	STRLEN len ;	3:4:73:83	2	0	True				
ANR	6	IdentifierDecl	len		2	0					
ANR	7	IdentifierDeclType	STRLEN		2	0					
ANR	8	Identifier	len		2	1					
ANR	9	IdentifierDeclStatement	"char * s = SvPV_force ( sv , len ) ;"	4:4:89:118	2	1	True				
ANR	10	IdentifierDecl	"* s = SvPV_force ( sv , len )"		2	0					
ANR	11	IdentifierDeclType	char *		2	0					
ANR	12	Identifier	s		2	1					
ANR	13	AssignmentExpression	"* s = SvPV_force ( sv , len )"		2	2		=			
ANR	14	Identifier	s		2	0					
ANR	15	CallExpression	"SvPV_force ( sv , len )"		2	1					
ANR	16	Callee	SvPV_force		2	0					
ANR	17	Identifier	SvPV_force		2	0					
ANR	18	ArgumentList	sv		2	1					
ANR	19	Argument	sv		2	0					
ANR	20	Identifier	sv		2	0					
ANR	21	Argument	len		2	1					
ANR	22	Identifier	len		2	0					
ANR	23	IdentifierDeclStatement	char * t = s ;	5:4:124:135	2	2	True				
ANR	24	IdentifierDecl	* t = s		2	0					
ANR	25	IdentifierDeclType	char *		2	0					
ANR	26	Identifier	t		2	1					
ANR	27	AssignmentExpression	* t = s		2	2		=			
ANR	28	Identifier	s		2	0					
ANR	29	Identifier	s		2	1					
ANR	30	IdentifierDeclStatement	char * end = s + len ;	6:4:141:160	2	3	True				
ANR	31	IdentifierDecl	* end = s + len		2	0					
ANR	32	IdentifierDeclType	char *		2	0					
ANR	33	Identifier	end		2	1					
ANR	34	AssignmentExpression	* end = s + len		2	2		=			
ANR	35	Identifier	end		2	0					
ANR	36	AdditiveExpression	s + len		2	1		+			
ANR	37	Identifier	s		2	0					
ANR	38	Identifier	len		2	1					
ANR	39	IdentifierDeclStatement	char * ent_start ;	7:4:166:181	2	4	True				
ANR	40	IdentifierDecl	* ent_start		2	0					
ANR	41	IdentifierDeclType	char *		2	0					
ANR	42	Identifier	ent_start		2	1					
ANR	43	IdentifierDeclStatement	char * repl ;	9:4:188:198	2	5	True				
ANR	44	IdentifierDecl	* repl		2	0					
ANR	45	IdentifierDeclType	char *		2	0					
ANR	46	Identifier	repl		2	1					
ANR	47	IdentifierDeclStatement	STRLEN repl_len ;	10:4:204:219	2	6	True				
ANR	48	IdentifierDecl	repl_len		2	0					
ANR	49	IdentifierDeclType	STRLEN		2	0					
ANR	50	Identifier	repl_len		2	1					
ANR	51	IdentifierDeclStatement	char buf [ UTF8_MAXLEN ] ;	12:4:252:273	2	7	True				
ANR	52	IdentifierDecl	buf [ UTF8_MAXLEN ]		2	0					
ANR	53	IdentifierDeclType	char [ UTF8_MAXLEN ]		2	0					
ANR	54	Identifier	buf		2	1					
ANR	55	Identifier	UTF8_MAXLEN		2	2					
ANR	56	IdentifierDeclStatement	int repl_utf8 ;	13:4:279:292	2	8	True				
ANR	57	IdentifierDecl	repl_utf8		2	0					
ANR	58	IdentifierDeclType	int		2	0					
ANR	59	Identifier	repl_utf8		2	1					
ANR	60	IdentifierDeclStatement	int high_surrogate = 0 ;	14:4:298:320	2	9	True				
ANR	61	IdentifierDecl	high_surrogate = 0		2	0					
ANR	62	IdentifierDeclType	int		2	0					
ANR	63	Identifier	high_surrogate		2	1					
ANR	64	AssignmentExpression	high_surrogate = 0		2	2		=			
ANR	65	Identifier	high_surrogate		2	0					
ANR	66	PrimaryExpression	0		2	1					
ANR	67	ExpressionStatement	repl_utf8 = 0	21:4:484:497	2	10	True				
ANR	68	AssignmentExpression	repl_utf8 = 0		2	0		=			
ANR	69	Identifier	repl_utf8		2	0					
ANR	70	PrimaryExpression	0		2	1					
ANR	71	WhileStatement	while ( s < end )		2	11					
ANR	72	Condition	s < end	24:11:518:524	2	0	True				
ANR	73	RelationalExpression	s < end		2	0		<			
ANR	74	Identifier	s		2	0					
ANR	75	Identifier	end		2	1					
ANR	76	CompoundStatement		23:20:459:459	2	1					
ANR	77	ExpressionStatement	assert ( t <= s )	25:1:530:544	2	0	True				
ANR	78	CallExpression	assert ( t <= s )		2	0					
ANR	79	Callee	assert		2	0					
ANR	80	Identifier	assert		2	0					
ANR	81	ArgumentList	t <= s		2	1					
ANR	82	Argument	t <= s		2	0					
ANR	83	RelationalExpression	t <= s		2	0		<=			
ANR	84	Identifier	t		2	0					
ANR	85	Identifier	s		2	1					
ANR	86	IfStatement	if ( ( * t ++ = * s ++ ) != '&' )		2	1					
ANR	87	Condition	( * t ++ = * s ++ ) != '&'	27:5:552:571	2	0	True				
ANR	88	EqualityExpression	( * t ++ = * s ++ ) != '&'		2	0		!=			
ANR	89	AssignmentExpression	* t ++ = * s ++		2	0		=			
ANR	90	UnaryOperationExpression	* t ++		2	0					
ANR	91	UnaryOperator	*		2	0					
ANR	92	PostIncDecOperationExpression	t ++		2	1					
ANR	93	Identifier	t		2	0					
ANR	94	IncDec	++		2	1					
ANR	95	UnaryOperationExpression	* s ++		2	1					
ANR	96	UnaryOperator	*		2	0					
ANR	97	PostIncDecOperationExpression	s ++		2	1					
ANR	98	Identifier	s		2	0					
ANR	99	IncDec	++		2	1					
ANR	100	PrimaryExpression	'&'		2	1					
ANR	101	ContinueStatement	continue ;	28:5:579:587	2	1	True				
ANR	102	ExpressionStatement	ent_start = s	30:1:591:604	2	2	True				
ANR	103	AssignmentExpression	ent_start = s		2	0		=			
ANR	104	Identifier	ent_start		2	0					
ANR	105	Identifier	s		2	1					
ANR	106	ExpressionStatement	repl = 0	31:1:607:615	2	3	True				
ANR	107	AssignmentExpression	repl = 0		2	0		=			
ANR	108	Identifier	repl		2	0					
ANR	109	PrimaryExpression	0		2	1					
ANR	110	IfStatement	if ( s < end && * s == '#' )		2	4					
ANR	111	Condition	s < end && * s == '#'	33:5:623:642	2	0	True				
ANR	112	AndExpression	s < end && * s == '#'		2	0		&&			
ANR	113	RelationalExpression	s < end		2	0		<			
ANR	114	Identifier	s		2	0					
ANR	115	Identifier	end		2	1					
ANR	116	EqualityExpression	* s == '#'		2	1		==			
ANR	117	UnaryOperationExpression	* s		2	0					
ANR	118	UnaryOperator	*		2	0					
ANR	119	Identifier	s		2	1					
ANR	120	PrimaryExpression	'#'		2	1					
ANR	121	CompoundStatement		35:5:619:629	2	1					
ANR	122	IdentifierDeclStatement	UV num = 0 ;	34:5:652:662	2	0	True				
ANR	123	IdentifierDecl	num = 0		2	0					
ANR	124	IdentifierDeclType	UV		2	0					
ANR	125	Identifier	num		2	1					
ANR	126	AssignmentExpression	num = 0		2	2		=			
ANR	127	Identifier	num		2	0					
ANR	128	PrimaryExpression	0		2	1					
ANR	129	IdentifierDeclStatement	UV prev = 0 ;	35:5:669:680	2	1	True				
ANR	130	IdentifierDecl	prev = 0		2	0					
ANR	131	IdentifierDeclType	UV		2	0					
ANR	132	Identifier	prev		2	1					
ANR	133	AssignmentExpression	prev = 0		2	2		=			
ANR	134	Identifier	prev		2	0					
ANR	135	PrimaryExpression	0		2	1					
ANR	136	IdentifierDeclStatement	int ok = 0 ;	36:5:687:697	2	2	True				
ANR	137	IdentifierDecl	ok = 0		2	0					
ANR	138	IdentifierDeclType	int		2	0					
ANR	139	Identifier	ok		2	1					
ANR	140	AssignmentExpression	ok = 0		2	2		=			
ANR	141	Identifier	ok		2	0					
ANR	142	PrimaryExpression	0		2	1					
ANR	143	ExpressionStatement	s ++	37:5:704:707	2	3	True				
