command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/05_codexglue_devign_6599__dead_statement.c								
ANR	2	Function	preallocate	1:0:0:1616							
ANR	3	FunctionDef	preallocate (BlockDriverState * bs)		2	0					
ANR	4	CompoundStatement		3:0:46:1616	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy = 0 ;	4:4:52:69	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy		2	1					
ANR	9	AssignmentExpression	dwk_dummy = 0		2	2		=			
ANR	10	Identifier	dwk_dummy		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy += 0	5:4:75:89	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	IdentifierDeclStatement	uint64_t nb_sectors ;	7:4:96:115	2	2	True				
ANR	17	IdentifierDecl	nb_sectors		2	0					
ANR	18	IdentifierDeclType	uint64_t		2	0					
ANR	19	Identifier	nb_sectors		2	1					
ANR	20	IdentifierDeclStatement	uint64_t offset ;	9:4:122:137	2	3	True				
ANR	21	IdentifierDecl	offset		2	0					
ANR	22	IdentifierDeclType	uint64_t		2	0					
ANR	23	Identifier	offset		2	1					
ANR	24	IdentifierDeclStatement	uint64_t host_offset = 0 ;	11:4:144:168	2	4	True				
ANR	25	IdentifierDecl	host_offset = 0		2	0					
ANR	26	IdentifierDeclType	uint64_t		2	0					
ANR	27	Identifier	host_offset		2	1					
ANR	28	AssignmentExpression	host_offset = 0		2	2		=			
ANR	29	Identifier	host_offset		2	0					
ANR	30	PrimaryExpression	0		2	1					
ANR	31	IdentifierDeclStatement	int num ;	13:4:175:182	2	5	True				
ANR	32	IdentifierDecl	num		2	0					
ANR	33	IdentifierDeclType	int		2	0					
ANR	34	Identifier	num		2	1					
