"source_file","variant_file","action","graph_action","expected_graph_effect","applied_count","status","notes","deepwukong_command"
"input_sources/00_codexglue_devign_9763.c","artifacts/perturbed_sources/run_20260710/sources/00_codexglue_devign_9763__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/00_codexglue_devign_9763__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/00_codexglue_devign_9763__dead_statement --no-timestamp-output"
"input_sources/00_codexglue_devign_9763.c","artifacts/perturbed_sources/run_20260710/sources/00_codexglue_devign_9763__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/00_codexglue_devign_9763__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/00_codexglue_devign_9763__control_wrapper --no-timestamp-output"
"input_sources/00_codexglue_devign_9763.c","artifacts/perturbed_sources/run_20260710/sources/00_codexglue_devign_9763__temp_variable_split.c","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","1","ran","split one simple assignment through a temporary integer variable","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/00_codexglue_devign_9763__temp_variable_split.c --output ../../outputs/run_20260710/perturbed_runs/00_codexglue_devign_9763__temp_variable_split --no-timestamp-output"
"input_sources/01_codexglue_devign_10453.c","artifacts/perturbed_sources/run_20260710/sources/01_codexglue_devign_10453__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/01_codexglue_devign_10453__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/01_codexglue_devign_10453__dead_statement --no-timestamp-output"
"input_sources/01_codexglue_devign_10453.c","artifacts/perturbed_sources/run_20260710/sources/01_codexglue_devign_10453__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/01_codexglue_devign_10453__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/01_codexglue_devign_10453__control_wrapper --no-timestamp-output"
"input_sources/01_codexglue_devign_10453.c","artifacts/perturbed_sources/run_20260710/sources/01_codexglue_devign_10453__temp_variable_split.c","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","1","ran","split one simple assignment through a temporary integer variable","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/01_codexglue_devign_10453__temp_variable_split.c --output ../../outputs/run_20260710/perturbed_runs/01_codexglue_devign_10453__temp_variable_split --no-timestamp-output"
"input_sources/02_codexglue_devign_15133.c","artifacts/perturbed_sources/run_20260710/sources/02_codexglue_devign_15133__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/02_codexglue_devign_15133__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/02_codexglue_devign_15133__dead_statement --no-timestamp-output"
"input_sources/02_codexglue_devign_15133.c","artifacts/perturbed_sources/run_20260710/sources/02_codexglue_devign_15133__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/02_codexglue_devign_15133__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/02_codexglue_devign_15133__control_wrapper --no-timestamp-output"
"input_sources/02_codexglue_devign_15133.c","","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","0","skipped","no simple integer-like assignment candidate found",""
"input_sources/03_codexglue_devign_14215.c","artifacts/perturbed_sources/run_20260710/sources/03_codexglue_devign_14215__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/03_codexglue_devign_14215__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/03_codexglue_devign_14215__dead_statement --no-timestamp-output"
