"sample_id","label","label_name","language","source_file","key_line","flaw_or_mixed_lines","official_xfg_file","xfg_nodes","xfg_edges","joern_parse_success","joern_cpg_file","source_sha256","xfg_sha256","cpg_sha256","official_source_relative_path"
"01_vulnerable_989","1","vulnerable","C","input_sources/cwe119/vulnerable/01_vulnerable_989.c","989","flaw:1001:CWE-124: Buffer Underwrite ('Buffer Underflow'); flaw:1002:CWE-124: Buffer Underwrite ('Buffer Underflow'); flaw:1003:CWE-124: Buffer Underwrite ('Buffer Underflow'); flaw:1004:CWE-124: Buffer Underwrite ('Buffer Underflow'); flaw:1005:CWE-124: Buffer Underwrite ('Buffer Underflow'); flaw:1006:CWE-124: Buffer Underwrite ('Buffer Underflow'); flaw:1007:CWE-124: Buffer Underwrite ('Buffer Underflow'); flaw:1008:CWE-124: Buffer Underwrite ('Buffer Underflow'); flaw:1009:CWE-124: Buffer Underwrite ('Buffer Underflow')","artifacts/xfg/cwe119_official/01_vulnerable_989.xfg.pkl","9","12","True","artifacts/joern_cpg/cwe119_validation/01_vulnerable_989.cpg.bin","44d848f18776f43e91da3dae181f456020099287d0be9ab23cbe85f5add295a8","b005a2e916541bcdd6d3df2aed5d408de9648ac3626bf5a95e9910a1f3168dd0","9208ad450339b90c31a9abf6e90fe2fbc12672f816f6ba0cfe6cbd5c132772e7","119-3600-c/testcases/000/153/538/src/app/base/tile-manager.c"
"02_vulnerable_4064","1","vulnerable","C","input_sources/cwe119/vulnerable/02_vulnerable_4064.c","4064","flaw:4078:CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'); flaw:4079:CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'); flaw:4080:CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')","artifacts/xfg/cwe119_official/02_vulnerable_4064.xfg.pkl","10","16","True","artifacts/joern_cpg/cwe119_validation/02_vulnerable_4064.cpg.bin","363a37ae87fc490f4f6d4323c55a582b76c51a40019531421397737811466f16","2494344af16c8619fc2b8d00c41fcbf58d78d72a3f3092b683d320db52c8f091","61e8de37abf796f4d76de2f0f3f4c0df84c8ee93d9bdfc62b3ff93e414483912","119-4000-c/testcases/000/152/992/src/src/dfa.c"
"03_vulnerable_30","1","vulnerable","C","input_sources/cwe119/vulnerable/03_vulnerable_30.c","30","mixed:46:CWE-124: Buffer Underwrite ('Buffer Underflow')","artifacts/xfg/cwe119_official/03_vulnerable_30.xfg.pkl","9","14","True","artifacts/joern_cpg/cwe119_validation/03_vulnerable_30.cpg.bin","6dbfa81e8d22d30c8280c097ce85196e5afb4e0b1c1f27de532e560c390ccf3e","211ec577879ef0e181c53e98562b511d2569d9a596d37357c7d6859a80714ee2","d783df81b190ccac8f634bbbfb7eabffc73dcc0b70fc84857c011019d0f5c1d2","119-900-c/testcases/000/234/319/CWE124_Buffer_Underwrite__malloc_char_loop_14.c"
"04_vulnerable_55","1","vulnerable","C","input_sources/cwe119/vulnerable/04_vulnerable_55.c","55","flaw:61:CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer","artifacts/xfg/cwe119_official/04_vulnerable_55.xfg.pkl","5","5","True","artifacts/joern_cpg/cwe119_validation/04_vulnerable_55.cpg.bin","a556f3317e0dd3a924408c381ee395ee853a3b7e318ed79299f96ef55a277f5b","21152be8c6165a975f961b93a93353a5c9e9a3b6e338bd5d35214dd5044c748e","f0b6fbddd29d96cd3e54e3442ea4836e1eb1787c2c1b50c3f2be35c1eb8b298f","119-13000-c/testcases/000/000/832/basic-00180-med.c"
"05_vulnerable_32","1","vulnerable","C++","input_sources/cwe119/vulnerable/05_vulnerable_32.cpp","32","mixed:38:CWE-122: Heap-based Buffer Overflow","artifacts/xfg/cwe119_official/05_vulnerable_32.xfg.pkl","4","3","True","artifacts/joern_cpg/cwe119_validation/05_vulnerable_32.cpg.bin","1c7e4809fb08d1ad1d79548e1043b733ef6a8abc3c60ba2820f332246cb6d144","3ec1a81d68f804e95d65e08a2970448eba53cc303f6216c366826cb739d861ac","417f8c0e1c942de697f7da43a787a788a5a94d63bf7fae56c4ce7251f574853a","119-cpp/testcases/000/070/105/CWE122_Heap_Based_Buffer_Overflow__cpp_dest_wchar_t_cat_72b.cpp"
"06_non-vulnerable_63","0","non_vulnerable","C++","input_sources/cwe119/non_vulnerable/06_non-vulnerable_63.cpp","63","","artifacts/xfg/cwe119_official/06_non-vulnerable_63.xfg.pkl","3","2","True","artifacts/joern_cpg/cwe119_validation/06_non-vulnerable_63.cpg.bin","9e7f70eaaf849d61d9d82a0f2335487ce914b9a558107107a2cb66012ffc2c84","00db2a277f85099ef7957a1d204ce63181ea23dc2a3c49ab7ff6042141c51cb7","93151644bd11be1911444f608aae71e5d8ecfda2b2559f66f9774003ac4ad48c","119-cpp/testcases/000/062/847/CWE121_Stack_Based_Buffer_Overflow__CWE131_loop_74a.cpp"
"07_non-vulnerable_41","0","non_vulnerable","C++","input_sources/cwe119/non_vulnerable/07_non-vulnerable_41.cpp","41","","artifacts/xfg/cwe119_official/07_non-vulnerable_41.xfg.pkl","5","4","True","artifacts/joern_cpg/cwe119_validation/07_non-vulnerable_41.cpg.bin","a40b8c5adad4fcdf04e9286e7e7d4eeafbdd7856b8bb759fcaf6be2a92165866","50594d98ec1d2d972bee50a85e6d547f5d9be714869b7b2fc424ef39301d1fc0","b058cece3596af2f3dcc46dcc7fb63777706cd893621edaf7562f1c94c26a3ab","119-cpp/testcases/000/063/508/CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_loop_73a.cpp"
"08_non-vulnerable_32","0","non_vulnerable","C","input_sources/cwe119/non_vulnerable/08_non-vulnerable_32.c","32","","artifacts/xfg/cwe119_official/08_non-vulnerable_32.xfg.pkl","2","1","True","artifacts/joern_cpg/cwe119_validation/08_non-vulnerable_32.cpg.bin","e0eb594eab2572815f9348de0e11e871ffb6fcfa230e5ac9adee722b86b3303c","8d14a02f3ef1c68bdadd2f6da705b40cd305f6a66dbea11205a43671d7719804","cdf05c5ffcab7feecb309e10a72b2195b7ee9fa3a0c2fbd47ba6602b95c6abca","119-8100-c/testcases/000/071/592/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_68a.c"
"09_non-vulnerable_83","0","non_vulnerable","C++","input_sources/cwe119/non_vulnerable/09_non-vulnerable_83.cpp","83","","artifacts/xfg/cwe119_official/09_non-vulnerable_83.xfg.pkl","3","2","True","artifacts/joern_cpg/cwe119_validation/09_non-vulnerable_83.cpg.bin","76ad2eca3c9f5ea5aaf6bcce2ae8b42c7b3791193910008b7895a16f53eaedc7","8993269fa828d549ab9218af205902cae2ab26c8918ee19e6dcd691521609a4b","ca0da60c59352ac298dcdbe3b1e580b846265eee9c75f637cd6be739f2162941","119-cpp/testcases/000/101/478/CWE415_Double_Free__malloc_free_struct_74a.cpp"
"10_non-vulnerable_43","0","non_vulnerable","C++","input_sources/cwe119/non_vulnerable/10_non-vulnerable_43.cpp","43","","artifacts/xfg/cwe119_official/10_non-vulnerable_43.xfg.pkl","4","3","True","artifacts/joern_cpg/cwe119_validation/10_non-vulnerable_43.cpg.bin","8c6c798728e16396fe6bec0c088da93db698cfdc322e29f81ccaa1edd4e3c133","8a2b76cb2955bf503b63220754e22e22b5e943c603ee12c5199416701ef5805c","c6c523d140191364b4a8fbabe8786233054844004dbbe08f422bd250c24a4c0f","119-cpp/testcases/000/066/821/CWE121_Stack_Based_Buffer_Overflow__dest_char_declare_cpy_74a.cpp"
