dataset,sample_id,source_file,action,count,applied_count,generation_status,run_status,flipped,base_label,variant_label,base_probability,variant_probability,delta_probability,base_nodes,variant_nodes,delta_nodes,base_edges,variant_edges,delta_edges,baseline_run_dir,variant_run_dir,variant_file,notes,error
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,data_flow_alias,1,1,generated,ran,False,1,1,1.0,1.0,0.0,5566,5568,2,11864,11865,1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__data_flow_alias__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__data_flow_alias__c1.c,inserted 1 alias-preserving data-flow no-op(s) near call arguments,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,data_flow_alias,2,2,generated,ran,False,1,1,1.0,1.0,0.0,5566,5588,22,11864,11903,39,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__data_flow_alias__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__data_flow_alias__c2.c,inserted 2 alias-preserving data-flow no-op(s) near call arguments,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,data_flow_alias,3,3,generated,ran,False,1,1,1.0,1.0,0.0,5566,5606,40,11864,11980,116,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__data_flow_alias__c3,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__data_flow_alias__c3.c,inserted 3 alias-preserving data-flow no-op(s) near call arguments,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,data_flow_alias,5,5,generated,ran,False,1,1,1.0,1.0,0.0,5566,5628,62,11864,12019,155,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__data_flow_alias__c5,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__data_flow_alias__c5.c,inserted 5 alias-preserving data-flow no-op(s) near call arguments,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,dead_statement,1,1,generated,ran,False,1,1,1.0,1.0,0.0,5566,5578,12,11864,11891,27,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__dead_statement__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__dead_statement__c1.c,inserted 1 harmless dummy integer statement pair(s) after first function brace,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,dead_statement,2,2,generated,ran,False,1,1,1.0,1.0,0.0,5566,5590,24,11864,11918,54,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__dead_statement__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__dead_statement__c2.c,inserted 2 harmless dummy integer statement pair(s) after first function brace,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,dead_statement,3,3,generated,ran,False,1,1,1.0,1.0,0.0,5566,5602,36,11864,11945,81,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__dead_statement__c3,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__dead_statement__c3.c,inserted 3 harmless dummy integer statement pair(s) after first function brace,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,dead_statement,5,5,generated,ran,False,1,1,1.0,1.0,0.0,5566,5626,60,11864,11999,135,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__dead_statement__c5,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__dead_statement__c5.c,inserted 5 harmless dummy integer statement pair(s) after first function brace,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,xfg_targeted_dead_code,1,1,generated,ran,False,1,1,1.0,1.0,0.0,5566,5568,2,11864,11865,1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__xfg_targeted_dead_code__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__xfg_targeted_dead_code__c1.c,inserted 1 unreachable no-op block(s) near XFG-relevant target lines,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,xfg_targeted_dead_code,2,2,generated,ran,False,1,1,1.0,1.0,0.0,5566,5570,4,11864,11866,2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__xfg_targeted_dead_code__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__xfg_targeted_dead_code__c2.c,inserted 2 unreachable no-op block(s) near XFG-relevant target lines,
