action,samples,rows,run_rows,flips,flip_samples,flip_rate_by_run_rows,flip_sample_rate
array_index_bound_guard,20,40,40,1,1,0.025,0.05
control_wrapper,20,75,75,1,1,0.013333333333333334,0.05
data_flow_alias,20,72,72,1,1,0.013888888888888888,0.05
dead_statement,20,77,77,1,1,0.012987012987012988,0.05
integer_overflow_guard,20,21,21,0,0,0.0,0.0
pattern_dead_code,20,73,73,1,1,0.0136986301369863,0.05
postcondition_validation,20,22,22,0,0,0.0,0.0
range_clamp,20,42,42,0,0,0.0,0.0
safe_source_substitution,20,39,39,0,0,0.0,0.0
sink_bound_guard,20,42,42,0,0,0.0,0.0
temp_variable_split,20,49,49,0,0,0.0,0.0
wide_char_sink_guard,20,22,22,0,0,0.0,0.0
xfg_targeted_dead_code,20,70,70,1,1,0.014285714285714285,0.05
