action,attempted,successful,failed,flips,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_runtime_ms
array_index_bound_guard,15,14,1,0,0.0002875668661934989,0.0002876009259905134,0.002013087272644043,14792.348431786066
control_wrapper,20,19,1,0,-0.003874930739402771,0.004033097624778747,0.02636009454727173,11583.851683849934
data_flow_alias,19,18,1,0,-0.000540466685044138,0.0006995671673824912,0.011780321598052979,12703.027863947347
dead_statement,17,17,0,1,-0.043210048885906446,0.043210048885906446,0.7345708310604095,12895.621951294206
integer_overflow_guard,5,5,0,0,0.0,0.0,0.0,0.0
pattern_dead_code,20,19,1,0,0.0,0.0,0.0,12731.274071600092
postcondition_validation,5,5,0,0,0.0,0.0,0.0,0.0
range_clamp,14,13,1,0,0.0,0.0,0.0,15739.4541595833
safe_source_substitution,6,5,1,0,0.0,0.0,0.0,7657.580262499323
sink_bound_guard,14,13,1,0,0.0,0.0,0.0,17306.54723033316
temp_variable_split,14,14,0,0,0.0,0.0,0.0,16089.809694999984
wide_char_sink_guard,7,6,1,0,-0.0009837746620178223,0.0009837746620178223,0.0009837746620178223,5612.650607999967
xfg_targeted_dead_code,17,16,1,1,-0.04404848989318399,0.04404848989318399,0.7488243281841278,13291.18698882367
