action,attempted,successful,failed,flips,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_runtime_ms
array_index_bound_guard,13,12,1,1,-0.21392734281084813,0.21392734281084813,0.8362790569663048,6295.972576799977
control_wrapper,35,31,4,1,-0.06657697389126126,0.06673241516815788,0.7371584922075272,5599.738721371562
data_flow_alias,36,33,3,0,-0.033668140567194325,0.034826472559967736,0.2947569489479065,5694.6850139723
dead_statement,40,40,0,0,-0.019722169305762784,0.020198370288287058,0.2947569489479065,5639.317663699967
integer_overflow_guard,10,10,0,0,0.0,0.0,0.0,0.0
pattern_dead_code,34,30,4,0,-0.059699257508213484,0.06461019770070514,0.44360960833728313,5798.505141323136
postcondition_validation,10,10,0,0,0.0,0.0,0.0,0.0
range_clamp,15,12,3,0,-5.442614203765572e-07,5.442614203765572e-07,2.173961320295348e-06,5811.502570750463
safe_source_substitution,18,16,2,0,-0.053187493433020844,0.053187493433020844,0.16454005241394043,6087.9778030909865
sink_bound_guard,15,12,3,0,-2.2952959932709405e-07,2.9046080873840197e-07,1.039980816130992e-06,5745.0766420001855
temp_variable_split,15,13,2,0,-0.017739901972504413,0.01776924140142455,0.07101828674785793,5943.031131374937
wide_char_sink_guard,10,10,0,0,0.0,0.0,0.0,0.0
xfg_targeted_dead_code,33,30,3,0,-0.061815496482793456,0.06249802903151673,0.4436096269637346,5647.778519499866
