sample_id,action,strategy,seed,requested_count,applied_count,valid,baseline_nodes,baseline_edges,perturbed_nodes,perturbed_edges,delta_nodes,delta_edges,baseline_xfg_count,perturbed_xfg_count,baseline_probability,perturbed_probability,delta_probability,baseline_label,perturbed_label,flipped,runtime_ms,operations,validation_errors,error
00_codexglue_devign_9763,data_flow_alias,code_perturbation,,1,1,True,1152,2411,1170,2450,18,39,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,5987.740896000105,inserted 1 alias-preserving data-flow no-op(s) near call arguments,,
00_codexglue_devign_9763,data_flow_alias,code_perturbation,,2,2,True,1152,2411,1190,2488,38,77,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,5180.9442800004035,inserted 2 alias-preserving data-flow no-op(s) near call arguments,,
00_codexglue_devign_9763,data_flow_alias,code_perturbation,,3,3,True,1152,2411,1208,2527,56,116,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,5684.368800999437,inserted 3 alias-preserving data-flow no-op(s) near call arguments,,
00_codexglue_devign_9763,data_flow_alias,code_perturbation,,5,5,True,1152,2411,1246,2604,94,193,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,6679.589279001448,inserted 5 alias-preserving data-flow no-op(s) near call arguments,,
00_codexglue_devign_9763,dead_statement,code_perturbation,,1,1,True,1152,2411,1164,2438,12,27,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,5566.439672998968,inserted 1 harmless dummy integer statement pair(s) after first function brace,,
00_codexglue_devign_9763,dead_statement,code_perturbation,,2,2,True,1152,2411,1176,2465,24,54,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,5472.4200519995065,inserted 2 harmless dummy integer statement pair(s) after first function brace,,
00_codexglue_devign_9763,dead_statement,code_perturbation,,3,3,True,1152,2411,1188,2492,36,81,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,5406.397098000525,inserted 3 harmless dummy integer statement pair(s) after first function brace,,
00_codexglue_devign_9763,dead_statement,code_perturbation,,5,5,True,1152,2411,1212,2546,60,135,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,5537.3014350007,inserted 5 harmless dummy integer statement pair(s) after first function brace,,
00_codexglue_devign_9763,xfg_targeted_dead_code,code_perturbation,,1,1,True,1152,2411,1168,2447,16,36,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,5331.366182999773,inserted 1 unreachable no-op block(s) near XFG-relevant target lines,,
00_codexglue_devign_9763,xfg_targeted_dead_code,code_perturbation,,2,2,True,1152,2411,1184,2483,32,72,,,0.0005112718208692968,0.0005112718208692968,0.0,0,0,False,5488.6305700001685,inserted 2 unreachable no-op block(s) near XFG-relevant target lines,,
