sample,function,status,label,prob,nodes,edges,xfg_count
00_codexglue_devign_9763,decode_frame_common,success,0,0.0005112715298309922,98,215,50
01_codexglue_devign_10453,uhci_handle_td,success,0,0.07368803024291992,46,100,18
02_codexglue_devign_15133,unknown,success,0,9.449155452434153e-16,13,19,4
03_codexglue_devign_14215,gen_cas_asi,success,0,0.0,8,14,0
04_codexglue_devign_13727,emulate_spapr_hypercall,success,0,0.0025714992079883814,2,1,2
05_codexglue_devign_6599,preallocate,success,0,4.599043222697219e-06,26,54,4
06_codexglue_devign_15513,tta_decode_init,success,0,5.734164369641803e-05,5,7,4
07_codexglue_devign_4012,mpeg1_decode_sequence,success,1,0.8990585207939148,59,149,55
08_codexglue_devign_17947,vmdk_parent_open,success,0,1.5074839154749498e-08,24,43,17
09_codexglue_devign_25916,spr_write_ibatl,success,0,0.45626598596572876,4,3,1
