command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/05_vulnerable_32.cpp								
ANR	2	Function	badSink	29:0:826:1297							
ANR	3	FunctionDef	badSink (vector < wchar_t * > dataVector)		2	0					
ANR	4	CompoundStatement		30:0:870:1297	2	0					
ANR	5	IdentifierDeclStatement	wchar_t * data = dataVector [ 2 ] ;	32:4:916:946	2	0	True				
ANR	6	IdentifierDecl	* data = dataVector [ 2 ]		2	0					
ANR	7	IdentifierDeclType	wchar_t *		2	0					
ANR	8	Identifier	data		2	1					
ANR	9	AssignmentExpression	* data = dataVector [ 2 ]		2	2		=			
ANR	10	Identifier	data		2	0					
ANR	11	ArrayIndexing	dataVector [ 2 ]		2	1					
ANR	12	Identifier	dataVector		2	0					
ANR	13	PrimaryExpression	2		2	1					
ANR	14	CompoundStatement		5:8:93:112	2	1					
ANR	15	IdentifierDeclStatement	wchar_t source [ 100 ] ;	34:8:964:983	2	0	True				
ANR	16	IdentifierDecl	source [ 100 ]		2	0					
ANR	17	IdentifierDeclType	wchar_t [ 100 ]		2	0					
ANR	18	Identifier	source		2	1					
ANR	19	PrimaryExpression	100		2	2					
ANR	20	Statement	wmemset	35:8:994:1000	2	1	True				
ANR	21	Statement	(	35:15:1001:1001	2	2	True				
ANR	22	Statement	source	35:16:1002:1007	2	3	True				
ANR	23	Statement	","	35:22:1008:1008	2	4	True				
ANR	24	Statement	L	35:24:1010:1010	2	5	True				
ANR	25	Statement	'C'	35:25:1011:1013	2	6	True				
ANR	26	Statement	","	35:28:1014:1014	2	7	True				
ANR	27	Statement	100	35:30:1016:1018	2	8	True				
ANR	28	Statement	-	35:33:1019:1019	2	9	True				
ANR	29	Statement	1	35:34:1020:1020	2	10	True				
ANR	30	Statement	)	35:35:1021:1021	2	11	True				
ANR	31	ExpressionStatement		35:36:1022:1022	2	12	True				
ANR	32	Statement	source	36:8:1055:1060	2	13	True				
ANR	33	Statement	[	36:14:1061:1061	2	14	True				
ANR	34	Statement	100	36:15:1062:1064	2	15	True				
ANR	35	Statement	-	36:18:1065:1065	2	16	True				
ANR	36	Statement	1	36:19:1066:1066	2	17	True				
ANR	37	Statement	]	36:20:1067:1067	2	18	True				
ANR	38	Statement	=	36:22:1069:1069	2	19	True				
ANR	39	Statement	L	36:24:1071:1071	2	20	True				
ANR	40	ExpressionStatement	'\\0'	36:25:1072:1076	2	21	True				
ANR	41	PrimaryExpression	'\\0'		2	0					
