command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/03_vulnerable_30__control_wrapper__c5.c								
ANR	2	Function	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad	23:0:594:1834							
ANR	3	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad ()		2	0					
ANR	4	CompoundStatement		24:0:651:1834	2	0					
ANR	5	IdentifierDeclStatement	char * data ;	25:4:657:668	2	0	True				
ANR	6	IdentifierDecl	* data		2	0					
ANR	7	IdentifierDeclType	char *		2	0					
ANR	8	Identifier	data		2	1					
ANR	9	IfStatement	if ( 1 )		2	1					
ANR	10	Condition	1	26:8:678:678	2	0	True				
ANR	11	PrimaryExpression	1		2	0					
ANR	12	CompoundStatement		3:11:29:29	2	1					
ANR	13	ExpressionStatement	data = NULL	27:8:691:702	2	0	True				
ANR	14	AssignmentExpression	data = NULL		2	0		=			
ANR	15	Identifier	data		2	0					
ANR	16	Identifier	NULL		2	1					
ANR	17	IfStatement	if ( globalFive == 5 )		2	2					
ANR	18	Condition	globalFive == 5	29:7:717:729	2	0	True				
ANR	19	EqualityExpression	globalFive == 5		2	0		==			
ANR	20	Identifier	globalFive		2	0					
ANR	21	PrimaryExpression	5		2	1					
ANR	22	CompoundStatement		7:4:84:84	2	1					
ANR	23	CompoundStatement		8:8:94:94	2	0					
ANR	24	IfStatement	if ( 1 )		2	0					
ANR	25	Condition	1	32:16:764:764	2	0	True				
ANR	26	PrimaryExpression	1		2	0					
ANR	27	CompoundStatement		10:16:133:185	2	1					
ANR	28	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	33:16:785:837	2	0	True				
ANR	29	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	0					
ANR	30	IdentifierDeclType	char *		2	0					
ANR	31	Identifier	dataBuffer		2	1					
ANR	32	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	2		=			
ANR	33	Identifier	dataBuffer		2	0					
ANR	34	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		2	1					
ANR	35	CastTarget	char *		2	0					
ANR	36	CallExpression	malloc ( 100 * sizeof ( char ) )		2	1					
ANR	37	Callee	malloc		2	0					
ANR	38	Identifier	malloc		2	0					
ANR	39	ArgumentList	100 * sizeof ( char )		2	1					
ANR	40	Argument	100 * sizeof ( char )		2	0					
ANR	41	MultiplicativeExpression	100 * sizeof ( char )		2	0		*			
ANR	42	PrimaryExpression	100		2	0					
ANR	43	SizeofExpression	sizeof ( char )		2	1					
ANR	44	Sizeof	sizeof		2	0					
ANR	45	SizeofOperand	char		2	1					
ANR	46	IfStatement	if ( 1 )		2	1					
ANR	47	Condition	1	35:16:869:869	2	0	True				
ANR	48	PrimaryExpression	1		2	0					
ANR	49	CompoundStatement		12:19:220:220	2	1					
ANR	50	IfStatement	if ( dataBuffer == NULL )		2	0					
ANR	51	Condition	dataBuffer == NULL	36:20:894:911	2	0	True				
ANR	52	EqualityExpression	dataBuffer == NULL		2	0		==			
ANR	53	Identifier	dataBuffer		2	0					
ANR	54	Identifier	NULL		2	1					
ANR	55	CompoundStatement		13:40:262:262	2	1					
ANR	56	ExpressionStatement	exit ( - 1 )	36:41:915:923	2	0	True				
ANR	57	CallExpression	exit ( - 1 )		2	0					
ANR	58	Callee	exit		2	0					
ANR	59	Identifier	exit		2	0					
ANR	60	ArgumentList	- 1		2	1					
ANR	61	Argument	- 1		2	0					
ANR	62	UnaryOperationExpression	- 1		2	0					
ANR	63	UnaryOperator	-		2	0					
ANR	64	PrimaryExpression	1		2	1					
ANR	65	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	38:12:952:982	2	2	True				
ANR	66	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		2	0					
ANR	67	Callee	memset		2	0					
ANR	68	Identifier	memset		2	0					
ANR	69	ArgumentList	dataBuffer		2	1					
ANR	70	Argument	dataBuffer		2	0					
ANR	71	Identifier	dataBuffer		2	0					
ANR	72	Argument	'A'		2	1					
ANR	73	PrimaryExpression	'A'		2	0					
ANR	74	Argument	100 - 1		2	2					
ANR	75	AdditiveExpression	100 - 1		2	0		-			
ANR	76	PrimaryExpression	100		2	0					
ANR	77	PrimaryExpression	1		2	1					
ANR	78	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	39:12:996:1020	2	3	True				
ANR	79	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		2	0		=			
ANR	80	ArrayIndexing	dataBuffer [ 100 - 1 ]		2	0					
ANR	81	Identifier	dataBuffer		2	0					
ANR	82	AdditiveExpression	100 - 1		2	1		-			
ANR	83	PrimaryExpression	100		2	0					
ANR	84	PrimaryExpression	1		2	1					
ANR	85	PrimaryExpression	'\\0'		2	1					
ANR	86	IfStatement	if ( 1 )		2	4					
ANR	87	Condition	1	41:16:1117:1117	2	0	True				
ANR	88	PrimaryExpression	1		2	0					
ANR	89	CompoundStatement		18:19:468:468	2	1					
ANR	90	ExpressionStatement	data = dataBuffer - 8	42:16:1138:1159	2	0	True				
ANR	91	AssignmentExpression	data = dataBuffer - 8		2	0		=			
ANR	92	Identifier	data		2	0					
ANR	93	AdditiveExpression	dataBuffer - 8		2	1		-			
ANR	94	Identifier	dataBuffer		2	0					
ANR	95	PrimaryExpression	8		2	1					
ANR	96	CompoundStatement		25:8:571:587	2	3					
ANR	97	IdentifierDeclStatement	size_t i ;	47:8:1205:1213	2	0	True				
ANR	98	IdentifierDecl	i		2	0					
ANR	99	IdentifierDeclType	size_t		2	0					
ANR	100	Identifier	i		2	1					
ANR	101	IdentifierDeclStatement	char source [ 100 ] ;	48:8:1223:1239	2	1	True				
ANR	102	IdentifierDecl	source [ 100 ]		2	0					
ANR	103	IdentifierDeclType	char [ 100 ]		2	0					
ANR	104	Identifier	source		2	1					
ANR	105	PrimaryExpression	100		2	2					
ANR	106	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	49:8:1249:1275	2	2	True				
ANR	107	CallExpression	"memset ( source , 'C' , 100 - 1 )"		2	0					
ANR	108	Callee	memset		2	0					
ANR	109	Identifier	memset		2	0					
ANR	110	ArgumentList	source		2	1					
ANR	111	Argument	source		2	0					
ANR	112	Identifier	source		2	0					
ANR	113	Argument	'C'		2	1					
ANR	114	PrimaryExpression	'C'		2	0					
ANR	115	Argument	100 - 1		2	2					
ANR	116	AdditiveExpression	100 - 1		2	0		-			
ANR	117	PrimaryExpression	100		2	0					
ANR	118	PrimaryExpression	1		2	1					
ANR	119	ExpressionStatement	source [ 100 - 1 ] = '\\0'	50:8:1306:1326	2	3	True				
ANR	120	AssignmentExpression	source [ 100 - 1 ] = '\\0'		2	0		=			
ANR	121	ArrayIndexing	source [ 100 - 1 ]		2	0					
ANR	122	Identifier	source		2	0					
ANR	123	AdditiveExpression	100 - 1		2	1		-			
ANR	124	PrimaryExpression	100		2	0					
ANR	125	PrimaryExpression	1		2	1					
ANR	126	PrimaryExpression	'\\0'		2	1					
ANR	127	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		2	4					
ANR	128	ForInit	i = 0 ;	52:13:1454:1459	2	0	True				
ANR	129	AssignmentExpression	i = 0		2	0		=			
ANR	130	Identifier	i		2	0					
ANR	131	PrimaryExpression	0		2	1					
ANR	132	Condition	i < 100	52:20:1461:1467	2	1	True				
ANR	133	RelationalExpression	i < 100		2	0		<			
ANR	134	Identifier	i		2	0					
ANR	135	PrimaryExpression	100		2	1					
ANR	136	PostIncDecOperationExpression	i ++	52:29:1470:1472	2	2	True				
ANR	137	Identifier	i		2	0					
ANR	138	IncDec	++		2	1					
ANR	139	CompoundStatement		30:8:831:831	2	3					
ANR	140	IfStatement	if ( 1 )		2	0					
ANR	141	Condition	1	54:16:1501:1501	2	0	True				
ANR	142	PrimaryExpression	1		2	0					
ANR	143	CompoundStatement		31:19:852:852	2	1					
ANR	144	ExpressionStatement	data [ i ] = source [ i ]	55:16:1522:1541	2	0	True				
ANR	145	AssignmentExpression	data [ i ] = source [ i ]		2	0		=			
ANR	146	ArrayIndexing	data [ i ]		2	0					
ANR	147	Identifier	data		2	0					
ANR	148	Identifier	i		2	1					
ANR	149	ArrayIndexing	source [ i ]		2	1					
ANR	150	Identifier	source		2	0					
ANR	151	Identifier	i		2	1					
ANR	152	ExpressionStatement	data [ 100 - 1 ] = '\\0'	59:8:1638:1656	2	5	True				
ANR	153	AssignmentExpression	data [ 100 - 1 ] = '\\0'		2	0		=			
ANR	154	ArrayIndexing	data [ 100 - 1 ]		2	0					
ANR	155	Identifier	data		2	0					
ANR	156	AdditiveExpression	100 - 1		2	1		-			
ANR	157	PrimaryExpression	100		2	0					
ANR	158	PrimaryExpression	1		2	1					
ANR	159	PrimaryExpression	'\\0'		2	1					
ANR	160	ExpressionStatement	printLine ( data )	60:8:1666:1681	2	6	True				
ANR	161	CallExpression	printLine ( data )		2	0					
ANR	162	Callee	printLine		2	0					
ANR	163	Identifier	printLine		2	0					
ANR	164	ArgumentList	data		2	1					
ANR	165	Argument	data		2	0					
ANR	166	Identifier	data		2	0					
ANR	167	ReturnType	void		2	1					
ANR	168	Identifier	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad		2	2					
ANR	169	ParameterList			2	3					
ANR	170	CFGEntryNode	ENTRY		2		True				
ANR	171	CFGExitNode	EXIT		2		True				
ANR	172	Symbol	malloc		2						
ANR	173	Symbol	NULL		2						
ANR	174	Symbol	* i		2						
ANR	175	Symbol	data		2						
ANR	176	Symbol	* source		2						
ANR	177	Symbol	dataBuffer		2						
ANR	178	Symbol	i		2						
ANR	179	Symbol	source		2						
ANR	180	Symbol	globalFive		2						
ANR	181	Symbol	* data		2						
ANR	182	Symbol	* dataBuffer		2						
ANR	183	Function	goodG2B1	71:0:1970:3124							
ANR	184	FunctionDef	goodG2B1 ()		183	0					
ANR	185	CompoundStatement		72:0:1993:3124	183	0					
ANR	186	IdentifierDeclStatement	char * data ;	73:4:1999:2010	183	0	True				
ANR	187	IdentifierDecl	* data		183	0					
ANR	188	IdentifierDeclType	char *		183	0					
ANR	189	Identifier	data		183	1					
ANR	190	ExpressionStatement	data = NULL	74:4:2016:2027	183	1	True				
ANR	191	AssignmentExpression	data = NULL		183	0		=			
ANR	192	Identifier	data		183	0					
ANR	193	Identifier	NULL		183	1					
ANR	194	IfStatement	if ( globalFive != 5 )		183	2					
ANR	195	Condition	globalFive != 5	75:7:2036:2048	183	0	True				
ANR	196	EqualityExpression	globalFive != 5		183	0		!=			
ANR	197	Identifier	globalFive		183	0					
ANR	198	PrimaryExpression	5		183	1					
ANR	199	CompoundStatement		5:4:61:61	183	1					
ANR	200	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	78:8:2140:2173	183	0	True				
ANR	201	CallExpression	"printLine ( ""Benign, fixed string"" )"		183	0					
ANR	202	Callee	printLine		183	0					
ANR	203	Identifier	printLine		183	0					
ANR	204	ArgumentList	"""Benign, fixed string"""		183	1					
ANR	205	Argument	"""Benign, fixed string"""		183	0					
ANR	206	PrimaryExpression	"""Benign, fixed string"""		183	0					
ANR	207	ElseStatement	else		183	0					
ANR	208	CompoundStatement		10:4:200:200	183	0					
ANR	209	CompoundStatement		12:12:224:276	183	0					
ANR	210	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	83:12:2218:2270	183	0	True				
ANR	211	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		183	0					
ANR	212	IdentifierDeclType	char *		183	0					
ANR	213	Identifier	dataBuffer		183	1					
ANR	214	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		183	2		=			
ANR	215	Identifier	dataBuffer		183	0					
ANR	216	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		183	1					
ANR	217	CastTarget	char *		183	0					
ANR	218	CallExpression	malloc ( 100 * sizeof ( char ) )		183	1					
ANR	219	Callee	malloc		183	0					
ANR	220	Identifier	malloc		183	0					
ANR	221	ArgumentList	100 * sizeof ( char )		183	1					
ANR	222	Argument	100 * sizeof ( char )		183	0					
ANR	223	MultiplicativeExpression	100 * sizeof ( char )		183	0		*			
ANR	224	PrimaryExpression	100		183	0					
ANR	225	SizeofExpression	sizeof ( char )		183	1					
ANR	226	Sizeof	sizeof		183	0					
ANR	227	SizeofOperand	char		183	1					
ANR	228	IfStatement	if ( dataBuffer == NULL )		183	1					
ANR	229	Condition	dataBuffer == NULL	84:16:2288:2305	183	0	True				
ANR	230	EqualityExpression	dataBuffer == NULL		183	0		==			
ANR	231	Identifier	dataBuffer		183	0					
ANR	232	Identifier	NULL		183	1					
ANR	233	CompoundStatement		13:36:314:314	183	1					
