command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/03_vulnerable_30__data_flow_alias__c2.c								
ANR	2	Function	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad	23:0:594:1830							
ANR	3	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad ()		2	0					
ANR	4	CompoundStatement		24:0:651:1830	2	0					
ANR	5	IdentifierDeclStatement	char * data ;	25:4:657:668	2	0	True				
ANR	6	IdentifierDecl	* data		2	0					
ANR	7	IdentifierDeclType	char *		2	0					
ANR	8	Identifier	data		2	1					
ANR	9	ExpressionStatement	data = NULL	26:4:674:685	2	1	True				
ANR	10	AssignmentExpression	data = NULL		2	0		=			
ANR	11	Identifier	data		2	0					
ANR	12	Identifier	NULL		2	1					
ANR	13	IfStatement	if ( globalFive == 5 )		2	2					
ANR	14	Condition	globalFive == 5	27:7:694:706	2	0	True				
ANR	15	EqualityExpression	globalFive == 5		2	0		==			
ANR	16	Identifier	globalFive		2	0					
ANR	17	PrimaryExpression	5		2	1					
ANR	18	CompoundStatement		5:4:61:61	2	1					
ANR	19	CompoundStatement		10:12:245:277	2	0					
ANR	20	Statement	int	30:12:737:739	2	0	True				
ANR	21	Statement	dwk_flow_value_1	30:16:741:756	2	1	True				
ANR	22	Statement	=	30:33:758:758	2	2	True				
ANR	23	Statement	(	30:35:760:760	2	3	True				
ANR	24	Statement	int	30:36:761:763	2	4	True				
ANR	25	Statement	)	30:39:764:764	2	5	True				
ANR	26	Statement	(	30:40:765:765	2	6	True				
ANR	27	ExpressionStatement	100 * sizeof ( char )	30:41:766:782	2	7	True				
ANR	28	MultiplicativeExpression	100 * sizeof ( char )		2	0		*			
ANR	29	PrimaryExpression	100		2	0					
ANR	30	SizeofExpression	sizeof ( char )		2	1					
ANR	31	Sizeof	sizeof		2	0					
ANR	32	SizeofOperand	char		2	1					
ANR	33	ExpressionStatement	dwk_flow_value_1 += 0	31:12:796:817	2	8	True				
ANR	34	AssignmentExpression	dwk_flow_value_1 += 0		2	0		+=			
ANR	35	Identifier	dwk_flow_value_1		2	0					
ANR	36	PrimaryExpression	0		2	1					
ANR	37	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	32:12:831:883	2	9	True				
ANR	38	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	0					
ANR	39	IdentifierDeclType	char *		2	0					
ANR	40	Identifier	dataBuffer		2	1					
ANR	41	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	2		=			
ANR	42	Identifier	dataBuffer		2	0					
ANR	43	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		2	1					
ANR	44	CastTarget	char *		2	0					
ANR	45	CallExpression	malloc ( 100 * sizeof ( char ) )		2	1					
ANR	46	Callee	malloc		2	0					
ANR	47	Identifier	malloc		2	0					
ANR	48	ArgumentList	100 * sizeof ( char )		2	1					
ANR	49	Argument	100 * sizeof ( char )		2	0					
ANR	50	MultiplicativeExpression	100 * sizeof ( char )		2	0		*			
ANR	51	PrimaryExpression	100		2	0					
ANR	52	SizeofExpression	sizeof ( char )		2	1					
ANR	53	Sizeof	sizeof		2	0					
ANR	54	SizeofOperand	char		2	1					
ANR	55	IdentifierDeclStatement	int dwk_flow_value_2 = ( int ) ( - 1 ) ;	33:12:897:929	2	10	True				
ANR	56	IdentifierDecl	dwk_flow_value_2 = ( int ) ( - 1 )		2	0					
ANR	57	IdentifierDeclType	int		2	0					
ANR	58	Identifier	dwk_flow_value_2		2	1					
ANR	59	AssignmentExpression	dwk_flow_value_2 = ( int ) ( - 1 )		2	2		=			
ANR	60	Identifier	dwk_flow_value_2		2	0					
ANR	61	CastExpression	( int ) ( - 1 )		2	1					
ANR	62	CastTarget	int		2	0					
ANR	63	UnaryOperationExpression	- 1		2	1					
ANR	64	UnaryOperator	-		2	0					
ANR	65	PrimaryExpression	1		2	1					
ANR	66	ExpressionStatement	dwk_flow_value_2 += 0	34:12:943:964	2	11	True				
ANR	67	AssignmentExpression	dwk_flow_value_2 += 0		2	0		+=			
ANR	68	Identifier	dwk_flow_value_2		2	0					
ANR	69	PrimaryExpression	0		2	1					
ANR	70	IfStatement	if ( dataBuffer == NULL )		2	12					
ANR	71	Condition	dataBuffer == NULL	35:16:982:999	2	0	True				
ANR	72	EqualityExpression	dataBuffer == NULL		2	0		==			
ANR	73	Identifier	dataBuffer		2	0					
ANR	74	Identifier	NULL		2	1					
ANR	75	CompoundStatement		12:36:350:350	2	1					
ANR	76	ExpressionStatement	exit ( - 1 )	35:37:1003:1011	2	0	True				
ANR	77	CallExpression	exit ( - 1 )		2	0					
ANR	78	Callee	exit		2	0					
ANR	79	Identifier	exit		2	0					
ANR	80	ArgumentList	- 1		2	1					
ANR	81	Argument	- 1		2	0					
ANR	82	UnaryOperationExpression	- 1		2	0					
ANR	83	UnaryOperator	-		2	0					
ANR	84	PrimaryExpression	1		2	1					
ANR	85	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	36:12:1026:1056	2	13	True				
ANR	86	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		2	0					
ANR	87	Callee	memset		2	0					
ANR	88	Identifier	memset		2	0					
ANR	89	ArgumentList	dataBuffer		2	1					
ANR	90	Argument	dataBuffer		2	0					
ANR	91	Identifier	dataBuffer		2	0					
ANR	92	Argument	'A'		2	1					
ANR	93	PrimaryExpression	'A'		2	0					
ANR	94	Argument	100 - 1		2	2					
ANR	95	AdditiveExpression	100 - 1		2	0		-			
ANR	96	PrimaryExpression	100		2	0					
ANR	97	PrimaryExpression	1		2	1					
ANR	98	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	37:12:1070:1094	2	14	True				
ANR	99	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		2	0		=			
ANR	100	ArrayIndexing	dataBuffer [ 100 - 1 ]		2	0					
ANR	101	Identifier	dataBuffer		2	0					
ANR	102	AdditiveExpression	100 - 1		2	1		-			
ANR	103	PrimaryExpression	100		2	0					
ANR	104	PrimaryExpression	1		2	1					
ANR	105	PrimaryExpression	'\\0'		2	1					
ANR	106	ExpressionStatement	data = dataBuffer - 8	39:12:1187:1208	2	15	True				
ANR	107	AssignmentExpression	data = dataBuffer - 8		2	0		=			
ANR	108	Identifier	data		2	0					
ANR	109	AdditiveExpression	dataBuffer - 8		2	1		-			
ANR	110	Identifier	dataBuffer		2	0					
ANR	111	PrimaryExpression	8		2	1					
ANR	112	CompoundStatement		21:8:606:622	2	3					
ANR	113	IdentifierDeclStatement	size_t i ;	43:8:1240:1248	2	0	True				
ANR	114	IdentifierDecl	i		2	0					
ANR	115	IdentifierDeclType	size_t		2	0					
ANR	116	Identifier	i		2	1					
ANR	117	IdentifierDeclStatement	char source [ 100 ] ;	44:8:1258:1274	2	1	True				
ANR	118	IdentifierDecl	source [ 100 ]		2	0					
ANR	119	IdentifierDeclType	char [ 100 ]		2	0					
ANR	120	Identifier	source		2	1					
ANR	121	PrimaryExpression	100		2	2					
ANR	122	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	45:8:1284:1310	2	2	True				
ANR	123	CallExpression	"memset ( source , 'C' , 100 - 1 )"		2	0					
ANR	124	Callee	memset		2	0					
ANR	125	Identifier	memset		2	0					
ANR	126	ArgumentList	source		2	1					
ANR	127	Argument	source		2	0					
ANR	128	Identifier	source		2	0					
ANR	129	Argument	'C'		2	1					
ANR	130	PrimaryExpression	'C'		2	0					
ANR	131	Argument	100 - 1		2	2					
ANR	132	AdditiveExpression	100 - 1		2	0		-			
ANR	133	PrimaryExpression	100		2	0					
ANR	134	PrimaryExpression	1		2	1					
ANR	135	ExpressionStatement	source [ 100 - 1 ] = '\\0'	46:8:1341:1361	2	3	True				
ANR	136	AssignmentExpression	source [ 100 - 1 ] = '\\0'		2	0		=			
ANR	137	ArrayIndexing	source [ 100 - 1 ]		2	0					
ANR	138	Identifier	source		2	0					
ANR	139	AdditiveExpression	100 - 1		2	1		-			
ANR	140	PrimaryExpression	100		2	0					
ANR	141	PrimaryExpression	1		2	1					
ANR	142	PrimaryExpression	'\\0'		2	1					
ANR	143	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		2	4					
ANR	144	ForInit	i = 0 ;	48:13:1489:1494	2	0	True				
ANR	145	AssignmentExpression	i = 0		2	0		=			
ANR	146	Identifier	i		2	0					
ANR	147	PrimaryExpression	0		2	1					
ANR	148	Condition	i < 100	48:20:1496:1502	2	1	True				
ANR	149	RelationalExpression	i < 100		2	0		<			
ANR	150	Identifier	i		2	0					
ANR	151	PrimaryExpression	100		2	1					
ANR	152	PostIncDecOperationExpression	i ++	48:29:1505:1507	2	2	True				
ANR	153	Identifier	i		2	0					
ANR	154	IncDec	++		2	1					
ANR	155	CompoundStatement		26:8:866:866	2	3					
ANR	156	ExpressionStatement	data [ i ] = source [ i ]	50:12:1532:1551	2	0	True				
ANR	157	AssignmentExpression	data [ i ] = source [ i ]		2	0		=			
ANR	158	ArrayIndexing	data [ i ]		2	0					
ANR	159	Identifier	data		2	0					
ANR	160	Identifier	i		2	1					
ANR	161	ArrayIndexing	source [ i ]		2	1					
ANR	162	Identifier	source		2	0					
ANR	163	Identifier	i		2	1					
ANR	164	ExpressionStatement	data [ 100 - 1 ] = '\\0'	53:8:1634:1652	2	5	True				
ANR	165	AssignmentExpression	data [ 100 - 1 ] = '\\0'		2	0		=			
ANR	166	ArrayIndexing	data [ 100 - 1 ]		2	0					
ANR	167	Identifier	data		2	0					
ANR	168	AdditiveExpression	100 - 1		2	1		-			
ANR	169	PrimaryExpression	100		2	0					
ANR	170	PrimaryExpression	1		2	1					
ANR	171	PrimaryExpression	'\\0'		2	1					
ANR	172	ExpressionStatement	printLine ( data )	54:8:1662:1677	2	6	True				
ANR	173	CallExpression	printLine ( data )		2	0					
ANR	174	Callee	printLine		2	0					
ANR	175	Identifier	printLine		2	0					
ANR	176	ArgumentList	data		2	1					
ANR	177	Argument	data		2	0					
ANR	178	Identifier	data		2	0					
ANR	179	ReturnType	void		2	1					
ANR	180	Identifier	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad		2	2					
ANR	181	ParameterList			2	3					
ANR	182	CFGEntryNode	ENTRY		2		True				
ANR	183	CFGExitNode	EXIT		2		True				
ANR	184	Symbol	malloc		2						
ANR	185	Symbol	NULL		2						
ANR	186	Symbol	data		2						
ANR	187	Symbol	dataBuffer		2						
ANR	188	Symbol	i		2						
ANR	189	Symbol	source		2						
ANR	190	Symbol	dwk_flow_value_1		2						
ANR	191	Symbol	dwk_flow_value_2		2						
ANR	192	Symbol	* i		2						
ANR	193	Symbol	* source		2						
ANR	194	Symbol	globalFive		2						
ANR	195	Symbol	* data		2						
ANR	196	Symbol	* dataBuffer		2						
ANR	197	Function	goodG2B1	65:0:1966:3120							
ANR	198	FunctionDef	goodG2B1 ()		197	0					
ANR	199	CompoundStatement		66:0:1989:3120	197	0					
ANR	200	IdentifierDeclStatement	char * data ;	67:4:1995:2006	197	0	True				
ANR	201	IdentifierDecl	* data		197	0					
ANR	202	IdentifierDeclType	char *		197	0					
ANR	203	Identifier	data		197	1					
ANR	204	ExpressionStatement	data = NULL	68:4:2012:2023	197	1	True				
ANR	205	AssignmentExpression	data = NULL		197	0		=			
ANR	206	Identifier	data		197	0					
ANR	207	Identifier	NULL		197	1					
ANR	208	IfStatement	if ( globalFive != 5 )		197	2					
ANR	209	Condition	globalFive != 5	69:7:2032:2044	197	0	True				
ANR	210	EqualityExpression	globalFive != 5		197	0		!=			
ANR	211	Identifier	globalFive		197	0					
ANR	212	PrimaryExpression	5		197	1					
ANR	213	CompoundStatement		5:4:61:61	197	1					
ANR	214	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	72:8:2136:2169	197	0	True				
ANR	215	CallExpression	"printLine ( ""Benign, fixed string"" )"		197	0					
ANR	216	Callee	printLine		197	0					
ANR	217	Identifier	printLine		197	0					
ANR	218	ArgumentList	"""Benign, fixed string"""		197	1					
ANR	219	Argument	"""Benign, fixed string"""		197	0					
ANR	220	PrimaryExpression	"""Benign, fixed string"""		197	0					
ANR	221	ElseStatement	else		197	0					
ANR	222	CompoundStatement		10:4:200:200	197	0					
ANR	223	CompoundStatement		12:12:224:276	197	0					
ANR	224	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	77:12:2214:2266	197	0	True				
ANR	225	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		197	0					
ANR	226	IdentifierDeclType	char *		197	0					
ANR	227	Identifier	dataBuffer		197	1					
ANR	228	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		197	2		=			
ANR	229	Identifier	dataBuffer		197	0					
ANR	230	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		197	1					
ANR	231	CastTarget	char *		197	0					
ANR	232	CallExpression	malloc ( 100 * sizeof ( char ) )		197	1					
ANR	233	Callee	malloc		197	0					
ANR	234	Identifier	malloc		197	0					
ANR	235	ArgumentList	100 * sizeof ( char )		197	1					
ANR	236	Argument	100 * sizeof ( char )		197	0					
ANR	237	MultiplicativeExpression	100 * sizeof ( char )		197	0		*			
ANR	238	PrimaryExpression	100		197	0					
ANR	239	SizeofExpression	sizeof ( char )		197	1					
ANR	240	Sizeof	sizeof		197	0					
ANR	241	SizeofOperand	char		197	1					
