command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/03_vulnerable_30__sink_bound_guard__c2.c								
ANR	2	Function	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad	23:0:594:1738							
ANR	3	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad ()		2	0					
ANR	4	CompoundStatement		24:0:651:1738	2	0					
ANR	5	IdentifierDeclStatement	char * data ;	25:4:657:668	2	0	True				
ANR	6	IdentifierDecl	* data		2	0					
ANR	7	IdentifierDeclType	char *		2	0					
ANR	8	Identifier	data		2	1					
ANR	9	ExpressionStatement	data = NULL	26:4:674:685	2	1	True				
ANR	10	AssignmentExpression	data = NULL		2	0		=			
ANR	11	Identifier	data		2	0					
ANR	12	Identifier	NULL		2	1					
ANR	13	IfStatement	if ( globalFive == 5 )		2	2					
ANR	14	Condition	globalFive == 5	27:7:694:706	2	0	True				
ANR	15	EqualityExpression	globalFive == 5		2	0		==			
ANR	16	Identifier	globalFive		2	0					
ANR	17	PrimaryExpression	5		2	1					
ANR	18	CompoundStatement		5:4:61:61	2	1					
ANR	19	CompoundStatement		7:12:85:137	2	0					
ANR	20	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	30:12:737:789	2	0	True				
ANR	21	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	0					
ANR	22	IdentifierDeclType	char *		2	0					
ANR	23	Identifier	dataBuffer		2	1					
ANR	24	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	2		=			
ANR	25	Identifier	dataBuffer		2	0					
ANR	26	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		2	1					
ANR	27	CastTarget	char *		2	0					
ANR	28	CallExpression	malloc ( 100 * sizeof ( char ) )		2	1					
ANR	29	Callee	malloc		2	0					
ANR	30	Identifier	malloc		2	0					
ANR	31	ArgumentList	100 * sizeof ( char )		2	1					
ANR	32	Argument	100 * sizeof ( char )		2	0					
ANR	33	MultiplicativeExpression	100 * sizeof ( char )		2	0		*			
ANR	34	PrimaryExpression	100		2	0					
ANR	35	SizeofExpression	sizeof ( char )		2	1					
ANR	36	Sizeof	sizeof		2	0					
ANR	37	SizeofOperand	char		2	1					
ANR	38	IfStatement	if ( dataBuffer == NULL )		2	1					
ANR	39	Condition	dataBuffer == NULL	31:16:807:824	2	0	True				
ANR	40	EqualityExpression	dataBuffer == NULL		2	0		==			
ANR	41	Identifier	dataBuffer		2	0					
ANR	42	Identifier	NULL		2	1					
ANR	43	CompoundStatement		8:36:175:175	2	1					
ANR	44	ExpressionStatement	exit ( - 1 )	31:37:828:836	2	0	True				
ANR	45	CallExpression	exit ( - 1 )		2	0					
ANR	46	Callee	exit		2	0					
ANR	47	Identifier	exit		2	0					
ANR	48	ArgumentList	- 1		2	1					
ANR	49	Argument	- 1		2	0					
ANR	50	UnaryOperationExpression	- 1		2	0					
ANR	51	UnaryOperator	-		2	0					
ANR	52	PrimaryExpression	1		2	1					
ANR	53	IfStatement	if ( ( size_t ) ( 100 - 1 ) > 4096U )		2	2					
ANR	54	Condition	( size_t ) ( 100 - 1 ) > 4096U	32:16:855:877	2	0	True				
ANR	55	RelationalExpression	( size_t ) ( 100 - 1 ) > 4096U		2	0		>			
ANR	56	CastExpression	( size_t ) ( 100 - 1 )		2	0					
ANR	57	CastTarget	size_t		2	0					
ANR	58	AdditiveExpression	100 - 1		2	1		-			
ANR	59	PrimaryExpression	100		2	0					
ANR	60	PrimaryExpression	1		2	1					
ANR	61	PrimaryExpression	4096U		2	1					
ANR	62	CompoundStatement		9:41:228:228	2	1					
ANR	63	ReturnStatement	return 0 ;	33:16:898:906	2	0	True				
ANR	64	PrimaryExpression	0		2	0					
ANR	65	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	35:12:934:964	2	3	True				
ANR	66	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		2	0					
ANR	67	Callee	memset		2	0					
ANR	68	Identifier	memset		2	0					
ANR	69	ArgumentList	dataBuffer		2	1					
ANR	70	Argument	dataBuffer		2	0					
ANR	71	Identifier	dataBuffer		2	0					
ANR	72	Argument	'A'		2	1					
ANR	73	PrimaryExpression	'A'		2	0					
ANR	74	Argument	100 - 1		2	2					
ANR	75	AdditiveExpression	100 - 1		2	0		-			
ANR	76	PrimaryExpression	100		2	0					
ANR	77	PrimaryExpression	1		2	1					
ANR	78	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	36:12:978:1002	2	4	True				
ANR	79	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		2	0		=			
ANR	80	ArrayIndexing	dataBuffer [ 100 - 1 ]		2	0					
ANR	81	Identifier	dataBuffer		2	0					
ANR	82	AdditiveExpression	100 - 1		2	1		-			
ANR	83	PrimaryExpression	100		2	0					
ANR	84	PrimaryExpression	1		2	1					
ANR	85	PrimaryExpression	'\\0'		2	1					
ANR	86	ExpressionStatement	data = dataBuffer - 8	38:12:1095:1116	2	5	True				
ANR	87	AssignmentExpression	data = dataBuffer - 8		2	0		=			
ANR	88	Identifier	data		2	0					
ANR	89	AdditiveExpression	dataBuffer - 8		2	1		-			
ANR	90	Identifier	dataBuffer		2	0					
ANR	91	PrimaryExpression	8		2	1					
ANR	92	CompoundStatement		20:8:514:530	2	3					
ANR	93	IdentifierDeclStatement	size_t i ;	42:8:1148:1156	2	0	True				
ANR	94	IdentifierDecl	i		2	0					
ANR	95	IdentifierDeclType	size_t		2	0					
ANR	96	Identifier	i		2	1					
ANR	97	IdentifierDeclStatement	char source [ 100 ] ;	43:8:1166:1182	2	1	True				
ANR	98	IdentifierDecl	source [ 100 ]		2	0					
ANR	99	IdentifierDeclType	char [ 100 ]		2	0					
ANR	100	Identifier	source		2	1					
ANR	101	PrimaryExpression	100		2	2					
ANR	102	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	44:8:1192:1218	2	2	True				
ANR	103	CallExpression	"memset ( source , 'C' , 100 - 1 )"		2	0					
ANR	104	Callee	memset		2	0					
ANR	105	Identifier	memset		2	0					
ANR	106	ArgumentList	source		2	1					
ANR	107	Argument	source		2	0					
ANR	108	Identifier	source		2	0					
ANR	109	Argument	'C'		2	1					
ANR	110	PrimaryExpression	'C'		2	0					
ANR	111	Argument	100 - 1		2	2					
ANR	112	AdditiveExpression	100 - 1		2	0		-			
ANR	113	PrimaryExpression	100		2	0					
ANR	114	PrimaryExpression	1		2	1					
ANR	115	ExpressionStatement	source [ 100 - 1 ] = '\\0'	45:8:1249:1269	2	3	True				
ANR	116	AssignmentExpression	source [ 100 - 1 ] = '\\0'		2	0		=			
ANR	117	ArrayIndexing	source [ 100 - 1 ]		2	0					
ANR	118	Identifier	source		2	0					
ANR	119	AdditiveExpression	100 - 1		2	1		-			
ANR	120	PrimaryExpression	100		2	0					
ANR	121	PrimaryExpression	1		2	1					
ANR	122	PrimaryExpression	'\\0'		2	1					
ANR	123	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		2	4					
ANR	124	ForInit	i = 0 ;	47:13:1397:1402	2	0	True				
ANR	125	AssignmentExpression	i = 0		2	0		=			
ANR	126	Identifier	i		2	0					
ANR	127	PrimaryExpression	0		2	1					
ANR	128	Condition	i < 100	47:20:1404:1410	2	1	True				
ANR	129	RelationalExpression	i < 100		2	0		<			
ANR	130	Identifier	i		2	0					
ANR	131	PrimaryExpression	100		2	1					
ANR	132	PostIncDecOperationExpression	i ++	47:29:1413:1415	2	2	True				
ANR	133	Identifier	i		2	0					
ANR	134	IncDec	++		2	1					
ANR	135	CompoundStatement		25:8:774:774	2	3					
ANR	136	ExpressionStatement	data [ i ] = source [ i ]	49:12:1440:1459	2	0	True				
ANR	137	AssignmentExpression	data [ i ] = source [ i ]		2	0		=			
ANR	138	ArrayIndexing	data [ i ]		2	0					
ANR	139	Identifier	data		2	0					
ANR	140	Identifier	i		2	1					
ANR	141	ArrayIndexing	source [ i ]		2	1					
ANR	142	Identifier	source		2	0					
ANR	143	Identifier	i		2	1					
ANR	144	ExpressionStatement	data [ 100 - 1 ] = '\\0'	52:8:1542:1560	2	5	True				
ANR	145	AssignmentExpression	data [ 100 - 1 ] = '\\0'		2	0		=			
ANR	146	ArrayIndexing	data [ 100 - 1 ]		2	0					
ANR	147	Identifier	data		2	0					
ANR	148	AdditiveExpression	100 - 1		2	1		-			
ANR	149	PrimaryExpression	100		2	0					
ANR	150	PrimaryExpression	1		2	1					
ANR	151	PrimaryExpression	'\\0'		2	1					
