start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
13	14	IS_AST_PARENT	
21	22	IS_AST_PARENT	
20	21	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	27	IS_AST_PARENT	
28	29	IS_AST_PARENT	
28	30	IS_AST_PARENT	
25	28	IS_AST_PARENT	
24	25	IS_AST_PARENT	
23	24	IS_AST_PARENT	
32	33	IS_AST_PARENT	
32	34	IS_AST_PARENT	
31	32	IS_AST_PARENT	
23	31	IS_AST_PARENT	
20	23	IS_AST_PARENT	
19	20	IS_AST_PARENT	
36	37	IS_AST_PARENT	
36	38	IS_AST_PARENT	
39	40	IS_AST_PARENT	
41	42	IS_AST_PARENT	
44	45	IS_AST_PARENT	
43	44	IS_AST_PARENT	
48	49	IS_AST_PARENT	
50	51	IS_AST_PARENT	
50	52	IS_AST_PARENT	
48	50	IS_AST_PARENT	
47	48	IS_AST_PARENT	
46	47	IS_AST_PARENT	
43	46	IS_AST_PARENT	
41	43	IS_AST_PARENT	
39	41	IS_AST_PARENT	
36	39	IS_AST_PARENT	
35	36	IS_AST_PARENT	
19	35	IS_AST_PARENT	
55	56	IS_AST_PARENT	
55	57	IS_AST_PARENT	
54	55	IS_AST_PARENT	
53	54	IS_AST_PARENT	
61	62	IS_AST_PARENT	
60	61	IS_AST_PARENT	
65	66	IS_AST_PARENT	
65	67	IS_AST_PARENT	
64	65	IS_AST_PARENT	
63	64	IS_AST_PARENT	
60	63	IS_AST_PARENT	
59	60	IS_AST_PARENT	
58	59	IS_AST_PARENT	
53	58	IS_AST_PARENT	
19	53	IS_AST_PARENT	
69	70	IS_AST_PARENT	
68	69	IS_AST_PARENT	
73	74	IS_AST_PARENT	
73	75	IS_AST_PARENT	
76	77	IS_AST_PARENT	
76	78	IS_AST_PARENT	
73	76	IS_AST_PARENT	
72	73	IS_AST_PARENT	
71	72	IS_AST_PARENT	
80	81	IS_AST_PARENT	
80	82	IS_AST_PARENT	
79	80	IS_AST_PARENT	
71	79	IS_AST_PARENT	
68	71	IS_AST_PARENT	
19	68	IS_AST_PARENT	
85	86	IS_AST_PARENT	
84	85	IS_AST_PARENT	
88	89	IS_AST_PARENT	
87	88	IS_AST_PARENT	
90	91	IS_AST_PARENT	
87	90	IS_AST_PARENT	
93	94	IS_AST_PARENT	
93	95	IS_AST_PARENT	
92	93	IS_AST_PARENT	
87	92	IS_AST_PARENT	
84	87	IS_AST_PARENT	
83	84	IS_AST_PARENT	
19	83	IS_AST_PARENT	
98	99	IS_AST_PARENT	
100	101	IS_AST_PARENT	
100	102	IS_AST_PARENT	
98	100	IS_AST_PARENT	
97	98	IS_AST_PARENT	
97	103	IS_AST_PARENT	
96	97	IS_AST_PARENT	
19	96	IS_AST_PARENT	
105	106	IS_AST_PARENT	
107	108	IS_AST_PARENT	
107	109	IS_AST_PARENT	
105	107	IS_AST_PARENT	
104	105	IS_AST_PARENT	
19	104	IS_AST_PARENT	
18	19	IS_AST_PARENT	
13	18	IS_AST_PARENT	
4	13	IS_AST_PARENT	
112	113	IS_AST_PARENT	
112	114	IS_AST_PARENT	
111	112	IS_AST_PARENT	
110	111	IS_AST_PARENT	
116	117	IS_AST_PARENT	
116	118	IS_AST_PARENT	
116	119	IS_AST_PARENT	
115	116	IS_AST_PARENT	
110	115	IS_AST_PARENT	
122	123	IS_AST_PARENT	
121	122	IS_AST_PARENT	
125	126	IS_AST_PARENT	
124	125	IS_AST_PARENT	
127	128	IS_AST_PARENT	
124	127	IS_AST_PARENT	
130	131	IS_AST_PARENT	
130	132	IS_AST_PARENT	
129	130	IS_AST_PARENT	
124	129	IS_AST_PARENT	
121	124	IS_AST_PARENT	
120	121	IS_AST_PARENT	
110	120	IS_AST_PARENT	
135	136	IS_AST_PARENT	
137	138	IS_AST_PARENT	
137	139	IS_AST_PARENT	
135	137	IS_AST_PARENT	
134	135	IS_AST_PARENT	
134	140	IS_AST_PARENT	
133	134	IS_AST_PARENT	
110	133	IS_AST_PARENT	
143	144	IS_AST_PARENT	
143	145	IS_AST_PARENT	
142	143	IS_AST_PARENT	
141	142	IS_AST_PARENT	
147	148	IS_AST_PARENT	
147	149	IS_AST_PARENT	
146	147	IS_AST_PARENT	
141	146	IS_AST_PARENT	
150	151	IS_AST_PARENT	
150	152	IS_AST_PARENT	
141	150	IS_AST_PARENT	
156	157	IS_AST_PARENT	
156	158	IS_AST_PARENT	
155	156	IS_AST_PARENT	
159	160	IS_AST_PARENT	
159	161	IS_AST_PARENT	
155	159	IS_AST_PARENT	
154	155	IS_AST_PARENT	
153	154	IS_AST_PARENT	
141	153	IS_AST_PARENT	
110	141	IS_AST_PARENT	
164	165	IS_AST_PARENT	
166	167	IS_AST_PARENT	
166	168	IS_AST_PARENT	
164	166	IS_AST_PARENT	
163	164	IS_AST_PARENT	
163	169	IS_AST_PARENT	
162	163	IS_AST_PARENT	
110	162	IS_AST_PARENT	
172	173	IS_AST_PARENT	
171	172	IS_AST_PARENT	
175	176	IS_AST_PARENT	
174	175	IS_AST_PARENT	
171	174	IS_AST_PARENT	
170	171	IS_AST_PARENT	
110	170	IS_AST_PARENT	
4	110	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	177	IS_AST_PARENT	
3	178	IS_AST_PARENT	
3	179	IS_AST_PARENT	
180	5	FLOWS_TO	
5	9	FLOWS_TO	
9	14	FLOWS_TO	
14	21	FLOWS_TO	
14	111	FLOWS_TO	
21	24	FLOWS_TO	
21	35	FLOWS_TO	
24	31	FLOWS_TO	
31	35	FLOWS_TO	
35	54	FLOWS_TO	
54	59	FLOWS_TO	
54	69	FLOWS_TO	
59	69	FLOWS_TO	
69	72	FLOWS_TO	
69	83	FLOWS_TO	
72	79	FLOWS_TO	
79	83	FLOWS_TO	
83	96	FLOWS_TO	
96	104	FLOWS_TO	
104	111	FLOWS_TO	
111	115	FLOWS_TO	
115	120	FLOWS_TO	
120	133	FLOWS_TO	
133	142	FLOWS_TO	
146	154	FLOWS_TO	
146	162	FLOWS_TO	
142	146	FLOWS_TO	
150	146	FLOWS_TO	
154	150	FLOWS_TO	
162	170	FLOWS_TO	
170	181	FLOWS_TO	
35	182	USE	
39	182	USE	
9	183	USE	
10	183	USE	
54	183	USE	
5	184	DEF	
6	184	DEF	
9	184	DEF	
10	184	DEF	
104	184	DEF	
105	184	DEF	
154	184	USE	
156	184	USE	
162	184	USE	
164	184	USE	
170	184	USE	
175	184	USE	
24	185	DEF	
25	185	DEF	
28	185	DEF	
31	185	DEF	
32	185	DEF	
31	185	USE	
32	185	USE	
35	186	DEF	
39	186	DEF	
36	186	DEF	
54	186	USE	
83	186	USE	
88	186	USE	
96	186	USE	
98	186	USE	
104	186	USE	
105	186	USE	
72	187	DEF	
76	187	DEF	
73	187	DEF	
79	187	DEF	
80	187	DEF	
79	187	USE	
80	187	USE	
111	188	DEF	
112	188	DEF	
146	188	USE	
142	188	DEF	
143	188	DEF	
150	188	DEF	
150	188	USE	
154	188	USE	
159	188	USE	
156	188	USE	
115	189	DEF	
116	189	DEF	
120	189	USE	
125	189	USE	
133	189	USE	
135	189	USE	
154	189	USE	
159	189	USE	
154	190	DEF	
155	190	DEF	
154	190	USE	
155	190	USE	
133	191	DEF	
134	191	DEF	
154	191	USE	
155	191	USE	
14	192	USE	
154	193	DEF	
155	193	DEF	
162	193	DEF	
163	193	DEF	
96	194	DEF	
97	194	DEF	
104	154	REACHES	data
9	154	REACHES	data
104	162	REACHES	data
9	162	REACHES	data
104	170	REACHES	data
9	170	REACHES	data
115	120	REACHES	source
115	133	REACHES	source
115	154	REACHES	source
133	154	REACHES	* source
24	31	REACHES	dwk_xfg_guard_1
142	146	REACHES	i
35	54	REACHES	dataBuffer
72	79	REACHES	dwk_xfg_guard_2
35	83	REACHES	dataBuffer
35	96	REACHES	dataBuffer
35	104	REACHES	dataBuffer
150	146	REACHES	i
150	150	REACHES	i
142	150	REACHES	i
150	154	REACHES	i
142	154	REACHES	i
154	154	REACHES	* i
180	5	CONTROLS	
180	9	CONTROLS	
180	14	CONTROLS	
180	111	CONTROLS	
180	115	CONTROLS	
180	120	CONTROLS	
180	133	CONTROLS	
180	142	CONTROLS	
180	146	CONTROLS	
180	162	CONTROLS	
180	170	CONTROLS	
14	21	CONTROLS	
14	35	CONTROLS	
14	54	CONTROLS	
14	69	CONTROLS	
14	83	CONTROLS	
14	96	CONTROLS	
14	104	CONTROLS	
21	24	CONTROLS	
21	31	CONTROLS	
54	59	CONTROLS	
69	72	CONTROLS	
69	79	CONTROLS	
146	154	CONTROLS	
146	150	CONTROLS	
83	96	DOM	
96	104	DOM	
146	154	DOM	
111	115	DOM	
133	142	DOM	
14	21	DOM	
9	14	DOM	
24	31	DOM	
180	180	DOM	
21	24	DOM	
69	72	DOM	
21	35	DOM	
162	170	DOM	
14	111	DOM	
142	146	DOM	
72	79	DOM	
170	181	DOM	
35	54	DOM	
54	59	DOM	
69	83	DOM	
115	120	DOM	
146	162	DOM	
180	5	DOM	
154	150	DOM	
120	133	DOM	
5	9	DOM	
54	69	DOM	
111	104	POST_DOM	
104	96	POST_DOM	
150	154	POST_DOM	
120	115	POST_DOM	
146	142	POST_DOM	
35	21	POST_DOM	
111	14	POST_DOM	
35	31	POST_DOM	
5	180	POST_DOM	
31	24	POST_DOM	
79	72	POST_DOM	
54	35	POST_DOM	
181	170	POST_DOM	
115	111	POST_DOM	
162	146	POST_DOM	
83	79	POST_DOM	
181	181	POST_DOM	
69	54	POST_DOM	
69	59	POST_DOM	
133	120	POST_DOM	
96	83	POST_DOM	
170	162	POST_DOM	
9	5	POST_DOM	
146	150	POST_DOM	
142	133	POST_DOM	
14	9	POST_DOM	
83	69	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	180	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
199	200	IS_AST_PARENT	
199	201	IS_AST_PARENT	
198	199	IS_AST_PARENT	
197	198	IS_AST_PARENT	
203	204	IS_AST_PARENT	
203	205	IS_AST_PARENT	
202	203	IS_AST_PARENT	
197	202	IS_AST_PARENT	
208	209	IS_AST_PARENT	
208	210	IS_AST_PARENT	
207	208	IS_AST_PARENT	
206	207	IS_AST_PARENT	
214	215	IS_AST_PARENT	
213	214	IS_AST_PARENT	
217	218	IS_AST_PARENT	
216	217	IS_AST_PARENT	
213	216	IS_AST_PARENT	
212	213	IS_AST_PARENT	
211	212	IS_AST_PARENT	
206	211	IS_AST_PARENT	
223	224	IS_AST_PARENT	
223	225	IS_AST_PARENT	
226	227	IS_AST_PARENT	
228	229	IS_AST_PARENT	
231	232	IS_AST_PARENT	
230	231	IS_AST_PARENT	
235	236	IS_AST_PARENT	
237	238	IS_AST_PARENT	
237	239	IS_AST_PARENT	
235	237	IS_AST_PARENT	
234	235	IS_AST_PARENT	
233	234	IS_AST_PARENT	
230	233	IS_AST_PARENT	
228	230	IS_AST_PARENT	
226	228	IS_AST_PARENT	
223	226	IS_AST_PARENT	
222	223	IS_AST_PARENT	
221	222	IS_AST_PARENT	
242	243	IS_AST_PARENT	
242	244	IS_AST_PARENT	
241	242	IS_AST_PARENT	
240	241	IS_AST_PARENT	
248	249	IS_AST_PARENT	
247	248	IS_AST_PARENT	
252	253	IS_AST_PARENT	
252	254	IS_AST_PARENT	
251	252	IS_AST_PARENT	
250	251	IS_AST_PARENT	
247	250	IS_AST_PARENT	
246	247	IS_AST_PARENT	
245	246	IS_AST_PARENT	
240	245	IS_AST_PARENT	
221	240	IS_AST_PARENT	
257	258	IS_AST_PARENT	
256	257	IS_AST_PARENT	
260	261	IS_AST_PARENT	
259	260	IS_AST_PARENT	
262	263	IS_AST_PARENT	
259	262	IS_AST_PARENT	
265	266	IS_AST_PARENT	
265	267	IS_AST_PARENT	
264	265	IS_AST_PARENT	
259	264	IS_AST_PARENT	
256	259	IS_AST_PARENT	
255	256	IS_AST_PARENT	
221	255	IS_AST_PARENT	
270	271	IS_AST_PARENT	
272	273	IS_AST_PARENT	
272	274	IS_AST_PARENT	
270	272	IS_AST_PARENT	
269	270	IS_AST_PARENT	
269	275	IS_AST_PARENT	
268	269	IS_AST_PARENT	
221	268	IS_AST_PARENT	
277	278	IS_AST_PARENT	
277	279	IS_AST_PARENT	
276	277	IS_AST_PARENT	
221	276	IS_AST_PARENT	
220	221	IS_AST_PARENT	
219	220	IS_AST_PARENT	
206	219	IS_AST_PARENT	
197	206	IS_AST_PARENT	
282	283	IS_AST_PARENT	
282	284	IS_AST_PARENT	
281	282	IS_AST_PARENT	
280	281	IS_AST_PARENT	
286	287	IS_AST_PARENT	
286	288	IS_AST_PARENT	
286	289	IS_AST_PARENT	
285	286	IS_AST_PARENT	
280	285	IS_AST_PARENT	
292	293	IS_AST_PARENT	
291	292	IS_AST_PARENT	
295	296	IS_AST_PARENT	
294	295	IS_AST_PARENT	
297	298	IS_AST_PARENT	
294	297	IS_AST_PARENT	
300	301	IS_AST_PARENT	
300	302	IS_AST_PARENT	
299	300	IS_AST_PARENT	
294	299	IS_AST_PARENT	
291	294	IS_AST_PARENT	
290	291	IS_AST_PARENT	
280	290	IS_AST_PARENT	
305	306	IS_AST_PARENT	
307	308	IS_AST_PARENT	
307	309	IS_AST_PARENT	
305	307	IS_AST_PARENT	
304	305	IS_AST_PARENT	
304	310	IS_AST_PARENT	
303	304	IS_AST_PARENT	
280	303	IS_AST_PARENT	
313	314	IS_AST_PARENT	
313	315	IS_AST_PARENT	
312	313	IS_AST_PARENT	
311	312	IS_AST_PARENT	
317	318	IS_AST_PARENT	
317	319	IS_AST_PARENT	
316	317	IS_AST_PARENT	
311	316	IS_AST_PARENT	
320	321	IS_AST_PARENT	
320	322	IS_AST_PARENT	
311	320	IS_AST_PARENT	
326	327	IS_AST_PARENT	
326	328	IS_AST_PARENT	
325	326	IS_AST_PARENT	
329	330	IS_AST_PARENT	
329	331	IS_AST_PARENT	
325	329	IS_AST_PARENT	
324	325	IS_AST_PARENT	
323	324	IS_AST_PARENT	
311	323	IS_AST_PARENT	
280	311	IS_AST_PARENT	
334	335	IS_AST_PARENT	
336	337	IS_AST_PARENT	
336	338	IS_AST_PARENT	
334	336	IS_AST_PARENT	
333	334	IS_AST_PARENT	
333	339	IS_AST_PARENT	
332	333	IS_AST_PARENT	
280	332	IS_AST_PARENT	
342	343	IS_AST_PARENT	
341	342	IS_AST_PARENT	
345	346	IS_AST_PARENT	
344	345	IS_AST_PARENT	
341	344	IS_AST_PARENT	
340	341	IS_AST_PARENT	
280	340	IS_AST_PARENT	
197	280	IS_AST_PARENT	
196	197	IS_AST_PARENT	
196	347	IS_AST_PARENT	
196	348	IS_AST_PARENT	
196	349	IS_AST_PARENT	
350	198	FLOWS_TO	
198	202	FLOWS_TO	
202	207	FLOWS_TO	
207	212	FLOWS_TO	
207	222	FLOWS_TO	
212	281	FLOWS_TO	
222	241	FLOWS_TO	
241	246	FLOWS_TO	
241	255	FLOWS_TO	
246	255	FLOWS_TO	
255	268	FLOWS_TO	
268	276	FLOWS_TO	
276	281	FLOWS_TO	
281	285	FLOWS_TO	
285	290	FLOWS_TO	
290	303	FLOWS_TO	
303	312	FLOWS_TO	
316	324	FLOWS_TO	
316	332	FLOWS_TO	
312	316	FLOWS_TO	
320	316	FLOWS_TO	
324	320	FLOWS_TO	
332	340	FLOWS_TO	
340	351	FLOWS_TO	
222	352	USE	
226	352	USE	
202	353	USE	
203	353	USE	
241	353	USE	
324	354	DEF	
325	354	DEF	
324	354	USE	
325	354	USE	
198	355	DEF	
199	355	DEF	
202	355	DEF	
203	355	DEF	
276	355	DEF	
277	355	DEF	
324	355	USE	
326	355	USE	
332	355	USE	
334	355	USE	
340	355	USE	
345	355	USE	
303	356	DEF	
304	356	DEF	
324	356	USE	
325	356	USE	
222	357	DEF	
226	357	DEF	
223	357	DEF	
241	357	USE	
255	357	USE	
260	357	USE	
268	357	USE	
270	357	USE	
276	357	USE	
277	357	USE	
281	358	DEF	
282	358	DEF	
316	358	USE	
312	358	DEF	
313	358	DEF	
320	358	DEF	
320	358	USE	
324	358	USE	
326	358	USE	
329	358	USE	
285	359	DEF	
