start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
12	13	IS_AST_PARENT	
18	19	IS_AST_PARENT	
17	18	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
21	22	IS_AST_PARENT	
20	21	IS_AST_PARENT	
17	20	IS_AST_PARENT	
16	17	IS_AST_PARENT	
16	25	IS_AST_PARENT	
12	16	IS_AST_PARENT	
11	12	IS_AST_PARENT	
10	11	IS_AST_PARENT	
27	28	IS_AST_PARENT	
26	27	IS_AST_PARENT	
10	26	IS_AST_PARENT	
4	10	IS_AST_PARENT	
33	34	IS_AST_PARENT	
36	37	IS_AST_PARENT	
35	36	IS_AST_PARENT	
40	41	IS_AST_PARENT	
40	42	IS_AST_PARENT	
39	40	IS_AST_PARENT	
38	39	IS_AST_PARENT	
35	38	IS_AST_PARENT	
33	35	IS_AST_PARENT	
32	33	IS_AST_PARENT	
32	43	IS_AST_PARENT	
31	32	IS_AST_PARENT	
45	46	IS_AST_PARENT	
48	49	IS_AST_PARENT	
47	48	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
51	52	IS_AST_PARENT	
50	51	IS_AST_PARENT	
47	50	IS_AST_PARENT	
45	47	IS_AST_PARENT	
44	45	IS_AST_PARENT	
56	57	IS_AST_PARENT	
56	58	IS_AST_PARENT	
55	56	IS_AST_PARENT	
59	60	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
59	61	IS_AST_PARENT	
55	59	IS_AST_PARENT	
44	55	IS_AST_PARENT	
31	44	IS_AST_PARENT	
30	31	IS_AST_PARENT	
29	30	IS_AST_PARENT	
67	68	IS_AST_PARENT	
70	71	IS_AST_PARENT	
69	70	IS_AST_PARENT	
74	75	IS_AST_PARENT	
74	76	IS_AST_PARENT	
73	74	IS_AST_PARENT	
72	73	IS_AST_PARENT	
69	72	IS_AST_PARENT	
67	69	IS_AST_PARENT	
66	67	IS_AST_PARENT	
66	77	IS_AST_PARENT	
65	66	IS_AST_PARENT	
64	65	IS_AST_PARENT	
29	64	IS_AST_PARENT	
4	29	IS_AST_PARENT	
78	79	IS_AST_PARENT	
4	78	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	80	IS_AST_PARENT	
3	81	IS_AST_PARENT	
83	84	IS_AST_PARENT	
83	85	IS_AST_PARENT	
82	83	IS_AST_PARENT	
86	87	IS_AST_PARENT	
86	88	IS_AST_PARENT	
82	86	IS_AST_PARENT	
3	82	IS_AST_PARENT	
89	83	FLOWS_TO	
83	86	FLOWS_TO	
86	5	FLOWS_TO	
5	11	FLOWS_TO	
11	27	FLOWS_TO	
11	30	FLOWS_TO	
27	90	FLOWS_TO	
30	65	FLOWS_TO	
30	78	FLOWS_TO	
65	78	FLOWS_TO	
78	90	FLOWS_TO	
83	91	DEF	
11	91	USE	
11	92	USE	
30	92	USE	
65	92	USE	
67	92	USE	
5	93	DEF	
6	93	DEF	
30	93	USE	
61	93	USE	
65	93	USE	
67	93	USE	
30	94	USE	
65	94	DEF	
66	94	DEF	
11	95	USE	
21	95	USE	
30	95	USE	
51	95	USE	
39	95	USE	
65	95	USE	
73	95	USE	
86	96	DEF	
11	96	USE	
22	96	USE	
30	96	USE	
52	96	USE	
40	96	USE	
65	96	USE	
74	96	USE	
65	97	DEF	
66	97	DEF	
83	11	REACHES	argc
5	30	REACHES	buf
5	65	REACHES	buf
86	11	REACHES	argv
86	30	REACHES	argv
86	65	REACHES	argv
89	83	CONTROLS	
89	86	CONTROLS	
89	5	CONTROLS	
89	11	CONTROLS	
11	27	CONTROLS	
11	30	CONTROLS	
11	78	CONTROLS	
30	65	CONTROLS	
11	27	DOM	
86	5	DOM	
5	11	DOM	
11	90	DOM	
83	86	DOM	
11	30	DOM	
89	83	DOM	
89	89	DOM	
30	78	DOM	
30	65	DOM	
90	27	POST_DOM	
11	5	POST_DOM	
90	90	POST_DOM	
90	11	POST_DOM	
5	86	POST_DOM	
78	30	POST_DOM	
86	83	POST_DOM	
83	89	POST_DOM	
90	78	POST_DOM	
78	65	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	89	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
