start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
12	13	IS_AST_PARENT	
18	19	IS_AST_PARENT	
17	18	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
21	22	IS_AST_PARENT	
20	21	IS_AST_PARENT	
17	20	IS_AST_PARENT	
16	17	IS_AST_PARENT	
16	25	IS_AST_PARENT	
12	16	IS_AST_PARENT	
11	12	IS_AST_PARENT	
10	11	IS_AST_PARENT	
27	28	IS_AST_PARENT	
26	27	IS_AST_PARENT	
10	26	IS_AST_PARENT	
4	10	IS_AST_PARENT	
30	31	IS_AST_PARENT	
30	32	IS_AST_PARENT	
33	34	IS_AST_PARENT	
35	36	IS_AST_PARENT	
37	38	IS_AST_PARENT	
37	39	IS_AST_PARENT	
35	37	IS_AST_PARENT	
33	35	IS_AST_PARENT	
30	33	IS_AST_PARENT	
29	30	IS_AST_PARENT	
4	29	IS_AST_PARENT	
41	42	IS_AST_PARENT	
43	44	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	49	IS_AST_PARENT	
43	45	IS_AST_PARENT	
41	43	IS_AST_PARENT	
40	41	IS_AST_PARENT	
4	40	IS_AST_PARENT	
52	53	IS_AST_PARENT	
55	56	IS_AST_PARENT	
54	55	IS_AST_PARENT	
59	60	IS_AST_PARENT	
59	61	IS_AST_PARENT	
58	59	IS_AST_PARENT	
57	58	IS_AST_PARENT	
54	57	IS_AST_PARENT	
52	54	IS_AST_PARENT	
51	52	IS_AST_PARENT	
51	62	IS_AST_PARENT	
50	51	IS_AST_PARENT	
4	50	IS_AST_PARENT	
63	64	IS_AST_PARENT	
4	63	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	65	IS_AST_PARENT	
3	66	IS_AST_PARENT	
68	69	IS_AST_PARENT	
68	70	IS_AST_PARENT	
67	68	IS_AST_PARENT	
71	72	IS_AST_PARENT	
71	73	IS_AST_PARENT	
67	71	IS_AST_PARENT	
3	67	IS_AST_PARENT	
74	68	FLOWS_TO	
68	71	FLOWS_TO	
71	5	FLOWS_TO	
5	11	FLOWS_TO	
11	27	FLOWS_TO	
11	29	FLOWS_TO	
27	75	FLOWS_TO	
29	40	FLOWS_TO	
40	50	FLOWS_TO	
50	63	FLOWS_TO	
63	75	FLOWS_TO	
68	76	DEF	
11	76	USE	
11	77	USE	
50	77	USE	
52	77	USE	
5	78	DEF	
6	78	DEF	
50	78	USE	
52	78	USE	
50	79	DEF	
51	79	DEF	
11	80	USE	
21	80	USE	
29	80	USE	
33	80	USE	
50	80	USE	
58	80	USE	
29	81	DEF	
30	81	DEF	
33	81	DEF	
40	81	DEF	
41	81	DEF	
40	81	USE	
41	81	USE	
71	82	DEF	
11	82	USE	
22	82	USE	
29	82	USE	
37	82	USE	
50	82	USE	
59	82	USE	
50	83	DEF	
51	83	DEF	
68	11	REACHES	argc
5	50	REACHES	buf
29	40	REACHES	dwk_alias_1
71	11	REACHES	argv
71	29	REACHES	argv
71	50	REACHES	argv
74	68	CONTROLS	
74	71	CONTROLS	
74	5	CONTROLS	
74	11	CONTROLS	
11	27	CONTROLS	
11	29	CONTROLS	
11	40	CONTROLS	
11	50	CONTROLS	
11	63	CONTROLS	
11	27	DOM	
40	50	DOM	
71	5	DOM	
29	40	DOM	
68	71	DOM	
11	29	DOM	
74	74	DOM	
74	68	DOM	
5	11	DOM	
11	75	DOM	
50	63	DOM	
75	27	POST_DOM	
63	50	POST_DOM	
11	5	POST_DOM	
50	40	POST_DOM	
5	71	POST_DOM	
40	29	POST_DOM	
68	74	POST_DOM	
71	68	POST_DOM	
75	75	POST_DOM	
75	11	POST_DOM	
75	63	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	74	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
