command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/04_vulnerable_55__pattern_dead_code__c2.c								
ANR	2	Function	main	51:0:1829:2452							
ANR	3	FunctionDef	"main (int argc , char * argv [ ])"		2	0					
ANR	4	CompoundStatement		52:0:1862:2452	2	0					
ANR	5	IdentifierDeclStatement	char buf [ 10 ] ;	53:2:1866:1878	2	0	True				
ANR	6	IdentifierDecl	buf [ 10 ]		2	0					
ANR	7	IdentifierDeclType	char [ 10 ]		2	0					
ANR	8	Identifier	buf		2	1					
ANR	9	PrimaryExpression	10		2	2					
ANR	10	IfStatement	if ( 0 )		2	1					
ANR	11	Condition	0	55:6:1887:1887	2	0	True				
ANR	12	PrimaryExpression	0		2	0					
ANR	13	CompoundStatement		7:6:97:135	2	1					
ANR	14	IdentifierDeclStatement	char dwk_src_2 [ 8 ] = { 0 } ;	56:6:1898:1921	2	0	True				
ANR	15	IdentifierDecl	dwk_src_2 [ 8 ] = { 0 }		2	0					
ANR	16	IdentifierDeclType	char [ 8 ]		2	0					
ANR	17	Identifier	dwk_src_2		2	1					
ANR	18	PrimaryExpression	8		2	2					
ANR	19	AssignmentExpression	dwk_src_2 [ 8 ] = { 0 }		2	3		=			
ANR	20	Identifier	dwk_src_2		2	0					
ANR	21	InitializerList	0		2	1					
ANR	22	PrimaryExpression	0		2	0					
ANR	23	IdentifierDeclStatement	char dwk_dst_2 [ 8 ] = { 0 } ;	57:6:1929:1952	2	1	True				
ANR	24	IdentifierDecl	dwk_dst_2 [ 8 ] = { 0 }		2	0					
ANR	25	IdentifierDeclType	char [ 8 ]		2	0					
ANR	26	Identifier	dwk_dst_2		2	1					
ANR	27	PrimaryExpression	8		2	2					
ANR	28	AssignmentExpression	dwk_dst_2 [ 8 ] = { 0 }		2	3		=			
ANR	29	Identifier	dwk_dst_2		2	0					
ANR	30	InitializerList	0		2	1					
ANR	31	PrimaryExpression	0		2	0					
ANR	32	IdentifierDeclStatement	int dwk_len_2 = ( int ) sizeof ( dwk_dst_2 ) ;	58:6:1960:1998	2	2	True				
ANR	33	IdentifierDecl	dwk_len_2 = ( int ) sizeof ( dwk_dst_2 )		2	0					
ANR	34	IdentifierDeclType	int		2	0					
ANR	35	Identifier	dwk_len_2		2	1					
ANR	36	AssignmentExpression	dwk_len_2 = ( int ) sizeof ( dwk_dst_2 )		2	2		=			
ANR	37	Identifier	dwk_len_2		2	0					
ANR	38	CastExpression	( int ) sizeof ( dwk_dst_2 )		2	1					
ANR	39	CastTarget	int		2	0					
