command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/04_vulnerable_55__xfg_targeted_dead_code__c2.c								
ANR	2	Function	main	51:0:1829:2158							
ANR	3	FunctionDef	"main (int argc , char * argv [ ])"		2	0					
ANR	4	CompoundStatement		52:0:1862:2158	2	0					
ANR	5	IdentifierDeclStatement	char buf [ 10 ] ;	53:2:1866:1878	2	0	True				
ANR	6	IdentifierDecl	buf [ 10 ]		2	0					
ANR	7	IdentifierDeclType	char [ 10 ]		2	0					
ANR	8	Identifier	buf		2	1					
ANR	9	PrimaryExpression	10		2	2					
ANR	10	IfStatement	if ( 0 )		2	1					
ANR	11	Condition	0	55:6:1887:1887	2	0	True				
ANR	12	PrimaryExpression	0		2	0					
ANR	13	CompoundStatement		5:6:35:58	2	1					
ANR	14	IdentifierDeclStatement	int dwk_xfg_guard_2 = 2 ;	56:6:1898:1921	2	0	True				
ANR	15	IdentifierDecl	dwk_xfg_guard_2 = 2		2	0					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	dwk_xfg_guard_2		2	1					
ANR	18	AssignmentExpression	dwk_xfg_guard_2 = 2		2	2		=			
ANR	19	Identifier	dwk_xfg_guard_2		2	0					
ANR	20	PrimaryExpression	2		2	1					
ANR	21	ExpressionStatement	dwk_xfg_guard_2 += 0	57:6:1929:1949	2	1	True				
ANR	22	AssignmentExpression	dwk_xfg_guard_2 += 0		2	0		+=			
ANR	23	Identifier	dwk_xfg_guard_2		2	0					
ANR	24	PrimaryExpression	0		2	1					
ANR	25	IfStatement	if ( ( argc < 5 ) || ( atoi ( argv [ 3 ] ) > 17 ) )		2	2					
ANR	26	Condition	( argc < 5 ) || ( atoi ( argv [ 3 ] ) > 17 )	59:6:1961:1994	2	0	True				
ANR	27	OrExpression	( argc < 5 ) || ( atoi ( argv [ 3 ] ) > 17 )		2	0		||			
ANR	28	RelationalExpression	argc < 5		2	0		<			
ANR	29	Identifier	argc		2	0					
ANR	30	PrimaryExpression	5		2	1					
ANR	31	RelationalExpression	atoi ( argv [ 3 ] ) > 17		2	1		>			
ANR	32	CallExpression	atoi ( argv [ 3 ] )		2	0					
ANR	33	Callee	atoi		2	0					
ANR	34	Identifier	atoi		2	0					
ANR	35	ArgumentList	argv [ 3 ]		2	1					
ANR	36	Argument	argv [ 3 ]		2	0					
ANR	37	ArrayIndexing	argv [ 3 ]		2	0					
ANR	38	Identifier	argv		2	0					
ANR	39	PrimaryExpression	3		2	1					
ANR	40	PrimaryExpression	17		2	1					
ANR	41	CompoundStatement		9:2:136:136	2	1					
ANR	42	IfStatement	if ( 0 )		2	0					
ANR	43	Condition	0	61:8:2009:2009	2	0	True				
ANR	44	PrimaryExpression	0		2	0					
ANR	45	CompoundStatement		11:8:159:182	2	1					
ANR	46	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	62:8:2022:2045	2	0	True				
ANR	47	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	48	IdentifierDeclType	int		2	0					
ANR	49	Identifier	dwk_xfg_guard_1		2	1					
ANR	50	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	51	Identifier	dwk_xfg_guard_1		2	0					
ANR	52	PrimaryExpression	1		2	1					
ANR	53	ExpressionStatement	dwk_xfg_guard_1 += 0	63:8:2055:2075	2	1	True				
ANR	54	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	55	Identifier	dwk_xfg_guard_1		2	0					
ANR	56	PrimaryExpression	0		2	1					
ANR	57	ReturnStatement	return 0 ;	65:4:2087:2095	2	1	True				
ANR	58	PrimaryExpression	0		2	0					
ANR	59	ExpressionStatement	buf [ atoi ( argv [ 3 ] ) ] = 'A'	69:2:2118:2142	2	3	True				
ANR	60	AssignmentExpression	buf [ atoi ( argv [ 3 ] ) ] = 'A'		2	0		=			
ANR	61	ArrayIndexing	buf [ atoi ( argv [ 3 ] ) ]		2	0					
ANR	62	Identifier	buf		2	0					
ANR	63	CallExpression	atoi ( argv [ 3 ] )		2	1					
ANR	64	Callee	atoi		2	0					
ANR	65	Identifier	atoi		2	0					
ANR	66	ArgumentList	argv [ 3 ]		2	1					
ANR	67	Argument	argv [ 3 ]		2	0					
ANR	68	ArrayIndexing	argv [ 3 ]		2	0					
ANR	69	Identifier	argv		2	0					
ANR	70	PrimaryExpression	3		2	1					
ANR	71	PrimaryExpression	'A'		2	1					
ANR	72	ReturnStatement	return 0 ;	72:2:2148:2156	2	4	True				
ANR	73	PrimaryExpression	0		2	0					
ANR	74	ReturnType	int		2	1					
ANR	75	Identifier	main		2	2					
ANR	76	ParameterList	"int argc , char * argv [ ]"		2	3					
ANR	77	Parameter	int argc	51:9:1838:1845	2	0	True				
ANR	78	ParameterType	int		2	0					
ANR	79	Identifier	argc		2	1					
ANR	80	Parameter	char * argv [ ]	51:19:1848:1859	2	1	True				
ANR	81	ParameterType	char * [ ]		2	0					
ANR	82	Identifier	argv		2	1					
ANR	83	CFGEntryNode	ENTRY		2		True				
ANR	84	CFGExitNode	EXIT		2		True				
ANR	85	Symbol	argc		2						
ANR	86	Symbol	atoi		2						
ANR	87	Symbol	buf		2						
ANR	88	Symbol	* buf		2						
ANR	89	Symbol	dwk_xfg_guard_1		2						
ANR	90	Symbol	dwk_xfg_guard_2		2						
ANR	91	Symbol	* argv		2						
ANR	92	Symbol	argv		2						
ANR	93	Symbol	* atoi		2						
