command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/02_codexglue_devign_15133.c								
ANR	2	Function	read_ts	1:0:0:822							
ANR	3	FunctionDef	"read_ts (const char * buf , int * ts_start , int * ts_end , int * x1 , int * y1 , int * x2 , int * y2)"		2	0					
ANR	4	CompoundStatement		5:0:141:822	2	0					
ANR	5	IdentifierDeclStatement	"int i , hs , ms , ss , he , me , se ;"	7:4:150:179	2	0	True				
ANR	6	IdentifierDecl	i		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	i		2	1					
ANR	9	IdentifierDecl	hs		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	hs		2	1					
ANR	12	IdentifierDecl	ms		2	2					
ANR	13	IdentifierDeclType	int		2	0					
ANR	14	Identifier	ms		2	1					
ANR	15	IdentifierDecl	ss		2	3					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	ss		2	1					
ANR	18	IdentifierDecl	he		2	4					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	he		2	1					
ANR	21	IdentifierDecl	me		2	5					
ANR	22	IdentifierDeclType	int		2	0					
ANR	23	Identifier	me		2	1					
ANR	24	IdentifierDecl	se		2	6					
ANR	25	IdentifierDeclType	int		2	0					
ANR	26	Identifier	se		2	1					
ANR	27	ForStatement	for ( i = 0 ; i < 2 ; i ++ )		2	1					
ANR	28	ForInit	i = 0 ;	11:9:197:200	2	0	True				
ANR	29	AssignmentExpression	i = 0		2	0		=			
ANR	30	Identifier	i		2	0					
ANR	31	PrimaryExpression	0		2	1					
ANR	32	Condition	i < 2	11:14:202:204	2	1	True				
ANR	33	RelationalExpression	i < 2		2	0		<			
ANR	34	Identifier	i		2	0					
ANR	35	PrimaryExpression	2		2	1					
ANR	36	PostIncDecOperationExpression	i ++	11:19:207:209	2	2	True				
ANR	37	Identifier	i		2	0					
ANR	38	IncDec	++		2	1					
ANR	39	CompoundStatement		7:24:70:70	2	3					
ANR	40	Statement	int	15:8:300:302	2	0	True				
ANR	41	Statement	c	15:12:304:304	2	1	True				
ANR	42	Statement	=	15:14:306:306	2	2	True				
ANR	43	Statement	sscanf	15:16:308:313	2	3	True				
ANR	44	Statement	(	15:22:314:314	2	4	True				
ANR	45	Statement	buf	15:23:315:317	2	5	True				
ANR	46	Statement	","	15:26:318:318	2	6	True				
ANR	47	Statement	"""%d:%2d:%2d%*1[,.]%3d --> %d:%2d:%2d%*1[,.]%3d"""	15:28:320:366	2	7	True				
ANR	48	Statement	"""%*[ ]X1:%u X2:%u Y1:%u Y2:%u"""	17:23:394:423	2	8	True				
ANR	49	Statement	","	17:53:424:424	2	9	True				
ANR	50	Statement	&	19:23:452:452	2	10	True				
ANR	51	Statement	hs	19:24:453:454	2	11	True				
ANR	52	Statement	","	19:26:455:455	2	12	True				
ANR	53	Statement	&	19:28:457:457	2	13	True				
ANR	54	Statement	ms	19:29:458:459	2	14	True				
ANR	55	Statement	","	19:31:460:460	2	15	True				
ANR	56	Statement	&	19:33:462:462	2	16	True				
ANR	57	Statement	ss	19:34:463:464	2	17	True				
ANR	58	Statement	","	19:36:465:465	2	18	True				
ANR	59	Statement	ts_start	19:38:467:474	2	19	True				
ANR	60	Statement	","	19:46:475:475	2	20	True				
ANR	61	Statement	&	19:48:477:477	2	21	True				
ANR	62	Statement	he	19:49:478:479	2	22	True				
ANR	63	Statement	","	19:51:480:480	2	23	True				
ANR	64	Statement	&	19:53:482:482	2	24	True				
ANR	65	Statement	me	19:54:483:484	2	25	True				
ANR	66	Statement	","	19:56:485:485	2	26	True				
ANR	67	Statement	&	19:58:487:487	2	27	True				
ANR	68	Statement	se	19:59:488:489	2	28	True				
ANR	69	Statement	","	19:61:490:490	2	29	True				
ANR	70	Statement	ts_end	19:63:492:497	2	30	True				
ANR	71	Statement	","	19:69:498:498	2	31	True				
ANR	72	Statement	x1	21:23:526:527	2	32	True				
ANR	73	Statement	","	21:25:528:528	2	33	True				
ANR	74	Statement	x2	21:27:530:531	2	34	True				
ANR	75	Statement	","	21:29:532:532	2	35	True				
ANR	76	Statement	y1	21:31:534:535	2	36	True				
ANR	77	Statement	","	21:33:536:536	2	37	True				
ANR	78	Statement	y2	21:35:538:539	2	38	True				
ANR	79	Statement	)	21:37:540:540	2	39	True				
ANR	80	ExpressionStatement		21:38:541:541	2	40	True				
ANR	81	ExpressionStatement	"buf += strcspn ( buf , ""\\n"" ) + 1"	23:8:554:583	2	41	True				
ANR	82	AssignmentExpression	"buf += strcspn ( buf , ""\\n"" ) + 1"		2	0		+=			
ANR	83	Identifier	buf		2	0					
ANR	84	AdditiveExpression	"strcspn ( buf , ""\\n"" ) + 1"		2	1		+			
ANR	85	CallExpression	"strcspn ( buf , ""\\n"" )"		2	0					
ANR	86	Callee	strcspn		2	0					
ANR	87	Identifier	strcspn		2	0					
ANR	88	ArgumentList	buf		2	1					
ANR	89	Argument	buf		2	0					
ANR	90	Identifier	buf		2	0					
ANR	91	Argument	"""\\n"""		2	1					
ANR	92	PrimaryExpression	"""\\n"""		2	0					
ANR	93	PrimaryExpression	1		2	1					
ANR	94	IfStatement	if ( c >= 8 )		2	42					
ANR	95	Condition	c >= 8	25:12:600:605	2	0	True				
ANR	96	RelationalExpression	c >= 8		2	0		>=			
ANR	97	Identifier	c		2	0					
ANR	98	PrimaryExpression	8		2	1					
ANR	99	CompoundStatement		21:20:466:466	2	1					
ANR	100	ExpressionStatement	* ts_start = 100 * ( ss + 60 * ( ms + 60 * hs ) ) + * ts_start / 10	27:12:625:678	2	0	True				
ANR	101	AssignmentExpression	* ts_start = 100 * ( ss + 60 * ( ms + 60 * hs ) ) + * ts_start / 10		2	0		=			
ANR	102	UnaryOperationExpression	* ts_start		2	0					
ANR	103	UnaryOperator	*		2	0					
ANR	104	Identifier	ts_start		2	1					
ANR	105	AdditiveExpression	100 * ( ss + 60 * ( ms + 60 * hs ) ) + * ts_start / 10		2	1		+			
ANR	106	MultiplicativeExpression	100 * ( ss + 60 * ( ms + 60 * hs ) )		2	0		*			
ANR	107	PrimaryExpression	100		2	0					
ANR	108	AdditiveExpression	ss + 60 * ( ms + 60 * hs )		2	1		+			
ANR	109	Identifier	ss		2	0					
ANR	110	MultiplicativeExpression	60 * ( ms + 60 * hs )		2	1		*			
ANR	111	PrimaryExpression	60		2	0					
ANR	112	AdditiveExpression	ms + 60 * hs		2	1		+			
ANR	113	Identifier	ms		2	0					
ANR	114	MultiplicativeExpression	60 * hs		2	1		*			
ANR	115	PrimaryExpression	60		2	0					
ANR	116	Identifier	hs		2	1					
ANR	117	MultiplicativeExpression	* ts_start / 10		2	1		/			
ANR	118	UnaryOperationExpression	* ts_start		2	0					
ANR	119	UnaryOperator	*		2	0					
ANR	120	Identifier	ts_start		2	1					
ANR	121	PrimaryExpression	10		2	1					
ANR	122	ExpressionStatement	* ts_end = 100 * ( se + 60 * ( me + 60 * he ) ) + * ts_end / 10	29:12:695:748	2	1	True				
ANR	123	AssignmentExpression	* ts_end = 100 * ( se + 60 * ( me + 60 * he ) ) + * ts_end / 10		2	0		=			
ANR	124	UnaryOperationExpression	* ts_end		2	0					
ANR	125	UnaryOperator	*		2	0					
ANR	126	Identifier	ts_end		2	1					
ANR	127	AdditiveExpression	100 * ( se + 60 * ( me + 60 * he ) ) + * ts_end / 10		2	1		+			
ANR	128	MultiplicativeExpression	100 * ( se + 60 * ( me + 60 * he ) )		2	0		*			
ANR	129	PrimaryExpression	100		2	0					
ANR	130	AdditiveExpression	se + 60 * ( me + 60 * he )		2	1		+			
ANR	131	Identifier	se		2	0					
ANR	132	MultiplicativeExpression	60 * ( me + 60 * he )		2	1		*			
ANR	133	PrimaryExpression	60		2	0					
ANR	134	AdditiveExpression	me + 60 * he		2	1		+			
ANR	135	Identifier	me		2	0					
ANR	136	MultiplicativeExpression	60 * he		2	1		*			
ANR	137	PrimaryExpression	60		2	0					
ANR	138	Identifier	he		2	1					
ANR	139	MultiplicativeExpression	* ts_end / 10		2	1		/			
ANR	140	UnaryOperationExpression	* ts_end		2	0					
ANR	141	UnaryOperator	*		2	0					
ANR	142	Identifier	ts_end		2	1					
ANR	143	PrimaryExpression	10		2	1					
ANR	144	ReturnStatement	return buf ;	31:12:765:775	2	2	True				
ANR	145	Identifier	buf		2	0					
ANR	146	ReturnStatement	return NULL ;	37:4:806:817	2	2	True				
ANR	147	Identifier	NULL		2	0					
ANR	148	ReturnType	static const char *		2	1					
ANR	149	Identifier	read_ts		2	2					
ANR	150	ParameterList	"const char * buf , int * ts_start , int * ts_end , int * x1 , int * y1 , int * x2 , int * y2"		2	3					
ANR	151	Parameter	const char * buf	1:27:27:41	2	0	True				
ANR	152	ParameterType	const char *		2	0					
ANR	153	Identifier	buf		2	1					
ANR	154	Parameter	int * ts_start	1:44:44:56	2	1	True				
ANR	155	ParameterType	int *		2	0					
ANR	156	Identifier	ts_start		2	1					
ANR	157	Parameter	int * ts_end	1:59:59:69	2	2	True				
ANR	158	ParameterType	int *		2	0					
ANR	159	Identifier	ts_end		2	1					
ANR	160	Parameter	int * x1	3:27:102:108	2	3	True				
ANR	161	ParameterType	int *		2	0					
ANR	162	Identifier	x1		2	1					
ANR	163	Parameter	int * y1	3:36:111:117	2	4	True				
ANR	164	ParameterType	int *		2	0					
ANR	165	Identifier	y1		2	1					
ANR	166	Parameter	int * x2	3:45:120:126	2	5	True				
ANR	167	ParameterType	int *		2	0					
ANR	168	Identifier	x2		2	1					
ANR	169	Parameter	int * y2	3:54:129:135	2	6	True				
ANR	170	ParameterType	int *		2	0					
ANR	171	Identifier	y2		2	1					
ANR	172	CFGEntryNode	ENTRY		2		True				
ANR	173	CFGExitNode	EXIT		2		True				
ANR	174	Symbol	ss		2						
ANR	175	Symbol	c		2						
ANR	176	Symbol	NULL		2						
ANR	177	Symbol	ms		2						
ANR	178	Symbol	ts_end		2						
ANR	179	Symbol	i		2						
ANR	180	Symbol	hs		2						
ANR	181	Symbol	strcspn		2						
ANR	182	Symbol	* ts_start		2						
ANR	183	Symbol	buf		2						
ANR	184	Symbol	se		2						
ANR	185	Symbol	y1		2						
ANR	186	Symbol	me		2						
ANR	187	Symbol	x1		2						
ANR	188	Symbol	y2		2						
ANR	189	Symbol	x2		2						
ANR	190	Symbol	he		2						
ANR	191	Symbol	* ts_end		2						
ANR	192	Symbol	ts_start		2						
