start	end	type	var
8	9	IS_AST_PARENT	
8	10	IS_AST_PARENT	
7	8	IS_AST_PARENT	
7	11	IS_AST_PARENT	
6	7	IS_AST_PARENT	
13	14	IS_AST_PARENT	
12	13	IS_AST_PARENT	
16	17	IS_AST_PARENT	
15	16	IS_AST_PARENT	
20	21	IS_AST_PARENT	
20	22	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	23	IS_AST_PARENT	
18	19	IS_AST_PARENT	
15	18	IS_AST_PARENT	
25	26	IS_AST_PARENT	
28	29	IS_AST_PARENT	
28	30	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	31	IS_AST_PARENT	
25	27	IS_AST_PARENT	
24	25	IS_AST_PARENT	
15	24	IS_AST_PARENT	
12	15	IS_AST_PARENT	
6	12	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	32	IS_AST_PARENT	
3	33	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	37	IS_AST_PARENT	
34	35	IS_AST_PARENT	
3	34	IS_AST_PARENT	
38	35	FLOWS_TO	
35	5	FLOWS_TO	
5	39	FLOWS_TO	
5	40	USE	
18	40	USE	
5	40	DEF	
6	40	DEF	
5	41	DEF	
6	41	DEF	
5	41	USE	
18	41	USE	
5	42	USE	
6	42	USE	
5	43	USE	
19	43	USE	
7	43	USE	
24	43	USE	
27	43	USE	
5	44	USE	
27	44	USE	
24	44	USE	
7	44	USE	
19	44	USE	
35	45	DEF	
5	45	USE	
8	45	USE	
28	45	USE	
16	45	USE	
20	45	USE	
35	5	REACHES	env
38	35	CONTROLS	
38	5	CONTROLS	
38	35	DOM	
35	5	DOM	
5	39	DOM	
38	38	DOM	
5	35	POST_DOM	
39	39	POST_DOM	
39	5	POST_DOM	
35	38	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	38	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
