command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/01_codexglue_devign_10453__dead_statement__c2.c								
ANR	2	Function	uhci_handle_td	1:0:0:2164							
ANR	3	FunctionDef	"uhci_handle_td (UHCIState * s , uint32_t addr , UHCI_TD * td , uint32_t * int_mask)"		2	0					
ANR	4	CompoundStatement		3:0:89:2164	2	0					
ANR	5	IdentifierDeclStatement	UHCIAsync * async ;	5:4:96:112	2	0	True				
ANR	6	IdentifierDecl	* async		2	0					
ANR	7	IdentifierDeclType	UHCIAsync *		2	0					
ANR	8	Identifier	async		2	1					
ANR	9	IdentifierDeclStatement	"int len = 0 , max_len ;"	7:4:119:139	2	1	True				
ANR	10	IdentifierDecl	len = 0		2	0					
ANR	11	IdentifierDeclType	int		2	0					
ANR	12	Identifier	len		2	1					
ANR	13	AssignmentExpression	len = 0		2	2		=			
ANR	14	Identifier	len		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	IdentifierDecl	max_len		2	1					
ANR	17	IdentifierDeclType	int		2	0					
ANR	18	Identifier	max_len		2	1					
ANR	19	IdentifierDeclStatement	uint8_t pid ;	9:4:146:157	2	2	True				
ANR	20	IdentifierDecl	pid		2	0					
ANR	21	IdentifierDeclType	uint8_t		2	0					
ANR	22	Identifier	pid		2	1					
ANR	23	IdentifierDeclStatement	USBDevice * dev ;	11:4:164:178	2	3	True				
ANR	24	IdentifierDecl	* dev		2	0					
ANR	25	IdentifierDeclType	USBDevice *		2	0					
ANR	26	Identifier	dev		2	1					
ANR	27	IdentifierDeclStatement	USBEndpoint * ep ;	13:4:185:200	2	4	True				
ANR	28	IdentifierDecl	* ep		2	0					
ANR	29	IdentifierDeclType	USBEndpoint *		2	0					
ANR	30	Identifier	ep		2	1					
ANR	31	IfStatement	if ( ! ( td -> ctrl & TD_CTRL_ACTIVE ) )		2	5					
ANR	32	Condition	! ( td -> ctrl & TD_CTRL_ACTIVE )	19:8:236:263	2	0	True				
ANR	33	UnaryOperationExpression	! ( td -> ctrl & TD_CTRL_ACTIVE )		2	0					
ANR	34	UnaryOperator	!		2	0					
ANR	35	BitAndExpression	td -> ctrl & TD_CTRL_ACTIVE		2	1		&			
ANR	36	PtrMemberAccess	td -> ctrl		2	0					
ANR	37	Identifier	td		2	0					
ANR	38	Identifier	ctrl		2	1					
ANR	39	Identifier	TD_CTRL_ACTIVE		2	1					
ANR	40	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	21:8:275:294	2	1	True				
ANR	41	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	42	IdentifierDeclType	int		2	0					
ANR	43	Identifier	dwk_dummy_1		2	1					
ANR	44	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	45	Identifier	dwk_dummy_1		2	0					
ANR	46	PrimaryExpression	0		2	1					
ANR	47	ExpressionStatement	dwk_dummy_1 += 0	22:8:304:320	2	6	True				
ANR	48	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	49	Identifier	dwk_dummy_1		2	0					
ANR	50	PrimaryExpression	0		2	1					
ANR	51	IdentifierDeclStatement	int dwk_dummy_2 = 1 ;	23:8:330:349	2	7	True				
ANR	52	IdentifierDecl	dwk_dummy_2 = 1		2	0					
ANR	53	IdentifierDeclType	int		2	0					
ANR	54	Identifier	dwk_dummy_2		2	1					
ANR	55	AssignmentExpression	dwk_dummy_2 = 1		2	2		=			
ANR	56	Identifier	dwk_dummy_2		2	0					
ANR	57	PrimaryExpression	1		2	1					
ANR	58	ExpressionStatement	dwk_dummy_2 += 0	24:8:359:375	2	8	True				
ANR	59	AssignmentExpression	dwk_dummy_2 += 0		2	0		+=			
ANR	60	Identifier	dwk_dummy_2		2	0					
ANR	61	PrimaryExpression	0		2	1					
ANR	62	ReturnStatement	return TD_RESULT_NEXT_QH ;	25:8:385:409	2	9	True				
ANR	63	Identifier	TD_RESULT_NEXT_QH		2	0					
ANR	64	ExpressionStatement	"async = uhci_async_find_td ( s , addr , td )"	29:4:418:457	2	10	True				
ANR	65	AssignmentExpression	"async = uhci_async_find_td ( s , addr , td )"		2	0		=			
ANR	66	Identifier	async		2	0					
ANR	67	CallExpression	"uhci_async_find_td ( s , addr , td )"		2	1					
ANR	68	Callee	uhci_async_find_td		2	0					
ANR	69	Identifier	uhci_async_find_td		2	0					
ANR	70	ArgumentList	s		2	1					
ANR	71	Argument	s		2	0					
ANR	72	Identifier	s		2	0					
ANR	73	Argument	addr		2	1					
ANR	74	Identifier	addr		2	0					
ANR	75	Argument	td		2	2					
ANR	76	Identifier	td		2	0					
ANR	77	IfStatement	if ( async )		2	11					
ANR	78	Condition	async	31:8:468:472	2	0	True				
ANR	79	Identifier	async		2	0					
ANR	80	CompoundStatement		29:15:385:385	2	1					
ANR	81	ExpressionStatement	async -> queue -> valid = 32	35:8:519:543	2	0	True				
ANR	82	AssignmentExpression	async -> queue -> valid = 32		2	0		=			
ANR	83	PtrMemberAccess	async -> queue -> valid		2	0					
ANR	84	PtrMemberAccess	async -> queue		2	0					
ANR	85	Identifier	async		2	0					
ANR	86	Identifier	queue		2	1					
ANR	87	Identifier	valid		2	1					
ANR	88	PrimaryExpression	32		2	1					
ANR	89	IfStatement	if ( ! async -> done )		2	1					
ANR	90	Condition	! async -> done	39:12:560:571	2	0	True				
ANR	91	UnaryOperationExpression	! async -> done		2	0					
ANR	92	UnaryOperator	!		2	0					
ANR	93	PtrMemberAccess	async -> done		2	1					
ANR	94	Identifier	async		2	0					
ANR	95	Identifier	done		2	1					
ANR	96	ReturnStatement	return TD_RESULT_ASYNC_CONT ;	41:12:587:614	2	1	True				
ANR	97	Identifier	TD_RESULT_ASYNC_CONT		2	0					
ANR	98	ExpressionStatement	uhci_async_unlink ( async )	45:8:627:651	2	2	True				
ANR	99	CallExpression	uhci_async_unlink ( async )		2	0					
ANR	100	Callee	uhci_async_unlink		2	0					
ANR	101	Identifier	uhci_async_unlink		2	0					
ANR	102	ArgumentList	async		2	1					
ANR	103	Argument	async		2	0					
ANR	104	Identifier	async		2	0					
ANR	105	GotoStatement	goto done ;	47:8:662:671	2	3	True				
ANR	106	Identifier	done		2	0					
ANR	107	ExpressionStatement	"async = uhci_async_alloc ( uhci_queue_get ( s , td ) , addr )"	55:4:718:771	2	12	True				
ANR	108	AssignmentExpression	"async = uhci_async_alloc ( uhci_queue_get ( s , td ) , addr )"		2	0		=			
ANR	109	Identifier	async		2	0					
ANR	110	CallExpression	"uhci_async_alloc ( uhci_queue_get ( s , td ) , addr )"		2	1					
ANR	111	Callee	uhci_async_alloc		2	0					
ANR	112	Identifier	uhci_async_alloc		2	0					
ANR	113	ArgumentList	"uhci_queue_get ( s , td )"		2	1					
ANR	114	Argument	"uhci_queue_get ( s , td )"		2	0					
ANR	115	CallExpression	"uhci_queue_get ( s , td )"		2	0					
ANR	116	Callee	uhci_queue_get		2	0					
ANR	117	Identifier	uhci_queue_get		2	0					
ANR	118	ArgumentList	s		2	1					
ANR	119	Argument	s		2	0					
ANR	120	Identifier	s		2	0					
ANR	121	Argument	td		2	1					
ANR	122	Identifier	td		2	0					
ANR	123	Argument	addr		2	1					
ANR	124	Identifier	addr		2	0					
ANR	125	IfStatement	if ( ! async )		2	13					
ANR	126	Condition	! async	57:8:782:787	2	0	True				
ANR	127	UnaryOperationExpression	! async		2	0					
ANR	128	UnaryOperator	!		2	0					
ANR	129	Identifier	async		2	1					
ANR	130	ReturnStatement	return TD_RESULT_NEXT_QH ;	59:8:799:823	2	1	True				
ANR	131	Identifier	TD_RESULT_NEXT_QH		2	0					
ANR	132	ExpressionStatement	async -> queue -> valid = 32	69:4:946:970	2	14	True				
ANR	133	AssignmentExpression	async -> queue -> valid = 32		2	0		=			
ANR	134	PtrMemberAccess	async -> queue -> valid		2	0					
ANR	135	PtrMemberAccess	async -> queue		2	0					
ANR	136	Identifier	async		2	0					
ANR	137	Identifier	queue		2	1					
ANR	138	Identifier	valid		2	1					
ANR	139	PrimaryExpression	32		2	1					
ANR	140	ExpressionStatement	async -> isoc = td -> ctrl & TD_CTRL_IOS	71:4:977:1014	2	15	True				
ANR	141	AssignmentExpression	async -> isoc = td -> ctrl & TD_CTRL_IOS		2	0		=			
ANR	142	PtrMemberAccess	async -> isoc		2	0					
ANR	143	Identifier	async		2	0					
ANR	144	Identifier	isoc		2	1					
ANR	145	BitAndExpression	td -> ctrl & TD_CTRL_IOS		2	1		&			
ANR	146	PtrMemberAccess	td -> ctrl		2	0					
ANR	147	Identifier	td		2	0					
ANR	148	Identifier	ctrl		2	1					
ANR	149	Identifier	TD_CTRL_IOS		2	1					
ANR	150	ExpressionStatement	max_len = ( ( td -> token >> 21 ) + 1 ) & 0x7ff	75:4:1023:1064	2	16	True				
ANR	151	AssignmentExpression	max_len = ( ( td -> token >> 21 ) + 1 ) & 0x7ff		2	0		=			
ANR	152	Identifier	max_len		2	0					
ANR	153	BitAndExpression	( ( td -> token >> 21 ) + 1 ) & 0x7ff		2	1		&			
ANR	154	AdditiveExpression	( td -> token >> 21 ) + 1		2	0		+			
ANR	155	ShiftExpression	td -> token >> 21		2	0		>>			
ANR	156	PtrMemberAccess	td -> token		2	0					
ANR	157	Identifier	td		2	0					
ANR	158	Identifier	token		2	1					
ANR	159	PrimaryExpression	21		2	1					
ANR	160	PrimaryExpression	1		2	1					
ANR	161	PrimaryExpression	0x7ff		2	1					
ANR	162	ExpressionStatement	pid = td -> token & 0xff	77:4:1071:1093	2	17	True				
ANR	163	AssignmentExpression	pid = td -> token & 0xff		2	0		=			
ANR	164	Identifier	pid		2	0					
ANR	165	BitAndExpression	td -> token & 0xff		2	1		&			
ANR	166	PtrMemberAccess	td -> token		2	0					
ANR	167	Identifier	td		2	0					
ANR	168	Identifier	token		2	1					
ANR	169	PrimaryExpression	0xff		2	1					
ANR	170	ExpressionStatement	"dev = uhci_find_device ( s , ( td -> token >> 8 ) & 0x7f )"	81:4:1102:1152	2	18	True				
ANR	171	AssignmentExpression	"dev = uhci_find_device ( s , ( td -> token >> 8 ) & 0x7f )"		2	0		=			
ANR	172	Identifier	dev		2	0					
ANR	173	CallExpression	"uhci_find_device ( s , ( td -> token >> 8 ) & 0x7f )"		2	1					
ANR	174	Callee	uhci_find_device		2	0					
ANR	175	Identifier	uhci_find_device		2	0					
ANR	176	ArgumentList	s		2	1					
ANR	177	Argument	s		2	0					
ANR	178	Identifier	s		2	0					
ANR	179	Argument	( td -> token >> 8 ) & 0x7f		2	1					
ANR	180	BitAndExpression	( td -> token >> 8 ) & 0x7f		2	0		&			
ANR	181	ShiftExpression	td -> token >> 8		2	0		>>			
ANR	182	PtrMemberAccess	td -> token		2	0					
ANR	183	Identifier	td		2	0					
ANR	184	Identifier	token		2	1					
ANR	185	PrimaryExpression	8		2	1					
ANR	186	PrimaryExpression	0x7f		2	1					
ANR	187	ExpressionStatement	"ep = usb_ep_get ( dev , pid , ( td -> token >> 15 ) & 0xf )"	83:4:1159:1209	2	19	True				
ANR	188	AssignmentExpression	"ep = usb_ep_get ( dev , pid , ( td -> token >> 15 ) & 0xf )"		2	0		=			
ANR	189	Identifier	ep		2	0					
ANR	190	CallExpression	"usb_ep_get ( dev , pid , ( td -> token >> 15 ) & 0xf )"		2	1					
ANR	191	Callee	usb_ep_get		2	0					
ANR	192	Identifier	usb_ep_get		2	0					
ANR	193	ArgumentList	dev		2	1					
ANR	194	Argument	dev		2	0					
ANR	195	Identifier	dev		2	0					
ANR	196	Argument	pid		2	1					
ANR	197	Identifier	pid		2	0					
ANR	198	Argument	( td -> token >> 15 ) & 0xf		2	2					
ANR	199	BitAndExpression	( td -> token >> 15 ) & 0xf		2	0		&			
ANR	200	ShiftExpression	td -> token >> 15		2	0		>>			
ANR	201	PtrMemberAccess	td -> token		2	0					
ANR	202	Identifier	td		2	0					
ANR	203	Identifier	token		2	1					
ANR	204	PrimaryExpression	15		2	1					
ANR	205	PrimaryExpression	0xf		2	1					
ANR	206	ExpressionStatement	"usb_packet_setup ( & async -> packet , pid , ep )"	85:4:1216:1257	2	20	True				
ANR	207	CallExpression	"usb_packet_setup ( & async -> packet , pid , ep )"		2	0					
ANR	208	Callee	usb_packet_setup		2	0					
ANR	209	Identifier	usb_packet_setup		2	0					
ANR	210	ArgumentList	& async -> packet		2	1					
ANR	211	Argument	& async -> packet		2	0					
ANR	212	UnaryOperationExpression	& async -> packet		2	0					
ANR	213	UnaryOperator	&		2	0					
ANR	214	PtrMemberAccess	async -> packet		2	1					
ANR	215	Identifier	async		2	0					
ANR	216	Identifier	packet		2	1					
ANR	217	Argument	pid		2	1					
ANR	218	Identifier	pid		2	0					
ANR	219	Argument	ep		2	2					
ANR	220	Identifier	ep		2	0					
ANR	221	ExpressionStatement	"qemu_sglist_add ( & async -> sgl , td -> buffer , max_len )"	87:4:1264:1313	2	21	True				
ANR	222	CallExpression	"qemu_sglist_add ( & async -> sgl , td -> buffer , max_len )"		2	0					
ANR	223	Callee	qemu_sglist_add		2	0					
ANR	224	Identifier	qemu_sglist_add		2	0					
ANR	225	ArgumentList	& async -> sgl		2	1					
ANR	226	Argument	& async -> sgl		2	0					
ANR	227	UnaryOperationExpression	& async -> sgl		2	0					
ANR	228	UnaryOperator	&		2	0					
ANR	229	PtrMemberAccess	async -> sgl		2	1					
ANR	230	Identifier	async		2	0					
ANR	231	Identifier	sgl		2	1					
ANR	232	Argument	td -> buffer		2	1					
ANR	233	PtrMemberAccess	td -> buffer		2	0					
ANR	234	Identifier	td		2	0					
ANR	235	Identifier	buffer		2	1					
ANR	236	Argument	max_len		2	2					
ANR	237	Identifier	max_len		2	0					
ANR	238	ExpressionStatement	"usb_packet_map ( & async -> packet , & async -> sgl )"	89:4:1320:1363	2	22	True				
ANR	239	CallExpression	"usb_packet_map ( & async -> packet , & async -> sgl )"		2	0					
ANR	240	Callee	usb_packet_map		2	0					
ANR	241	Identifier	usb_packet_map		2	0					
