command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/01_codexglue_devign_10453__xfg_targeted_dead_code__c1.c								
ANR	2	Function	uhci_handle_td	1:0:0:2136							
ANR	3	FunctionDef	"uhci_handle_td (UHCIState * s , uint32_t addr , UHCI_TD * td , uint32_t * int_mask)"		2	0					
ANR	4	CompoundStatement		3:0:89:2136	2	0					
ANR	5	IdentifierDeclStatement	UHCIAsync * async ;	5:4:96:112	2	0	True				
ANR	6	IdentifierDecl	* async		2	0					
ANR	7	IdentifierDeclType	UHCIAsync *		2	0					
ANR	8	Identifier	async		2	1					
ANR	9	IdentifierDeclStatement	"int len = 0 , max_len ;"	7:4:119:139	2	1	True				
ANR	10	IdentifierDecl	len = 0		2	0					
ANR	11	IdentifierDeclType	int		2	0					
ANR	12	Identifier	len		2	1					
ANR	13	AssignmentExpression	len = 0		2	2		=			
ANR	14	Identifier	len		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	IdentifierDecl	max_len		2	1					
ANR	17	IdentifierDeclType	int		2	0					
ANR	18	Identifier	max_len		2	1					
ANR	19	IdentifierDeclStatement	uint8_t pid ;	9:4:146:157	2	2	True				
ANR	20	IdentifierDecl	pid		2	0					
ANR	21	IdentifierDeclType	uint8_t		2	0					
ANR	22	Identifier	pid		2	1					
ANR	23	IdentifierDeclStatement	USBDevice * dev ;	11:4:164:178	2	3	True				
ANR	24	IdentifierDecl	* dev		2	0					
ANR	25	IdentifierDeclType	USBDevice *		2	0					
ANR	26	Identifier	dev		2	1					
ANR	27	IdentifierDeclStatement	USBEndpoint * ep ;	13:4:185:200	2	4	True				
ANR	28	IdentifierDecl	* ep		2	0					
ANR	29	IdentifierDeclType	USBEndpoint *		2	0					
ANR	30	Identifier	ep		2	1					
ANR	31	IfStatement	if ( 0 )		2	5					
ANR	32	Condition	0	19:8:236:236	2	0	True				
ANR	33	PrimaryExpression	0		2	0					
ANR	34	CompoundStatement		18:8:159:182	2	1					
ANR	35	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	20:8:249:272	2	0	True				
ANR	36	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	37	IdentifierDeclType	int		2	0					
ANR	38	Identifier	dwk_xfg_guard_1		2	1					
ANR	39	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	40	Identifier	dwk_xfg_guard_1		2	0					
ANR	41	PrimaryExpression	1		2	1					
ANR	42	ExpressionStatement	dwk_xfg_guard_1 += 0	21:8:282:302	2	1	True				
ANR	43	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	44	Identifier	dwk_xfg_guard_1		2	0					
ANR	45	PrimaryExpression	0		2	1					
ANR	46	IfStatement	if ( ! ( td -> ctrl & TD_CTRL_ACTIVE ) )		2	6					
ANR	47	Condition	! ( td -> ctrl & TD_CTRL_ACTIVE )	23:8:318:345	2	0	True				
ANR	48	UnaryOperationExpression	! ( td -> ctrl & TD_CTRL_ACTIVE )		2	0					
ANR	49	UnaryOperator	!		2	0					
ANR	50	BitAndExpression	td -> ctrl & TD_CTRL_ACTIVE		2	1		&			
ANR	51	PtrMemberAccess	td -> ctrl		2	0					
ANR	52	Identifier	td		2	0					
ANR	53	Identifier	ctrl		2	1					
ANR	54	Identifier	TD_CTRL_ACTIVE		2	1					
ANR	55	ReturnStatement	return TD_RESULT_NEXT_QH ;	25:8:357:381	2	1	True				
ANR	56	Identifier	TD_RESULT_NEXT_QH		2	0					
ANR	57	ExpressionStatement	"async = uhci_async_find_td ( s , addr , td )"	29:4:390:429	2	7	True				
ANR	58	AssignmentExpression	"async = uhci_async_find_td ( s , addr , td )"		2	0		=			
ANR	59	Identifier	async		2	0					
ANR	60	CallExpression	"uhci_async_find_td ( s , addr , td )"		2	1					
ANR	61	Callee	uhci_async_find_td		2	0					
ANR	62	Identifier	uhci_async_find_td		2	0					
ANR	63	ArgumentList	s		2	1					
ANR	64	Argument	s		2	0					
ANR	65	Identifier	s		2	0					
ANR	66	Argument	addr		2	1					
ANR	67	Identifier	addr		2	0					
ANR	68	Argument	td		2	2					
ANR	69	Identifier	td		2	0					
ANR	70	IfStatement	if ( async )		2	8					
ANR	71	Condition	async	31:8:440:444	2	0	True				
ANR	72	Identifier	async		2	0					
ANR	73	CompoundStatement		29:15:357:357	2	1					
ANR	74	ExpressionStatement	async -> queue -> valid = 32	35:8:491:515	2	0	True				
ANR	75	AssignmentExpression	async -> queue -> valid = 32		2	0		=			
ANR	76	PtrMemberAccess	async -> queue -> valid		2	0					
ANR	77	PtrMemberAccess	async -> queue		2	0					
ANR	78	Identifier	async		2	0					
ANR	79	Identifier	queue		2	1					
ANR	80	Identifier	valid		2	1					
ANR	81	PrimaryExpression	32		2	1					
ANR	82	IfStatement	if ( ! async -> done )		2	1					
ANR	83	Condition	! async -> done	39:12:532:543	2	0	True				
ANR	84	UnaryOperationExpression	! async -> done		2	0					
ANR	85	UnaryOperator	!		2	0					
ANR	86	PtrMemberAccess	async -> done		2	1					
ANR	87	Identifier	async		2	0					
ANR	88	Identifier	done		2	1					
ANR	89	ReturnStatement	return TD_RESULT_ASYNC_CONT ;	41:12:559:586	2	1	True				
ANR	90	Identifier	TD_RESULT_ASYNC_CONT		2	0					
ANR	91	ExpressionStatement	uhci_async_unlink ( async )	45:8:599:623	2	2	True				
ANR	92	CallExpression	uhci_async_unlink ( async )		2	0					
ANR	93	Callee	uhci_async_unlink		2	0					
ANR	94	Identifier	uhci_async_unlink		2	0					
ANR	95	ArgumentList	async		2	1					
ANR	96	Argument	async		2	0					
ANR	97	Identifier	async		2	0					
ANR	98	GotoStatement	goto done ;	47:8:634:643	2	3	True				
ANR	99	Identifier	done		2	0					
ANR	100	ExpressionStatement	"async = uhci_async_alloc ( uhci_queue_get ( s , td ) , addr )"	55:4:690:743	2	9	True				
ANR	101	AssignmentExpression	"async = uhci_async_alloc ( uhci_queue_get ( s , td ) , addr )"		2	0		=			
ANR	102	Identifier	async		2	0					
ANR	103	CallExpression	"uhci_async_alloc ( uhci_queue_get ( s , td ) , addr )"		2	1					
ANR	104	Callee	uhci_async_alloc		2	0					
ANR	105	Identifier	uhci_async_alloc		2	0					
ANR	106	ArgumentList	"uhci_queue_get ( s , td )"		2	1					
ANR	107	Argument	"uhci_queue_get ( s , td )"		2	0					
ANR	108	CallExpression	"uhci_queue_get ( s , td )"		2	0					
ANR	109	Callee	uhci_queue_get		2	0					
ANR	110	Identifier	uhci_queue_get		2	0					
ANR	111	ArgumentList	s		2	1					
ANR	112	Argument	s		2	0					
ANR	113	Identifier	s		2	0					
ANR	114	Argument	td		2	1					
ANR	115	Identifier	td		2	0					
ANR	116	Argument	addr		2	1					
ANR	117	Identifier	addr		2	0					
ANR	118	IfStatement	if ( ! async )		2	10					
ANR	119	Condition	! async	57:8:754:759	2	0	True				
ANR	120	UnaryOperationExpression	! async		2	0					
ANR	121	UnaryOperator	!		2	0					
ANR	122	Identifier	async		2	1					
ANR	123	ReturnStatement	return TD_RESULT_NEXT_QH ;	59:8:771:795	2	1	True				
ANR	124	Identifier	TD_RESULT_NEXT_QH		2	0					
ANR	125	ExpressionStatement	async -> queue -> valid = 32	69:4:918:942	2	11	True				
ANR	126	AssignmentExpression	async -> queue -> valid = 32		2	0		=			
ANR	127	PtrMemberAccess	async -> queue -> valid		2	0					
ANR	128	PtrMemberAccess	async -> queue		2	0					
ANR	129	Identifier	async		2	0					
ANR	130	Identifier	queue		2	1					
ANR	131	Identifier	valid		2	1					
ANR	132	PrimaryExpression	32		2	1					
ANR	133	ExpressionStatement	async -> isoc = td -> ctrl & TD_CTRL_IOS	71:4:949:986	2	12	True				
ANR	134	AssignmentExpression	async -> isoc = td -> ctrl & TD_CTRL_IOS		2	0		=			
ANR	135	PtrMemberAccess	async -> isoc		2	0					
ANR	136	Identifier	async		2	0					
ANR	137	Identifier	isoc		2	1					
ANR	138	BitAndExpression	td -> ctrl & TD_CTRL_IOS		2	1		&			
ANR	139	PtrMemberAccess	td -> ctrl		2	0					
ANR	140	Identifier	td		2	0					
ANR	141	Identifier	ctrl		2	1					
ANR	142	Identifier	TD_CTRL_IOS		2	1					
ANR	143	ExpressionStatement	max_len = ( ( td -> token >> 21 ) + 1 ) & 0x7ff	75:4:995:1036	2	13	True				
ANR	144	AssignmentExpression	max_len = ( ( td -> token >> 21 ) + 1 ) & 0x7ff		2	0		=			
ANR	145	Identifier	max_len		2	0					
ANR	146	BitAndExpression	( ( td -> token >> 21 ) + 1 ) & 0x7ff		2	1		&			
ANR	147	AdditiveExpression	( td -> token >> 21 ) + 1		2	0		+			
ANR	148	ShiftExpression	td -> token >> 21		2	0		>>			
ANR	149	PtrMemberAccess	td -> token		2	0					
ANR	150	Identifier	td		2	0					
ANR	151	Identifier	token		2	1					
ANR	152	PrimaryExpression	21		2	1					
ANR	153	PrimaryExpression	1		2	1					
ANR	154	PrimaryExpression	0x7ff		2	1					
ANR	155	ExpressionStatement	pid = td -> token & 0xff	77:4:1043:1065	2	14	True				
ANR	156	AssignmentExpression	pid = td -> token & 0xff		2	0		=			
ANR	157	Identifier	pid		2	0					
ANR	158	BitAndExpression	td -> token & 0xff		2	1		&			
ANR	159	PtrMemberAccess	td -> token		2	0					
ANR	160	Identifier	td		2	0					
ANR	161	Identifier	token		2	1					
ANR	162	PrimaryExpression	0xff		2	1					
ANR	163	ExpressionStatement	"dev = uhci_find_device ( s , ( td -> token >> 8 ) & 0x7f )"	81:4:1074:1124	2	15	True				
ANR	164	AssignmentExpression	"dev = uhci_find_device ( s , ( td -> token >> 8 ) & 0x7f )"		2	0		=			
ANR	165	Identifier	dev		2	0					
ANR	166	CallExpression	"uhci_find_device ( s , ( td -> token >> 8 ) & 0x7f )"		2	1					
ANR	167	Callee	uhci_find_device		2	0					
ANR	168	Identifier	uhci_find_device		2	0					
ANR	169	ArgumentList	s		2	1					
ANR	170	Argument	s		2	0					
ANR	171	Identifier	s		2	0					
ANR	172	Argument	( td -> token >> 8 ) & 0x7f		2	1					
ANR	173	BitAndExpression	( td -> token >> 8 ) & 0x7f		2	0		&			
ANR	174	ShiftExpression	td -> token >> 8		2	0		>>			
ANR	175	PtrMemberAccess	td -> token		2	0					
ANR	176	Identifier	td		2	0					
ANR	177	Identifier	token		2	1					
ANR	178	PrimaryExpression	8		2	1					
ANR	179	PrimaryExpression	0x7f		2	1					
ANR	180	ExpressionStatement	"ep = usb_ep_get ( dev , pid , ( td -> token >> 15 ) & 0xf )"	83:4:1131:1181	2	16	True				
ANR	181	AssignmentExpression	"ep = usb_ep_get ( dev , pid , ( td -> token >> 15 ) & 0xf )"		2	0		=			
ANR	182	Identifier	ep		2	0					
ANR	183	CallExpression	"usb_ep_get ( dev , pid , ( td -> token >> 15 ) & 0xf )"		2	1					
ANR	184	Callee	usb_ep_get		2	0					
ANR	185	Identifier	usb_ep_get		2	0					
ANR	186	ArgumentList	dev		2	1					
ANR	187	Argument	dev		2	0					
ANR	188	Identifier	dev		2	0					
ANR	189	Argument	pid		2	1					
ANR	190	Identifier	pid		2	0					
ANR	191	Argument	( td -> token >> 15 ) & 0xf		2	2					
ANR	192	BitAndExpression	( td -> token >> 15 ) & 0xf		2	0		&			
ANR	193	ShiftExpression	td -> token >> 15		2	0		>>			
ANR	194	PtrMemberAccess	td -> token		2	0					
ANR	195	Identifier	td		2	0					
ANR	196	Identifier	token		2	1					
ANR	197	PrimaryExpression	15		2	1					
ANR	198	PrimaryExpression	0xf		2	1					
ANR	199	ExpressionStatement	"usb_packet_setup ( & async -> packet , pid , ep )"	85:4:1188:1229	2	17	True				
ANR	200	CallExpression	"usb_packet_setup ( & async -> packet , pid , ep )"		2	0					
ANR	201	Callee	usb_packet_setup		2	0					
ANR	202	Identifier	usb_packet_setup		2	0					
ANR	203	ArgumentList	& async -> packet		2	1					
ANR	204	Argument	& async -> packet		2	0					
ANR	205	UnaryOperationExpression	& async -> packet		2	0					
ANR	206	UnaryOperator	&		2	0					
ANR	207	PtrMemberAccess	async -> packet		2	1					
ANR	208	Identifier	async		2	0					
ANR	209	Identifier	packet		2	1					
ANR	210	Argument	pid		2	1					
ANR	211	Identifier	pid		2	0					
ANR	212	Argument	ep		2	2					
ANR	213	Identifier	ep		2	0					
ANR	214	ExpressionStatement	"qemu_sglist_add ( & async -> sgl , td -> buffer , max_len )"	87:4:1236:1285	2	18	True				
ANR	215	CallExpression	"qemu_sglist_add ( & async -> sgl , td -> buffer , max_len )"		2	0					
ANR	216	Callee	qemu_sglist_add		2	0					
ANR	217	Identifier	qemu_sglist_add		2	0					
ANR	218	ArgumentList	& async -> sgl		2	1					
ANR	219	Argument	& async -> sgl		2	0					
ANR	220	UnaryOperationExpression	& async -> sgl		2	0					
ANR	221	UnaryOperator	&		2	0					
ANR	222	PtrMemberAccess	async -> sgl		2	1					
ANR	223	Identifier	async		2	0					
ANR	224	Identifier	sgl		2	1					
ANR	225	Argument	td -> buffer		2	1					
ANR	226	PtrMemberAccess	td -> buffer		2	0					
ANR	227	Identifier	td		2	0					
ANR	228	Identifier	buffer		2	1					
ANR	229	Argument	max_len		2	2					
ANR	230	Identifier	max_len		2	0					
ANR	231	ExpressionStatement	"usb_packet_map ( & async -> packet , & async -> sgl )"	89:4:1292:1335	2	19	True				
ANR	232	CallExpression	"usb_packet_map ( & async -> packet , & async -> sgl )"		2	0					
ANR	233	Callee	usb_packet_map		2	0					
ANR	234	Identifier	usb_packet_map		2	0					
ANR	235	ArgumentList	& async -> packet		2	1					
ANR	236	Argument	& async -> packet		2	0					
ANR	237	UnaryOperationExpression	& async -> packet		2	0					
ANR	238	UnaryOperator	&		2	0					
ANR	239	PtrMemberAccess	async -> packet		2	1					
ANR	240	Identifier	async		2	0					
ANR	241	Identifier	packet		2	1					
ANR	242	Argument	& async -> sgl		2	1					
ANR	243	UnaryOperationExpression	& async -> sgl		2	0					
ANR	244	UnaryOperator	&		2	0					
ANR	245	PtrMemberAccess	async -> sgl		2	1					
ANR	246	Identifier	async		2	0					
ANR	247	Identifier	sgl		2	1					
ANR	248	SwitchStatement	switch ( pid )		2	20					
ANR	249	Condition	pid	93:11:1351:1353	2	0	True				
ANR	250	Identifier	pid		2	0					
ANR	251	CompoundStatement		91:16:1266:1266	2	1					
ANR	252	Label	case USB_TOKEN_OUT :	95:4:1363:1381	2	0	True				
ANR	253	Identifier	USB_TOKEN_OUT		2	0					
ANR	254	Label	case USB_TOKEN_SETUP :	97:4:1388:1408	2	1	True				
ANR	255	Identifier	USB_TOKEN_SETUP		2	0					
