start	end	type	var
9	10	IS_AST_PARENT	
9	11	IS_AST_PARENT	
8	9	IS_AST_PARENT	
8	12	IS_AST_PARENT	
7	8	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	16	IS_AST_PARENT	
13	14	IS_AST_PARENT	
18	19	IS_AST_PARENT	
20	21	IS_AST_PARENT	
20	22	IS_AST_PARENT	
18	20	IS_AST_PARENT	
17	18	IS_AST_PARENT	
23	24	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	29	IS_AST_PARENT	
23	25	IS_AST_PARENT	
17	23	IS_AST_PARENT	
13	17	IS_AST_PARENT	
7	13	IS_AST_PARENT	
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
34	35	IS_AST_PARENT	
34	36	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	37	IS_AST_PARENT	
32	33	IS_AST_PARENT	
39	40	IS_AST_PARENT	
38	39	IS_AST_PARENT	
42	43	IS_AST_PARENT	
41	42	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	49	IS_AST_PARENT	
44	45	IS_AST_PARENT	
41	44	IS_AST_PARENT	
51	52	IS_AST_PARENT	
54	55	IS_AST_PARENT	
54	56	IS_AST_PARENT	
53	54	IS_AST_PARENT	
53	57	IS_AST_PARENT	
51	53	IS_AST_PARENT	
50	51	IS_AST_PARENT	
41	50	IS_AST_PARENT	
38	41	IS_AST_PARENT	
32	38	IS_AST_PARENT	
31	32	IS_AST_PARENT	
30	31	IS_AST_PARENT	
5	30	IS_AST_PARENT	
4	5	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	58	IS_AST_PARENT	
3	59	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
60	61	IS_AST_PARENT	
3	60	IS_AST_PARENT	
64	61	FLOWS_TO	
61	6	FLOWS_TO	
6	31	FLOWS_TO	
6	65	FLOWS_TO	
31	65	FLOWS_TO	
6	66	USE	
31	66	USE	
44	66	USE	
31	66	DEF	
32	66	DEF	
6	67	USE	
31	67	USE	
44	67	USE	
31	67	DEF	
32	67	DEF	
31	68	USE	
32	68	USE	
6	69	USE	
25	69	USE	
31	69	USE	
50	69	USE	
33	69	USE	
45	69	USE	
53	69	USE	
6	70	USE	
25	70	USE	
31	70	USE	
33	70	USE	
45	70	USE	
50	70	USE	
53	70	USE	
61	71	DEF	
6	71	USE	
20	71	USE	
26	71	USE	
31	71	USE	
54	71	USE	
42	71	USE	
46	71	USE	
34	71	USE	
61	6	REACHES	env
61	31	REACHES	env
64	61	CONTROLS	
64	6	CONTROLS	
6	31	CONTROLS	
61	6	DOM	
64	61	DOM	
64	64	DOM	
6	65	DOM	
6	31	DOM	
65	6	POST_DOM	
6	61	POST_DOM	
65	65	POST_DOM	
61	64	POST_DOM	
65	31	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	64	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
