command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/scan/output/_work/source/09_codexglue_devign_25916__pattern_dead_code__c1.c								
ANR	2	Function	spr_write_ibatl	1:0:0:387							
ANR	3	FunctionDef	"spr_write_ibatl (void * opaque , int sprn)"		2	0					
ANR	4	CompoundStatement		3:0:54:387	2	0					
ANR	5	IdentifierDeclStatement	DisasContext * ctx = opaque ;	5:4:61:87	2	0	True				
ANR	6	IdentifierDecl	* ctx = opaque		2	0					
ANR	7	IdentifierDeclType	DisasContext *		2	0					
ANR	8	Identifier	ctx		2	1					
ANR	9	AssignmentExpression	* ctx = opaque		2	2		=			
ANR	10	Identifier	opaque		2	0					
ANR	11	Identifier	opaque		2	1					
ANR	12	IfStatement	if ( 0 )		2	1					
ANR	13	Condition	0	9:8:100:100	2	0	True				
ANR	14	PrimaryExpression	0		2	0					
ANR	15	CompoundStatement		10:8:124:162	2	1					
ANR	16	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	10:8:113:136	2	0	True				
ANR	17	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	18	IdentifierDeclType	char [ 8 ]		2	0					
ANR	19	Identifier	dwk_src_1		2	1					
ANR	20	PrimaryExpression	8		2	2					
ANR	21	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	22	Identifier	dwk_src_1		2	0					
ANR	23	InitializerList	0		2	1					
ANR	24	PrimaryExpression	0		2	0					
ANR	25	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	11:8:146:169	2	1	True				
ANR	26	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	27	IdentifierDeclType	char [ 8 ]		2	0					
ANR	28	Identifier	dwk_dst_1		2	1					
ANR	29	PrimaryExpression	8		2	2					
ANR	30	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	31	Identifier	dwk_dst_1		2	0					
ANR	32	InitializerList	0		2	1					
ANR	33	PrimaryExpression	0		2	0					
ANR	34	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	12:8:179:217	2	2	True				
ANR	35	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	36	IdentifierDeclType	int		2	0					
ANR	37	Identifier	dwk_len_1		2	1					
ANR	38	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
ANR	39	Identifier	dwk_len_1		2	0					
ANR	40	CastExpression	( int ) sizeof ( dwk_dst_1 )		2	1					
ANR	41	CastTarget	int		2	0					
ANR	42	SizeofExpression	sizeof ( dwk_dst_1 )		2	1					
ANR	43	Sizeof	sizeof		2	0					
ANR	44	SizeofOperand	dwk_dst_1		2	1					
ANR	45	IfStatement	if ( dwk_len_1 > 0 )		2	3					
ANR	46	Condition	dwk_len_1 > 0	13:12:231:243	2	0	True				
ANR	47	RelationalExpression	dwk_len_1 > 0		2	0		>			
ANR	48	Identifier	dwk_len_1		2	0					
ANR	49	PrimaryExpression	0		2	1					
ANR	50	CompoundStatement		11:27:191:191	2	1					
ANR	51	ExpressionStatement	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]	14:12:260:299	2	0	True				
ANR	52	AssignmentExpression	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]		2	0		=			
ANR	53	ArrayIndexing	dwk_dst_1 [ dwk_len_1 - 1 ]		2	0					
ANR	54	Identifier	dwk_dst_1		2	0					
ANR	55	AdditiveExpression	dwk_len_1 - 1		2	1		-			
ANR	56	Identifier	dwk_len_1		2	0					
ANR	57	PrimaryExpression	1		2	1					
ANR	58	ArrayIndexing	dwk_src_1 [ 0 ]		2	1					
ANR	59	Identifier	dwk_src_1		2	0					
ANR	60	PrimaryExpression	0		2	1					
ANR	61	ExpressionStatement	gen_op_store_ibatl ( ( sprn - SPR_IBAT0L ) / 2 )	17:4:321:364	2	2	True				
ANR	62	CallExpression	gen_op_store_ibatl ( ( sprn - SPR_IBAT0L ) / 2 )		2	0					
ANR	63	Callee	gen_op_store_ibatl		2	0					
ANR	64	Identifier	gen_op_store_ibatl		2	0					
ANR	65	ArgumentList	( sprn - SPR_IBAT0L ) / 2		2	1					
ANR	66	Argument	( sprn - SPR_IBAT0L ) / 2		2	0					
ANR	67	MultiplicativeExpression	( sprn - SPR_IBAT0L ) / 2		2	0		/			
ANR	68	AdditiveExpression	sprn - SPR_IBAT0L		2	0		-			
ANR	69	Identifier	sprn		2	0					
ANR	70	Identifier	SPR_IBAT0L		2	1					
ANR	71	PrimaryExpression	2		2	1					
ANR	72	ExpressionStatement	RET_STOP ( ctx )	19:4:371:384	2	3	True				
ANR	73	CallExpression	RET_STOP ( ctx )		2	0					
ANR	74	Callee	RET_STOP		2	0					
ANR	75	Identifier	RET_STOP		2	0					
ANR	76	ArgumentList	ctx		2	1					
ANR	77	Argument	ctx		2	0					
ANR	78	Identifier	ctx		2	0					
ANR	79	ReturnType	static void		2	1					
ANR	80	Identifier	spr_write_ibatl		2	2					
ANR	81	ParameterList	"void * opaque , int sprn"		2	3					
ANR	82	Parameter	void * opaque	1:29:29:40	2	0	True				
ANR	83	ParameterType	void *		2	0					
ANR	84	Identifier	opaque		2	1					
ANR	85	Parameter	int sprn	1:43:43:50	2	1	True				
ANR	86	ParameterType	int		2	0					
ANR	87	Identifier	sprn		2	1					
ANR	88	CFGEntryNode	ENTRY		2		True				
ANR	89	CFGExitNode	EXIT		2		True				
ANR	90	Symbol	* dwk_src_1		2						
ANR	91	Symbol	opaque		2						
ANR	92	Symbol	* dwk_dst_1		2						
ANR	93	Symbol	dwk_dst_1		2						
ANR	94	Symbol	ctx		2						
ANR	95	Symbol	dwk_src_1		2						
ANR	96	Symbol	SPR_IBAT0L		2						
ANR	97	Symbol	* dwk_len_1		2						
ANR	98	Symbol	sprn		2						
ANR	99	Symbol	dwk_len_1		2						
