action,count,flips,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,attempted,failed
array_index_bound_guard,60,0,-0.012968878023216326,-0.16835618019104004,0.002011418342590332,25.846153846153847,40.30769230769231,60,47
control_wrapper,60,0,-0.005101476674552553,-0.13646896183490753,0.23140433430671692,4.214285714285714,14.375,60,4
data_flow_alias,60,0,0.00326305326170444,-0.09418648481369019,0.2314043641090393,19.321428571428573,43.732142857142854,60,4
dead_statement,60,1,-0.01209023315968515,-0.7345554232597351,0.23140433430671692,12.0,27.0,60,4
integer_overflow_guard,60,0,,,,,,60,60
pattern_dead_code,60,0,-0.0051081880450312925,-0.2942602038383484,0.20899438858032227,54.017857142857146,99.19642857142857,60,4
postcondition_validation,60,0,,,,,,60,60
range_clamp,60,0,-0.23103473377573372,-0.47020547633292153,0.004910346586257219,30.0,69.63636363636364,60,49
safe_source_substitution,60,0,-0.03225257271665077,-0.16446983814239502,2.0968232846644425e-14,8.714285714285714,16.142857142857142,60,53
sink_bound_guard,60,4,0.0338617750835041,-0.13202708959579468,0.15224596858024597,16.181818181818183,30.636363636363637,60,49
temp_variable_split,60,0,0.00038352730291275785,-0.014714181423187256,0.021838143467903137,8.0,17.846153846153847,60,34
wide_char_sink_guard,60,0,-0.0009821057319641113,-0.0009821057319641113,-0.0009821057319641113,18.0,34.0,60,59
xfg_targeted_dead_code,60,1,-0.018384918370512378,-0.7488197386264801,0.02008461591321975,15.714285714285714,35.357142857142854,60,4
