method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
random_graph::edge_add,1,7,58,58,30,1,0.03333333333333333,1.0,0.027039072301553186
random_graph::edge_add,1,17,58,58,30,0,0.0,1.0,0.02992405603390936
random_graph::edge_add,1,29,58,58,30,1,0.03333333333333333,1.0,0.06333780791713095
random_graph::edge_add,1,42,58,58,30,0,0.0,1.0,0.05808394096267316
random_graph::edge_add,1,61,58,58,30,0,0.0,1.0,0.03691361159645091
random_graph::edge_add,1,73,58,58,30,0,0.0,1.0,0.024203933845924355
random_graph::edge_add,1,89,58,58,30,2,0.06666666666666667,1.0,0.027969202819220523
random_graph::edge_add,1,101,58,58,30,1,0.03333333333333333,1.0,0.04351635293869381
random_graph::edge_add,1,137,58,58,30,1,0.03333333333333333,1.0,0.026599826766794586
random_graph::edge_add,1,2026,58,58,30,0,0.0,1.0,0.06304137143236078
random_graph::edge_add,3,7,58,58,30,1,0.03333333333333333,1.0,0.06019935703847026
random_graph::edge_add,3,17,58,58,30,1,0.03333333333333333,1.0,0.07200887123400272
random_graph::edge_add,3,29,58,58,30,1,0.03333333333333333,1.0,0.07885219161981642
random_graph::edge_add,3,42,58,58,30,0,0.0,1.0,0.06881269923508695
random_graph::edge_add,3,61,58,58,30,1,0.03333333333333333,1.0,0.02752142823053475
random_graph::edge_add,3,73,58,58,30,2,0.06666666666666667,1.0,0.1221652035487189
random_graph::edge_add,3,89,58,58,30,1,0.03333333333333333,1.0,0.026315907269011275
random_graph::edge_add,3,101,58,58,30,1,0.03333333333333333,1.0,0.07102155325932857
random_graph::edge_add,3,137,58,58,30,2,0.06666666666666667,1.0,0.07190686211313313
random_graph::edge_add,3,2026,58,58,30,2,0.06666666666666667,1.0,0.10073708889116885
random_graph::edge_add,5,7,58,58,30,1,0.03333333333333333,1.0,0.09718448980858982
random_graph::edge_add,5,17,58,58,30,1,0.03333333333333333,1.0,0.05611718102159599
random_graph::edge_add,5,29,58,58,30,1,0.03333333333333333,1.0,0.05136757328519938
random_graph::edge_add,5,42,58,58,30,0,0.0,1.0,0.08322417334293834
random_graph::edge_add,5,61,58,58,30,0,0.0,1.0,0.03399203853635156
random_graph::edge_add,5,73,58,58,30,0,0.0,1.0,0.11154851975348291
random_graph::edge_add,5,89,58,58,30,0,0.0,1.0,0.07543141832856057
random_graph::edge_add,5,101,58,58,30,1,0.03333333333333333,1.0,0.09207009183240086
random_graph::edge_add,5,137,58,58,30,3,0.1,1.0,0.0914640385664533
random_graph::edge_add,5,2026,58,58,30,2,0.06666666666666667,1.0,0.10610568428363208
random_graph::edge_delete,1,7,58,58,30,1,0.03333333333333333,1.0,0.023884480790751724
random_graph::edge_delete,1,17,58,58,30,0,0.0,1.0,0.0049444787664286146
random_graph::edge_delete,1,29,58,58,30,0,0.0,1.0,0.03330043994238776
random_graph::edge_delete,1,42,58,58,30,0,0.0,1.0,0.02875167724909438
random_graph::edge_delete,1,61,58,58,30,0,0.0,1.0,0.04104485565799759
random_graph::edge_delete,1,73,58,58,30,0,0.0,1.0,0.009179115645238413
random_graph::edge_delete,1,89,58,58,30,0,0.0,1.0,0.038662278214531436
random_graph::edge_delete,1,101,58,58,30,1,0.03333333333333333,1.0,0.018602660118820544
random_graph::edge_delete,1,137,58,58,30,0,0.0,1.0,0.03130289082455838
random_graph::edge_delete,1,2026,58,58,30,0,0.0,1.0,0.0287980881371105
random_graph::edge_delete,3,7,58,50,26,0,0.0,0.8620689655172413,0.05464432240701678
random_graph::edge_delete,3,17,58,57,29,1,0.034482758620689655,0.9827586206896551,0.06624626509970245
random_graph::edge_delete,3,29,58,50,26,2,0.07692307692307693,0.8620689655172413,0.06818041190753193
random_graph::edge_delete,3,42,58,57,29,1,0.034482758620689655,0.9827586206896551,0.06521363080406652
random_graph::edge_delete,3,61,58,57,29,0,0.0,0.9827586206896551,0.07427373705130544
random_graph::edge_delete,3,73,58,48,25,1,0.04,0.8275862068965517,0.021681933570637982
random_graph::edge_delete,3,89,58,50,26,0,0.0,0.8620689655172413,0.07455595815020899
random_graph::edge_delete,3,101,58,57,29,1,0.034482758620689655,0.9827586206896551,0.09777776132926498
random_graph::edge_delete,3,137,58,57,29,0,0.0,0.9827586206896551,0.0753497633303161
random_graph::edge_delete,3,2026,58,57,29,2,0.06896551724137931,0.9827586206896551,0.09954769910537077
random_graph::edge_delete,5,7,58,45,24,2,0.08333333333333333,0.7758620689655172,0.08167429499632205
random_graph::edge_delete,5,17,58,45,24,1,0.041666666666666664,0.7758620689655172,0.04962922581383201
random_graph::edge_delete,5,29,58,45,24,2,0.08333333333333333,0.7758620689655172,0.08753260711175498
random_graph::edge_delete,5,42,58,45,24,2,0.08333333333333333,0.7758620689655172,0.07474404092811629
random_graph::edge_delete,5,61,58,45,24,0,0.0,0.7758620689655172,0.040955045974889366
random_graph::edge_delete,5,73,58,43,23,2,0.08695652173913043,0.7413793103448276,0.07665729298130501
random_graph::edge_delete,5,89,58,45,24,1,0.041666666666666664,0.7758620689655172,0.06261597111954871
random_graph::edge_delete,5,101,58,43,23,1,0.043478260869565216,0.7413793103448276,0.1057167833066522
random_graph::edge_delete,5,137,58,45,24,1,0.041666666666666664,0.7758620689655172,0.03761826434001203
random_graph::edge_delete,5,2026,58,43,23,1,0.043478260869565216,0.7413793103448276,0.04062950681819931
random_graph::edge_reconnect,1,7,58,58,30,0,0.0,1.0,0.06996910416359393
random_graph::edge_reconnect,1,17,58,58,30,1,0.03333333333333333,1.0,0.07312896603436538
random_graph::edge_reconnect,1,29,58,58,30,1,0.03333333333333333,1.0,0.06619138422737199
random_graph::edge_reconnect,1,42,58,58,30,0,0.0,1.0,0.032608316814488704
