start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
18	19	IS_AST_PARENT	
18	20	IS_AST_PARENT	
14	18	IS_AST_PARENT	
4	14	IS_AST_PARENT	
23	24	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	27	IS_AST_PARENT	
23	25	IS_AST_PARENT	
22	23	IS_AST_PARENT	
21	22	IS_AST_PARENT	
30	31	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	35	IS_AST_PARENT	
32	33	IS_AST_PARENT	
36	37	IS_AST_PARENT	
36	38	IS_AST_PARENT	
32	36	IS_AST_PARENT	
30	32	IS_AST_PARENT	
29	30	IS_AST_PARENT	
28	29	IS_AST_PARENT	
40	41	IS_AST_PARENT	
42	43	IS_AST_PARENT	
44	45	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	48	IS_AST_PARENT	
44	46	IS_AST_PARENT	
42	44	IS_AST_PARENT	
40	42	IS_AST_PARENT	
39	40	IS_AST_PARENT	
28	39	IS_AST_PARENT	
51	52	IS_AST_PARENT	
51	53	IS_AST_PARENT	
50	51	IS_AST_PARENT	
50	54	IS_AST_PARENT	
49	50	IS_AST_PARENT	
28	49	IS_AST_PARENT	
57	58	IS_AST_PARENT	
56	57	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
60	61	IS_AST_PARENT	
59	60	IS_AST_PARENT	
56	59	IS_AST_PARENT	
55	56	IS_AST_PARENT	
28	55	IS_AST_PARENT	
65	66	IS_AST_PARENT	
65	67	IS_AST_PARENT	
64	65	IS_AST_PARENT	
28	64	IS_AST_PARENT	
21	28	IS_AST_PARENT	
4	21	IS_AST_PARENT	
70	71	IS_AST_PARENT	
69	70	IS_AST_PARENT	
69	72	IS_AST_PARENT	
68	69	IS_AST_PARENT	
4	68	IS_AST_PARENT	
75	76	IS_AST_PARENT	
74	75	IS_AST_PARENT	
74	77	IS_AST_PARENT	
73	74	IS_AST_PARENT	
4	73	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	78	IS_AST_PARENT	
80	81	IS_AST_PARENT	
80	82	IS_AST_PARENT	
79	80	IS_AST_PARENT	
83	84	IS_AST_PARENT	
83	85	IS_AST_PARENT	
79	83	IS_AST_PARENT	
3	79	IS_AST_PARENT	
86	80	FLOWS_TO	
80	83	FLOWS_TO	
83	5	FLOWS_TO	
5	14	FLOWS_TO	
14	22	FLOWS_TO	
22	29	FLOWS_TO	
22	68	FLOWS_TO	
29	39	FLOWS_TO	
39	49	FLOWS_TO	
49	55	FLOWS_TO	
55	64	FLOWS_TO	
64	22	FLOWS_TO	
68	73	FLOWS_TO	
73	87	FLOWS_TO	
14	88	DEF	
18	88	DEF	
39	88	DEF	
40	88	DEF	
49	88	USE	
51	88	USE	
5	89	DEF	
6	89	DEF	
9	89	DEF	
22	89	USE	
29	89	USE	
36	89	USE	
30	89	USE	
29	90	USE	
30	90	USE	
49	91	USE	
50	91	USE	
14	92	DEF	
15	92	DEF	
29	92	DEF	
30	92	DEF	
39	92	USE	
40	92	USE	
55	92	USE	
60	92	USE	
80	93	DEF	
5	93	USE	
9	93	USE	
83	94	DEF	
22	94	USE	
49	95	USE	
50	95	USE	
49	95	DEF	
50	95	DEF	
39	49	REACHES	b
5	22	REACHES	offp
5	29	REACHES	offp
29	39	REACHES	ip
29	55	REACHES	ip
80	5	REACHES	start
83	22	REACHES	end
49	49	REACHES	* b
86	80	CONTROLS	
86	83	CONTROLS	
86	5	CONTROLS	
86	14	CONTROLS	
86	22	CONTROLS	
86	68	CONTROLS	
86	73	CONTROLS	
22	29	CONTROLS	
22	39	CONTROLS	
22	49	CONTROLS	
22	55	CONTROLS	
22	64	CONTROLS	
14	22	DOM	
80	83	DOM	
73	87	DOM	
55	64	DOM	
49	55	DOM	
39	49	DOM	
22	68	DOM	
86	80	DOM	
5	14	DOM	
86	86	DOM	
22	29	DOM	
68	73	DOM	
83	5	DOM	
29	39	DOM	
68	22	POST_DOM	
5	83	POST_DOM	
87	87	POST_DOM	
22	64	POST_DOM	
64	55	POST_DOM	
73	68	POST_DOM	
55	49	POST_DOM	
22	14	POST_DOM	
83	80	POST_DOM	
80	86	POST_DOM	
39	29	POST_DOM	
87	73	POST_DOM	
14	5	POST_DOM	
49	39	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	86	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
