command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/baseline/cvefixes__11_fixed_generic_perform_write/_work/source/11_fixed_generic_perform_write.c								
ANR	2	Function	generic_perform_write	1:0:0:2338							
ANR	3	FunctionDef	"generic_perform_write (struct file * file , struct iov_iter * i , loff_t pos)"		2	0					
ANR	4	CompoundStatement		3:0:92:2338	2	0					
ANR	5	IdentifierDeclStatement	struct address_space * mapping = file -> f_mapping ;	4:1:95:142	2	0	True				
ANR	6	IdentifierDecl	* mapping = file -> f_mapping		2	0					
ANR	7	IdentifierDeclType	struct address_space *		2	0					
ANR	8	Identifier	mapping		2	1					
ANR	9	AssignmentExpression	* mapping = file -> f_mapping		2	2		=			
ANR	10	Identifier	mapping		2	0					
ANR	11	PtrMemberAccess	file -> f_mapping		2	1					
ANR	12	Identifier	file		2	0					
ANR	13	Identifier	f_mapping		2	1					
ANR	14	IdentifierDeclStatement	const struct address_space_operations * a_ops = mapping -> a_ops ;	5:1:145:206	2	1	True				
ANR	15	IdentifierDecl	* a_ops = mapping -> a_ops		2	0					
ANR	16	IdentifierDeclType	const struct address_space_operations *		2	0					
ANR	17	Identifier	a_ops		2	1					
ANR	18	AssignmentExpression	* a_ops = mapping -> a_ops		2	2		=			
ANR	19	Identifier	a_ops		2	0					
ANR	20	PtrMemberAccess	mapping -> a_ops		2	1					
ANR	21	Identifier	mapping		2	0					
ANR	22	Identifier	a_ops		2	1					
ANR	23	IdentifierDeclStatement	long status = 0 ;	6:1:209:224	2	2	True				
ANR	24	IdentifierDecl	status = 0		2	0					
ANR	25	IdentifierDeclType	long		2	0					
ANR	26	Identifier	status		2	1					
ANR	27	AssignmentExpression	status = 0		2	2		=			
ANR	28	Identifier	status		2	0					
ANR	29	PrimaryExpression	0		2	1					
ANR	30	IdentifierDeclStatement	ssize_t written = 0 ;	7:1:227:246	2	3	True				
ANR	31	IdentifierDecl	written = 0		2	0					
ANR	32	IdentifierDeclType	ssize_t		2	0					
ANR	33	Identifier	written		2	1					
ANR	34	AssignmentExpression	written = 0		2	2		=			
ANR	35	Identifier	written		2	0					
ANR	36	PrimaryExpression	0		2	1					
ANR	37	IdentifierDeclStatement	unsigned int flags = 0 ;	8:1:249:271	2	4	True				
ANR	38	IdentifierDecl	flags = 0		2	0					
ANR	39	IdentifierDeclType	unsigned int		2	0					
ANR	40	Identifier	flags		2	1					
ANR	41	AssignmentExpression	flags = 0		2	2		=			
ANR	42	Identifier	flags		2	0					
ANR	43	PrimaryExpression	0		2	1					
ANR	44	IfStatement	"if ( segment_eq ( get_fs ( ) , KERNEL_DS ) )"		2	5					
ANR	45	Condition	"segment_eq ( get_fs ( ) , KERNEL_DS )"	13:5:359:389	2	0	True				
ANR	46	CallExpression	"segment_eq ( get_fs ( ) , KERNEL_DS )"		2	0					
ANR	47	Callee	segment_eq		2	0					
ANR	48	Identifier	segment_eq		2	0					
ANR	49	ArgumentList	get_fs ( )		2	1					
ANR	50	Argument	get_fs ( )		2	0					
ANR	51	CallExpression	get_fs ( )		2	0					
ANR	52	Callee	get_fs		2	0					
ANR	53	Identifier	get_fs		2	0					
ANR	54	ArgumentList			2	1					
ANR	55	Argument	KERNEL_DS		2	1					
ANR	56	Identifier	KERNEL_DS		2	0					
ANR	57	ExpressionStatement	flags |= AOP_FLAG_UNINTERRUPTIBLE	14:2:394:427	2	1	True				
ANR	58	AssignmentExpression	flags |= AOP_FLAG_UNINTERRUPTIBLE		2	0		|=			
ANR	59	Identifier	flags		2	0					
ANR	60	Identifier	AOP_FLAG_UNINTERRUPTIBLE		2	1					
ANR	61	DoStatement	do		2	6					
ANR	62	CompoundStatement		20:2:579:591	2	0					
ANR	63	IdentifierDeclStatement	struct page * page ;	17:2:438:455	2	0	True				
ANR	64	IdentifierDecl	* page		2	0					
ANR	65	IdentifierDeclType	struct page *		2	0					
ANR	66	Identifier	page		2	1					
ANR	67	IdentifierDeclStatement	pgoff_t index ;	18:2:459:472	2	1	True				
ANR	68	IdentifierDecl	index		2	0					
ANR	69	IdentifierDeclType	pgoff_t		2	0					
ANR	70	Identifier	index		2	1					
ANR	71	IdentifierDeclStatement	unsigned long offset ;	19:2:516:536	2	2	True				
ANR	72	IdentifierDecl	offset		2	0					
ANR	73	IdentifierDeclType	unsigned long		2	0					
ANR	74	Identifier	offset		2	1					
ANR	75	IdentifierDeclStatement	unsigned long bytes ;	20:2:573:592	2	3	True				
ANR	76	IdentifierDecl	bytes		2	0					
ANR	77	IdentifierDeclType	unsigned long		2	0					
ANR	78	Identifier	bytes		2	1					
ANR	79	IdentifierDeclStatement	size_t copied ;	21:2:625:638	2	4	True				
ANR	80	IdentifierDecl	copied		2	0					
ANR	81	IdentifierDeclType	size_t		2	0					
ANR	82	Identifier	copied		2	1					
ANR	83	IdentifierDeclStatement	void * fsdata ;	22:2:672:684	2	5	True				
ANR	84	IdentifierDecl	* fsdata		2	0					
ANR	85	IdentifierDeclType	void *		2	0					
ANR	86	Identifier	fsdata		2	1					
ANR	87	ExpressionStatement	offset = ( pos & ( PAGE_CACHE_SIZE - 1 ) )	24:2:689:727	2	6	True				
ANR	88	AssignmentExpression	offset = ( pos & ( PAGE_CACHE_SIZE - 1 ) )		2	0		=			
ANR	89	Identifier	offset		2	0					
ANR	90	BitAndExpression	pos & ( PAGE_CACHE_SIZE - 1 )		2	1		&			
ANR	91	Identifier	pos		2	0					
ANR	92	AdditiveExpression	PAGE_CACHE_SIZE - 1		2	1		-			
ANR	93	Identifier	PAGE_CACHE_SIZE		2	0					
ANR	94	PrimaryExpression	1		2	1					
ANR	95	ExpressionStatement	index = pos >> PAGE_CACHE_SHIFT	25:2:731:762	2	7	True				
ANR	96	AssignmentExpression	index = pos >> PAGE_CACHE_SHIFT		2	0		=			
ANR	97	Identifier	index		2	0					
ANR	98	ShiftExpression	pos >> PAGE_CACHE_SHIFT		2	1		>>			
ANR	99	Identifier	pos		2	0					
ANR	100	Identifier	PAGE_CACHE_SHIFT		2	1					
ANR	101	Statement	bytes	26:2:766:770	2	8	True				
ANR	102	Statement	=	26:8:772:772	2	9	True				
ANR	103	Statement	min_t	26:10:774:778	2	10	True				
ANR	104	Statement	(	26:15:779:779	2	11	True				
ANR	105	Statement	unsigned	26:16:780:787	2	12	True				
ANR	106	Statement	long	26:25:789:792	2	13	True				
ANR	107	Statement	","	26:29:793:793	2	14	True				
ANR	108	Statement	PAGE_CACHE_SIZE	26:31:795:809	2	15	True				
ANR	109	Statement	-	26:47:811:811	2	16	True				
ANR	110	Statement	offset	26:49:813:818	2	17	True				
ANR	111	Statement	","	26:55:819:819	2	18	True				
ANR	112	Statement	iov_iter_count	27:6:827:840	2	19	True				
ANR	113	Statement	(	27:20:841:841	2	20	True				
ANR	114	Statement	i	27:21:842:842	2	21	True				
ANR	115	Statement	)	27:22:843:843	2	22	True				
ANR	116	Statement	)	27:23:844:844	2	23	True				
ANR	117	ExpressionStatement		27:24:845:845	2	24	True				
ANR	118	Label	again :	29:0:848:853	2	25	True				
ANR	119	Identifier	again		2	0					
ANR	120	IfStatement	"if ( unlikely ( iov_iter_fault_in_readable ( i , bytes ) ) )"		2	26					
ANR	121	Condition	"unlikely ( iov_iter_fault_in_readable ( i , bytes ) )"	41:6:1233:1278	2	0	True				
ANR	122	CallExpression	"unlikely ( iov_iter_fault_in_readable ( i , bytes ) )"		2	0					
ANR	123	Callee	unlikely		2	0					
ANR	124	Identifier	unlikely		2	0					
ANR	125	ArgumentList	"iov_iter_fault_in_readable ( i , bytes )"		2	1					
ANR	126	Argument	"iov_iter_fault_in_readable ( i , bytes )"		2	0					
ANR	127	CallExpression	"iov_iter_fault_in_readable ( i , bytes )"		2	0					
ANR	128	Callee	iov_iter_fault_in_readable		2	0					
ANR	129	Identifier	iov_iter_fault_in_readable		2	0					
ANR	130	ArgumentList	i		2	1					
ANR	131	Argument	i		2	0					
ANR	132	Identifier	i		2	0					
ANR	133	Argument	bytes		2	1					
ANR	134	Identifier	bytes		2	0					
ANR	135	CompoundStatement		39:54:1188:1188	2	1					
ANR	136	ExpressionStatement	status = - EFAULT	42:3:1286:1302	2	0	True				
ANR	137	AssignmentExpression	status = - EFAULT		2	0		=			
ANR	138	Identifier	status		2	0					
ANR	139	UnaryOperationExpression	- EFAULT		2	1					
ANR	140	UnaryOperator	-		2	0					
ANR	141	Identifier	EFAULT		2	1					
ANR	142	BreakStatement	break ;	43:3:1307:1312	2	1	True				
ANR	143	ExpressionStatement	"status = a_ops -> write_begin ( file , mapping , pos , bytes , flags , & page , & fsdata )"	46:2:1321:1404	2	27	True				
ANR	144	AssignmentExpression	"status = a_ops -> write_begin ( file , mapping , pos , bytes , flags , & page , & fsdata )"		2	0		=			
ANR	145	Identifier	status		2	0					
ANR	146	CallExpression	"a_ops -> write_begin ( file , mapping , pos , bytes , flags , & page , & fsdata )"		2	1					
ANR	147	Callee	a_ops -> write_begin		2	0					
ANR	148	PtrMemberAccess	a_ops -> write_begin		2	0					
ANR	149	Identifier	a_ops		2	0					
ANR	150	Identifier	write_begin		2	1					
ANR	151	ArgumentList	file		2	1					
ANR	152	Argument	file		2	0					
ANR	153	Identifier	file		2	0					
ANR	154	Argument	mapping		2	1					
ANR	155	Identifier	mapping		2	0					
ANR	156	Argument	pos		2	2					
ANR	157	Identifier	pos		2	0					
ANR	158	Argument	bytes		2	3					
ANR	159	Identifier	bytes		2	0					
ANR	160	Argument	flags		2	4					
ANR	161	Identifier	flags		2	0					
ANR	162	Argument	& page		2	5					
ANR	163	UnaryOperationExpression	& page		2	0					
ANR	164	UnaryOperator	&		2	0					
ANR	165	Identifier	page		2	1					
ANR	166	Argument	& fsdata		2	6					
ANR	167	UnaryOperationExpression	& fsdata		2	0					
ANR	168	UnaryOperator	&		2	0					
ANR	169	Identifier	fsdata		2	1					
ANR	170	IfStatement	if ( unlikely ( status ) )		2	28					
ANR	171	Condition	unlikely ( status )	48:6:1412:1427	2	0	True				
ANR	172	CallExpression	unlikely ( status )		2	0					
ANR	173	Callee	unlikely		2	0					
ANR	174	Identifier	unlikely		2	0					
ANR	175	ArgumentList	status		2	1					
ANR	176	Argument	status		2	0					
ANR	177	Identifier	status		2	0					
ANR	178	BreakStatement	break ;	49:3:1433:1438	2	1	True				
ANR	179	ExpressionStatement	pagefault_disable ( )	51:2:1443:1462	2	29	True				
ANR	180	CallExpression	pagefault_disable ( )		2	0					
ANR	181	Callee	pagefault_disable		2	0					
ANR	182	Identifier	pagefault_disable		2	0					
ANR	183	ArgumentList			2	1					
ANR	184	ExpressionStatement	"copied = iov_iter_copy_from_user_atomic ( page , i , offset , bytes )"	52:2:1466:1529	2	30	True				
ANR	185	AssignmentExpression	"copied = iov_iter_copy_from_user_atomic ( page , i , offset , bytes )"		2	0		=			
ANR	186	Identifier	copied		2	0					
ANR	187	CallExpression	"iov_iter_copy_from_user_atomic ( page , i , offset , bytes )"		2	1					
ANR	188	Callee	iov_iter_copy_from_user_atomic		2	0					
ANR	189	Identifier	iov_iter_copy_from_user_atomic		2	0					
ANR	190	ArgumentList	page		2	1					
ANR	191	Argument	page		2	0					
ANR	192	Identifier	page		2	0					
ANR	193	Argument	i		2	1					
ANR	194	Identifier	i		2	0					
ANR	195	Argument	offset		2	2					
ANR	196	Identifier	offset		2	0					
ANR	197	Argument	bytes		2	3					
ANR	198	Identifier	bytes		2	0					
ANR	199	ExpressionStatement	pagefault_enable ( )	53:2:1533:1551	2	31	True				
ANR	200	CallExpression	pagefault_enable ( )		2	0					
ANR	201	Callee	pagefault_enable		2	0					
ANR	202	Identifier	pagefault_enable		2	0					
ANR	203	ArgumentList			2	1					
ANR	204	ExpressionStatement	flush_dcache_page ( page )	54:2:1555:1578	2	32	True				
ANR	205	CallExpression	flush_dcache_page ( page )		2	0					
ANR	206	Callee	flush_dcache_page		2	0					
ANR	207	Identifier	flush_dcache_page		2	0					
ANR	208	ArgumentList	page		2	1					
ANR	209	Argument	page		2	0					
ANR	210	Identifier	page		2	0					
ANR	211	ExpressionStatement	"status = a_ops -> write_end ( file , mapping , pos , bytes , copied , page , fsdata )"	56:2:1583:1663	2	33	True				
ANR	212	AssignmentExpression	"status = a_ops -> write_end ( file , mapping , pos , bytes , copied , page , fsdata )"		2	0		=			
ANR	213	Identifier	status		2	0					
ANR	214	CallExpression	"a_ops -> write_end ( file , mapping , pos , bytes , copied , page , fsdata )"		2	1					
ANR	215	Callee	a_ops -> write_end		2	0					
ANR	216	PtrMemberAccess	a_ops -> write_end		2	0					
ANR	217	Identifier	a_ops		2	0					
ANR	218	Identifier	write_end		2	1					
