command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/baseline/cvefixes__20_vulnerable_irssi_ssl_handshake/_work/source/20_vulnerable_irssi_ssl_handshake.c								
ANR	2	Function	irssi_ssl_handshake	1:0:0:1150							
ANR	3	FunctionDef	irssi_ssl_handshake (GIOChannel * handle)		2	0					
ANR	4	CompoundStatement		2:0:44:1150	2	0					
ANR	5	IdentifierDeclStatement	GIOSSLChannel * chan = ( GIOSSLChannel * ) handle ;	3:1:47:92	2	0	True				
ANR	6	IdentifierDecl	* chan = ( GIOSSLChannel * ) handle		2	0					
ANR	7	IdentifierDeclType	GIOSSLChannel *		2	0					
ANR	8	Identifier	chan		2	1					
ANR	9	AssignmentExpression	* chan = ( GIOSSLChannel * ) handle		2	2		=			
ANR	10	Identifier	chan		2	0					
ANR	11	CastExpression	( GIOSSLChannel * ) handle		2	1					
ANR	12	CastTarget	GIOSSLChannel *		2	0					
ANR	13	Identifier	handle		2	1					
ANR	14	IdentifierDeclStatement	"int ret , err ;"	4:1:95:107	2	1	True				
ANR	15	IdentifierDecl	ret		2	0					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	ret		2	1					
ANR	18	IdentifierDecl	err		2	1					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	err		2	1					
ANR	21	IdentifierDeclStatement	X509 * cert ;	5:1:110:120	2	2	True				
ANR	22	IdentifierDecl	* cert		2	0					
ANR	23	IdentifierDeclType	X509 *		2	0					
ANR	24	Identifier	cert		2	1					
ANR	25	IdentifierDeclStatement	const char * errstr ;	6:1:123:141	2	3	True				
ANR	26	IdentifierDecl	* errstr		2	0					
ANR	27	IdentifierDeclType	const char *		2	0					
ANR	28	Identifier	errstr		2	1					
ANR	29	ExpressionStatement	ret = SSL_connect ( chan -> ssl )	8:1:145:173	2	4	True				
ANR	30	AssignmentExpression	ret = SSL_connect ( chan -> ssl )		2	0		=			
ANR	31	Identifier	ret		2	0					
ANR	32	CallExpression	SSL_connect ( chan -> ssl )		2	1					
ANR	33	Callee	SSL_connect		2	0					
ANR	34	Identifier	SSL_connect		2	0					
ANR	35	ArgumentList	chan -> ssl		2	1					
ANR	36	Argument	chan -> ssl		2	0					
ANR	37	PtrMemberAccess	chan -> ssl		2	0					
ANR	38	Identifier	chan		2	0					
ANR	39	Identifier	ssl		2	1					
ANR	40	IfStatement	if ( ret <= 0 )		2	5					
ANR	41	Condition	ret <= 0	9:5:180:187	2	0	True				
ANR	42	RelationalExpression	ret <= 0		2	0		<=			
ANR	43	Identifier	ret		2	0					
ANR	44	PrimaryExpression	0		2	1					
ANR	45	CompoundStatement		8:15:145:145	2	1					
ANR	46	ExpressionStatement	"err = SSL_get_error ( chan -> ssl , ret )"	10:2:194:229	2	0	True				
ANR	47	AssignmentExpression	"err = SSL_get_error ( chan -> ssl , ret )"		2	0		=			
ANR	48	Identifier	err		2	0					
ANR	49	CallExpression	"SSL_get_error ( chan -> ssl , ret )"		2	1					
ANR	50	Callee	SSL_get_error		2	0					
ANR	51	Identifier	SSL_get_error		2	0					
ANR	52	ArgumentList	chan -> ssl		2	1					
ANR	53	Argument	chan -> ssl		2	0					
ANR	54	PtrMemberAccess	chan -> ssl		2	0					
ANR	55	Identifier	chan		2	0					
ANR	56	Identifier	ssl		2	1					
ANR	57	Argument	ret		2	1					
ANR	58	Identifier	ret		2	0					
ANR	59	SwitchStatement	switch ( err )		2	1					
ANR	60	Condition	err	11:10:241:243	2	0	True				
ANR	61	Identifier	err		2	0					
ANR	62	CompoundStatement		10:15:201:201	2	1					
ANR	63	Label	case SSL_ERROR_WANT_READ :	12:3:251:275	2	0	True				
ANR	64	Identifier	SSL_ERROR_WANT_READ		2	0					
ANR	65	ReturnStatement	return 1 ;	13:4:281:289	2	1	True				
ANR	66	PrimaryExpression	1		2	0					
ANR	67	Label	case SSL_ERROR_WANT_WRITE :	14:3:294:319	2	2	True				
ANR	68	Identifier	SSL_ERROR_WANT_WRITE		2	0					
ANR	69	ReturnStatement	return 3 ;	15:4:325:333	2	3	True				
ANR	70	PrimaryExpression	3		2	0					
ANR	71	Label	case SSL_ERROR_ZERO_RETURN :	16:3:338:364	2	4	True				
ANR	72	Identifier	SSL_ERROR_ZERO_RETURN		2	0					
ANR	73	ExpressionStatement	"g_warning ( ""SSL handshake failed: %s"" , ""server closed connection"" )"	17:4:370:435	2	5	True				
ANR	74	CallExpression	"g_warning ( ""SSL handshake failed: %s"" , ""server closed connection"" )"		2	0					
ANR	75	Callee	g_warning		2	0					
ANR	76	Identifier	g_warning		2	0					
ANR	77	ArgumentList	"""SSL handshake failed: %s"""		2	1					
ANR	78	Argument	"""SSL handshake failed: %s"""		2	0					
ANR	79	PrimaryExpression	"""SSL handshake failed: %s"""		2	0					
ANR	80	Argument	"""server closed connection"""		2	1					
ANR	81	PrimaryExpression	"""server closed connection"""		2	0					
ANR	82	ReturnStatement	return - 1 ;	18:4:441:450	2	6	True				
ANR	83	UnaryOperationExpression	- 1		2	0					
ANR	84	UnaryOperator	-		2	0					
ANR	85	PrimaryExpression	1		2	1					
ANR	86	Label	case SSL_ERROR_SYSCALL :	19:3:455:477	2	7	True				
ANR	87	Identifier	SSL_ERROR_SYSCALL		2	0					
ANR	88	ExpressionStatement	errstr = ERR_reason_error_string ( ERR_get_error ( ) )	20:4:483:532	2	8	True				
ANR	89	AssignmentExpression	errstr = ERR_reason_error_string ( ERR_get_error ( ) )		2	0		=			
ANR	90	Identifier	errstr		2	0					
ANR	91	CallExpression	ERR_reason_error_string ( ERR_get_error ( ) )		2	1					
ANR	92	Callee	ERR_reason_error_string		2	0					
ANR	93	Identifier	ERR_reason_error_string		2	0					
ANR	94	ArgumentList	ERR_get_error ( )		2	1					
ANR	95	Argument	ERR_get_error ( )		2	0					
ANR	96	CallExpression	ERR_get_error ( )		2	0					
ANR	97	Callee	ERR_get_error		2	0					
ANR	98	Identifier	ERR_get_error		2	0					
ANR	99	ArgumentList			2	1					
ANR	100	IfStatement	if ( errstr == NULL && ret == - 1 )		2	9					
ANR	101	Condition	errstr == NULL && ret == - 1	21:8:542:568	2	0	True				
ANR	102	AndExpression	errstr == NULL && ret == - 1		2	0		&&			
ANR	103	EqualityExpression	errstr == NULL		2	0		==			
ANR	104	Identifier	errstr		2	0					
ANR	105	Identifier	NULL		2	1					
ANR	106	EqualityExpression	ret == - 1		2	1		==			
ANR	107	Identifier	ret		2	0					
ANR	108	UnaryOperationExpression	- 1		2	1					
ANR	109	UnaryOperator	-		2	0					
ANR	110	PrimaryExpression	1		2	1					
ANR	111	ExpressionStatement	errstr = strerror ( errno )	22:5:576:600	2	1	True				
ANR	112	AssignmentExpression	errstr = strerror ( errno )		2	0		=			
ANR	113	Identifier	errstr		2	0					
ANR	114	CallExpression	strerror ( errno )		2	1					
ANR	115	Callee	strerror		2	0					
ANR	116	Identifier	strerror		2	0					
ANR	117	ArgumentList	errno		2	1					
ANR	118	Argument	errno		2	0					
ANR	119	Identifier	errno		2	0					
ANR	120	ExpressionStatement	"g_warning ( ""SSL handshake failed: %s"" , errstr != NULL ? errstr : ""server closed connection unexpectedly"" )"	23:4:606:710	2	10	True				
ANR	121	CallExpression	"g_warning ( ""SSL handshake failed: %s"" , errstr != NULL ? errstr : ""server closed connection unexpectedly"" )"		2	0					
ANR	122	Callee	g_warning		2	0					
ANR	123	Identifier	g_warning		2	0					
ANR	124	ArgumentList	"""SSL handshake failed: %s"""		2	1					
ANR	125	Argument	"""SSL handshake failed: %s"""		2	0					
ANR	126	PrimaryExpression	"""SSL handshake failed: %s"""		2	0					
ANR	127	Argument	"errstr != NULL ? errstr : ""server closed connection unexpectedly"""		2	1					
ANR	128	ConditionalExpression	"errstr != NULL ? errstr : ""server closed connection unexpectedly"""		2	0					
ANR	129	Condition	errstr != NULL		2	0					
ANR	130	EqualityExpression	errstr != NULL		2	0		!=			
ANR	131	Identifier	errstr		2	0					
ANR	132	Identifier	NULL		2	1					
ANR	133	Identifier	errstr		2	1					
ANR	134	PrimaryExpression	"""server closed connection unexpectedly"""		2	2					
ANR	135	ReturnStatement	return - 1 ;	24:4:716:725	2	11	True				
ANR	136	UnaryOperationExpression	- 1		2	0					
ANR	137	UnaryOperator	-		2	0					
ANR	138	PrimaryExpression	1		2	1					
ANR	139	Label	default :	25:3:730:737	2	12	True				
ANR	140	Identifier	default		2	0					
ANR	141	ExpressionStatement	errstr = ERR_reason_error_string ( ERR_get_error ( ) )	26:4:743:792	2	13	True				
ANR	142	AssignmentExpression	errstr = ERR_reason_error_string ( ERR_get_error ( ) )		2	0		=			
ANR	143	Identifier	errstr		2	0					
ANR	144	CallExpression	ERR_reason_error_string ( ERR_get_error ( ) )		2	1					
ANR	145	Callee	ERR_reason_error_string		2	0					
ANR	146	Identifier	ERR_reason_error_string		2	0					
ANR	147	ArgumentList	ERR_get_error ( )		2	1					
ANR	148	Argument	ERR_get_error ( )		2	0					
ANR	149	CallExpression	ERR_get_error ( )		2	0					
ANR	150	Callee	ERR_get_error		2	0					
ANR	151	Identifier	ERR_get_error		2	0					
