start	end	type	var
7	8	IS_AST_PARENT	
7	9	IS_AST_PARENT	
7	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
7	11	IS_AST_PARENT	
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
16	17	IS_AST_PARENT	
15	16	IS_AST_PARENT	
19	20	IS_AST_PARENT	
18	19	IS_AST_PARENT	
21	22	IS_AST_PARENT	
18	21	IS_AST_PARENT	
26	27	IS_AST_PARENT	
25	26	IS_AST_PARENT	
29	30	IS_AST_PARENT	
28	29	IS_AST_PARENT	
25	28	IS_AST_PARENT	
24	25	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
24	31	IS_AST_PARENT	
23	24	IS_AST_PARENT	
18	23	IS_AST_PARENT	
15	18	IS_AST_PARENT	
14	15	IS_AST_PARENT	
5	14	IS_AST_PARENT	
36	37	IS_AST_PARENT	
38	39	IS_AST_PARENT	
38	40	IS_AST_PARENT	
36	38	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	41	IS_AST_PARENT	
34	35	IS_AST_PARENT	
5	34	IS_AST_PARENT	
44	45	IS_AST_PARENT	
43	44	IS_AST_PARENT	
47	48	IS_AST_PARENT	
46	47	IS_AST_PARENT	
43	46	IS_AST_PARENT	
42	43	IS_AST_PARENT	
5	42	IS_AST_PARENT	
4	5	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	49	IS_AST_PARENT	
3	50	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
51	52	IS_AST_PARENT	
3	51	IS_AST_PARENT	
55	52	FLOWS_TO	
52	6	FLOWS_TO	
6	14	FLOWS_TO	
14	34	FLOWS_TO	
34	42	FLOWS_TO	
42	56	FLOWS_TO	
14	57	USE	
23	57	USE	
52	58	DEF	
14	58	USE	
21	58	USE	
29	58	USE	
42	58	USE	
47	58	USE	
34	59	DEF	
35	59	DEF	
6	60	DEF	
11	60	DEF	
7	60	DEF	
14	60	USE	
19	60	USE	
34	60	USE	
36	60	USE	
52	14	REACHES	data
52	42	REACHES	data
6	14	REACHES	dest
6	34	REACHES	dest
55	52	CONTROLS	
55	6	CONTROLS	
55	14	CONTROLS	
55	34	CONTROLS	
55	42	CONTROLS	
52	6	DOM	
14	34	DOM	
6	14	DOM	
42	56	DOM	
34	42	DOM	
55	52	DOM	
55	55	DOM	
14	6	POST_DOM	
42	34	POST_DOM	
34	14	POST_DOM	
56	56	POST_DOM	
56	42	POST_DOM	
6	52	POST_DOM	
52	55	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	55	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
