start	end	type	var
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
10	11	IS_AST_PARENT	
9	10	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	18	IS_AST_PARENT	
13	14	IS_AST_PARENT	
12	13	IS_AST_PARENT	
20	21	IS_AST_PARENT	
19	20	IS_AST_PARENT	
25	26	IS_AST_PARENT	
24	25	IS_AST_PARENT	
28	29	IS_AST_PARENT	
27	28	IS_AST_PARENT	
24	27	IS_AST_PARENT	
23	24	IS_AST_PARENT	
22	23	IS_AST_PARENT	
32	33	IS_AST_PARENT	
32	34	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	35	IS_AST_PARENT	
30	31	IS_AST_PARENT	
22	30	IS_AST_PARENT	
19	22	IS_AST_PARENT	
40	41	IS_AST_PARENT	
39	40	IS_AST_PARENT	
43	44	IS_AST_PARENT	
42	43	IS_AST_PARENT	
39	42	IS_AST_PARENT	
38	39	IS_AST_PARENT	
37	38	IS_AST_PARENT	
47	48	IS_AST_PARENT	
47	49	IS_AST_PARENT	
46	47	IS_AST_PARENT	
46	50	IS_AST_PARENT	
45	46	IS_AST_PARENT	
37	45	IS_AST_PARENT	
36	37	IS_AST_PARENT	
19	36	IS_AST_PARENT	
12	19	IS_AST_PARENT	
9	12	IS_AST_PARENT	
55	56	IS_AST_PARENT	
54	55	IS_AST_PARENT	
58	59	IS_AST_PARENT	
57	58	IS_AST_PARENT	
54	57	IS_AST_PARENT	
53	54	IS_AST_PARENT	
52	53	IS_AST_PARENT	
62	63	IS_AST_PARENT	
62	64	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	65	IS_AST_PARENT	
60	61	IS_AST_PARENT	
52	60	IS_AST_PARENT	
68	69	IS_AST_PARENT	
68	70	IS_AST_PARENT	
67	68	IS_AST_PARENT	
67	71	IS_AST_PARENT	
66	67	IS_AST_PARENT	
52	66	IS_AST_PARENT	
51	52	IS_AST_PARENT	
9	51	IS_AST_PARENT	
8	9	IS_AST_PARENT	
5	8	IS_AST_PARENT	
74	75	IS_AST_PARENT	
73	74	IS_AST_PARENT	
78	79	IS_AST_PARENT	
77	78	IS_AST_PARENT	
83	84	IS_AST_PARENT	
83	85	IS_AST_PARENT	
82	83	IS_AST_PARENT	
82	86	IS_AST_PARENT	
81	82	IS_AST_PARENT	
80	81	IS_AST_PARENT	
88	89	IS_AST_PARENT	
87	88	IS_AST_PARENT	
93	94	IS_AST_PARENT	
92	93	IS_AST_PARENT	
96	97	IS_AST_PARENT	
95	96	IS_AST_PARENT	
92	95	IS_AST_PARENT	
91	92	IS_AST_PARENT	
90	91	IS_AST_PARENT	
100	101	IS_AST_PARENT	
100	102	IS_AST_PARENT	
99	100	IS_AST_PARENT	
99	103	IS_AST_PARENT	
98	99	IS_AST_PARENT	
90	98	IS_AST_PARENT	
87	90	IS_AST_PARENT	
108	109	IS_AST_PARENT	
107	108	IS_AST_PARENT	
111	112	IS_AST_PARENT	
110	111	IS_AST_PARENT	
107	110	IS_AST_PARENT	
106	107	IS_AST_PARENT	
105	106	IS_AST_PARENT	
115	116	IS_AST_PARENT	
115	117	IS_AST_PARENT	
114	115	IS_AST_PARENT	
114	118	IS_AST_PARENT	
113	114	IS_AST_PARENT	
105	113	IS_AST_PARENT	
104	105	IS_AST_PARENT	
87	104	IS_AST_PARENT	
80	87	IS_AST_PARENT	
77	80	IS_AST_PARENT	
123	124	IS_AST_PARENT	
122	123	IS_AST_PARENT	
126	127	IS_AST_PARENT	
125	126	IS_AST_PARENT	
122	125	IS_AST_PARENT	
121	122	IS_AST_PARENT	
120	121	IS_AST_PARENT	
130	131	IS_AST_PARENT	
130	132	IS_AST_PARENT	
129	130	IS_AST_PARENT	
129	133	IS_AST_PARENT	
128	129	IS_AST_PARENT	
120	128	IS_AST_PARENT	
136	137	IS_AST_PARENT	
136	138	IS_AST_PARENT	
135	136	IS_AST_PARENT	
135	139	IS_AST_PARENT	
134	135	IS_AST_PARENT	
