method,budget,setting,eligible_samples,scored_samples,any_seed_success_samples,any_seed_success_rate,all_scored_seeds_success_samples,mean_per_sample_seed_success_rate,mean_scored_variants_per_sample
edge_add,1,budget 1,30,30,2,0.06666666666666667,0,0.02,10.0
edge_add,3,budget 3,30,30,4,0.13333333333333333,0,0.04,10.0
edge_add,5,budget 5,30,30,4,0.13333333333333333,0,0.030000000000000002,10.0
edge_delete,1,budget 1,30,30,2,0.06666666666666667,0,0.006666666666666667,10.0
edge_delete,3,budget 3,30,29,3,0.10344827586206896,0,0.027586206896551727,9.551724137931034
edge_delete,5,budget 5,30,24,3,0.125,0,0.05416666666666667,9.875
edge_reconnect,1,budget 1,30,30,3,0.1,0,0.013333333333333334,10.0
edge_reconnect,3,budget 3,30,30,4,0.13333333333333333,0,0.02333333333333333,9.966666666666667
edge_reconnect,5,budget 5,30,30,4,0.13333333333333333,0,0.02333333333333333,9.966666666666667
node_add,1,budget 1,30,30,0,0.0,0,0.0,10.0
node_add,3,budget 3,30,30,2,0.06666666666666667,0,0.006666666666666667,10.0
node_add,5,budget 5,30,30,3,0.1,0,0.013333333333333334,10.0
node_attribute_modify,1,budget 1,30,30,4,0.13333333333333333,0,0.013333333333333334,10.0
node_attribute_modify,3,budget 3,30,30,5,0.16666666666666666,0,0.03333333333333333,10.0
node_attribute_modify,5,budget 5,30,30,5,0.16666666666666666,0,0.05333333333333334,10.0
node_delete,1,budget 1,30,30,2,0.06666666666666667,0,0.013333333333333334,10.0
node_delete,3,budget 3,30,24,2,0.08333333333333333,0,0.03333333333333333,9.833333333333334
node_delete,5,budget 5,30,24,4,0.16666666666666666,0,0.0625,9.666666666666666
