method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
targeted_subgraph_injection,1,7,30,30,30,2,0.06666666666666667,1.0,0.12058482615627156
targeted_subgraph_injection,1,17,30,30,30,2,0.06666666666666667,1.0,0.12058482573721808
targeted_subgraph_injection,1,29,30,30,30,2,0.06666666666666667,1.0,0.12058483028513477
targeted_subgraph_injection,1,42,30,30,30,2,0.06666666666666667,1.0,0.12058482573722235
targeted_subgraph_injection,1,61,30,30,30,2,0.06666666666666667,1.0,0.12058482680815448
targeted_subgraph_injection,1,73,30,30,30,2,0.06666666666666667,1.0,0.12058482730486132
targeted_subgraph_injection,1,89,30,30,30,2,0.06666666666666667,1.0,0.1205848262338359
targeted_subgraph_injection,1,101,30,30,30,2,0.06666666666666667,1.0,0.12058482680815188
targeted_subgraph_injection,1,137,30,30,30,2,0.06666666666666667,1.0,0.12058482871736316
targeted_subgraph_injection,1,2026,30,30,30,2,0.06666666666666667,1.0,0.12058482863983971
targeted_subgraph_injection,3,7,30,30,30,2,0.06666666666666667,1.0,0.11383717651259681
targeted_subgraph_injection,3,17,30,30,30,2,0.06666666666666667,1.0,0.11383716954320298
targeted_subgraph_injection,3,29,30,30,30,2,0.06666666666666667,1.0,0.11383717016724117
targeted_subgraph_injection,3,42,30,30,30,2,0.06666666666666667,1.0,0.11383717253896082
targeted_subgraph_injection,3,61,30,30,30,2,0.06666666666666667,1.0,0.11383717474309091
targeted_subgraph_injection,3,73,30,30,30,2,0.06666666666666667,1.0,0.11383717587935296
targeted_subgraph_injection,3,89,30,30,30,2,0.06666666666666667,1.0,0.11383716729251031
targeted_subgraph_injection,3,101,30,30,30,2,0.06666666666666667,1.0,0.11383716806739624
targeted_subgraph_injection,3,137,30,30,30,2,0.06666666666666667,1.0,0.11383716966932314
targeted_subgraph_injection,3,2026,30,30,30,2,0.06666666666666667,1.0,0.1138371699312582
targeted_subgraph_injection,5,7,30,30,30,2,0.06666666666666667,1.0,0.1380569701813231
targeted_subgraph_injection,5,17,30,30,30,2,0.06666666666666667,1.0,0.1380569674493526
targeted_subgraph_injection,5,29,30,30,30,2,0.06666666666666667,1.0,0.1380569657342578
targeted_subgraph_injection,5,42,30,30,30,2,0.06666666666666667,1.0,0.1380569677731024
targeted_subgraph_injection,5,61,30,30,30,2,0.06666666666666667,1.0,0.13805696645602808
targeted_subgraph_injection,5,73,30,30,30,2,0.06666666666666667,1.0,0.13805696854356567
targeted_subgraph_injection,5,89,30,30,30,2,0.06666666666666667,1.0,0.13805696968461773
targeted_subgraph_injection,5,101,30,30,30,2,0.06666666666666667,1.0,0.1380569681933079
targeted_subgraph_injection,5,137,30,30,30,2,0.06666666666666667,1.0,0.13805697216814458
targeted_subgraph_injection,5,2026,30,30,30,2,0.06666666666666667,1.0,0.1380569696858304
winner_xfg_edge_attack,1,7,30,30,30,3,0.1,1.0,0.09953123348661094
winner_xfg_edge_attack,1,17,30,30,30,3,0.1,1.0,0.09953123349728235
winner_xfg_edge_attack,1,29,30,30,30,3,0.1,1.0,0.09953123349158284
winner_xfg_edge_attack,1,42,30,30,30,3,0.1,1.0,0.0995312325038716
winner_xfg_edge_attack,1,61,30,30,30,3,0.1,1.0,0.0995312325038716
winner_xfg_edge_attack,1,73,30,30,30,3,0.1,1.0,0.09953123325002106
winner_xfg_edge_attack,1,89,30,30,30,3,0.1,1.0,0.09953123349728235
winner_xfg_edge_attack,1,101,30,30,30,3,0.1,1.0,0.09953123225551891
winner_xfg_edge_attack,1,137,30,30,30,3,0.1,1.0,0.09953123348758107
winner_xfg_edge_attack,1,2026,30,30,30,3,0.1,1.0,0.09953123348079017
winner_xfg_edge_attack,3,7,30,30,30,7,0.23333333333333334,1.0,0.16914846334754696
winner_xfg_edge_attack,3,17,30,30,30,7,0.23333333333333334,1.0,0.1691484600840388
winner_xfg_edge_attack,3,29,30,30,30,7,0.23333333333333334,1.0,0.16914845962116665
winner_xfg_edge_attack,3,42,30,30,30,7,0.23333333333333334,1.0,0.16914846111237417
winner_xfg_edge_attack,3,61,30,30,30,7,0.23333333333333334,1.0,0.16914846236965964
winner_xfg_edge_attack,3,73,30,30,30,7,0.23333333333333334,1.0,0.16914845963389957
