start	end	type	var
8	9	IS_AST_PARENT	
7	8	IS_AST_PARENT	
11	12	IS_AST_PARENT	
10	11	IS_AST_PARENT	
7	10	IS_AST_PARENT	
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
16	17	IS_AST_PARENT	
15	16	IS_AST_PARENT	
19	20	IS_AST_PARENT	
18	19	IS_AST_PARENT	
21	22	IS_AST_PARENT	
18	21	IS_AST_PARENT	
23	24	IS_AST_PARENT	
18	23	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
25	26	IS_AST_PARENT	
18	25	IS_AST_PARENT	
15	18	IS_AST_PARENT	
14	15	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	29	IS_AST_PARENT	
5	13	IS_AST_PARENT	
4	5	IS_AST_PARENT	
4	30	IS_AST_PARENT	
4	31	IS_AST_PARENT	
4	32	IS_AST_PARENT	
4	33	IS_AST_PARENT	
4	34	IS_AST_PARENT	
4	35	IS_AST_PARENT	
4	36	IS_AST_PARENT	
4	37	IS_AST_PARENT	
4	38	IS_AST_PARENT	
4	39	IS_AST_PARENT	
4	40	IS_AST_PARENT	
4	41	IS_AST_PARENT	
4	42	IS_AST_PARENT	
4	43	IS_AST_PARENT	
4	44	IS_AST_PARENT	
47	48	IS_AST_PARENT	
46	47	IS_AST_PARENT	
50	51	IS_AST_PARENT	
49	50	IS_AST_PARENT	
52	53	IS_AST_PARENT	
49	52	IS_AST_PARENT	
54	55	IS_AST_PARENT	
49	54	IS_AST_PARENT	
46	49	IS_AST_PARENT	
45	46	IS_AST_PARENT	
4	45	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	56	IS_AST_PARENT	
3	57	IS_AST_PARENT	
59	60	IS_AST_PARENT	
59	61	IS_AST_PARENT	
58	59	IS_AST_PARENT	
3	58	IS_AST_PARENT	
62	59	FLOWS_TO	
59	6	FLOWS_TO	
6	14	FLOWS_TO	
6	30	FLOWS_TO	
14	29	FLOWS_TO	
29	63	FLOWS_TO	
30	31	FLOWS_TO	
31	32	FLOWS_TO	
32	33	FLOWS_TO	
33	34	FLOWS_TO	
34	35	FLOWS_TO	
35	36	FLOWS_TO	
36	37	FLOWS_TO	
37	38	FLOWS_TO	
38	39	FLOWS_TO	
39	40	FLOWS_TO	
40	41	FLOWS_TO	
41	42	FLOWS_TO	
42	43	FLOWS_TO	
43	44	FLOWS_TO	
44	45	FLOWS_TO	
45	63	FLOWS_TO	
14	64	USE	
19	64	USE	
14	65	USE	
25	65	USE	
59	66	DEF	
6	66	USE	
11	66	USE	
14	66	USE	
26	66	USE	
21	66	USE	
45	66	USE	
52	66	USE	
45	67	USE	
54	67	USE	
14	68	USE	
25	68	USE	
6	69	USE	
14	70	USE	
23	70	USE	
59	6	REACHES	regs
59	14	REACHES	regs
59	45	REACHES	regs
62	59	CONTROLS	
62	6	CONTROLS	
6	14	CONTROLS	
6	29	CONTROLS	
6	30	CONTROLS	
6	31	CONTROLS	
6	32	CONTROLS	
6	33	CONTROLS	
6	34	CONTROLS	
6	35	CONTROLS	
6	36	CONTROLS	
6	37	CONTROLS	
6	38	CONTROLS	
6	39	CONTROLS	
6	40	CONTROLS	
6	41	CONTROLS	
6	42	CONTROLS	
6	43	CONTROLS	
6	44	CONTROLS	
6	45	CONTROLS	
31	32	DOM	
43	44	DOM	
6	63	DOM	
44	45	DOM	
59	6	DOM	
35	36	DOM	
36	37	DOM	
40	41	DOM	
6	14	DOM	
6	30	DOM	
30	31	DOM	
39	40	DOM	
34	35	DOM	
33	34	DOM	
41	42	DOM	
62	62	DOM	
32	33	DOM	
14	29	DOM	
37	38	DOM	
62	59	DOM	
38	39	DOM	
42	43	DOM	
33	32	POST_DOM	
45	44	POST_DOM	
63	63	POST_DOM	
63	45	POST_DOM	
63	6	POST_DOM	
37	36	POST_DOM	
38	37	POST_DOM	
42	41	POST_DOM	
29	14	POST_DOM	
31	30	POST_DOM	
41	40	POST_DOM	
32	31	POST_DOM	
36	35	POST_DOM	
35	34	POST_DOM	
43	42	POST_DOM	
59	62	POST_DOM	
34	33	POST_DOM	
63	29	POST_DOM	
39	38	POST_DOM	
6	59	POST_DOM	
40	39	POST_DOM	
44	43	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	62	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
