start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
10	11	IS_AST_PARENT	
9	10	IS_AST_PARENT	
15	16	IS_AST_PARENT	
14	15	IS_AST_PARENT	
9	14	IS_AST_PARENT	
4	9	IS_AST_PARENT	
18	19	IS_AST_PARENT	
18	20	IS_AST_PARENT	
17	18	IS_AST_PARENT	
4	17	IS_AST_PARENT	
23	24	IS_AST_PARENT	
22	23	IS_AST_PARENT	
26	27	IS_AST_PARENT	
25	26	IS_AST_PARENT	
30	31	IS_AST_PARENT	
29	30	IS_AST_PARENT	
33	34	IS_AST_PARENT	
32	33	IS_AST_PARENT	
35	36	IS_AST_PARENT	
32	35	IS_AST_PARENT	
29	32	IS_AST_PARENT	
28	29	IS_AST_PARENT	
25	28	IS_AST_PARENT	
37	38	IS_AST_PARENT	
25	37	IS_AST_PARENT	
22	25	IS_AST_PARENT	
21	22	IS_AST_PARENT	
4	21	IS_AST_PARENT	
41	42	IS_AST_PARENT	
40	41	IS_AST_PARENT	
44	45	IS_AST_PARENT	
43	44	IS_AST_PARENT	
48	49	IS_AST_PARENT	
47	48	IS_AST_PARENT	
47	50	IS_AST_PARENT	
47	51	IS_AST_PARENT	
46	47	IS_AST_PARENT	
43	46	IS_AST_PARENT	
52	53	IS_AST_PARENT	
43	52	IS_AST_PARENT	
40	43	IS_AST_PARENT	
39	40	IS_AST_PARENT	
4	39	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	54	IS_AST_PARENT	
3	55	IS_AST_PARENT	
57	58	IS_AST_PARENT	
57	59	IS_AST_PARENT	
56	57	IS_AST_PARENT	
60	61	IS_AST_PARENT	
60	62	IS_AST_PARENT	
56	60	IS_AST_PARENT	
63	64	IS_AST_PARENT	
63	65	IS_AST_PARENT	
56	63	IS_AST_PARENT	
66	67	IS_AST_PARENT	
66	68	IS_AST_PARENT	
56	66	IS_AST_PARENT	
69	70	IS_AST_PARENT	
69	71	IS_AST_PARENT	
56	69	IS_AST_PARENT	
3	56	IS_AST_PARENT	
72	57	FLOWS_TO	
57	60	FLOWS_TO	
60	63	FLOWS_TO	
63	66	FLOWS_TO	
66	69	FLOWS_TO	
69	5	FLOWS_TO	
5	10	FLOWS_TO	
10	15	FLOWS_TO	
10	17	FLOWS_TO	
15	73	FLOWS_TO	
17	21	FLOWS_TO	
21	39	FLOWS_TO	
39	73	FLOWS_TO	
63	74	DEF	
21	74	USE	
35	74	USE	
69	75	DEF	
39	75	USE	
46	75	USE	
48	75	USE	
39	76	USE	
66	77	DEF	
21	77	USE	
37	77	USE	
17	78	USE	
18	78	USE	
57	79	DEF	
21	79	USE	
33	79	USE	
39	79	USE	
44	79	USE	
21	80	USE	
28	80	USE	
39	81	USE	
46	81	USE	
5	82	DEF	
6	82	DEF	
17	82	DEF	
18	82	DEF	
21	82	USE	
26	82	USE	
15	83	USE	
39	84	USE	
46	84	USE	
60	85	DEF	
10	85	USE	
39	85	USE	
52	85	USE	
63	21	REACHES	rb
69	39	REACHES	quad
66	21	REACHES	disp16
57	21	REACHES	ctx
57	39	REACHES	ctx
17	21	REACHES	addr
60	10	REACHES	ra
60	39	REACHES	ra
72	57	CONTROLS	
72	60	CONTROLS	
72	63	CONTROLS	
72	66	CONTROLS	
72	69	CONTROLS	
72	5	CONTROLS	
72	10	CONTROLS	
10	15	CONTROLS	
10	17	CONTROLS	
10	21	CONTROLS	
10	39	CONTROLS	
5	10	DOM	
21	39	DOM	
66	69	DOM	
10	15	DOM	
57	60	DOM	
69	5	DOM	
72	57	DOM	
17	21	DOM	
72	72	DOM	
63	66	DOM	
60	63	DOM	
10	73	DOM	
10	17	DOM	
73	10	POST_DOM	
73	39	POST_DOM	
5	69	POST_DOM	
73	15	POST_DOM	
63	60	POST_DOM	
10	5	POST_DOM	
60	57	POST_DOM	
39	21	POST_DOM	
57	72	POST_DOM	
69	66	POST_DOM	
73	73	POST_DOM	
66	63	POST_DOM	
21	17	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	72	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
