command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__01_vulnerable_expand_dynamic_string_token__pattern_dead_code__c1/_work/source/cvefixes__01_vulnerable_expand_dynamic_string_token__pattern_dead_code__c1.c								
ANR	2	Function	expand_dynamic_string_token	1:0:0:1044							
ANR	3	FunctionDef	"expand_dynamic_string_token (struct link_map * l , const char * s)"		2	0					
ANR	4	CompoundStatement		2:0:64:1044	2	0					
ANR	5	IdentifierDeclStatement	size_t cnt ;	7:2:321:331	2	0	True				
ANR	6	IdentifierDecl	cnt		2	0					
ANR	7	IdentifierDeclType	size_t		2	0					
ANR	8	Identifier	cnt		2	1					
ANR	9	IdentifierDeclStatement	size_t total ;	8:2:335:347	2	1	True				
ANR	10	IdentifierDecl	total		2	0					
ANR	11	IdentifierDeclType	size_t		2	0					
ANR	12	Identifier	total		2	1					
ANR	13	IfStatement	if ( 0 )		2	2					
ANR	14	Condition	0	9:6:355:355	2	0	True				
ANR	15	PrimaryExpression	0		2	0					
ANR	16	CompoundStatement		11:6:363:401	2	1					
ANR	17	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	10:6:366:389	2	0	True				
ANR	18	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	19	IdentifierDeclType	char [ 8 ]		2	0					
ANR	20	Identifier	dwk_src_1		2	1					
ANR	21	PrimaryExpression	8		2	2					
ANR	22	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	23	Identifier	dwk_src_1		2	0					
ANR	24	InitializerList	0		2	1					
ANR	25	PrimaryExpression	0		2	0					
ANR	26	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	11:6:397:420	2	1	True				
ANR	27	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	28	IdentifierDeclType	char [ 8 ]		2	0					
ANR	29	Identifier	dwk_dst_1		2	1					
ANR	30	PrimaryExpression	8		2	2					
ANR	31	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	32	Identifier	dwk_dst_1		2	0					
ANR	33	InitializerList	0		2	1					
ANR	34	PrimaryExpression	0		2	0					
ANR	35	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	12:6:428:466	2	2	True				
ANR	36	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	37	IdentifierDeclType	int		2	0					
ANR	38	Identifier	dwk_len_1		2	1					
ANR	39	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
