command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__02_fixed_dl_dst_substitute__xfg_targeted_dead_code__c1/_work/source/cvefixes__02_fixed_dl_dst_substitute__xfg_targeted_dead_code__c1.c								
ANR	2	Function	_dl_dst_substitute	1:0:0:1973							
ANR	3	FunctionDef	"_dl_dst_substitute (struct link_map * l , const char * name , char * result , int is_path)"		2	0					
ANR	4	CompoundStatement		3:0:91:1973	2	0					
ANR	5	IfStatement	if ( 0 )		2	0					
ANR	6	Condition	0	4:6:99:99	2	0	True				
ANR	7	PrimaryExpression	0		2	0					
ANR	8	CompoundStatement		3:6:18:41	2	1					
ANR	9	IdentifierDeclStatement	int dwk_xfg_guard_1 = 1 ;	5:6:110:133	2	0	True				
ANR	10	IdentifierDecl	dwk_xfg_guard_1 = 1		2	0					
ANR	11	IdentifierDeclType	int		2	0					
ANR	12	Identifier	dwk_xfg_guard_1		2	1					
ANR	13	AssignmentExpression	dwk_xfg_guard_1 = 1		2	2		=			
ANR	14	Identifier	dwk_xfg_guard_1		2	0					
ANR	15	PrimaryExpression	1		2	1					
ANR	16	ExpressionStatement	dwk_xfg_guard_1 += 0	6:6:141:161	2	1	True				
ANR	17	AssignmentExpression	dwk_xfg_guard_1 += 0		2	0		+=			
ANR	18	Identifier	dwk_xfg_guard_1		2	0					
ANR	19	PrimaryExpression	0		2	1					
ANR	20	Statement	const	8:2:169:173	2	1	True				
ANR	21	Statement	char	8:8:175:178	2	2	True				
ANR	22	Statement	*	8:13:180:180	2	3	True				
ANR	23	Statement	const	8:14:181:185	2	4	True				
ANR	24	ExpressionStatement	start = name	8:20:187:199	2	5	True				
ANR	25	AssignmentExpression	start = name		2	0		=			
ANR	26	Identifier	start		2	0					
ANR	27	Identifier	name		2	1					
ANR	28	IdentifierDeclStatement	"char * last_elem , * wp ;"	9:2:203:223	2	6	True				
ANR	29	IdentifierDecl	* last_elem		2	0					
ANR	30	IdentifierDeclType	char *		2	0					
ANR	31	Identifier	last_elem		2	1					
ANR	32	IdentifierDecl	* wp		2	1					
ANR	33	IdentifierDeclType	char *		2	0					
ANR	34	Identifier	wp		2	1					
ANR	35	ExpressionStatement	last_elem = wp = result	15:2:483:506	2	7	True				
ANR	36	AssignmentExpression	last_elem = wp = result		2	0		=			
ANR	37	Identifier	last_elem		2	0					
ANR	38	AssignmentExpression	wp = result		2	1		=			
ANR	39	Identifier	wp		2	0					
ANR	40	Identifier	result		2	1					
ANR	41	DoStatement	do		2	8					
ANR	42	CompoundStatement		16:4:426:426	2	0					
ANR	43	IfStatement	if ( * name == '$' )		2	0					
ANR	44	Condition	* name == '$'	19:10:530:541	2	0	True				
ANR	45	EqualityExpression	* name == '$'		2	0		==			
ANR	46	UnaryOperationExpression	* name		2	0					
ANR	47	UnaryOperator	*		2	0					
ANR	48	Identifier	name		2	1					
ANR	49	PrimaryExpression	'$'		2	1					
ANR	50	CompoundStatement		20:3:479:489	2	1					
ANR	51	IdentifierDeclStatement	const char * repl ;	21:3:550:566	2	0	True				
ANR	52	IdentifierDecl	* repl		2	0					
ANR	53	IdentifierDeclType	const char *		2	0					
ANR	54	Identifier	repl		2	1					
ANR	55	IdentifierDeclStatement	size_t len ;	22:3:571:581	2	1	True				
ANR	56	IdentifierDecl	len		2	0					
ANR	57	IdentifierDeclType	size_t		2	0					
ANR	58	Identifier	len		2	1					
ANR	59	IfStatement	"if ( ( ( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) ) ) || ( name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) ) ) )"		2	2					
ANR	60	Condition	"( ( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) ) ) || ( name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) ) )"	26:7:734:1119	2	0	True				
ANR	61	OrExpression	"( ( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) ) ) || ( name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) ) )"		2	0		||			
ANR	62	AndExpression	"( ( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 ) ) && ( name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' ) )"		2	0		&&			
ANR	63	OrExpression	"( strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0 ) || ( strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0 )"		2	0		||			
ANR	64	AndExpression	"strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0 && ( len = 7 ) != 0"		2	0		&&			
ANR	65	EqualityExpression	"strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 ) == 0"		2	0		==			
ANR	66	CallExpression	"strncmp ( & name [ 1 ] , ""ORIGIN}"" , 6 )"		2	0					
ANR	67	Callee	strncmp		2	0					
ANR	68	Identifier	strncmp		2	0					
ANR	69	ArgumentList	& name [ 1 ]		2	1					
ANR	70	Argument	& name [ 1 ]		2	0					
ANR	71	UnaryOperationExpression	& name [ 1 ]		2	0					
ANR	72	UnaryOperator	&		2	0					
ANR	73	ArrayIndexing	name [ 1 ]		2	1					
ANR	74	Identifier	name		2	0					
ANR	75	PrimaryExpression	1		2	1					
ANR	76	Argument	"""ORIGIN}"""		2	1					
ANR	77	PrimaryExpression	"""ORIGIN}"""		2	0					
ANR	78	Argument	6		2	2					
ANR	79	PrimaryExpression	6		2	0					
ANR	80	PrimaryExpression	0		2	1					
ANR	81	EqualityExpression	( len = 7 ) != 0		2	1		!=			
ANR	82	AssignmentExpression	len = 7		2	0		=			
ANR	83	Identifier	len		2	0					
ANR	84	PrimaryExpression	7		2	1					
ANR	85	PrimaryExpression	0		2	1					
ANR	86	AndExpression	"strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0 && ( len = 9 ) != 0"		2	1		&&			
ANR	87	EqualityExpression	"strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 ) == 0"		2	0		==			
ANR	88	CallExpression	"strncmp ( & name [ 1 ] , ""PLATFORM}"" , 8 )"		2	0					
ANR	89	Callee	strncmp		2	0					
ANR	90	Identifier	strncmp		2	0					
ANR	91	ArgumentList	& name [ 1 ]		2	1					
ANR	92	Argument	& name [ 1 ]		2	0					
ANR	93	UnaryOperationExpression	& name [ 1 ]		2	0					
ANR	94	UnaryOperator	&		2	0					
ANR	95	ArrayIndexing	name [ 1 ]		2	1					
ANR	96	Identifier	name		2	0					
ANR	97	PrimaryExpression	1		2	1					
ANR	98	Argument	"""PLATFORM}"""		2	1					
ANR	99	PrimaryExpression	"""PLATFORM}"""		2	0					
ANR	100	Argument	8		2	2					
ANR	101	PrimaryExpression	8		2	0					
ANR	102	PrimaryExpression	0		2	1					
ANR	103	EqualityExpression	( len = 9 ) != 0		2	1		!=			
ANR	104	AssignmentExpression	len = 9		2	0		=			
ANR	105	Identifier	len		2	0					
ANR	106	PrimaryExpression	9		2	1					
ANR	107	PrimaryExpression	0		2	1					
ANR	108	OrExpression	name [ len ] == '\\0' || name [ len ] == '/' || ( is_path && name [ len ] == ':' )		2	1		||			
ANR	109	EqualityExpression	name [ len ] == '\\0'		2	0		==			
ANR	110	ArrayIndexing	name [ len ]		2	0					
ANR	111	Identifier	name		2	0					
ANR	112	Identifier	len		2	1					
ANR	113	PrimaryExpression	'\\0'		2	1					
ANR	114	OrExpression	name [ len ] == '/' || ( is_path && name [ len ] == ':' )		2	1		||			
ANR	115	EqualityExpression	name [ len ] == '/'		2	0		==			
ANR	116	ArrayIndexing	name [ len ]		2	0					
ANR	117	Identifier	name		2	0					
ANR	118	Identifier	len		2	1					
ANR	119	PrimaryExpression	'/'		2	1					
ANR	120	AndExpression	is_path && name [ len ] == ':'		2	1		&&			
ANR	121	Identifier	is_path		2	0					
ANR	122	EqualityExpression	name [ len ] == ':'		2	1		==			
ANR	123	ArrayIndexing	name [ len ]		2	0					
ANR	124	Identifier	name		2	0					
ANR	125	Identifier	len		2	1					
ANR	126	PrimaryExpression	':'		2	1					
ANR	127	AndExpression	"name [ 1 ] == '{' && ( ( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 ) )"		2	1		&&			
ANR	128	EqualityExpression	name [ 1 ] == '{'		2	0		==			
ANR	129	ArrayIndexing	name [ 1 ]		2	0					
ANR	130	Identifier	name		2	0					
ANR	131	PrimaryExpression	1		2	1					
ANR	132	PrimaryExpression	'{'		2	1					
ANR	133	OrExpression	"( strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0 ) || ( strncmp ( & name [ 2 ] , ""PLATFORM}"" , 9 ) == 0 && ( len = 11 ) != 0 )"		2	1		||			
ANR	134	AndExpression	"strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0 && ( len = 9 ) != 0"		2	0		&&			
ANR	135	EqualityExpression	"strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 ) == 0"		2	0		==			
ANR	136	CallExpression	"strncmp ( & name [ 2 ] , ""ORIGIN}"" , 7 )"		2	0					
ANR	137	Callee	strncmp		2	0					
ANR	138	Identifier	strncmp		2	0					
ANR	139	ArgumentList	& name [ 2 ]		2	1					
ANR	140	Argument	& name [ 2 ]		2	0					
ANR	141	UnaryOperationExpression	& name [ 2 ]		2	0					
ANR	142	UnaryOperator	&		2	0					
ANR	143	ArrayIndexing	name [ 2 ]		2	1					
ANR	144	Identifier	name		2	0					
ANR	145	PrimaryExpression	2		2	1					
ANR	146	Argument	"""ORIGIN}"""		2	1					
ANR	147	PrimaryExpression	"""ORIGIN}"""		2	0					
ANR	148	Argument	7		2	2					
ANR	149	PrimaryExpression	7		2	0					
