command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__03_fixed_KPasswordDlg_keyPressed__dead_statement__c1/_work/source/cvefixes__03_fixed_KPasswordDlg_keyPressed__dead_statement__c1.c								
ANR	2	Function	KPasswordDlg :: keyPressed	1:0:0:904							
ANR	3	FunctionDef	KPasswordDlg :: keyPressed (QKeyEvent * e)		2	0					
ANR	4	CompoundStatement		2:0:46:904	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	3:4:52:71	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy_1		2	1					
ANR	9	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	10	Identifier	dwk_dummy_1		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy_1 += 0	4:4:77:93	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy_1		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	Statement	static	5:2:97:102	2	2	True				
ANR	17	IdentifierDeclStatement	bool waitForAuthentication = false ;	5:9:104:138	2	3	True				
ANR	18	IdentifierDecl	waitForAuthentication = false		2	0					
ANR	19	IdentifierDeclType	bool		2	0					
ANR	20	Identifier	waitForAuthentication		2	1					
ANR	21	AssignmentExpression	waitForAuthentication = false		2	2		=			
ANR	22	Identifier	false		2	0					
ANR	23	Identifier	false		2	1					
ANR	24	IfStatement	if ( ! waitForAuthentication )		2	4					
ANR	25	Condition	! waitForAuthentication	6:6:146:167	2	0	True				
ANR	26	UnaryOperationExpression	! waitForAuthentication		2	0					
ANR	27	UnaryOperator	!		2	0					
ANR	28	Identifier	waitForAuthentication		2	1					
ANR	29	CompoundStatement		5:30:123:123	2	1					
ANR	30	SwitchStatement	switch ( e -> key ( ) )		2	0					
ANR	31	Condition	e -> key ( )	7:10:182:189	2	0	True				
ANR	32	CallExpression	e -> key ( )		2	0					
ANR	33	Callee	e -> key		2	0					
ANR	34	PtrMemberAccess	e -> key		2	0					
ANR	35	Identifier	e		2	0					
ANR	36	Identifier	key		2	1					
ANR	37	ArgumentList			2	1					
ANR	38	CompoundStatement		35:3:646:663	2	1					
ANR	39	Label	case Key_Backspace :	9:2:198:216	2	0	True				
ANR	40	Identifier	Key_Backspace		2	0					
ANR	41	CompoundStatement		10:4:180:207	2	1					
ANR	42	IdentifierDeclStatement	int len = password . length ( ) ;	11:4:227:254	2	0	True				
ANR	43	IdentifierDecl	len = password . length ( )		2	0					
ANR	44	IdentifierDeclType	int		2	0					
ANR	45	Identifier	len		2	1					
ANR	46	AssignmentExpression	len = password . length ( )		2	2		=			
ANR	47	Identifier	len		2	0					
ANR	48	CallExpression	password . length ( )		2	1					
ANR	49	Callee	password . length		2	0					
ANR	50	MemberAccess	password . length		2	0					
ANR	51	Identifier	password		2	0					
ANR	52	Identifier	length		2	1					
ANR	53	ArgumentList			2	1					
ANR	54	IfStatement	if ( len )		2	1					
ANR	55	Condition	len	12:9:265:267	2	0	True				
ANR	56	Identifier	len		2	0					
ANR	57	CompoundStatement		11:15:224:224	2	1					
ANR	58	ExpressionStatement	password . truncate ( len - 1 )	13:5:278:306	2	0	True				
ANR	59	CallExpression	password . truncate ( len - 1 )		2	0					
ANR	60	Callee	password . truncate		2	0					
ANR	61	MemberAccess	password . truncate		2	0					
ANR	62	Identifier	password		2	0					
ANR	63	Identifier	truncate		2	1					
ANR	64	ArgumentList	len - 1		2	1					
ANR	65	Argument	len - 1		2	0					
ANR	66	AdditiveExpression	len - 1		2	0		-			
ANR	67	Identifier	len		2	0					
ANR	68	PrimaryExpression	1		2	1					
ANR	69	IfStatement	if ( stars )		2	1					
ANR	70	Condition	stars	14:9:317:321	2	0	True				
ANR	71	Identifier	stars		2	0					
ANR	72	ExpressionStatement	showStars ( )	15:6:331:342	2	1	True				
ANR	73	CallExpression	showStars ( )		2	0					
ANR	74	Callee	showStars		2	0					
ANR	75	Identifier	showStars		2	0					
ANR	76	ArgumentList			2	1					
ANR	77	BreakStatement	break ;	18:3:358:363	2	2	True				
ANR	78	Label	case Key_Return :	20:2:368:383	2	3	True				
ANR	79	Identifier	Key_Return		2	0					
ANR	80	ExpressionStatement	timer . stop ( )	21:12:397:409	2	4	True				
ANR	81	CallExpression	timer . stop ( )		2	0					
ANR	82	Callee	timer . stop		2	0					
ANR	83	MemberAccess	timer . stop		2	0					
ANR	84	Identifier	timer		2	0					
ANR	85	Identifier	stop		2	1					
ANR	86	ArgumentList			2	1					
ANR	87	ExpressionStatement	waitForAuthentication = true	22:3:414:442	2	5	True				
ANR	88	AssignmentExpression	waitForAuthentication = true		2	0		=			
ANR	89	Identifier	waitForAuthentication		2	0					
ANR	90	Identifier	true		2	1					
ANR	91	IfStatement	if ( tryPassword ( ) )		2	6					
ANR	92	Condition	tryPassword ( )	23:8:452:464	2	0	True				
ANR	93	CallExpression	tryPassword ( )		2	0					
ANR	94	Callee	tryPassword		2	0					
ANR	95	Identifier	tryPassword		2	0					
ANR	96	ArgumentList			2	1					
ANR	97	IdentifierDeclStatement	emit passOk ( ) ;	24:4:472:485	2	1	True				
ANR	98	IdentifierDecl	passOk ( )		2	0					
ANR	99	IdentifierDeclType	emit		2	0					
ANR	100	Identifier	passOk		2	1					
ANR	101	ElseStatement	else		2	0					
ANR	102	CompoundStatement		25:3:451:451	2	0					
ANR	103	ExpressionStatement	"label -> setText ( glocale -> translate ( ""Failed"" ) )"	27:4:504:550	2	0	True				
ANR	104	CallExpression	"label -> setText ( glocale -> translate ( ""Failed"" ) )"		2	0					
ANR	105	Callee	label -> setText		2	0					
ANR	106	PtrMemberAccess	label -> setText		2	0					
ANR	107	Identifier	label		2	0					
ANR	108	Identifier	setText		2	1					
ANR	109	ArgumentList	"glocale -> translate ( ""Failed"" )"		2	1					
ANR	110	Argument	"glocale -> translate ( ""Failed"" )"		2	0					
ANR	111	CallExpression	"glocale -> translate ( ""Failed"" )"		2	0					
ANR	112	Callee	glocale -> translate		2	0					
ANR	113	PtrMemberAccess	glocale -> translate		2	0					
ANR	114	Identifier	glocale		2	0					
ANR	115	Identifier	translate		2	1					
ANR	116	ArgumentList	"""Failed"""		2	1					
ANR	117	Argument	"""Failed"""		2	0					
ANR	118	PrimaryExpression	"""Failed"""		2	0					
ANR	119	ExpressionStatement	"password = """""	28:4:556:569	2	1	True				
ANR	120	AssignmentExpression	"password = """""		2	0		=			
ANR	121	Identifier	password		2	0					
ANR	122	PrimaryExpression	""""""		2	1					
ANR	123	ExpressionStatement	timerMode = 1	29:4:575:588	2	2	True				
ANR	124	AssignmentExpression	timerMode = 1		2	0		=			
ANR	125	Identifier	timerMode		2	0					
ANR	126	PrimaryExpression	1		2	1					
ANR	127	ExpressionStatement	"timer . start ( 1500 , TRUE )"	30:4:594:619	2	3	True				
ANR	128	CallExpression	"timer . start ( 1500 , TRUE )"		2	0					
ANR	129	Callee	timer . start		2	0					
ANR	130	MemberAccess	timer . start		2	0					
ANR	131	Identifier	timer		2	0					
ANR	132	Identifier	start		2	1					
ANR	133	ArgumentList	1500		2	1					
ANR	134	Argument	1500		2	0					
ANR	135	PrimaryExpression	1500		2	0					
ANR	136	Argument	TRUE		2	1					
ANR	137	Identifier	TRUE		2	0					
ANR	138	ExpressionStatement	waitForAuthentication = false	32:3:629:658	2	7	True				
ANR	139	AssignmentExpression	waitForAuthentication = false		2	0		=			
ANR	140	Identifier	waitForAuthentication		2	0					
ANR	141	Identifier	false		2	1					
ANR	142	BreakStatement	break ;	33:3:663:668	2	8	True				
ANR	143	Label	case Key_Escape :	35:2:673:688	2	9	True				
ANR	144	Identifier	Key_Escape		2	0					
ANR	145	IdentifierDeclStatement	emit passCancel ( ) ;	36:3:693:710	2	10	True				
ANR	146	IdentifierDecl	passCancel ( )		2	0					
ANR	147	IdentifierDeclType	emit		2	0					
ANR	148	Identifier	passCancel		2	1					
ANR	149	BreakStatement	break ;	37:3:715:720	2	11	True				
ANR	150	Label	default :	39:2:725:732	2	12	True				
ANR	151	Identifier	default		2	0					
ANR	152	IfStatement	if ( password . length ( ) < MAX_PASSWORD_LENGTH )		2	13					
