command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__11_fixed_generic_perform_write__control_wrapper__c1/_work/source/cvefixes__11_fixed_generic_perform_write__control_wrapper__c1.c								
ANR	2	Function	generic_perform_write	1:0:0:2357							
ANR	3	FunctionDef	"generic_perform_write (struct file * file , struct iov_iter * i , loff_t pos)"		2	0					
ANR	4	CompoundStatement		3:0:92:2357	2	0					
ANR	5	IdentifierDeclStatement	struct address_space * mapping = file -> f_mapping ;	4:1:95:142	2	0	True				
ANR	6	IdentifierDecl	* mapping = file -> f_mapping		2	0					
ANR	7	IdentifierDeclType	struct address_space *		2	0					
ANR	8	Identifier	mapping		2	1					
ANR	9	AssignmentExpression	* mapping = file -> f_mapping		2	2		=			
ANR	10	Identifier	mapping		2	0					
ANR	11	PtrMemberAccess	file -> f_mapping		2	1					
ANR	12	Identifier	file		2	0					
ANR	13	Identifier	f_mapping		2	1					
ANR	14	IdentifierDeclStatement	const struct address_space_operations * a_ops = mapping -> a_ops ;	5:1:145:206	2	1	True				
ANR	15	IdentifierDecl	* a_ops = mapping -> a_ops		2	0					
ANR	16	IdentifierDeclType	const struct address_space_operations *		2	0					
ANR	17	Identifier	a_ops		2	1					
ANR	18	AssignmentExpression	* a_ops = mapping -> a_ops		2	2		=			
ANR	19	Identifier	a_ops		2	0					
ANR	20	PtrMemberAccess	mapping -> a_ops		2	1					
ANR	21	Identifier	mapping		2	0					
ANR	22	Identifier	a_ops		2	1					
ANR	23	IdentifierDeclStatement	long status = 0 ;	6:1:209:224	2	2	True				
ANR	24	IdentifierDecl	status = 0		2	0					
ANR	25	IdentifierDeclType	long		2	0					
ANR	26	Identifier	status		2	1					
ANR	27	AssignmentExpression	status = 0		2	2		=			
ANR	28	Identifier	status		2	0					
ANR	29	PrimaryExpression	0		2	1					
ANR	30	IdentifierDeclStatement	ssize_t written = 0 ;	7:1:227:246	2	3	True				
ANR	31	IdentifierDecl	written = 0		2	0					
ANR	32	IdentifierDeclType	ssize_t		2	0					
ANR	33	Identifier	written		2	1					
ANR	34	AssignmentExpression	written = 0		2	2		=			
ANR	35	Identifier	written		2	0					
ANR	36	PrimaryExpression	0		2	1					
ANR	37	IdentifierDeclStatement	unsigned int flags = 0 ;	8:1:249:271	2	4	True				
ANR	38	IdentifierDecl	flags = 0		2	0					
ANR	39	IdentifierDeclType	unsigned int		2	0					
ANR	40	Identifier	flags		2	1					
ANR	41	AssignmentExpression	flags = 0		2	2		=			
ANR	42	Identifier	flags		2	0					
ANR	43	PrimaryExpression	0		2	1					
ANR	44	IfStatement	"if ( segment_eq ( get_fs ( ) , KERNEL_DS ) )"		2	5					
ANR	45	Condition	"segment_eq ( get_fs ( ) , KERNEL_DS )"	13:5:359:389	2	0	True				
ANR	46	CallExpression	"segment_eq ( get_fs ( ) , KERNEL_DS )"		2	0					
ANR	47	Callee	segment_eq		2	0					
ANR	48	Identifier	segment_eq		2	0					
ANR	49	ArgumentList	get_fs ( )		2	1					
ANR	50	Argument	get_fs ( )		2	0					
ANR	51	CallExpression	get_fs ( )		2	0					
ANR	52	Callee	get_fs		2	0					
ANR	53	Identifier	get_fs		2	0					
ANR	54	ArgumentList			2	1					
ANR	55	Argument	KERNEL_DS		2	1					
ANR	56	Identifier	KERNEL_DS		2	0					
ANR	57	IfStatement	if ( 1 )		2	1					
ANR	58	Condition	1	14:6:398:398	2	0	True				
ANR	59	PrimaryExpression	1		2	0					
ANR	60	CompoundStatement		12:9:308:308	2	1					
ANR	61	ExpressionStatement	flags |= AOP_FLAG_UNINTERRUPTIBLE	15:6:409:442	2	0	True				
ANR	62	AssignmentExpression	flags |= AOP_FLAG_UNINTERRUPTIBLE		2	0		|=			
ANR	63	Identifier	flags		2	0					
ANR	64	Identifier	AOP_FLAG_UNINTERRUPTIBLE		2	1					
ANR	65	DoStatement	do		2	6					
ANR	66	CompoundStatement		22:2:598:610	2	0					
ANR	67	IdentifierDeclStatement	struct page * page ;	19:2:457:474	2	0	True				
ANR	68	IdentifierDecl	* page		2	0					
ANR	69	IdentifierDeclType	struct page *		2	0					
ANR	70	Identifier	page		2	1					
ANR	71	IdentifierDeclStatement	pgoff_t index ;	20:2:478:491	2	1	True				
ANR	72	IdentifierDecl	index		2	0					
ANR	73	IdentifierDeclType	pgoff_t		2	0					
ANR	74	Identifier	index		2	1					
ANR	75	IdentifierDeclStatement	unsigned long offset ;	21:2:535:555	2	2	True				
ANR	76	IdentifierDecl	offset		2	0					
ANR	77	IdentifierDeclType	unsigned long		2	0					
ANR	78	Identifier	offset		2	1					
ANR	79	IdentifierDeclStatement	unsigned long bytes ;	22:2:592:611	2	3	True				
ANR	80	IdentifierDecl	bytes		2	0					
