command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__13_fixed_pango_glyph_string_set_size__control_wrapper__c1/_work/source/cvefixes__13_fixed_pango_glyph_string_set_size__control_wrapper__c1.c								
ANR	2	Function	pango_glyph_string_set_size	1:0:0:861							
ANR	3	FunctionDef	"pango_glyph_string_set_size (PangoGlyphString * string , gint new_len)"		2	0					
ANR	4	CompoundStatement		2:0:69:861	2	0					
ANR	5	IfStatement	if ( 1 )		2	0					
ANR	6	Condition	1	3:6:77:77	2	0	True				
ANR	7	PrimaryExpression	1		2	0					
ANR	8	CompoundStatement		2:9:10:10	2	1					
ANR	9	ExpressionStatement	g_return_if_fail ( new_len >= 0 )	4:6:88:119	2	0	True				
ANR	10	CallExpression	g_return_if_fail ( new_len >= 0 )		2	0					
ANR	11	Callee	g_return_if_fail		2	0					
ANR	12	Identifier	g_return_if_fail		2	0					
ANR	13	ArgumentList	new_len >= 0		2	1					
ANR	14	Argument	new_len >= 0		2	0					
ANR	15	RelationalExpression	new_len >= 0		2	0		>=			
ANR	16	Identifier	new_len		2	0					
ANR	17	PrimaryExpression	0		2	1					
ANR	18	WhileStatement	while ( new_len > string -> space )		2	1					
ANR	19	Condition	new_len > string -> space	7:9:135:157	2	0	True				
ANR	20	RelationalExpression	new_len > string -> space		2	0		>			
ANR	21	Identifier	new_len		2	0					
ANR	22	PtrMemberAccess	string -> space		2	1					
ANR	23	Identifier	string		2	0					
ANR	24	Identifier	space		2	1					
ANR	25	CompoundStatement		7:4:94:94	2	1					
ANR	26	IfStatement	if ( string -> space == 0 )		2	0					
ANR	27	Condition	string -> space == 0	9:10:176:193	2	0	True				
ANR	28	EqualityExpression	string -> space == 0		2	0		==			
ANR	29	PtrMemberAccess	string -> space		2	0					
ANR	30	Identifier	string		2	0					
ANR	31	Identifier	space		2	1					
ANR	32	PrimaryExpression	0		2	1					
ANR	33	CompoundStatement		9:1:127:127	2	1					
