command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__13_fixed_pango_glyph_string_set_size__pattern_dead_code__c1/_work/source/cvefixes__13_fixed_pango_glyph_string_set_size__pattern_dead_code__c1.c								
ANR	2	Function	pango_glyph_string_set_size	1:0:0:1051							
ANR	3	FunctionDef	"pango_glyph_string_set_size (PangoGlyphString * string , gint new_len)"		2	0					
ANR	4	CompoundStatement		2:0:69:1051	2	0					
ANR	5	ExpressionStatement	g_return_if_fail ( new_len >= 0 )	3:2:73:104	2	0	True				
ANR	6	CallExpression	g_return_if_fail ( new_len >= 0 )		2	0					
ANR	7	Callee	g_return_if_fail		2	0					
ANR	8	Identifier	g_return_if_fail		2	0					
ANR	9	ArgumentList	new_len >= 0		2	1					
ANR	10	Argument	new_len >= 0		2	0					
ANR	11	RelationalExpression	new_len >= 0		2	0		>=			
ANR	12	Identifier	new_len		2	0					
ANR	13	PrimaryExpression	0		2	1					
ANR	14	IfStatement	if ( 0 )		2	1					
ANR	15	Condition	0	5:6:113:113	2	0	True				
ANR	16	PrimaryExpression	0		2	0					
ANR	17	CompoundStatement		7:6:116:154	2	1					
ANR	18	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	6:6:124:147	2	0	True				
ANR	19	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	20	IdentifierDeclType	char [ 8 ]		2	0					
ANR	21	Identifier	dwk_src_1		2	1					
ANR	22	PrimaryExpression	8		2	2					
ANR	23	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	24	Identifier	dwk_src_1		2	0					
ANR	25	InitializerList	0		2	1					
ANR	26	PrimaryExpression	0		2	0					
ANR	27	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	7:6:155:178	2	1	True				
ANR	28	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	29	IdentifierDeclType	char [ 8 ]		2	0					
ANR	30	Identifier	dwk_dst_1		2	1					
ANR	31	PrimaryExpression	8		2	2					
ANR	32	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	33	Identifier	dwk_dst_1		2	0					
ANR	34	InitializerList	0		2	1					
ANR	35	PrimaryExpression	0		2	0					
ANR	36	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	8:6:186:224	2	2	True				
ANR	37	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	38	IdentifierDeclType	int		2	0					
ANR	39	Identifier	dwk_len_1		2	1					
ANR	40	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
ANR	41	Identifier	dwk_len_1		2	0					
ANR	42	CastExpression	( int ) sizeof ( dwk_dst_1 )		2	1					
ANR	43	CastTarget	int		2	0					
ANR	44	SizeofExpression	sizeof ( dwk_dst_1 )		2	1					
ANR	45	Sizeof	sizeof		2	0					
ANR	46	SizeofOperand	dwk_dst_1		2	1					
ANR	47	IfStatement	if ( dwk_len_1 > 0 )		2	3					
ANR	48	Condition	dwk_len_1 > 0	9:10:236:248	2	0	True				
ANR	49	RelationalExpression	dwk_len_1 > 0		2	0		>			
ANR	50	Identifier	dwk_len_1		2	0					
ANR	51	PrimaryExpression	0		2	1					
ANR	52	CompoundStatement		8:25:181:181	2	1					
ANR	53	ExpressionStatement	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]	10:10:263:302	2	0	True				
ANR	54	AssignmentExpression	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]		2	0		=			
ANR	55	ArrayIndexing	dwk_dst_1 [ dwk_len_1 - 1 ]		2	0					
ANR	56	Identifier	dwk_dst_1		2	0					
ANR	57	AdditiveExpression	dwk_len_1 - 1		2	1		-			
ANR	58	Identifier	dwk_len_1		2	0					
ANR	59	PrimaryExpression	1		2	1					
ANR	60	ArrayIndexing	dwk_src_1 [ 0 ]		2	1					
ANR	61	Identifier	dwk_src_1		2	0					
ANR	62	PrimaryExpression	0		2	1					
ANR	63	WhileStatement	while ( new_len > string -> space )		2	2					
ANR	64	Condition	new_len > string -> space	13:9:325:347	2	0	True				
ANR	65	RelationalExpression	new_len > string -> space		2	0		>			
ANR	66	Identifier	new_len		2	0					
ANR	67	PtrMemberAccess	string -> space		2	1					
ANR	68	Identifier	string		2	0					
ANR	69	Identifier	space		2	1					
ANR	70	CompoundStatement		13:4:284:284	2	1					
ANR	71	IfStatement	if ( string -> space == 0 )		2	0					
ANR	72	Condition	string -> space == 0	15:10:366:383	2	0	True				
ANR	73	EqualityExpression	string -> space == 0		2	0		==			
ANR	74	PtrMemberAccess	string -> space		2	0					
ANR	75	Identifier	string		2	0					
ANR	76	Identifier	space		2	1					
ANR	77	PrimaryExpression	0		2	1					
ANR	78	CompoundStatement		15:1:317:317	2	1					
ANR	79	ExpressionStatement	string -> space = 4	17:3:392:409	2	0	True				
ANR	80	AssignmentExpression	string -> space = 4		2	0		=			
ANR	81	PtrMemberAccess	string -> space		2	0					
ANR	82	Identifier	string		2	0					
ANR	83	Identifier	space		2	1					
ANR	84	PrimaryExpression	4		2	1					
ANR	85	ElseStatement	else		2	0					
ANR	86	CompoundStatement		23:3:466:509	2	0					
ANR	87	IdentifierDeclStatement	"const guint max_space = MIN ( G_MAXINT , G_MAXSIZE / MAX ( sizeof ( PangoGlyphInfo ) , sizeof ( gint ) ) ) ;"	21:3:431:530	2	0	True				
ANR	88	IdentifierDecl	"max_space = MIN ( G_MAXINT , G_MAXSIZE / MAX ( sizeof ( PangoGlyphInfo ) , sizeof ( gint ) ) )"		2	0					
ANR	89	IdentifierDeclType	const guint		2	0					
ANR	90	Identifier	max_space		2	1					
ANR	91	AssignmentExpression	"max_space = MIN ( G_MAXINT , G_MAXSIZE / MAX ( sizeof ( PangoGlyphInfo ) , sizeof ( gint ) ) )"		2	2		=			
ANR	92	Identifier	max_space		2	0					
ANR	93	CallExpression	"MIN ( G_MAXINT , G_MAXSIZE / MAX ( sizeof ( PangoGlyphInfo ) , sizeof ( gint ) ) )"		2	1					
ANR	94	Callee	MIN		2	0					
ANR	95	Identifier	MIN		2	0					
ANR	96	ArgumentList	G_MAXINT		2	1					
ANR	97	Argument	G_MAXINT		2	0					
ANR	98	Identifier	G_MAXINT		2	0					
ANR	99	Argument	"G_MAXSIZE / MAX ( sizeof ( PangoGlyphInfo ) , sizeof ( gint ) )"		2	1					
ANR	100	MultiplicativeExpression	"G_MAXSIZE / MAX ( sizeof ( PangoGlyphInfo ) , sizeof ( gint ) )"		2	0		/			
ANR	101	Identifier	G_MAXSIZE		2	0					
ANR	102	CallExpression	"MAX ( sizeof ( PangoGlyphInfo ) , sizeof ( gint ) )"		2	1					
ANR	103	Callee	MAX		2	0					
ANR	104	Identifier	MAX		2	0					
ANR	105	ArgumentList	sizeof ( PangoGlyphInfo )		2	1					
ANR	106	Argument	sizeof ( PangoGlyphInfo )		2	0					
ANR	107	SizeofExpression	sizeof ( PangoGlyphInfo )		2	0					
ANR	108	Sizeof	sizeof		2	0					
ANR	109	SizeofOperand	PangoGlyphInfo		2	1					
