start	end	type	var
6	7	IS_AST_PARENT	
5	6	IS_AST_PARENT	
11	12	IS_AST_PARENT	
10	11	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
13	14	IS_AST_PARENT	
10	13	IS_AST_PARENT	
9	10	IS_AST_PARENT	
8	9	IS_AST_PARENT	
5	8	IS_AST_PARENT	
4	5	IS_AST_PARENT	
20	21	IS_AST_PARENT	
22	23	IS_AST_PARENT	
22	24	IS_AST_PARENT	
20	22	IS_AST_PARENT	
19	20	IS_AST_PARENT	
18	19	IS_AST_PARENT	
29	30	IS_AST_PARENT	
29	31	IS_AST_PARENT	
28	29	IS_AST_PARENT	
28	32	IS_AST_PARENT	
27	28	IS_AST_PARENT	
26	27	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	37	IS_AST_PARENT	
34	35	IS_AST_PARENT	
34	38	IS_AST_PARENT	
33	34	IS_AST_PARENT	
26	33	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	44	IS_AST_PARENT	
41	42	IS_AST_PARENT	
41	45	IS_AST_PARENT	
40	41	IS_AST_PARENT	
39	40	IS_AST_PARENT	
26	39	IS_AST_PARENT	
25	26	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	51	IS_AST_PARENT	
48	49	IS_AST_PARENT	
48	52	IS_AST_PARENT	
47	48	IS_AST_PARENT	
46	47	IS_AST_PARENT	
56	57	IS_AST_PARENT	
55	56	IS_AST_PARENT	
59	60	IS_AST_PARENT	
58	59	IS_AST_PARENT	
55	58	IS_AST_PARENT	
54	55	IS_AST_PARENT	
53	54	IS_AST_PARENT	
62	63	IS_AST_PARENT	
65	66	IS_AST_PARENT	
65	67	IS_AST_PARENT	
64	65	IS_AST_PARENT	
68	69	IS_AST_PARENT	
68	70	IS_AST_PARENT	
64	68	IS_AST_PARENT	
62	64	IS_AST_PARENT	
61	62	IS_AST_PARENT	
53	61	IS_AST_PARENT	
46	53	IS_AST_PARENT	
25	46	IS_AST_PARENT	
18	25	IS_AST_PARENT	
4	18	IS_AST_PARENT	
73	74	IS_AST_PARENT	
73	75	IS_AST_PARENT	
72	73	IS_AST_PARENT	
77	78	IS_AST_PARENT	
76	77	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	83	IS_AST_PARENT	
80	81	IS_AST_PARENT	
79	80	IS_AST_PARENT	
86	87	IS_AST_PARENT	
86	88	IS_AST_PARENT	
85	86	IS_AST_PARENT	
89	90	IS_AST_PARENT	
89	91	IS_AST_PARENT	
85	89	IS_AST_PARENT	
84	85	IS_AST_PARENT	
79	84	IS_AST_PARENT	
76	79	IS_AST_PARENT	
72	76	IS_AST_PARENT	
71	72	IS_AST_PARENT	
4	71	IS_AST_PARENT	
94	95	IS_AST_PARENT	
94	96	IS_AST_PARENT	
93	94	IS_AST_PARENT	
98	99	IS_AST_PARENT	
97	98	IS_AST_PARENT	
102	103	IS_AST_PARENT	
102	104	IS_AST_PARENT	
101	102	IS_AST_PARENT	
100	101	IS_AST_PARENT	
107	108	IS_AST_PARENT	
107	109	IS_AST_PARENT	
106	107	IS_AST_PARENT	
110	111	IS_AST_PARENT	
110	112	IS_AST_PARENT	
106	110	IS_AST_PARENT	
105	106	IS_AST_PARENT	
100	105	IS_AST_PARENT	
97	100	IS_AST_PARENT	
93	97	IS_AST_PARENT	
92	93	IS_AST_PARENT	
4	92	IS_AST_PARENT	
115	116	IS_AST_PARENT	
115	117	IS_AST_PARENT	
114	115	IS_AST_PARENT	
114	118	IS_AST_PARENT	
113	114	IS_AST_PARENT	
4	113	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	119	IS_AST_PARENT	
121	122	IS_AST_PARENT	
121	123	IS_AST_PARENT	
120	121	IS_AST_PARENT	
124	125	IS_AST_PARENT	
124	126	IS_AST_PARENT	
120	124	IS_AST_PARENT	
3	120	IS_AST_PARENT	
127	121	FLOWS_TO	
121	124	FLOWS_TO	
124	6	FLOWS_TO	
6	9	FLOWS_TO	
6	19	FLOWS_TO	
