command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__14_vulnerable_pango_glyph_string_set_size__dead_statement__c1/_work/source/cvefixes__14_vulnerable_pango_glyph_string_set_size__dead_statement__c1.c								
ANR	2	Function	pango_glyph_string_set_size	1:0:0:652							
ANR	3	FunctionDef	"pango_glyph_string_set_size (PangoGlyphString * string , gint new_len)"		2	0					
ANR	4	CompoundStatement		2:0:69:652	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	3:4:75:94	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy_1		2	1					
ANR	9	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	10	Identifier	dwk_dummy_1		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy_1 += 0	4:4:100:116	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy_1		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	ExpressionStatement	g_return_if_fail ( new_len >= 0 )	5:2:120:151	2	2	True				
ANR	17	CallExpression	g_return_if_fail ( new_len >= 0 )		2	0					
ANR	18	Callee	g_return_if_fail		2	0					
ANR	19	Identifier	g_return_if_fail		2	0					
ANR	20	ArgumentList	new_len >= 0		2	1					
ANR	21	Argument	new_len >= 0		2	0					
ANR	22	RelationalExpression	new_len >= 0		2	0		>=			
ANR	23	Identifier	new_len		2	0					
ANR	24	PrimaryExpression	0		2	1					
ANR	25	WhileStatement	while ( new_len > string -> space )		2	3					
ANR	26	Condition	new_len > string -> space	7:9:163:185	2	0	True				
ANR	27	RelationalExpression	new_len > string -> space		2	0		>			
ANR	28	Identifier	new_len		2	0					
ANR	29	PtrMemberAccess	string -> space		2	1					
ANR	30	Identifier	string		2	0					
ANR	31	Identifier	space		2	1					
ANR	32	CompoundStatement		7:4:122:122	2	1					
ANR	33	IfStatement	if ( string -> space == 0 )		2	0					
ANR	34	Condition	string -> space == 0	9:10:204:221	2	0	True				
ANR	35	EqualityExpression	string -> space == 0		2	0		==			
ANR	36	PtrMemberAccess	string -> space		2	0					
ANR	37	Identifier	string		2	0					
ANR	38	Identifier	space		2	1					
ANR	39	PrimaryExpression	0		2	1					
ANR	40	ExpressionStatement	string -> space = 1	10:1:225:242	2	1	True				
ANR	41	AssignmentExpression	string -> space = 1		2	0		=			
ANR	42	PtrMemberAccess	string -> space		2	0					
ANR	43	Identifier	string		2	0					
ANR	44	Identifier	space		2	1					
ANR	45	PrimaryExpression	1		2	1					
ANR	46	ElseStatement	else		2	0					
ANR	47	ExpressionStatement	string -> space *= 2	12:1:256:274	2	0	True				
ANR	48	AssignmentExpression	string -> space *= 2		2	0		*=			
ANR	49	PtrMemberAccess	string -> space		2	0					
ANR	50	Identifier	string		2	0					
ANR	51	Identifier	space		2	1					
ANR	52	PrimaryExpression	2		2	1					
ANR	53	IfStatement	if ( string -> space < 0 )		2	1					
ANR	54	Condition	string -> space < 0	14:10:287:303	2	0	True				
ANR	55	RelationalExpression	string -> space < 0		2	0		<			
ANR	56	PtrMemberAccess	string -> space		2	0					
ANR	57	Identifier	string		2	0					
ANR	58	Identifier	space		2	1					
ANR	59	PrimaryExpression	0		2	1					
ANR	60	CompoundStatement		14:1:237:237	2	1					
ANR	61	ExpressionStatement	"g_warning ( ""glyph string length overflows maximum integer size, truncated"" )"	16:3:312:387	2	0	True				
ANR	62	CallExpression	"g_warning ( ""glyph string length overflows maximum integer size, truncated"" )"		2	0					
ANR	63	Callee	g_warning		2	0					
ANR	64	Identifier	g_warning		2	0					
ANR	65	ArgumentList	"""glyph string length overflows maximum integer size, truncated"""		2	1					
ANR	66	Argument	"""glyph string length overflows maximum integer size, truncated"""		2	0					
ANR	67	PrimaryExpression	"""glyph string length overflows maximum integer size, truncated"""		2	0					
ANR	68	ExpressionStatement	new_len = string -> space = G_MAXINT - 8	17:3:392:430	2	1	True				
ANR	69	AssignmentExpression	new_len = string -> space = G_MAXINT - 8		2	0		=			
ANR	70	Identifier	new_len		2	0					
ANR	71	AssignmentExpression	string -> space = G_MAXINT - 8		2	1		=			
ANR	72	PtrMemberAccess	string -> space		2	0					
ANR	73	Identifier	string		2	0					
ANR	74	Identifier	space		2	1					
ANR	75	AdditiveExpression	G_MAXINT - 8		2	1		-			
ANR	76	Identifier	G_MAXINT		2	0					
ANR	77	PrimaryExpression	8		2	1					
ANR	78	ExpressionStatement	"string -> glyphs = g_realloc ( string -> glyphs , string -> space * sizeof ( PangoGlyphInfo ) )"	21:2:444:528	2	4	True				
ANR	79	AssignmentExpression	"string -> glyphs = g_realloc ( string -> glyphs , string -> space * sizeof ( PangoGlyphInfo ) )"		2	0		=			
ANR	80	PtrMemberAccess	string -> glyphs		2	0					
ANR	81	Identifier	string		2	0					
ANR	82	Identifier	glyphs		2	1					
ANR	83	CallExpression	"g_realloc ( string -> glyphs , string -> space * sizeof ( PangoGlyphInfo ) )"		2	1					
