command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__15_fixed_decode_entities__dead_statement__c1/_work/source/cvefixes__15_fixed_decode_entities__dead_statement__c1.c								
ANR	2	Function	decode_entities	1:0:0:4432							
ANR	3	FunctionDef	"decode_entities (pTHX_ SV * sv , HV * entity2char , bool expand_prefix)"		2	0					
ANR	4	CompoundStatement		2:0:67:4432	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	3:4:73:92	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy_1		2	1					
ANR	9	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	10	Identifier	dwk_dummy_1		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy_1 += 0	4:4:98:114	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy_1		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	IdentifierDeclStatement	STRLEN len ;	5:4:120:130	2	2	True				
ANR	17	IdentifierDecl	len		2	0					
ANR	18	IdentifierDeclType	STRLEN		2	0					
ANR	19	Identifier	len		2	1					
ANR	20	IdentifierDeclStatement	"char * s = SvPV_force ( sv , len ) ;"	6:4:136:165	2	3	True				
ANR	21	IdentifierDecl	"* s = SvPV_force ( sv , len )"		2	0					
ANR	22	IdentifierDeclType	char *		2	0					
ANR	23	Identifier	s		2	1					
ANR	24	AssignmentExpression	"* s = SvPV_force ( sv , len )"		2	2		=			
ANR	25	Identifier	s		2	0					
ANR	26	CallExpression	"SvPV_force ( sv , len )"		2	1					
ANR	27	Callee	SvPV_force		2	0					
ANR	28	Identifier	SvPV_force		2	0					
ANR	29	ArgumentList	sv		2	1					
ANR	30	Argument	sv		2	0					
ANR	31	Identifier	sv		2	0					
ANR	32	Argument	len		2	1					
ANR	33	Identifier	len		2	0					
ANR	34	IdentifierDeclStatement	char * t = s ;	7:4:171:182	2	4	True				
ANR	35	IdentifierDecl	* t = s		2	0					
ANR	36	IdentifierDeclType	char *		2	0					
ANR	37	Identifier	t		2	1					
ANR	38	AssignmentExpression	* t = s		2	2		=			
ANR	39	Identifier	s		2	0					
ANR	40	Identifier	s		2	1					
ANR	41	IdentifierDeclStatement	char * end = s + len ;	8:4:188:207	2	5	True				
ANR	42	IdentifierDecl	* end = s + len		2	0					
ANR	43	IdentifierDeclType	char *		2	0					
ANR	44	Identifier	end		2	1					
ANR	45	AssignmentExpression	* end = s + len		2	2		=			
ANR	46	Identifier	end		2	0					
ANR	47	AdditiveExpression	s + len		2	1		+			
ANR	48	Identifier	s		2	0					
ANR	49	Identifier	len		2	1					
ANR	50	IdentifierDeclStatement	char * ent_start ;	9:4:213:228	2	6	True				
ANR	51	IdentifierDecl	* ent_start		2	0					
ANR	52	IdentifierDeclType	char *		2	0					
ANR	53	Identifier	ent_start		2	1					
ANR	54	IdentifierDeclStatement	char * repl ;	11:4:235:245	2	7	True				
ANR	55	IdentifierDecl	* repl		2	0					
ANR	56	IdentifierDeclType	char *		2	0					
ANR	57	Identifier	repl		2	1					
ANR	58	IdentifierDeclStatement	STRLEN repl_len ;	12:4:251:266	2	8	True				
ANR	59	IdentifierDecl	repl_len		2	0					
ANR	60	IdentifierDeclType	STRLEN		2	0					
ANR	61	Identifier	repl_len		2	1					
ANR	62	IdentifierDeclStatement	char buf [ UTF8_MAXLEN ] ;	14:4:299:320	2	9	True				
ANR	63	IdentifierDecl	buf [ UTF8_MAXLEN ]		2	0					
ANR	64	IdentifierDeclType	char [ UTF8_MAXLEN ]		2	0					
ANR	65	Identifier	buf		2	1					
ANR	66	Identifier	UTF8_MAXLEN		2	2					
ANR	67	IdentifierDeclStatement	int repl_utf8 ;	15:4:326:339	2	10	True				
ANR	68	IdentifierDecl	repl_utf8		2	0					
ANR	69	IdentifierDeclType	int		2	0					
ANR	70	Identifier	repl_utf8		2	1					
ANR	71	IdentifierDeclStatement	int high_surrogate = 0 ;	16:4:345:367	2	11	True				
ANR	72	IdentifierDecl	high_surrogate = 0		2	0					
ANR	73	IdentifierDeclType	int		2	0					
ANR	74	Identifier	high_surrogate		2	1					
ANR	75	AssignmentExpression	high_surrogate = 0		2	2		=			
ANR	76	Identifier	high_surrogate		2	0					
ANR	77	PrimaryExpression	0		2	1					
ANR	78	ExpressionStatement	repl_utf8 = 0	23:4:531:544	2	12	True				
ANR	79	AssignmentExpression	repl_utf8 = 0		2	0		=			
ANR	80	Identifier	repl_utf8		2	0					
ANR	81	PrimaryExpression	0		2	1					
ANR	82	WhileStatement	while ( s < end )		2	13					
