command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__15_fixed_decode_entities__temp_variable_split__c1/_work/source/cvefixes__15_fixed_decode_entities__temp_variable_split__c1.c								
ANR	2	Function	decode_entities	1:0:0:4416							
ANR	3	FunctionDef	"decode_entities (pTHX_ SV * sv , HV * entity2char , bool expand_prefix)"		2	0					
ANR	4	CompoundStatement		2:0:67:4416	2	0					
ANR	5	IdentifierDeclStatement	STRLEN len ;	3:4:73:83	2	0	True				
ANR	6	IdentifierDecl	len		2	0					
ANR	7	IdentifierDeclType	STRLEN		2	0					
ANR	8	Identifier	len		2	1					
ANR	9	IdentifierDeclStatement	"char * s = SvPV_force ( sv , len ) ;"	4:4:89:118	2	1	True				
ANR	10	IdentifierDecl	"* s = SvPV_force ( sv , len )"		2	0					
ANR	11	IdentifierDeclType	char *		2	0					
ANR	12	Identifier	s		2	1					
ANR	13	AssignmentExpression	"* s = SvPV_force ( sv , len )"		2	2		=			
ANR	14	Identifier	s		2	0					
ANR	15	CallExpression	"SvPV_force ( sv , len )"		2	1					
ANR	16	Callee	SvPV_force		2	0					
ANR	17	Identifier	SvPV_force		2	0					
ANR	18	ArgumentList	sv		2	1					
ANR	19	Argument	sv		2	0					
ANR	20	Identifier	sv		2	0					
ANR	21	Argument	len		2	1					
ANR	22	Identifier	len		2	0					
ANR	23	IdentifierDeclStatement	char * t = s ;	5:4:124:135	2	2	True				
ANR	24	IdentifierDecl	* t = s		2	0					
ANR	25	IdentifierDeclType	char *		2	0					
ANR	26	Identifier	t		2	1					
ANR	27	AssignmentExpression	* t = s		2	2		=			
ANR	28	Identifier	s		2	0					
ANR	29	Identifier	s		2	1					
ANR	30	IdentifierDeclStatement	char * end = s + len ;	6:4:141:160	2	3	True				
ANR	31	IdentifierDecl	* end = s + len		2	0					
ANR	32	IdentifierDeclType	char *		2	0					
ANR	33	Identifier	end		2	1					
ANR	34	AssignmentExpression	* end = s + len		2	2		=			
ANR	35	Identifier	end		2	0					
ANR	36	AdditiveExpression	s + len		2	1		+			
ANR	37	Identifier	s		2	0					
ANR	38	Identifier	len		2	1					
ANR	39	IdentifierDeclStatement	char * ent_start ;	7:4:166:181	2	4	True				
ANR	40	IdentifierDecl	* ent_start		2	0					
ANR	41	IdentifierDeclType	char *		2	0					
ANR	42	Identifier	ent_start		2	1					
ANR	43	IdentifierDeclStatement	char * repl ;	9:4:188:198	2	5	True				
ANR	44	IdentifierDecl	* repl		2	0					
ANR	45	IdentifierDeclType	char *		2	0					
ANR	46	Identifier	repl		2	1					
ANR	47	IdentifierDeclStatement	STRLEN repl_len ;	10:4:204:219	2	6	True				
ANR	48	IdentifierDecl	repl_len		2	0					
ANR	49	IdentifierDeclType	STRLEN		2	0					
ANR	50	Identifier	repl_len		2	1					
ANR	51	IdentifierDeclStatement	char buf [ UTF8_MAXLEN ] ;	12:4:252:273	2	7	True				
ANR	52	IdentifierDecl	buf [ UTF8_MAXLEN ]		2	0					
ANR	53	IdentifierDeclType	char [ UTF8_MAXLEN ]		2	0					
ANR	54	Identifier	buf		2	1					
ANR	55	Identifier	UTF8_MAXLEN		2	2					
ANR	56	IdentifierDeclStatement	int repl_utf8 ;	13:4:279:292	2	8	True				
ANR	57	IdentifierDecl	repl_utf8		2	0					
ANR	58	IdentifierDeclType	int		2	0					
ANR	59	Identifier	repl_utf8		2	1					
ANR	60	IdentifierDeclStatement	int high_surrogate = 0 ;	14:4:298:320	2	9	True				
ANR	61	IdentifierDecl	high_surrogate = 0		2	0					
ANR	62	IdentifierDeclType	int		2	0					
ANR	63	Identifier	high_surrogate		2	1					
ANR	64	AssignmentExpression	high_surrogate = 0		2	2		=			
ANR	65	Identifier	high_surrogate		2	0					
ANR	66	PrimaryExpression	0		2	1					
ANR	67	IdentifierDeclStatement	int dwk_tmp_1 = 0 ;	21:4:484:501	2	10	True				
ANR	68	IdentifierDecl	dwk_tmp_1 = 0		2	0					
ANR	69	IdentifierDeclType	int		2	0					
ANR	70	Identifier	dwk_tmp_1		2	1					
ANR	71	AssignmentExpression	dwk_tmp_1 = 0		2	2		=			
ANR	72	Identifier	dwk_tmp_1		2	0					
ANR	73	PrimaryExpression	0		2	1					
ANR	74	ExpressionStatement	repl_utf8 = dwk_tmp_1	22:4:507:528	2	11	True				
ANR	75	AssignmentExpression	repl_utf8 = dwk_tmp_1		2	0		=			
ANR	76	Identifier	repl_utf8		2	0					
ANR	77	Identifier	dwk_tmp_1		2	1					
ANR	78	WhileStatement	while ( s < end )		2	12					
ANR	79	Condition	s < end	25:11:549:555	2	0	True				
ANR	80	RelationalExpression	s < end		2	0		<			
ANR	81	Identifier	s		2	0					
ANR	82	Identifier	end		2	1					
ANR	83	CompoundStatement		24:20:490:490	2	1					
ANR	84	ExpressionStatement	assert ( t <= s )	26:1:561:575	2	0	True				
ANR	85	CallExpression	assert ( t <= s )		2	0					
ANR	86	Callee	assert		2	0					
ANR	87	Identifier	assert		2	0					
ANR	88	ArgumentList	t <= s		2	1					
ANR	89	Argument	t <= s		2	0					
ANR	90	RelationalExpression	t <= s		2	0		<=			
ANR	91	Identifier	t		2	0					
ANR	92	Identifier	s		2	1					
ANR	93	IfStatement	if ( ( * t ++ = * s ++ ) != '&' )		2	1					
ANR	94	Condition	( * t ++ = * s ++ ) != '&'	28:5:583:602	2	0	True				
ANR	95	EqualityExpression	( * t ++ = * s ++ ) != '&'		2	0		!=			
ANR	96	AssignmentExpression	* t ++ = * s ++		2	0		=			
ANR	97	UnaryOperationExpression	* t ++		2	0					
ANR	98	UnaryOperator	*		2	0					
ANR	99	PostIncDecOperationExpression	t ++		2	1					
ANR	100	Identifier	t		2	0					
ANR	101	IncDec	++		2	1					
ANR	102	UnaryOperationExpression	* s ++		2	1					
ANR	103	UnaryOperator	*		2	0					
ANR	104	PostIncDecOperationExpression	s ++		2	1					
ANR	105	Identifier	s		2	0					
ANR	106	IncDec	++		2	1					
ANR	107	PrimaryExpression	'&'		2	1					
ANR	108	ContinueStatement	continue ;	29:5:610:618	2	1	True				
ANR	109	ExpressionStatement	ent_start = s	31:1:622:635	2	2	True				
ANR	110	AssignmentExpression	ent_start = s		2	0		=			
ANR	111	Identifier	ent_start		2	0					
ANR	112	Identifier	s		2	1					
ANR	113	ExpressionStatement	repl = 0	32:1:638:646	2	3	True				
ANR	114	AssignmentExpression	repl = 0		2	0		=			
ANR	115	Identifier	repl		2	0					
ANR	116	PrimaryExpression	0		2	1					
ANR	117	IfStatement	if ( s < end && * s == '#' )		2	4					
ANR	118	Condition	s < end && * s == '#'	34:5:654:673	2	0	True				
ANR	119	AndExpression	s < end && * s == '#'		2	0		&&			
ANR	120	RelationalExpression	s < end		2	0		<			
ANR	121	Identifier	s		2	0					
ANR	122	Identifier	end		2	1					
ANR	123	EqualityExpression	* s == '#'		2	1		==			
ANR	124	UnaryOperationExpression	* s		2	0					
ANR	125	UnaryOperator	*		2	0					
ANR	126	Identifier	s		2	1					
ANR	127	PrimaryExpression	'#'		2	1					
ANR	128	CompoundStatement		36:5:650:660	2	1					
ANR	129	IdentifierDeclStatement	UV num = 0 ;	35:5:683:693	2	0	True				
ANR	130	IdentifierDecl	num = 0		2	0					
ANR	131	IdentifierDeclType	UV		2	0					
ANR	132	Identifier	num		2	1					
ANR	133	AssignmentExpression	num = 0		2	2		=			
ANR	134	Identifier	num		2	0					
ANR	135	PrimaryExpression	0		2	1					
ANR	136	IdentifierDeclStatement	UV prev = 0 ;	36:5:700:711	2	1	True				
ANR	137	IdentifierDecl	prev = 0		2	0					
ANR	138	IdentifierDeclType	UV		2	0					
ANR	139	Identifier	prev		2	1					
ANR	140	AssignmentExpression	prev = 0		2	2		=			
ANR	141	Identifier	prev		2	0					
ANR	142	PrimaryExpression	0		2	1					
ANR	143	IdentifierDeclStatement	int ok = 0 ;	37:5:718:728	2	2	True				
ANR	144	IdentifierDecl	ok = 0		2	0					
ANR	145	IdentifierDeclType	int		2	0					
ANR	146	Identifier	ok		2	1					
ANR	147	AssignmentExpression	ok = 0		2	2		=			
ANR	148	Identifier	ok		2	0					
ANR	149	PrimaryExpression	0		2	1					
ANR	150	ExpressionStatement	s ++	38:5:735:738	2	3	True				
ANR	151	PostIncDecOperationExpression	s ++		2	0					
ANR	152	Identifier	s		2	0					
ANR	153	IncDec	++		2	1					
ANR	154	IfStatement	if ( s < end && ( * s == 'x' || * s == 'X' ) )		2	4					
ANR	155	Condition	s < end && ( * s == 'x' || * s == 'X' )	39:9:749:783	2	0	True				
ANR	156	AndExpression	s < end && ( * s == 'x' || * s == 'X' )		2	0		&&			
ANR	157	RelationalExpression	s < end		2	0		<			
ANR	158	Identifier	s		2	0					
ANR	159	Identifier	end		2	1					
ANR	160	OrExpression	* s == 'x' || * s == 'X'		2	1		||			
ANR	161	EqualityExpression	* s == 'x'		2	0		==			
ANR	162	UnaryOperationExpression	* s		2	0					
ANR	163	UnaryOperator	*		2	0					
ANR	164	Identifier	s		2	1					
ANR	165	PrimaryExpression	'x'		2	1					
ANR	166	EqualityExpression	* s == 'X'		2	1		==			
ANR	167	UnaryOperationExpression	* s		2	0					
ANR	168	UnaryOperator	*		2	0					
ANR	169	Identifier	s		2	1					
ANR	170	PrimaryExpression	'X'		2	1					
ANR	171	CompoundStatement		38:46:718:718	2	1					
ANR	172	ExpressionStatement	s ++	40:2:790:793	2	0	True				
ANR	173	PostIncDecOperationExpression	s ++		2	0					
ANR	174	Identifier	s		2	0					
ANR	175	IncDec	++		2	1					
ANR	176	WhileStatement	while ( s < end )		2	1					
ANR	177	Condition	s < end	41:9:804:810	2	0	True				
ANR	178	RelationalExpression	s < end		2	0		<			
ANR	179	Identifier	s		2	0					
ANR	180	Identifier	end		2	1					
ANR	181	CompoundStatement		41:6:753:788	2	1					
ANR	182	IdentifierDeclStatement	"char * tmp = strchr ( PL_hexdigit , * s ) ;"	42:6:821:856	2	0	True				
ANR	183	IdentifierDecl	"* tmp = strchr ( PL_hexdigit , * s )"		2	0					
ANR	184	IdentifierDeclType	char *		2	0					
ANR	185	Identifier	tmp		2	1					
ANR	186	AssignmentExpression	"* tmp = strchr ( PL_hexdigit , * s )"		2	2		=			
ANR	187	Identifier	tmp		2	0					
ANR	188	CallExpression	"strchr ( PL_hexdigit , * s )"		2	1					
ANR	189	Callee	strchr		2	0					
ANR	190	Identifier	strchr		2	0					
ANR	191	ArgumentList	PL_hexdigit		2	1					
ANR	192	Argument	PL_hexdigit		2	0					
ANR	193	Identifier	PL_hexdigit		2	0					
ANR	194	Argument	* s		2	1					
ANR	195	UnaryOperationExpression	* s		2	0					
ANR	196	UnaryOperator	*		2	0					
ANR	197	Identifier	s		2	1					
ANR	198	IfStatement	if ( ! tmp )		2	1					
ANR	199	Condition	! tmp	43:10:868:871	2	0	True				
