command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__18_vulnerable_try_read_command__data_flow_alias__c1/_work/source/cvefixes__18_vulnerable_try_read_command__data_flow_alias__c1.c								
ANR	2	Function	try_read_command	1:0:0:4210							
ANR	3	FunctionDef	try_read_command (conn * c)		2	0					
ANR	4	CompoundStatement		1:37:37:4210	2	0					
ANR	5	IdentifierDeclStatement	void * dwk_alias_1 = ( void * ) ( c != NULL ) ;	2:4:43:82	2	0	True				
ANR	6	IdentifierDecl	* dwk_alias_1 = ( void * ) ( c != NULL )		2	0					
ANR	7	IdentifierDeclType	void *		2	0					
ANR	8	Identifier	dwk_alias_1		2	1					
ANR	9	AssignmentExpression	* dwk_alias_1 = ( void * ) ( c != NULL )		2	2		=			
ANR	10	Identifier	dwk_alias_1		2	0					
ANR	11	CastExpression	( void * ) ( c != NULL )		2	1					
ANR	12	CastTarget	void *		2	0					
ANR	13	EqualityExpression	c != NULL		2	1		!=			
ANR	14	Identifier	c		2	0					
ANR	15	Identifier	NULL		2	1					
ANR	16	ExpressionStatement	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )	3:4:88:135	2	1	True				
ANR	17	AssignmentExpression	dwk_alias_1 = ( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	0		=			
ANR	18	Identifier	dwk_alias_1		2	0					
ANR	19	CastExpression	( void * ) ( ( char * ) dwk_alias_1 + 0 )		2	1					
ANR	20	CastTarget	void *		2	0					
ANR	21	AdditiveExpression	( char * ) dwk_alias_1 + 0		2	1		+			
ANR	22	CastExpression	( char * ) dwk_alias_1		2	0					
ANR	23	CastTarget	char *		2	0					
ANR	24	Identifier	dwk_alias_1		2	1					
ANR	25	PrimaryExpression	0		2	1					
ANR	26	ExpressionStatement	assert ( c != NULL )	4:4:141:158	2	2	True				
ANR	27	CallExpression	assert ( c != NULL )		2	0					
ANR	28	Callee	assert		2	0					
ANR	29	Identifier	assert		2	0					
ANR	30	ArgumentList	c != NULL		2	1					
ANR	31	Argument	c != NULL		2	0					
ANR	32	EqualityExpression	c != NULL		2	0		!=			
ANR	33	Identifier	c		2	0					
ANR	34	Identifier	NULL		2	1					
ANR	35	ExpressionStatement	assert ( c -> rcurr <= ( c -> rbuf + c -> rsize ) )	5:4:164:204	2	3	True				
ANR	36	CallExpression	assert ( c -> rcurr <= ( c -> rbuf + c -> rsize ) )		2	0					
ANR	37	Callee	assert		2	0					
ANR	38	Identifier	assert		2	0					
ANR	39	ArgumentList	c -> rcurr <= ( c -> rbuf + c -> rsize )		2	1					
ANR	40	Argument	c -> rcurr <= ( c -> rbuf + c -> rsize )		2	0					
ANR	41	RelationalExpression	c -> rcurr <= ( c -> rbuf + c -> rsize )		2	0		<=			
ANR	42	PtrMemberAccess	c -> rcurr		2	0					
ANR	43	Identifier	c		2	0					
ANR	44	Identifier	rcurr		2	1					
ANR	45	AdditiveExpression	c -> rbuf + c -> rsize		2	1		+			
ANR	46	PtrMemberAccess	c -> rbuf		2	0					
ANR	47	Identifier	c		2	0					
ANR	48	Identifier	rbuf		2	1					
ANR	49	PtrMemberAccess	c -> rsize		2	1					
ANR	50	Identifier	c		2	0					
ANR	51	Identifier	rsize		2	1					
ANR	52	ExpressionStatement	assert ( c -> rbytes > 0 )	6:4:210:231	2	4	True				
ANR	53	CallExpression	assert ( c -> rbytes > 0 )		2	0					
ANR	54	Callee	assert		2	0					
ANR	55	Identifier	assert		2	0					
ANR	56	ArgumentList	c -> rbytes > 0		2	1					
ANR	57	Argument	c -> rbytes > 0		2	0					
ANR	58	RelationalExpression	c -> rbytes > 0		2	0		>			
ANR	59	PtrMemberAccess	c -> rbytes		2	0					
ANR	60	Identifier	c		2	0					
