command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cvefixes__19_fixed_try_read_network__pattern_dead_code__c1/_work/source/cvefixes__19_fixed_try_read_network__pattern_dead_code__c1.c								
ANR	2	Function	try_read_network	1:0:0:2004							
ANR	3	FunctionDef	try_read_network (conn * c)		2	0					
ANR	4	CompoundStatement		1:54:54:2004	2	0					
ANR	5	IdentifierDeclStatement	enum try_read_result gotdata = READ_NO_DATA_RECEIVED ;	2:4:60:112	2	0	True				
ANR	6	IdentifierDecl	gotdata = READ_NO_DATA_RECEIVED		2	0					
ANR	7	IdentifierDeclType	enum try_read_result		2	0					
ANR	8	Identifier	gotdata		2	1					
ANR	9	AssignmentExpression	gotdata = READ_NO_DATA_RECEIVED		2	2		=			
ANR	10	Identifier	READ_NO_DATA_RECEIVED		2	0					
ANR	11	Identifier	READ_NO_DATA_RECEIVED		2	1					
ANR	12	IdentifierDeclStatement	int res ;	3:4:118:125	2	1	True				
ANR	13	IdentifierDecl	res		2	0					
ANR	14	IdentifierDeclType	int		2	0					
ANR	15	Identifier	res		2	1					
ANR	16	IdentifierDeclStatement	int num_allocs = 0 ;	4:4:131:149	2	2	True				
ANR	17	IdentifierDecl	num_allocs = 0		2	0					
ANR	18	IdentifierDeclType	int		2	0					
ANR	19	Identifier	num_allocs		2	1					
ANR	20	AssignmentExpression	num_allocs = 0		2	2		=			
ANR	21	Identifier	num_allocs		2	0					
ANR	22	PrimaryExpression	0		2	1					
ANR	23	ExpressionStatement	assert ( c != NULL )	5:4:155:172	2	3	True				
ANR	24	CallExpression	assert ( c != NULL )		2	0					
ANR	25	Callee	assert		2	0					
ANR	26	Identifier	assert		2	0					
ANR	27	ArgumentList	c != NULL		2	1					
ANR	28	Argument	c != NULL		2	0					
ANR	29	EqualityExpression	c != NULL		2	0		!=			
ANR	30	Identifier	c		2	0					
ANR	31	Identifier	NULL		2	1					
ANR	32	IfStatement	if ( 0 )		2	4					
ANR	33	Condition	0	7:8:183:183	2	0	True				
ANR	34	PrimaryExpression	0		2	0					
ANR	35	CompoundStatement		10:8:207:245	2	1					
ANR	36	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	8:8:196:219	2	0	True				
ANR	37	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		2	0					
ANR	38	IdentifierDeclType	char [ 8 ]		2	0					
ANR	39	Identifier	dwk_src_1		2	1					
ANR	40	PrimaryExpression	8		2	2					
ANR	41	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		2	3		=			
ANR	42	Identifier	dwk_src_1		2	0					
ANR	43	InitializerList	0		2	1					
ANR	44	PrimaryExpression	0		2	0					
ANR	45	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	9:8:229:252	2	1	True				
ANR	46	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		2	0					
ANR	47	IdentifierDeclType	char [ 8 ]		2	0					
ANR	48	Identifier	dwk_dst_1		2	1					
ANR	49	PrimaryExpression	8		2	2					
ANR	50	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		2	3		=			
ANR	51	Identifier	dwk_dst_1		2	0					
ANR	52	InitializerList	0		2	1					
ANR	53	PrimaryExpression	0		2	0					
ANR	54	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	10:8:262:300	2	2	True				
ANR	55	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	0					
ANR	56	IdentifierDeclType	int		2	0					
ANR	57	Identifier	dwk_len_1		2	1					
ANR	58	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		2	2		=			
ANR	59	Identifier	dwk_len_1		2	0					
ANR	60	CastExpression	( int ) sizeof ( dwk_dst_1 )		2	1					
ANR	61	CastTarget	int		2	0					
ANR	62	SizeofExpression	sizeof ( dwk_dst_1 )		2	1					
ANR	63	Sizeof	sizeof		2	0					
ANR	64	SizeofOperand	dwk_dst_1		2	1					
ANR	65	IfStatement	if ( dwk_len_1 > 0 )		2	3					
ANR	66	Condition	dwk_len_1 > 0	11:12:314:326	2	0	True				
ANR	67	RelationalExpression	dwk_len_1 > 0		2	0		>			
ANR	68	Identifier	dwk_len_1		2	0					
ANR	69	PrimaryExpression	0		2	1					
ANR	70	CompoundStatement		11:27:274:274	2	1					
ANR	71	ExpressionStatement	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]	12:12:343:382	2	0	True				
ANR	72	AssignmentExpression	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]		2	0		=			
ANR	73	ArrayIndexing	dwk_dst_1 [ dwk_len_1 - 1 ]		2	0					
ANR	74	Identifier	dwk_dst_1		2	0					
ANR	75	AdditiveExpression	dwk_len_1 - 1		2	1		-			
ANR	76	Identifier	dwk_len_1		2	0					
ANR	77	PrimaryExpression	1		2	1					
ANR	78	ArrayIndexing	dwk_src_1 [ 0 ]		2	1					
ANR	79	Identifier	dwk_src_1		2	0					
ANR	80	PrimaryExpression	0		2	1					
ANR	81	IfStatement	if ( c -> rcurr != c -> rbuf )		2	5					
ANR	82	Condition	c -> rcurr != c -> rbuf	15:8:408:426	2	0	True				
ANR	83	EqualityExpression	c -> rcurr != c -> rbuf		2	0		!=			
ANR	84	PtrMemberAccess	c -> rcurr		2	0					
ANR	85	Identifier	c		2	0					
ANR	86	Identifier	rcurr		2	1					
ANR	87	PtrMemberAccess	c -> rbuf		2	1					
ANR	88	Identifier	c		2	0					
ANR	89	Identifier	rbuf		2	1					
ANR	90	CompoundStatement		15:29:374:374	2	1					
ANR	91	IfStatement	if ( c -> rbytes != 0 )		2	0					
ANR	92	Condition	c -> rbytes != 0	16:12:443:456	2	0	True				
ANR	93	EqualityExpression	c -> rbytes != 0		2	0		!=			
ANR	94	PtrMemberAccess	c -> rbytes		2	0					
ANR	95	Identifier	c		2	0					
ANR	96	Identifier	rbytes		2	1					
ANR	97	PrimaryExpression	0		2	1					
ANR	98	ExpressionStatement	"memmove ( c -> rbuf , c -> rcurr , c -> rbytes )"	17:12:511:548	2	1	True				
ANR	99	CallExpression	"memmove ( c -> rbuf , c -> rcurr , c -> rbytes )"		2	0					
ANR	100	Callee	memmove		2	0					
ANR	101	Identifier	memmove		2	0					
ANR	102	ArgumentList	c -> rbuf		2	1					
ANR	103	Argument	c -> rbuf		2	0					
ANR	104	PtrMemberAccess	c -> rbuf		2	0					
ANR	105	Identifier	c		2	0					
ANR	106	Identifier	rbuf		2	1					
ANR	107	Argument	c -> rcurr		2	1					
ANR	108	PtrMemberAccess	c -> rcurr		2	0					
ANR	109	Identifier	c		2	0					
ANR	110	Identifier	rcurr		2	1					
ANR	111	Argument	c -> rbytes		2	2					
ANR	112	PtrMemberAccess	c -> rbytes		2	0					
ANR	113	Identifier	c		2	0					
ANR	114	Identifier	rbytes		2	1					
ANR	115	ExpressionStatement	c -> rcurr = c -> rbuf	18:8:558:576	2	1	True				
ANR	116	AssignmentExpression	c -> rcurr = c -> rbuf		2	0		=			
ANR	117	PtrMemberAccess	c -> rcurr		2	0					
ANR	118	Identifier	c		2	0					
ANR	119	Identifier	rcurr		2	1					
ANR	120	PtrMemberAccess	c -> rbuf		2	1					
ANR	121	Identifier	c		2	0					
ANR	122	Identifier	rbuf		2	1					
ANR	123	WhileStatement	while ( 1 )		2	6					
ANR	124	Condition	1	21:11:596:596	2	0	True				
ANR	125	PrimaryExpression	1		2	0					
ANR	126	CompoundStatement		40:8:1221:1253	2	1					
ANR	127	IfStatement	if ( c -> rbytes >= c -> rsize )		2	0					
ANR	128	Condition	c -> rbytes >= c -> rsize	22:12:613:633	2	0	True				
ANR	129	RelationalExpression	c -> rbytes >= c -> rsize		2	0		>=			
ANR	130	PtrMemberAccess	c -> rbytes		2	0					
ANR	131	Identifier	c		2	0					
ANR	132	Identifier	rbytes		2	1					
ANR	133	PtrMemberAccess	c -> rsize		2	1					
ANR	134	Identifier	c		2	0					
ANR	135	Identifier	rsize		2	1					
ANR	136	CompoundStatement		27:12:702:749	2	1					
ANR	137	IfStatement	if ( num_allocs == 4 )		2	0					
ANR	138	Condition	num_allocs == 4	23:16:654:668	2	0	True				
ANR	139	EqualityExpression	num_allocs == 4		2	0		==			
ANR	140	Identifier	num_allocs		2	0					
ANR	141	PrimaryExpression	4		2	1					
ANR	142	CompoundStatement		23:33:616:616	2	1					
ANR	143	ReturnStatement	return gotdata ;	24:16:689:703	2	0	True				
ANR	144	Identifier	gotdata		2	0					
ANR	145	ExpressionStatement	++ num_allocs	26:12:731:743	2	1	True				
ANR	146	UnaryExpression	++ num_allocs		2	0					
ANR	147	IncDec	++		2	0					
ANR	148	Identifier	num_allocs		2	1					
ANR	149	IdentifierDeclStatement	"char * new_rbuf = realloc ( c -> rbuf , c -> rsize * 2 ) ;"	27:12:757:804	2	2	True				
ANR	150	IdentifierDecl	"* new_rbuf = realloc ( c -> rbuf , c -> rsize * 2 )"		2	0					
ANR	151	IdentifierDeclType	char *		2	0					
ANR	152	Identifier	new_rbuf		2	1					
ANR	153	AssignmentExpression	"* new_rbuf = realloc ( c -> rbuf , c -> rsize * 2 )"		2	2		=			
ANR	154	Identifier	new_rbuf		2	0					
ANR	155	CallExpression	"realloc ( c -> rbuf , c -> rsize * 2 )"		2	1					
ANR	156	Callee	realloc		2	0					
ANR	157	Identifier	realloc		2	0					
ANR	158	ArgumentList	c -> rbuf		2	1					
ANR	159	Argument	c -> rbuf		2	0					
ANR	160	PtrMemberAccess	c -> rbuf		2	0					
ANR	161	Identifier	c		2	0					
ANR	162	Identifier	rbuf		2	1					
ANR	163	Argument	c -> rsize * 2		2	1					
