command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cwe119__01_vulnerable_03_vulnerable_30__control_wrapper__c1/_work/source/cwe119__01_vulnerable_03_vulnerable_30__control_wrapper__c1.c								
ANR	2	Function	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad	23:0:594:1678							
ANR	3	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad ()		2	0					
ANR	4	CompoundStatement		24:0:651:1678	2	0					
ANR	5	IdentifierDeclStatement	char * data ;	25:4:657:668	2	0	True				
ANR	6	IdentifierDecl	* data		2	0					
ANR	7	IdentifierDeclType	char *		2	0					
ANR	8	Identifier	data		2	1					
ANR	9	IfStatement	if ( 1 )		2	1					
ANR	10	Condition	1	26:8:678:678	2	0	True				
ANR	11	PrimaryExpression	1		2	0					
ANR	12	CompoundStatement		3:11:29:29	2	1					
ANR	13	ExpressionStatement	data = NULL	27:8:691:702	2	0	True				
ANR	14	AssignmentExpression	data = NULL		2	0		=			
ANR	15	Identifier	data		2	0					
ANR	16	Identifier	NULL		2	1					
ANR	17	IfStatement	if ( globalFive == 5 )		2	2					
ANR	18	Condition	globalFive == 5	29:7:717:729	2	0	True				
ANR	19	EqualityExpression	globalFive == 5		2	0		==			
ANR	20	Identifier	globalFive		2	0					
ANR	21	PrimaryExpression	5		2	1					
ANR	22	CompoundStatement		7:4:84:84	2	1					
ANR	23	CompoundStatement		9:12:108:160	2	0					
ANR	24	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	32:12:760:812	2	0	True				
ANR	25	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	0					
ANR	26	IdentifierDeclType	char *		2	0					
ANR	27	Identifier	dataBuffer		2	1					
ANR	28	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	2		=			
ANR	29	Identifier	dataBuffer		2	0					
ANR	30	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		2	1					
ANR	31	CastTarget	char *		2	0					
ANR	32	CallExpression	malloc ( 100 * sizeof ( char ) )		2	1					
ANR	33	Callee	malloc		2	0					
ANR	34	Identifier	malloc		2	0					
ANR	35	ArgumentList	100 * sizeof ( char )		2	1					
ANR	36	Argument	100 * sizeof ( char )		2	0					
ANR	37	MultiplicativeExpression	100 * sizeof ( char )		2	0		*			
ANR	38	PrimaryExpression	100		2	0					
ANR	39	SizeofExpression	sizeof ( char )		2	1					
ANR	40	Sizeof	sizeof		2	0					
ANR	41	SizeofOperand	char		2	1					
ANR	42	IfStatement	if ( dataBuffer == NULL )		2	1					
ANR	43	Condition	dataBuffer == NULL	33:16:830:847	2	0	True				
ANR	44	EqualityExpression	dataBuffer == NULL		2	0		==			
ANR	45	Identifier	dataBuffer		2	0					
ANR	46	Identifier	NULL		2	1					
ANR	47	CompoundStatement		10:36:198:198	2	1					
ANR	48	ExpressionStatement	exit ( - 1 )	33:37:851:859	2	0	True				
ANR	49	CallExpression	exit ( - 1 )		2	0					
ANR	50	Callee	exit		2	0					
ANR	51	Identifier	exit		2	0					
ANR	52	ArgumentList	- 1		2	1					
ANR	53	Argument	- 1		2	0					
ANR	54	UnaryOperationExpression	- 1		2	0					
ANR	55	UnaryOperator	-		2	0					
ANR	56	PrimaryExpression	1		2	1					
ANR	57	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	34:12:874:904	2	2	True				
ANR	58	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		2	0					
ANR	59	Callee	memset		2	0					
ANR	60	Identifier	memset		2	0					
ANR	61	ArgumentList	dataBuffer		2	1					
ANR	62	Argument	dataBuffer		2	0					
ANR	63	Identifier	dataBuffer		2	0					
ANR	64	Argument	'A'		2	1					
ANR	65	PrimaryExpression	'A'		2	0					
ANR	66	Argument	100 - 1		2	2					
ANR	67	AdditiveExpression	100 - 1		2	0		-			
ANR	68	PrimaryExpression	100		2	0					
ANR	69	PrimaryExpression	1		2	1					
ANR	70	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	35:12:918:942	2	3	True				
ANR	71	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		2	0		=			
ANR	72	ArrayIndexing	dataBuffer [ 100 - 1 ]		2	0					
ANR	73	Identifier	dataBuffer		2	0					
ANR	74	AdditiveExpression	100 - 1		2	1		-			
ANR	75	PrimaryExpression	100		2	0					
ANR	76	PrimaryExpression	1		2	1					
ANR	77	PrimaryExpression	'\\0'		2	1					
ANR	78	ExpressionStatement	data = dataBuffer - 8	37:12:1035:1056	2	4	True				
ANR	79	AssignmentExpression	data = dataBuffer - 8		2	0		=			
ANR	80	Identifier	data		2	0					
ANR	81	AdditiveExpression	dataBuffer - 8		2	1		-			
ANR	82	Identifier	dataBuffer		2	0					
ANR	83	PrimaryExpression	8		2	1					
ANR	84	CompoundStatement		19:8:454:470	2	3					
ANR	85	IdentifierDeclStatement	size_t i ;	41:8:1088:1096	2	0	True				
ANR	86	IdentifierDecl	i		2	0					
ANR	87	IdentifierDeclType	size_t		2	0					
ANR	88	Identifier	i		2	1					
ANR	89	IdentifierDeclStatement	char source [ 100 ] ;	42:8:1106:1122	2	1	True				
ANR	90	IdentifierDecl	source [ 100 ]		2	0					
ANR	91	IdentifierDeclType	char [ 100 ]		2	0					
ANR	92	Identifier	source		2	1					
ANR	93	PrimaryExpression	100		2	2					
ANR	94	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	43:8:1132:1158	2	2	True				
ANR	95	CallExpression	"memset ( source , 'C' , 100 - 1 )"		2	0					
ANR	96	Callee	memset		2	0					
ANR	97	Identifier	memset		2	0					
ANR	98	ArgumentList	source		2	1					
ANR	99	Argument	source		2	0					
ANR	100	Identifier	source		2	0					
ANR	101	Argument	'C'		2	1					
ANR	102	PrimaryExpression	'C'		2	0					
ANR	103	Argument	100 - 1		2	2					
ANR	104	AdditiveExpression	100 - 1		2	0		-			
ANR	105	PrimaryExpression	100		2	0					
ANR	106	PrimaryExpression	1		2	1					
ANR	107	ExpressionStatement	source [ 100 - 1 ] = '\\0'	44:8:1189:1209	2	3	True				
ANR	108	AssignmentExpression	source [ 100 - 1 ] = '\\0'		2	0		=			
ANR	109	ArrayIndexing	source [ 100 - 1 ]		2	0					
ANR	110	Identifier	source		2	0					
ANR	111	AdditiveExpression	100 - 1		2	1		-			
ANR	112	PrimaryExpression	100		2	0					
ANR	113	PrimaryExpression	1		2	1					
ANR	114	PrimaryExpression	'\\0'		2	1					
ANR	115	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		2	4					
ANR	116	ForInit	i = 0 ;	46:13:1337:1342	2	0	True				
ANR	117	AssignmentExpression	i = 0		2	0		=			
ANR	118	Identifier	i		2	0					
ANR	119	PrimaryExpression	0		2	1					
ANR	120	Condition	i < 100	46:20:1344:1350	2	1	True				
ANR	121	RelationalExpression	i < 100		2	0		<			
ANR	122	Identifier	i		2	0					
ANR	123	PrimaryExpression	100		2	1					
ANR	124	PostIncDecOperationExpression	i ++	46:29:1353:1355	2	2	True				
ANR	125	Identifier	i		2	0					
ANR	126	IncDec	++		2	1					
ANR	127	CompoundStatement		24:8:714:714	2	3					
ANR	128	ExpressionStatement	data [ i ] = source [ i ]	48:12:1380:1399	2	0	True				
ANR	129	AssignmentExpression	data [ i ] = source [ i ]		2	0		=			
ANR	130	ArrayIndexing	data [ i ]		2	0					
ANR	131	Identifier	data		2	0					
ANR	132	Identifier	i		2	1					
ANR	133	ArrayIndexing	source [ i ]		2	1					
ANR	134	Identifier	source		2	0					
ANR	135	Identifier	i		2	1					
ANR	136	ExpressionStatement	data [ 100 - 1 ] = '\\0'	51:8:1482:1500	2	5	True				
ANR	137	AssignmentExpression	data [ 100 - 1 ] = '\\0'		2	0		=			
ANR	138	ArrayIndexing	data [ 100 - 1 ]		2	0					
ANR	139	Identifier	data		2	0					
ANR	140	AdditiveExpression	100 - 1		2	1		-			
ANR	141	PrimaryExpression	100		2	0					
ANR	142	PrimaryExpression	1		2	1					
ANR	143	PrimaryExpression	'\\0'		2	1					
ANR	144	ExpressionStatement	printLine ( data )	52:8:1510:1525	2	6	True				
ANR	145	CallExpression	printLine ( data )		2	0					
ANR	146	Callee	printLine		2	0					
ANR	147	Identifier	printLine		2	0					
ANR	148	ArgumentList	data		2	1					
ANR	149	Argument	data		2	0					
ANR	150	Identifier	data		2	0					
ANR	151	ReturnType	void		2	1					
ANR	152	Identifier	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad		2	2					
ANR	153	ParameterList			2	3					
ANR	154	CFGEntryNode	ENTRY		2		True				
ANR	155	CFGExitNode	EXIT		2		True				
ANR	156	Symbol	malloc		2						
ANR	157	Symbol	NULL		2						
ANR	158	Symbol	* i		2						
ANR	159	Symbol	data		2						
ANR	160	Symbol	* source		2						
ANR	161	Symbol	dataBuffer		2						
ANR	162	Symbol	i		2						
ANR	163	Symbol	source		2						
ANR	164	Symbol	globalFive		2						
ANR	165	Symbol	* data		2						
ANR	166	Symbol	* dataBuffer		2						
ANR	167	Function	goodG2B1	63:0:1814:2968							
ANR	168	FunctionDef	goodG2B1 ()		167	0					
ANR	169	CompoundStatement		64:0:1837:2968	167	0					
ANR	170	IdentifierDeclStatement	char * data ;	65:4:1843:1854	167	0	True				
ANR	171	IdentifierDecl	* data		167	0					
ANR	172	IdentifierDeclType	char *		167	0					
ANR	173	Identifier	data		167	1					
ANR	174	ExpressionStatement	data = NULL	66:4:1860:1871	167	1	True				
ANR	175	AssignmentExpression	data = NULL		167	0		=			
ANR	176	Identifier	data		167	0					
ANR	177	Identifier	NULL		167	1					
ANR	178	IfStatement	if ( globalFive != 5 )		167	2					
ANR	179	Condition	globalFive != 5	67:7:1880:1892	167	0	True				
ANR	180	EqualityExpression	globalFive != 5		167	0		!=			
ANR	181	Identifier	globalFive		167	0					
ANR	182	PrimaryExpression	5		167	1					
ANR	183	CompoundStatement		5:4:61:61	167	1					
ANR	184	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	70:8:1984:2017	167	0	True				
ANR	185	CallExpression	"printLine ( ""Benign, fixed string"" )"		167	0					
ANR	186	Callee	printLine		167	0					
ANR	187	Identifier	printLine		167	0					
ANR	188	ArgumentList	"""Benign, fixed string"""		167	1					
ANR	189	Argument	"""Benign, fixed string"""		167	0					
ANR	190	PrimaryExpression	"""Benign, fixed string"""		167	0					
ANR	191	ElseStatement	else		167	0					
ANR	192	CompoundStatement		10:4:200:200	167	0					
ANR	193	CompoundStatement		12:12:224:276	167	0					
ANR	194	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	75:12:2062:2114	167	0	True				
ANR	195	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		167	0					
ANR	196	IdentifierDeclType	char *		167	0					
ANR	197	Identifier	dataBuffer		167	1					
ANR	198	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		167	2		=			
ANR	199	Identifier	dataBuffer		167	0					
ANR	200	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		167	1					
ANR	201	CastTarget	char *		167	0					
ANR	202	CallExpression	malloc ( 100 * sizeof ( char ) )		167	1					
ANR	203	Callee	malloc		167	0					
ANR	204	Identifier	malloc		167	0					
ANR	205	ArgumentList	100 * sizeof ( char )		167	1					
ANR	206	Argument	100 * sizeof ( char )		167	0					
ANR	207	MultiplicativeExpression	100 * sizeof ( char )		167	0		*			
ANR	208	PrimaryExpression	100		167	0					
ANR	209	SizeofExpression	sizeof ( char )		167	1					
ANR	210	Sizeof	sizeof		167	0					
ANR	211	SizeofOperand	char		167	1					
ANR	212	IfStatement	if ( dataBuffer == NULL )		167	1					
ANR	213	Condition	dataBuffer == NULL	76:16:2132:2149	167	0	True				
ANR	214	EqualityExpression	dataBuffer == NULL		167	0		==			
ANR	215	Identifier	dataBuffer		167	0					
ANR	216	Identifier	NULL		167	1					
ANR	217	CompoundStatement		13:36:314:314	167	1					
ANR	218	ExpressionStatement	exit ( - 1 )	76:37:2153:2161	167	0	True				
ANR	219	CallExpression	exit ( - 1 )		167	0					
ANR	220	Callee	exit		167	0					
ANR	221	Identifier	exit		167	0					
ANR	222	ArgumentList	- 1		167	1					
ANR	223	Argument	- 1		167	0					
ANR	224	UnaryOperationExpression	- 1		167	0					
ANR	225	UnaryOperator	-		167	0					
ANR	226	PrimaryExpression	1		167	1					
ANR	227	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	77:12:2176:2206	167	2	True				
ANR	228	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		167	0					
ANR	229	Callee	memset		167	0					
ANR	230	Identifier	memset		167	0					
ANR	231	ArgumentList	dataBuffer		167	1					
ANR	232	Argument	dataBuffer		167	0					
ANR	233	Identifier	dataBuffer		167	0					
ANR	234	Argument	'A'		167	1					
ANR	235	PrimaryExpression	'A'		167	0					
ANR	236	Argument	100 - 1		167	2					
ANR	237	AdditiveExpression	100 - 1		167	0		-			
ANR	238	PrimaryExpression	100		167	0					
ANR	239	PrimaryExpression	1		167	1					
ANR	240	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	78:12:2220:2244	167	3	True				
ANR	241	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		167	0		=			
ANR	242	ArrayIndexing	dataBuffer [ 100 - 1 ]		167	0					
ANR	243	Identifier	dataBuffer		167	0					
ANR	244	AdditiveExpression	100 - 1		167	1		-			
ANR	245	PrimaryExpression	100		167	0					
ANR	246	PrimaryExpression	1		167	1					
ANR	247	PrimaryExpression	'\\0'		167	1					
ANR	248	ExpressionStatement	data = dataBuffer	80:12:2329:2346	167	4	True				
ANR	249	AssignmentExpression	data = dataBuffer		167	0		=			
ANR	250	Identifier	data		167	0					
ANR	251	Identifier	dataBuffer		167	1					
ANR	252	CompoundStatement		22:8:558:574	167	3					
ANR	253	IdentifierDeclStatement	size_t i ;	84:8:2378:2386	167	0	True				
ANR	254	IdentifierDecl	i		167	0					
ANR	255	IdentifierDeclType	size_t		167	0					
ANR	256	Identifier	i		167	1					
ANR	257	IdentifierDeclStatement	char source [ 100 ] ;	85:8:2396:2412	167	1	True				
ANR	258	IdentifierDecl	source [ 100 ]		167	0					
ANR	259	IdentifierDeclType	char [ 100 ]		167	0					
ANR	260	Identifier	source		167	1					
ANR	261	PrimaryExpression	100		167	2					
ANR	262	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	86:8:2422:2448	167	2	True				
ANR	263	CallExpression	"memset ( source , 'C' , 100 - 1 )"		167	0					
ANR	264	Callee	memset		167	0					
ANR	265	Identifier	memset		167	0					
ANR	266	ArgumentList	source		167	1					
ANR	267	Argument	source		167	0					
ANR	268	Identifier	source		167	0					
ANR	269	Argument	'C'		167	1					
ANR	270	PrimaryExpression	'C'		167	0					
ANR	271	Argument	100 - 1		167	2					
ANR	272	AdditiveExpression	100 - 1		167	0		-			
ANR	273	PrimaryExpression	100		167	0					
ANR	274	PrimaryExpression	1		167	1					
ANR	275	ExpressionStatement	source [ 100 - 1 ] = '\\0'	87:8:2479:2499	167	3	True				
ANR	276	AssignmentExpression	source [ 100 - 1 ] = '\\0'		167	0		=			
ANR	277	ArrayIndexing	source [ 100 - 1 ]		167	0					
ANR	278	Identifier	source		167	0					
ANR	279	AdditiveExpression	100 - 1		167	1		-			
ANR	280	PrimaryExpression	100		167	0					
ANR	281	PrimaryExpression	1		167	1					
ANR	282	PrimaryExpression	'\\0'		167	1					
ANR	283	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		167	4					
ANR	284	ForInit	i = 0 ;	89:13:2627:2632	167	0	True				
ANR	285	AssignmentExpression	i = 0		167	0		=			
ANR	286	Identifier	i		167	0					
ANR	287	PrimaryExpression	0		167	1					
ANR	288	Condition	i < 100	89:20:2634:2640	167	1	True				
ANR	289	RelationalExpression	i < 100		167	0		<			
ANR	290	Identifier	i		167	0					
ANR	291	PrimaryExpression	100		167	1					
