command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cwe119__01_vulnerable_03_vulnerable_30__dead_statement__c1/_work/source/cwe119__01_vulnerable_03_vulnerable_30__dead_statement__c1.c								
ANR	2	Function	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad	23:0:594:1702							
ANR	3	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad ()		2	0					
ANR	4	CompoundStatement		24:0:651:1702	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	25:4:657:676	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy_1		2	1					
ANR	9	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	10	Identifier	dwk_dummy_1		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy_1 += 0	26:4:682:698	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy_1		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	IdentifierDeclStatement	char * data ;	27:4:704:715	2	2	True				
ANR	17	IdentifierDecl	* data		2	0					
ANR	18	IdentifierDeclType	char *		2	0					
ANR	19	Identifier	data		2	1					
ANR	20	ExpressionStatement	data = NULL	28:4:721:732	2	3	True				
ANR	21	AssignmentExpression	data = NULL		2	0		=			
ANR	22	Identifier	data		2	0					
ANR	23	Identifier	NULL		2	1					
ANR	24	IfStatement	if ( globalFive == 5 )		2	4					
ANR	25	Condition	globalFive == 5	29:7:741:753	2	0	True				
ANR	26	EqualityExpression	globalFive == 5		2	0		==			
ANR	27	Identifier	globalFive		2	0					
ANR	28	PrimaryExpression	5		2	1					
ANR	29	CompoundStatement		7:4:108:108	2	1					
ANR	30	CompoundStatement		9:12:132:184	2	0					
ANR	31	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	32:12:784:836	2	0	True				
ANR	32	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	0					
ANR	33	IdentifierDeclType	char *		2	0					
ANR	34	Identifier	dataBuffer		2	1					
ANR	35	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		2	2		=			
ANR	36	Identifier	dataBuffer		2	0					
ANR	37	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		2	1					
ANR	38	CastTarget	char *		2	0					
ANR	39	CallExpression	malloc ( 100 * sizeof ( char ) )		2	1					
ANR	40	Callee	malloc		2	0					
ANR	41	Identifier	malloc		2	0					
ANR	42	ArgumentList	100 * sizeof ( char )		2	1					
ANR	43	Argument	100 * sizeof ( char )		2	0					
ANR	44	MultiplicativeExpression	100 * sizeof ( char )		2	0		*			
ANR	45	PrimaryExpression	100		2	0					
ANR	46	SizeofExpression	sizeof ( char )		2	1					
ANR	47	Sizeof	sizeof		2	0					
ANR	48	SizeofOperand	char		2	1					
ANR	49	IfStatement	if ( dataBuffer == NULL )		2	1					
ANR	50	Condition	dataBuffer == NULL	33:16:854:871	2	0	True				
ANR	51	EqualityExpression	dataBuffer == NULL		2	0		==			
ANR	52	Identifier	dataBuffer		2	0					
ANR	53	Identifier	NULL		2	1					
ANR	54	CompoundStatement		10:36:222:222	2	1					
ANR	55	ExpressionStatement	exit ( - 1 )	33:37:875:883	2	0	True				
ANR	56	CallExpression	exit ( - 1 )		2	0					
ANR	57	Callee	exit		2	0					
ANR	58	Identifier	exit		2	0					
ANR	59	ArgumentList	- 1		2	1					
ANR	60	Argument	- 1		2	0					
ANR	61	UnaryOperationExpression	- 1		2	0					
ANR	62	UnaryOperator	-		2	0					
ANR	63	PrimaryExpression	1		2	1					
ANR	64	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	34:12:898:928	2	2	True				
ANR	65	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		2	0					
ANR	66	Callee	memset		2	0					
ANR	67	Identifier	memset		2	0					
ANR	68	ArgumentList	dataBuffer		2	1					
ANR	69	Argument	dataBuffer		2	0					
ANR	70	Identifier	dataBuffer		2	0					
ANR	71	Argument	'A'		2	1					
ANR	72	PrimaryExpression	'A'		2	0					
ANR	73	Argument	100 - 1		2	2					
ANR	74	AdditiveExpression	100 - 1		2	0		-			
ANR	75	PrimaryExpression	100		2	0					
ANR	76	PrimaryExpression	1		2	1					
ANR	77	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	35:12:942:966	2	3	True				
ANR	78	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		2	0		=			
ANR	79	ArrayIndexing	dataBuffer [ 100 - 1 ]		2	0					
ANR	80	Identifier	dataBuffer		2	0					
ANR	81	AdditiveExpression	100 - 1		2	1		-			
ANR	82	PrimaryExpression	100		2	0					
ANR	83	PrimaryExpression	1		2	1					
ANR	84	PrimaryExpression	'\\0'		2	1					
ANR	85	ExpressionStatement	data = dataBuffer - 8	37:12:1059:1080	2	4	True				
ANR	86	AssignmentExpression	data = dataBuffer - 8		2	0		=			
ANR	87	Identifier	data		2	0					
ANR	88	AdditiveExpression	dataBuffer - 8		2	1		-			
ANR	89	Identifier	dataBuffer		2	0					
ANR	90	PrimaryExpression	8		2	1					
ANR	91	CompoundStatement		19:8:478:494	2	5					
ANR	92	IdentifierDeclStatement	size_t i ;	41:8:1112:1120	2	0	True				
ANR	93	IdentifierDecl	i		2	0					
ANR	94	IdentifierDeclType	size_t		2	0					
ANR	95	Identifier	i		2	1					
ANR	96	IdentifierDeclStatement	char source [ 100 ] ;	42:8:1130:1146	2	1	True				
ANR	97	IdentifierDecl	source [ 100 ]		2	0					
ANR	98	IdentifierDeclType	char [ 100 ]		2	0					
ANR	99	Identifier	source		2	1					
ANR	100	PrimaryExpression	100		2	2					
ANR	101	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	43:8:1156:1182	2	2	True				
ANR	102	CallExpression	"memset ( source , 'C' , 100 - 1 )"		2	0					
ANR	103	Callee	memset		2	0					
ANR	104	Identifier	memset		2	0					
ANR	105	ArgumentList	source		2	1					
ANR	106	Argument	source		2	0					
ANR	107	Identifier	source		2	0					
ANR	108	Argument	'C'		2	1					
ANR	109	PrimaryExpression	'C'		2	0					
ANR	110	Argument	100 - 1		2	2					
ANR	111	AdditiveExpression	100 - 1		2	0		-			
ANR	112	PrimaryExpression	100		2	0					
ANR	113	PrimaryExpression	1		2	1					
ANR	114	ExpressionStatement	source [ 100 - 1 ] = '\\0'	44:8:1213:1233	2	3	True				
ANR	115	AssignmentExpression	source [ 100 - 1 ] = '\\0'		2	0		=			
ANR	116	ArrayIndexing	source [ 100 - 1 ]		2	0					
ANR	117	Identifier	source		2	0					
ANR	118	AdditiveExpression	100 - 1		2	1		-			
ANR	119	PrimaryExpression	100		2	0					
ANR	120	PrimaryExpression	1		2	1					
ANR	121	PrimaryExpression	'\\0'		2	1					
ANR	122	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		2	4					
ANR	123	ForInit	i = 0 ;	46:13:1361:1366	2	0	True				
ANR	124	AssignmentExpression	i = 0		2	0		=			
ANR	125	Identifier	i		2	0					
ANR	126	PrimaryExpression	0		2	1					
ANR	127	Condition	i < 100	46:20:1368:1374	2	1	True				
ANR	128	RelationalExpression	i < 100		2	0		<			
ANR	129	Identifier	i		2	0					
ANR	130	PrimaryExpression	100		2	1					
ANR	131	PostIncDecOperationExpression	i ++	46:29:1377:1379	2	2	True				
ANR	132	Identifier	i		2	0					
ANR	133	IncDec	++		2	1					
ANR	134	CompoundStatement		24:8:738:738	2	3					
ANR	135	ExpressionStatement	data [ i ] = source [ i ]	48:12:1404:1423	2	0	True				
ANR	136	AssignmentExpression	data [ i ] = source [ i ]		2	0		=			
ANR	137	ArrayIndexing	data [ i ]		2	0					
ANR	138	Identifier	data		2	0					
ANR	139	Identifier	i		2	1					
ANR	140	ArrayIndexing	source [ i ]		2	1					
ANR	141	Identifier	source		2	0					
ANR	142	Identifier	i		2	1					
ANR	143	ExpressionStatement	data [ 100 - 1 ] = '\\0'	51:8:1506:1524	2	5	True				
ANR	144	AssignmentExpression	data [ 100 - 1 ] = '\\0'		2	0		=			
ANR	145	ArrayIndexing	data [ 100 - 1 ]		2	0					
ANR	146	Identifier	data		2	0					
ANR	147	AdditiveExpression	100 - 1		2	1		-			
ANR	148	PrimaryExpression	100		2	0					
ANR	149	PrimaryExpression	1		2	1					
ANR	150	PrimaryExpression	'\\0'		2	1					
ANR	151	ExpressionStatement	printLine ( data )	52:8:1534:1549	2	6	True				
ANR	152	CallExpression	printLine ( data )		2	0					
ANR	153	Callee	printLine		2	0					
ANR	154	Identifier	printLine		2	0					
ANR	155	ArgumentList	data		2	1					
ANR	156	Argument	data		2	0					
ANR	157	Identifier	data		2	0					
ANR	158	ReturnType	void		2	1					
ANR	159	Identifier	CWE124_Buffer_Underwrite__malloc_char_loop_14_bad		2	2					
ANR	160	ParameterList			2	3					
ANR	161	CFGEntryNode	ENTRY		2		True				
ANR	162	CFGExitNode	EXIT		2		True				
ANR	163	Symbol	malloc		2						
ANR	164	Symbol	NULL		2						
ANR	165	Symbol	* i		2						
ANR	166	Symbol	data		2						
ANR	167	Symbol	* source		2						
ANR	168	Symbol	dataBuffer		2						
ANR	169	Symbol	i		2						
ANR	170	Symbol	source		2						
ANR	171	Symbol	globalFive		2						
ANR	172	Symbol	* data		2						
ANR	173	Symbol	dwk_dummy_1		2						
ANR	174	Symbol	* dataBuffer		2						
ANR	175	Function	goodG2B1	63:0:1838:2992							
ANR	176	FunctionDef	goodG2B1 ()		175	0					
ANR	177	CompoundStatement		64:0:1861:2992	175	0					
ANR	178	IdentifierDeclStatement	char * data ;	65:4:1867:1878	175	0	True				
ANR	179	IdentifierDecl	* data		175	0					
ANR	180	IdentifierDeclType	char *		175	0					
ANR	181	Identifier	data		175	1					
ANR	182	ExpressionStatement	data = NULL	66:4:1884:1895	175	1	True				
ANR	183	AssignmentExpression	data = NULL		175	0		=			
ANR	184	Identifier	data		175	0					
ANR	185	Identifier	NULL		175	1					
ANR	186	IfStatement	if ( globalFive != 5 )		175	2					
ANR	187	Condition	globalFive != 5	67:7:1904:1916	175	0	True				
ANR	188	EqualityExpression	globalFive != 5		175	0		!=			
ANR	189	Identifier	globalFive		175	0					
ANR	190	PrimaryExpression	5		175	1					
ANR	191	CompoundStatement		5:4:61:61	175	1					
ANR	192	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	70:8:2008:2041	175	0	True				
ANR	193	CallExpression	"printLine ( ""Benign, fixed string"" )"		175	0					
ANR	194	Callee	printLine		175	0					
ANR	195	Identifier	printLine		175	0					
ANR	196	ArgumentList	"""Benign, fixed string"""		175	1					
ANR	197	Argument	"""Benign, fixed string"""		175	0					
ANR	198	PrimaryExpression	"""Benign, fixed string"""		175	0					
ANR	199	ElseStatement	else		175	0					
ANR	200	CompoundStatement		10:4:200:200	175	0					
ANR	201	CompoundStatement		12:12:224:276	175	0					
ANR	202	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	75:12:2086:2138	175	0	True				
ANR	203	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		175	0					
ANR	204	IdentifierDeclType	char *		175	0					
ANR	205	Identifier	dataBuffer		175	1					
