command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cwe119__05_non_vulnerable_07_non-vulnerable_41__dead_statement__c1/_work/source/cwe119__05_non_vulnerable_07_non-vulnerable_41__dead_statement__c1.c								
ANR	2	DeclStmt									
ANR	3	Decl							void	void ( list < wchar_t * > dataList )	badSink
ANR	4	Function	bad	37:0:1021:1626							
ANR	5	FunctionDef	bad ()		4	0					
ANR	6	CompoundStatement		38:0:1032:1626	4	0					
ANR	7	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	39:4:1038:1057	4	0	True				
ANR	8	IdentifierDecl	dwk_dummy_1 = 0		4	0					
ANR	9	IdentifierDeclType	int		4	0					
ANR	10	Identifier	dwk_dummy_1		4	1					
ANR	11	AssignmentExpression	dwk_dummy_1 = 0		4	2		=			
ANR	12	Identifier	dwk_dummy_1		4	0					
ANR	13	PrimaryExpression	0		4	1					
ANR	14	ExpressionStatement	dwk_dummy_1 += 0	40:4:1063:1079	4	1	True				
ANR	15	AssignmentExpression	dwk_dummy_1 += 0		4	0		+=			
ANR	16	Identifier	dwk_dummy_1		4	0					
ANR	17	PrimaryExpression	0		4	1					
ANR	18	IdentifierDeclStatement	wchar_t * data ;	41:4:1085:1099	4	2	True				
ANR	19	IdentifierDecl	* data		4	0					
ANR	20	IdentifierDeclType	wchar_t *		4	0					
ANR	21	Identifier	data		4	1					
ANR	22	IdentifierDeclStatement	list < wchar_t * > dataList ;	42:4:1105:1129	4	3	True				
ANR	23	IdentifierDecl	dataList		4	0					
ANR	24	IdentifierDeclType	list < wchar_t * >		4	0					
ANR	25	Identifier	dataList		4	1					
ANR	26	IdentifierDeclStatement	wchar_t * dataBadBuffer = ( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) ) ;	43:4:1135:1200	4	4	True				
ANR	27	IdentifierDecl	* dataBadBuffer = ( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	0					
ANR	28	IdentifierDeclType	wchar_t *		4	0					
ANR	29	Identifier	dataBadBuffer		4	1					
ANR	30	AssignmentExpression	* dataBadBuffer = ( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	2		=			
ANR	31	Identifier	dataBadBuffer		4	0					
ANR	32	CastExpression	( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	1					
ANR	33	CastTarget	wchar_t *		4	0					
ANR	34	CallExpression	ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	1					
ANR	35	Callee	ALLOCA		4	0					
ANR	36	Identifier	ALLOCA		4	0					
ANR	37	ArgumentList	( 10 ) * sizeof ( wchar_t )		4	1					
ANR	38	Argument	( 10 ) * sizeof ( wchar_t )		4	0					
ANR	39	MultiplicativeExpression	( 10 ) * sizeof ( wchar_t )		4	0		*			
ANR	40	PrimaryExpression	10		4	0					
ANR	41	SizeofExpression	sizeof ( wchar_t )		4	1					
ANR	42	Sizeof	sizeof		4	0					
ANR	43	SizeofOperand	wchar_t		4	1					
ANR	44	IdentifierDeclStatement	wchar_t * dataGoodBuffer = ( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) ) ;	44:4:1206:1274	4	5	True				
ANR	45	IdentifierDecl	* dataGoodBuffer = ( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	0					
ANR	46	IdentifierDeclType	wchar_t *		4	0					
ANR	47	Identifier	dataGoodBuffer		4	1					
ANR	48	AssignmentExpression	* dataGoodBuffer = ( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	2		=			
ANR	49	Identifier	dataGoodBuffer		4	0					
ANR	50	CastExpression	( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	1					
ANR	51	CastTarget	wchar_t *		4	0					
ANR	52	CallExpression	ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	1					
ANR	53	Callee	ALLOCA		4	0					
ANR	54	Identifier	ALLOCA		4	0					
ANR	55	ArgumentList	( 10 + 1 ) * sizeof ( wchar_t )		4	1					
ANR	56	Argument	( 10 + 1 ) * sizeof ( wchar_t )		4	0					
ANR	57	MultiplicativeExpression	( 10 + 1 ) * sizeof ( wchar_t )		4	0		*			
