command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cwe119__05_non_vulnerable_07_non-vulnerable_41__temp_variable_split__c1/_work/source/cwe119__05_non_vulnerable_07_non-vulnerable_41__temp_variable_split__c1.c								
ANR	2	DeclStmt									
ANR	3	Decl							void	void ( list < wchar_t * > dataList )	badSink
ANR	4	Function	bad	37:0:1021:1610							
ANR	5	FunctionDef	bad ()		4	0					
ANR	6	CompoundStatement		38:0:1032:1610	4	0					
ANR	7	IdentifierDeclStatement	wchar_t * data ;	39:4:1038:1052	4	0	True				
ANR	8	IdentifierDecl	* data		4	0					
ANR	9	IdentifierDeclType	wchar_t *		4	0					
ANR	10	Identifier	data		4	1					
ANR	11	IdentifierDeclStatement	list < wchar_t * > dataList ;	40:4:1058:1082	4	1	True				
ANR	12	IdentifierDecl	dataList		4	0					
ANR	13	IdentifierDeclType	list < wchar_t * >		4	0					
ANR	14	Identifier	dataList		4	1					
ANR	15	IdentifierDeclStatement	wchar_t * dataBadBuffer = ( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) ) ;	41:4:1088:1153	4	2	True				
ANR	16	IdentifierDecl	* dataBadBuffer = ( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	0					
ANR	17	IdentifierDeclType	wchar_t *		4	0					
ANR	18	Identifier	dataBadBuffer		4	1					
ANR	19	AssignmentExpression	* dataBadBuffer = ( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	2		=			
ANR	20	Identifier	dataBadBuffer		4	0					
ANR	21	CastExpression	( wchar_t * ) ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	1					
ANR	22	CastTarget	wchar_t *		4	0					
ANR	23	CallExpression	ALLOCA ( ( 10 ) * sizeof ( wchar_t ) )		4	1					
ANR	24	Callee	ALLOCA		4	0					
ANR	25	Identifier	ALLOCA		4	0					
ANR	26	ArgumentList	( 10 ) * sizeof ( wchar_t )		4	1					
ANR	27	Argument	( 10 ) * sizeof ( wchar_t )		4	0					
ANR	28	MultiplicativeExpression	( 10 ) * sizeof ( wchar_t )		4	0		*			
ANR	29	PrimaryExpression	10		4	0					
ANR	30	SizeofExpression	sizeof ( wchar_t )		4	1					
ANR	31	Sizeof	sizeof		4	0					
ANR	32	SizeofOperand	wchar_t		4	1					
ANR	33	IdentifierDeclStatement	wchar_t * dataGoodBuffer = ( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) ) ;	42:4:1159:1227	4	3	True				
ANR	34	IdentifierDecl	* dataGoodBuffer = ( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	0					
ANR	35	IdentifierDeclType	wchar_t *		4	0					
ANR	36	Identifier	dataGoodBuffer		4	1					
ANR	37	AssignmentExpression	* dataGoodBuffer = ( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	2		=			
ANR	38	Identifier	dataGoodBuffer		4	0					
ANR	39	CastExpression	( wchar_t * ) ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	1					
ANR	40	CastTarget	wchar_t *		4	0					
ANR	41	CallExpression	ALLOCA ( ( 10 + 1 ) * sizeof ( wchar_t ) )		4	1					
ANR	42	Callee	ALLOCA		4	0					
ANR	43	Identifier	ALLOCA		4	0					
ANR	44	ArgumentList	( 10 + 1 ) * sizeof ( wchar_t )		4	1					
ANR	45	Argument	( 10 + 1 ) * sizeof ( wchar_t )		4	0					
ANR	46	MultiplicativeExpression	( 10 + 1 ) * sizeof ( wchar_t )		4	0		*			
ANR	47	AdditiveExpression	10 + 1		4	0		+			
ANR	48	PrimaryExpression	10		4	0					
ANR	49	PrimaryExpression	1		4	1					
ANR	50	SizeofExpression	sizeof ( wchar_t )		4	1					
ANR	51	Sizeof	sizeof		4	0					
ANR	52	SizeofOperand	wchar_t		4	1					
ANR	53	IdentifierDeclStatement	int dwk_tmp_1 = dataBadBuffer ;	45:4:1373:1402	4	4	True				
ANR	54	IdentifierDecl	dwk_tmp_1 = dataBadBuffer		4	0					
ANR	55	IdentifierDeclType	int		4	0					
ANR	56	Identifier	dwk_tmp_1		4	1					
ANR	57	AssignmentExpression	dwk_tmp_1 = dataBadBuffer		4	2		=			
ANR	58	Identifier	dataBadBuffer		4	0					
ANR	59	Identifier	dataBadBuffer		4	1					
ANR	60	ExpressionStatement	data = dwk_tmp_1	46:4:1408:1424	4	5	True				
ANR	61	AssignmentExpression	data = dwk_tmp_1		4	0		=			
ANR	62	Identifier	data		4	0					
ANR	63	Identifier	dwk_tmp_1		4	1					
ANR	64	Statement	data	47:4:1430:1433	4	6	True				
ANR	65	Statement	[	47:8:1434:1434	4	7	True				
ANR	66	Statement	0	47:9:1435:1435	4	8	True				
ANR	67	Statement	]	47:10:1436:1436	4	9	True				
ANR	68	Statement	=	47:12:1438:1438	4	10	True				
ANR	69	Statement	L	47:14:1440:1440	4	11	True				
ANR	70	ExpressionStatement	'\\0'	47:15:1441:1445	4	12	True				
ANR	71	PrimaryExpression	'\\0'		4	0					
