start	end	type	var
2	3	DECLARES	
4	5	DECLARES	
6	7	DECLARES	
12	13	IS_AST_PARENT	
12	14	IS_AST_PARENT	
11	12	IS_AST_PARENT	
10	11	IS_AST_PARENT	
16	17	IS_AST_PARENT	
16	18	IS_AST_PARENT	
15	16	IS_AST_PARENT	
10	15	IS_AST_PARENT	
10	19	IS_AST_PARENT	
10	20	IS_AST_PARENT	
10	21	IS_AST_PARENT	
10	22	IS_AST_PARENT	
10	23	IS_AST_PARENT	
10	24	IS_AST_PARENT	
10	25	IS_AST_PARENT	
27	28	IS_AST_PARENT	
29	30	IS_AST_PARENT	
29	31	IS_AST_PARENT	
27	29	IS_AST_PARENT	
26	27	IS_AST_PARENT	
10	26	IS_AST_PARENT	
33	34	IS_AST_PARENT	
33	35	IS_AST_PARENT	
32	33	IS_AST_PARENT	
10	32	IS_AST_PARENT	
37	38	IS_AST_PARENT	
39	40	IS_AST_PARENT	
42	43	IS_AST_PARENT	
41	42	IS_AST_PARENT	
46	47	IS_AST_PARENT	
48	49	IS_AST_PARENT	
48	50	IS_AST_PARENT	
46	48	IS_AST_PARENT	
45	46	IS_AST_PARENT	
44	45	IS_AST_PARENT	
41	44	IS_AST_PARENT	
39	41	IS_AST_PARENT	
37	39	IS_AST_PARENT	
36	37	IS_AST_PARENT	
10	36	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
51	52	IS_AST_PARENT	
10	51	IS_AST_PARENT	
57	58	IS_AST_PARENT	
56	57	IS_AST_PARENT	
56	59	IS_AST_PARENT	
55	56	IS_AST_PARENT	
10	55	IS_AST_PARENT	
9	10	IS_AST_PARENT	
9	60	IS_AST_PARENT	
9	61	IS_AST_PARENT	
9	62	IS_AST_PARENT	
63	11	FLOWS_TO	
11	15	FLOWS_TO	
15	19	FLOWS_TO	
19	20	FLOWS_TO	
20	21	FLOWS_TO	
21	22	FLOWS_TO	
22	23	FLOWS_TO	
23	24	FLOWS_TO	
24	25	FLOWS_TO	
25	26	FLOWS_TO	
26	32	FLOWS_TO	
32	36	FLOWS_TO	
36	51	FLOWS_TO	
51	55	FLOWS_TO	
55	64	FLOWS_TO	
36	65	USE	
37	65	USE	
15	66	USE	
16	66	USE	
11	67	DEF	
12	67	DEF	
15	67	DEF	
16	67	DEF	
36	67	DEF	
37	67	DEF	
51	67	USE	
52	67	USE	
32	68	DEF	
33	68	DEF	
32	68	USE	
33	68	USE	
51	69	DEF	
52	69	DEF	
36	51	REACHES	data
63	11	CONTROLS	
63	15	CONTROLS	
63	19	CONTROLS	
63	20	CONTROLS	
63	21	CONTROLS	
63	22	CONTROLS	
63	23	CONTROLS	
63	24	CONTROLS	
63	25	CONTROLS	
63	26	CONTROLS	
63	32	CONTROLS	
63	36	CONTROLS	
63	51	CONTROLS	
63	55	CONTROLS	
23	24	DOM	
20	21	DOM	
25	26	DOM	
11	15	DOM	
26	32	DOM	
19	20	DOM	
63	63	DOM	
15	19	DOM	
51	55	DOM	
21	22	DOM	
36	51	DOM	
63	11	DOM	
32	36	DOM	
22	23	DOM	
24	25	DOM	
55	64	DOM	
25	24	POST_DOM	
22	21	POST_DOM	
32	26	POST_DOM	
36	32	POST_DOM	
19	15	POST_DOM	
21	20	POST_DOM	
11	63	POST_DOM	
