command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cwe119__08_non_vulnerable_10_non-vulnerable_43__pattern_dead_code__c1/_work/source/cwe119__08_non_vulnerable_10_non-vulnerable_43__pattern_dead_code__c1.c								
ANR	2	DeclStmt									
ANR	3	Decl							void	"void ( map < int , char * > dataMap )"	badSink
ANR	4	Function	bad	32:0:817:1533							
ANR	5	FunctionDef	bad ()		4	0					
ANR	6	CompoundStatement		33:0:828:1533	4	0					
ANR	7	IfStatement	if ( 0 )		4	0					
ANR	8	Condition	0	34:8:838:838	4	0	True				
ANR	9	PrimaryExpression	0		4	0					
ANR	10	CompoundStatement		5:8:88:126	4	1					
ANR	11	IdentifierDeclStatement	char dwk_src_1 [ 8 ] = { 0 } ;	35:8:851:874	4	0	True				
ANR	12	IdentifierDecl	dwk_src_1 [ 8 ] = { 0 }		4	0					
ANR	13	IdentifierDeclType	char [ 8 ]		4	0					
ANR	14	Identifier	dwk_src_1		4	1					
ANR	15	PrimaryExpression	8		4	2					
ANR	16	AssignmentExpression	dwk_src_1 [ 8 ] = { 0 }		4	3		=			
ANR	17	Identifier	dwk_src_1		4	0					
ANR	18	InitializerList	0		4	1					
ANR	19	PrimaryExpression	0		4	0					
ANR	20	IdentifierDeclStatement	char dwk_dst_1 [ 8 ] = { 0 } ;	36:8:884:907	4	1	True				
ANR	21	IdentifierDecl	dwk_dst_1 [ 8 ] = { 0 }		4	0					
ANR	22	IdentifierDeclType	char [ 8 ]		4	0					
ANR	23	Identifier	dwk_dst_1		4	1					
ANR	24	PrimaryExpression	8		4	2					
ANR	25	AssignmentExpression	dwk_dst_1 [ 8 ] = { 0 }		4	3		=			
ANR	26	Identifier	dwk_dst_1		4	0					
ANR	27	InitializerList	0		4	1					
ANR	28	PrimaryExpression	0		4	0					
ANR	29	IdentifierDeclStatement	int dwk_len_1 = ( int ) sizeof ( dwk_dst_1 ) ;	37:8:917:955	4	2	True				
ANR	30	IdentifierDecl	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		4	0					
ANR	31	IdentifierDeclType	int		4	0					
ANR	32	Identifier	dwk_len_1		4	1					
ANR	33	AssignmentExpression	dwk_len_1 = ( int ) sizeof ( dwk_dst_1 )		4	2		=			
ANR	34	Identifier	dwk_len_1		4	0					
ANR	35	CastExpression	( int ) sizeof ( dwk_dst_1 )		4	1					
ANR	36	CastTarget	int		4	0					
ANR	37	SizeofExpression	sizeof ( dwk_dst_1 )		4	1					
ANR	38	Sizeof	sizeof		4	0					
ANR	39	SizeofOperand	dwk_dst_1		4	1					
ANR	40	IfStatement	if ( dwk_len_1 > 0 )		4	3					
ANR	41	Condition	dwk_len_1 > 0	38:12:969:981	4	0	True				
ANR	42	RelationalExpression	dwk_len_1 > 0		4	0		>			
ANR	43	Identifier	dwk_len_1		4	0					
ANR	44	PrimaryExpression	0		4	1					
ANR	45	CompoundStatement		6:27:155:155	4	1					
ANR	46	ExpressionStatement	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]	39:12:998:1037	4	0	True				
ANR	47	AssignmentExpression	dwk_dst_1 [ dwk_len_1 - 1 ] = dwk_src_1 [ 0 ]		4	0		=			
ANR	48	ArrayIndexing	dwk_dst_1 [ dwk_len_1 - 1 ]		4	0					
ANR	49	Identifier	dwk_dst_1		4	0					
ANR	50	AdditiveExpression	dwk_len_1 - 1		4	1		-			
ANR	51	Identifier	dwk_len_1		4	0					
ANR	52	PrimaryExpression	1		4	1					
ANR	53	ArrayIndexing	dwk_src_1 [ 0 ]		4	1					
ANR	54	Identifier	dwk_src_1		4	0					
ANR	55	PrimaryExpression	0		4	1					
ANR	56	IdentifierDeclStatement	char * data ;	42:4:1059:1070	4	1	True				
ANR	57	IdentifierDecl	* data		4	0					
ANR	58	IdentifierDeclType	char *		4	0					
ANR	59	Identifier	data		4	1					
ANR	60	IdentifierDeclStatement	"map < int , char * > dataMap ;"	43:4:1076:1100	4	2	True				
ANR	61	IdentifierDecl	dataMap		4	0					
ANR	62	IdentifierDeclType	"map < int , char * >"		4	0					
ANR	63	Identifier	dataMap		4	1					
