command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cwe119__11_vulnerable_CWE121_Stack_Based_Buffer_Overflow____range_clamp__c1/_work/source/cwe119__11_vulnerable_CWE121_Stack_Based_Buffer_Overflow____range_clamp__c1.c								
ANR	2	Function	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_82_bad :: action	24:0:779:1403							
ANR	3	FunctionDef	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_82_bad :: action (char * data)		2	0					
ANR	4	CompoundStatement		25:0:875:1403	2	0					
ANR	5	CompoundStatement		5:8:126:184	2	0					
ANR	6	IdentifierDeclStatement	"char dest [ 50 ] = """" ;"	27:8:891:909	2	0	True				
ANR	7	IdentifierDecl	"dest [ 50 ] = """""		2	0					
ANR	8	IdentifierDeclType	char [ 50 ]		2	0					
ANR	9	Identifier	dest		2	1					
ANR	10	PrimaryExpression	50		2	2					
ANR	11	AssignmentExpression	"dest [ 50 ] = """""		2	3		=			
ANR	12	Identifier	dest		2	0					
ANR	13	PrimaryExpression	""""""		2	1					
ANR	14	IdentifierDeclStatement	int dwk_clamped_value_1 = ( int ) ( strlen ( data ) * sizeof ( char ) ) ;	29:8:1002:1060	2	1	True				
ANR	15	IdentifierDecl	dwk_clamped_value_1 = ( int ) ( strlen ( data ) * sizeof ( char ) )		2	0					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	dwk_clamped_value_1		2	1					
ANR	18	AssignmentExpression	dwk_clamped_value_1 = ( int ) ( strlen ( data ) * sizeof ( char ) )		2	2		=			
ANR	19	Identifier	dwk_clamped_value_1		2	0					
ANR	20	CastExpression	( int ) ( strlen ( data ) * sizeof ( char ) )		2	1					
ANR	21	CastTarget	int		2	0					
ANR	22	MultiplicativeExpression	strlen ( data ) * sizeof ( char )		2	1		*			
ANR	23	CallExpression	strlen ( data )		2	0					
ANR	24	Callee	strlen		2	0					
ANR	25	Identifier	strlen		2	0					
ANR	26	ArgumentList	data		2	1					
ANR	27	Argument	data		2	0					
ANR	28	Identifier	data		2	0					
ANR	29	SizeofExpression	sizeof ( char )		2	1					
ANR	30	Sizeof	sizeof		2	0					
ANR	31	SizeofOperand	char		2	1					
ANR	32	IfStatement	if ( dwk_clamped_value_1 < 0 )		2	2					
ANR	33	Condition	dwk_clamped_value_1 < 0	30:12:1074:1096	2	0	True				
ANR	34	RelationalExpression	dwk_clamped_value_1 < 0		2	0		<			
ANR	35	Identifier	dwk_clamped_value_1		2	0					
ANR	36	PrimaryExpression	0		2	1					
ANR	37	CompoundStatement		6:37:223:223	2	1					
ANR	38	ExpressionStatement	dwk_clamped_value_1 = 0	31:12:1113:1136	2	0	True				
ANR	39	AssignmentExpression	dwk_clamped_value_1 = 0		2	0		=			
ANR	40	Identifier	dwk_clamped_value_1		2	0					
ANR	41	PrimaryExpression	0		2	1					
