start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
10	11	IS_AST_PARENT	
10	12	IS_AST_PARENT	
13	14	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
13	15	IS_AST_PARENT	
10	13	IS_AST_PARENT	
9	10	IS_AST_PARENT	
4	9	IS_AST_PARENT	
19	20	IS_AST_PARENT	
21	22	IS_AST_PARENT	
24	25	IS_AST_PARENT	
24	26	IS_AST_PARENT	
23	24	IS_AST_PARENT	
23	27	IS_AST_PARENT	
21	23	IS_AST_PARENT	
19	21	IS_AST_PARENT	
18	19	IS_AST_PARENT	
4	18	IS_AST_PARENT	
30	31	IS_AST_PARENT	
29	30	IS_AST_PARENT	
33	34	IS_AST_PARENT	
32	33	IS_AST_PARENT	
35	36	IS_AST_PARENT	
32	35	IS_AST_PARENT	
38	39	IS_AST_PARENT	
38	40	IS_AST_PARENT	
37	38	IS_AST_PARENT	
32	37	IS_AST_PARENT	
29	32	IS_AST_PARENT	
28	29	IS_AST_PARENT	
4	28	IS_AST_PARENT	
43	44	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	47	IS_AST_PARENT	
43	45	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	48	IS_AST_PARENT	
41	42	IS_AST_PARENT	
4	41	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	49	IS_AST_PARENT	
51	52	IS_AST_PARENT	
51	53	IS_AST_PARENT	
50	51	IS_AST_PARENT	
3	50	IS_AST_PARENT	
54	51	FLOWS_TO	
51	5	FLOWS_TO	
5	9	FLOWS_TO	
9	18	FLOWS_TO	
18	28	FLOWS_TO	
28	41	FLOWS_TO	
41	55	FLOWS_TO	
51	56	DEF	
5	56	USE	
6	56	USE	
5	57	DEF	
6	57	DEF	
9	57	USE	
13	57	USE	
28	57	USE	
33	57	USE	
41	57	USE	
43	57	USE	
9	58	DEF	
10	58	DEF	
13	58	DEF	
18	58	DEF	
19	58	DEF	
18	58	USE	
19	58	USE	
41	59	DEF	
42	59	DEF	
51	5	REACHES	dataCopy
5	9	REACHES	data
5	28	REACHES	data
5	41	REACHES	data
9	18	REACHES	dwk_alias_1
54	51	CONTROLS	
54	5	CONTROLS	
54	9	CONTROLS	
54	18	CONTROLS	
54	28	CONTROLS	
54	41	CONTROLS	
9	18	DOM	
18	28	DOM	
41	55	DOM	
28	41	DOM	
5	9	DOM	
54	54	DOM	
54	51	DOM	
51	5	DOM	
28	18	POST_DOM	
55	55	POST_DOM	
41	28	POST_DOM	
55	41	POST_DOM	
18	9	POST_DOM	
51	54	POST_DOM	
5	51	POST_DOM	
9	5	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	54	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
65	66	IS_AST_PARENT	
65	67	IS_AST_PARENT	
65	68	IS_AST_PARENT	
69	70	IS_AST_PARENT	
69	71	IS_AST_PARENT	
65	69	IS_AST_PARENT	
64	65	IS_AST_PARENT	
63	64	IS_AST_PARENT	
74	75	IS_AST_PARENT	
73	74	IS_AST_PARENT	
77	78	IS_AST_PARENT	
76	77	IS_AST_PARENT	
79	80	IS_AST_PARENT	
76	79	IS_AST_PARENT	
84	85	IS_AST_PARENT	
83	84	IS_AST_PARENT	
87	88	IS_AST_PARENT	
86	87	IS_AST_PARENT	
83	86	IS_AST_PARENT	
82	83	IS_AST_PARENT	
89	90	IS_AST_PARENT	
89	91	IS_AST_PARENT	
82	89	IS_AST_PARENT	
81	82	IS_AST_PARENT	
76	81	IS_AST_PARENT	
73	76	IS_AST_PARENT	
72	73	IS_AST_PARENT	
63	72	IS_AST_PARENT	
94	95	IS_AST_PARENT	
96	97	IS_AST_PARENT	
96	98	IS_AST_PARENT	
94	96	IS_AST_PARENT	
93	94	IS_AST_PARENT	
93	99	IS_AST_PARENT	
92	93	IS_AST_PARENT	
63	92	IS_AST_PARENT	
102	103	IS_AST_PARENT	
101	102	IS_AST_PARENT	
105	106	IS_AST_PARENT	
104	105	IS_AST_PARENT	
101	104	IS_AST_PARENT	
100	101	IS_AST_PARENT	
63	100	IS_AST_PARENT	
62	63	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	107	IS_AST_PARENT	
61	108	IS_AST_PARENT	
109	64	FLOWS_TO	
64	72	FLOWS_TO	
72	92	FLOWS_TO	
92	100	FLOWS_TO	
100	110	FLOWS_TO	
72	111	USE	
81	111	USE	
72	112	USE	
87	112	USE	
79	112	USE	
100	112	USE	
105	112	USE	
92	113	DEF	
93	113	DEF	
64	114	DEF	
65	114	DEF	
69	114	DEF	
72	114	USE	
77	114	USE	
92	114	USE	
94	114	USE	
64	72	REACHES	dest
64	92	REACHES	dest
109	64	CONTROLS	
109	72	CONTROLS	
109	92	CONTROLS	
109	100	CONTROLS	
109	109	DOM	
100	110	DOM	
109	64	DOM	
64	72	DOM	
72	92	DOM	
92	100	DOM	
64	109	POST_DOM	
110	110	POST_DOM	
92	72	POST_DOM	
72	64	POST_DOM	
100	92	POST_DOM	
110	100	POST_DOM	
60	61	IS_FUNCTION_OF_AST	
60	109	IS_FUNCTION_OF_CFG	
1	60	IS_FILE_OF	
