command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/cwe119__19_vulnerable_CWE121_Stack_Based_Buffer_Overflow____dead_statement__c1/_work/source/cwe119__19_vulnerable_CWE121_Stack_Based_Buffer_Overflow____dead_statement__c1.c								
ANR	2	Function	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_82_bad :: action	24:0:767:1202							
ANR	3	FunctionDef	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_82_bad :: action (char * data)		2	0					
ANR	4	CompoundStatement		25:0:860:1202	2	0					
ANR	5	IdentifierDeclStatement	int dwk_dummy_1 = 0 ;	26:4:866:885	2	0	True				
ANR	6	IdentifierDecl	dwk_dummy_1 = 0		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	dwk_dummy_1		2	1					
ANR	9	AssignmentExpression	dwk_dummy_1 = 0		2	2		=			
ANR	10	Identifier	dwk_dummy_1		2	0					
ANR	11	PrimaryExpression	0		2	1					
ANR	12	ExpressionStatement	dwk_dummy_1 += 0	27:4:891:907	2	1	True				
ANR	13	AssignmentExpression	dwk_dummy_1 += 0		2	0		+=			
ANR	14	Identifier	dwk_dummy_1		2	0					
ANR	15	PrimaryExpression	0		2	1					
ANR	16	CompoundStatement		5:8:62:80	2	2					
ANR	17	IdentifierDeclStatement	"char dest [ 50 ] = """" ;"	29:8:923:941	2	0	True				
ANR	18	IdentifierDecl	"dest [ 50 ] = """""		2	0					
ANR	19	IdentifierDeclType	char [ 50 ]		2	0					
ANR	20	Identifier	dest		2	1					
ANR	21	PrimaryExpression	50		2	2					
ANR	22	AssignmentExpression	"dest [ 50 ] = """""		2	3		=			
ANR	23	Identifier	dest		2	0					
ANR	24	PrimaryExpression	""""""		2	1					
ANR	25	ExpressionStatement	"strncat ( dest , data , strlen ( data ) )"	31:8:1054:1087	2	1	True				
ANR	26	CallExpression	"strncat ( dest , data , strlen ( data ) )"		2	0					
ANR	27	Callee	strncat		2	0					
ANR	28	Identifier	strncat		2	0					
ANR	29	ArgumentList	dest		2	1					
ANR	30	Argument	dest		2	0					
ANR	31	Identifier	dest		2	0					
ANR	32	Argument	data		2	1					
ANR	33	Identifier	data		2	0					
ANR	34	Argument	strlen ( data )		2	2					
ANR	35	CallExpression	strlen ( data )		2	0					
ANR	36	Callee	strlen		2	0					
ANR	37	Identifier	strlen		2	0					
ANR	38	ArgumentList	data		2	1					
ANR	39	Argument	data		2	0					
ANR	40	Identifier	data		2	0					
ANR	41	ExpressionStatement	dest [ 50 - 1 ] = '\\0'	32:8:1097:1114	2	2	True				
ANR	42	AssignmentExpression	dest [ 50 - 1 ] = '\\0'		2	0		=			
ANR	43	ArrayIndexing	dest [ 50 - 1 ]		2	0					
ANR	44	Identifier	dest		2	0					
ANR	45	AdditiveExpression	50 - 1		2	1		-			
ANR	46	PrimaryExpression	50		2	0					
ANR	47	PrimaryExpression	1		2	1					
ANR	48	PrimaryExpression	'\\0'		2	1					
ANR	49	ExpressionStatement	printLine ( data )	33:8:1179:1194	2	3	True				
ANR	50	CallExpression	printLine ( data )		2	0					
ANR	51	Callee	printLine		2	0					
ANR	52	Identifier	printLine		2	0					
ANR	53	ArgumentList	data		2	1					
ANR	54	Argument	data		2	0					
ANR	55	Identifier	data		2	0					
ANR	56	ReturnType	void		2	1					
ANR	57	Identifier	CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_82_bad :: action		2	2					
ANR	58	ParameterList	char * data		2	3					
ANR	59	Parameter	char * data	24:80:847:857	2	0	True				
ANR	60	ParameterType	char *		2	0					
ANR	61	Identifier	data		2	1					
ANR	62	CFGEntryNode	ENTRY		2		True				
ANR	63	CFGExitNode	EXIT		2		True				
ANR	64	Symbol	strlen		2						
ANR	65	Symbol	data		2						
ANR	66	Symbol	* dest		2						
ANR	67	Symbol	dest		2						
ANR	68	Symbol	dwk_dummy_1		2						
