start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
12	13	IS_AST_PARENT	
4	12	IS_AST_PARENT	
17	18	IS_AST_PARENT	
17	19	IS_AST_PARENT	
16	17	IS_AST_PARENT	
4	16	IS_AST_PARENT	
22	23	IS_AST_PARENT	
21	22	IS_AST_PARENT	
25	26	IS_AST_PARENT	
24	25	IS_AST_PARENT	
27	28	IS_AST_PARENT	
24	27	IS_AST_PARENT	
30	31	IS_AST_PARENT	
30	32	IS_AST_PARENT	
29	30	IS_AST_PARENT	
24	29	IS_AST_PARENT	
21	24	IS_AST_PARENT	
20	21	IS_AST_PARENT	
4	20	IS_AST_PARENT	
35	36	IS_AST_PARENT	
37	38	IS_AST_PARENT	
37	39	IS_AST_PARENT	
35	37	IS_AST_PARENT	
34	35	IS_AST_PARENT	
34	40	IS_AST_PARENT	
33	34	IS_AST_PARENT	
4	33	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	41	IS_AST_PARENT	
43	44	IS_AST_PARENT	
43	45	IS_AST_PARENT	
42	43	IS_AST_PARENT	
3	42	IS_AST_PARENT	
46	43	FLOWS_TO	
43	5	FLOWS_TO	
5	12	FLOWS_TO	
12	16	FLOWS_TO	
16	20	FLOWS_TO	
20	33	FLOWS_TO	
33	47	FLOWS_TO	
43	48	DEF	
16	48	USE	
17	48	USE	
16	49	DEF	
17	49	DEF	
20	49	USE	
25	49	USE	
33	49	USE	
35	49	USE	
33	50	DEF	
34	50	DEF	
5	51	DEF	
6	51	DEF	
9	51	DEF	
12	51	USE	
13	51	USE	
12	51	DEF	
13	51	DEF	
43	16	REACHES	dataCopy
16	20	REACHES	data
16	33	REACHES	data
5	12	REACHES	dwk_dummy_1
46	43	CONTROLS	
46	5	CONTROLS	
46	12	CONTROLS	
46	16	CONTROLS	
46	20	CONTROLS	
46	33	CONTROLS	
33	47	DOM	
43	5	DOM	
20	33	DOM	
5	12	DOM	
46	43	DOM	
46	46	DOM	
16	20	DOM	
12	16	DOM	
47	47	POST_DOM	
12	5	POST_DOM	
47	33	POST_DOM	
16	12	POST_DOM	
5	43	POST_DOM	
43	46	POST_DOM	
33	20	POST_DOM	
20	16	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	46	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
57	58	IS_AST_PARENT	
57	59	IS_AST_PARENT	
57	60	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	63	IS_AST_PARENT	
57	61	IS_AST_PARENT	
56	57	IS_AST_PARENT	
55	56	IS_AST_PARENT	
66	67	IS_AST_PARENT	
65	66	IS_AST_PARENT	
69	70	IS_AST_PARENT	
68	69	IS_AST_PARENT	
71	72	IS_AST_PARENT	
68	71	IS_AST_PARENT	
75	76	IS_AST_PARENT	
74	75	IS_AST_PARENT	
78	79	IS_AST_PARENT	
77	78	IS_AST_PARENT	
74	77	IS_AST_PARENT	
73	74	IS_AST_PARENT	
68	73	IS_AST_PARENT	
65	68	IS_AST_PARENT	
64	65	IS_AST_PARENT	
55	64	IS_AST_PARENT	
82	83	IS_AST_PARENT	
84	85	IS_AST_PARENT	
84	86	IS_AST_PARENT	
82	84	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	87	IS_AST_PARENT	
80	81	IS_AST_PARENT	
55	80	IS_AST_PARENT	
90	91	IS_AST_PARENT	
89	90	IS_AST_PARENT	
93	94	IS_AST_PARENT	
92	93	IS_AST_PARENT	
89	92	IS_AST_PARENT	
88	89	IS_AST_PARENT	
55	88	IS_AST_PARENT	
54	55	IS_AST_PARENT	
53	54	IS_AST_PARENT	
53	95	IS_AST_PARENT	
53	96	IS_AST_PARENT	
97	56	FLOWS_TO	
56	64	FLOWS_TO	
64	80	FLOWS_TO	
80	88	FLOWS_TO	
88	98	FLOWS_TO	
64	99	USE	
73	99	USE	
64	100	USE	
78	100	USE	
71	100	USE	
88	100	USE	
93	100	USE	
80	101	DEF	
81	101	DEF	
56	102	DEF	
57	102	DEF	
61	102	DEF	
64	102	USE	
69	102	USE	
80	102	USE	
82	102	USE	
56	64	REACHES	dest
56	80	REACHES	dest
97	56	CONTROLS	
97	64	CONTROLS	
97	80	CONTROLS	
97	88	CONTROLS	
64	80	DOM	
80	88	DOM	
97	56	DOM	
56	64	DOM	
97	97	DOM	
88	98	DOM	
88	80	POST_DOM	
98	88	POST_DOM	
80	64	POST_DOM	
64	56	POST_DOM	
56	97	POST_DOM	
98	98	POST_DOM	
52	53	IS_FUNCTION_OF_AST	
52	97	IS_FUNCTION_OF_CFG	
1	52	IS_FILE_OF	
