start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
10	11	IS_AST_PARENT	
9	10	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	16	IS_AST_PARENT	
14	17	IS_AST_PARENT	
18	19	IS_AST_PARENT	
20	21	IS_AST_PARENT	
18	20	IS_AST_PARENT	
14	18	IS_AST_PARENT	
13	14	IS_AST_PARENT	
12	13	IS_AST_PARENT	
23	24	IS_AST_PARENT	
23	25	IS_AST_PARENT	
23	26	IS_AST_PARENT	
27	28	IS_AST_PARENT	
29	30	IS_AST_PARENT	
27	29	IS_AST_PARENT	
23	27	IS_AST_PARENT	
22	23	IS_AST_PARENT	
12	22	IS_AST_PARENT	
32	33	IS_AST_PARENT	
32	34	IS_AST_PARENT	
35	36	IS_AST_PARENT	
37	38	IS_AST_PARENT	
39	40	IS_AST_PARENT	
39	41	IS_AST_PARENT	
37	39	IS_AST_PARENT	
35	37	IS_AST_PARENT	
32	35	IS_AST_PARENT	
31	32	IS_AST_PARENT	
12	31	IS_AST_PARENT	
44	45	IS_AST_PARENT	
44	46	IS_AST_PARENT	
43	44	IS_AST_PARENT	
42	43	IS_AST_PARENT	
50	51	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
50	52	IS_AST_PARENT	
49	50	IS_AST_PARENT	
55	56	IS_AST_PARENT	
55	57	IS_AST_PARENT	
49	55	IS_AST_PARENT	
48	49	IS_AST_PARENT	
47	48	IS_AST_PARENT	
42	47	IS_AST_PARENT	
12	42	IS_AST_PARENT	
9	12	IS_AST_PARENT	
4	9	IS_AST_PARENT	
60	61	IS_AST_PARENT	
59	60	IS_AST_PARENT	
63	64	IS_AST_PARENT	
62	63	IS_AST_PARENT	
65	66	IS_AST_PARENT	
62	65	IS_AST_PARENT	
68	69	IS_AST_PARENT	
68	70	IS_AST_PARENT	
67	68	IS_AST_PARENT	
62	67	IS_AST_PARENT	
59	62	IS_AST_PARENT	
58	59	IS_AST_PARENT	
4	58	IS_AST_PARENT	
73	74	IS_AST_PARENT	
75	76	IS_AST_PARENT	
75	77	IS_AST_PARENT	
73	75	IS_AST_PARENT	
72	73	IS_AST_PARENT	
72	78	IS_AST_PARENT	
71	72	IS_AST_PARENT	
4	71	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	79	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	83	IS_AST_PARENT	
80	81	IS_AST_PARENT	
3	80	IS_AST_PARENT	
84	81	FLOWS_TO	
81	5	FLOWS_TO	
5	10	FLOWS_TO	
10	13	FLOWS_TO	
10	58	FLOWS_TO	
13	22	FLOWS_TO	
22	31	FLOWS_TO	
31	43	FLOWS_TO	
43	48	FLOWS_TO	
43	58	FLOWS_TO	
48	58	FLOWS_TO	
58	71	FLOWS_TO	
71	85	FLOWS_TO	
48	86	USE	
49	86	USE	
48	87	DEF	
49	87	DEF	
81	88	DEF	
5	88	USE	
6	88	USE	
5	89	DEF	
6	89	DEF	
58	89	USE	
63	89	USE	
71	89	USE	
73	89	USE	
22	90	DEF	
23	90	DEF	
27	90	DEF	
48	90	USE	
50	90	USE	
13	91	DEF	
14	91	DEF	
18	91	DEF	
48	91	USE	
55	91	USE	
48	92	DEF	
49	92	DEF	
71	93	DEF	
72	93	DEF	
31	94	DEF	
32	94	DEF	
35	94	DEF	
43	94	USE	
48	94	USE	
50	94	USE	
81	5	REACHES	dataCopy
5	58	REACHES	data
5	71	REACHES	data
22	48	REACHES	dwk_dst_1
13	48	REACHES	dwk_src_1
31	43	REACHES	dwk_len_1
31	48	REACHES	dwk_len_1
84	81	CONTROLS	
84	5	CONTROLS	
84	10	CONTROLS	
84	58	CONTROLS	
84	71	CONTROLS	
10	13	CONTROLS	
10	22	CONTROLS	
10	31	CONTROLS	
10	43	CONTROLS	
43	48	CONTROLS	
22	31	DOM	
10	58	DOM	
31	43	DOM	
81	5	DOM	
5	10	DOM	
43	48	DOM	
58	71	DOM	
10	13	DOM	
13	22	DOM	
84	84	DOM	
71	85	DOM	
84	81	DOM	
43	31	POST_DOM	
71	58	POST_DOM	
58	43	POST_DOM	
58	10	POST_DOM	
10	5	POST_DOM	
58	48	POST_DOM	
85	71	POST_DOM	
31	22	POST_DOM	
22	13	POST_DOM	
81	84	POST_DOM	
85	85	POST_DOM	
5	81	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	84	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
100	101	IS_AST_PARENT	
100	102	IS_AST_PARENT	
100	103	IS_AST_PARENT	
104	105	IS_AST_PARENT	
104	106	IS_AST_PARENT	
100	104	IS_AST_PARENT	
99	100	IS_AST_PARENT	
98	99	IS_AST_PARENT	
109	110	IS_AST_PARENT	
108	109	IS_AST_PARENT	
112	113	IS_AST_PARENT	
111	112	IS_AST_PARENT	
114	115	IS_AST_PARENT	
111	114	IS_AST_PARENT	
118	119	IS_AST_PARENT	
117	118	IS_AST_PARENT	
121	122	IS_AST_PARENT	
120	121	IS_AST_PARENT	
117	120	IS_AST_PARENT	
116	117	IS_AST_PARENT	
111	116	IS_AST_PARENT	
108	111	IS_AST_PARENT	
107	108	IS_AST_PARENT	
98	107	IS_AST_PARENT	
125	126	IS_AST_PARENT	
127	128	IS_AST_PARENT	
127	129	IS_AST_PARENT	
125	127	IS_AST_PARENT	
124	125	IS_AST_PARENT	
124	130	IS_AST_PARENT	
123	124	IS_AST_PARENT	
98	123	IS_AST_PARENT	
133	134	IS_AST_PARENT	
132	133	IS_AST_PARENT	
136	137	IS_AST_PARENT	
135	136	IS_AST_PARENT	
132	135	IS_AST_PARENT	
131	132	IS_AST_PARENT	
98	131	IS_AST_PARENT	
97	98	IS_AST_PARENT	
96	97	IS_AST_PARENT	
96	138	IS_AST_PARENT	
96	139	IS_AST_PARENT	
140	99	FLOWS_TO	
99	107	FLOWS_TO	
107	123	FLOWS_TO	
123	131	FLOWS_TO	
131	141	FLOWS_TO	
107	142	USE	
116	142	USE	
107	143	USE	
121	143	USE	
114	143	USE	
131	143	USE	
136	143	USE	
123	144	DEF	
124	144	DEF	
99	145	DEF	
100	145	DEF	
104	145	DEF	
107	145	USE	
112	145	USE	
123	145	USE	
125	145	USE	
99	107	REACHES	dest
99	123	REACHES	dest
140	99	CONTROLS	
140	107	CONTROLS	
140	123	CONTROLS	
140	131	CONTROLS	
140	140	DOM	
99	107	DOM	
123	131	DOM	
107	123	DOM	
131	141	DOM	
140	99	DOM	
99	140	POST_DOM	
123	107	POST_DOM	
141	131	POST_DOM	
131	123	POST_DOM	
141	141	POST_DOM	
107	99	POST_DOM	
95	96	IS_FUNCTION_OF_AST	
95	140	IS_FUNCTION_OF_CFG	
1	95	IS_FILE_OF	
