command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__02_vulnerable_static_int_tight_compress_data__control_wrapper__c1/_work/source/devign__02_vulnerable_static_int_tight_compress_data__control_wrapper__c1.c								
ANR	2	Function	tight_compress_data	1:0:0:1376							
ANR	3	FunctionDef	"tight_compress_data (VncState * vs , int stream_id , size_t bytes , int level , int strategy)"		2	0					
ANR	4	CompoundStatement		5:0:132:1376	2	0					
ANR	5	IdentifierDeclStatement	z_streamp zstream = & vs -> tight . stream [ stream_id ] ;	7:4:139:187	2	0	True				
ANR	6	IdentifierDecl	zstream = & vs -> tight . stream [ stream_id ]		2	0					
ANR	7	IdentifierDeclType	z_streamp		2	0					
ANR	8	Identifier	zstream		2	1					
ANR	9	AssignmentExpression	zstream = & vs -> tight . stream [ stream_id ]		2	2		=			
ANR	10	Identifier	zstream		2	0					
ANR	11	UnaryOperationExpression	& vs -> tight . stream [ stream_id ]		2	1					
ANR	12	UnaryOperator	&		2	0					
ANR	13	ArrayIndexing	vs -> tight . stream [ stream_id ]		2	1					
ANR	14	MemberAccess	vs -> tight . stream		2	0					
ANR	15	PtrMemberAccess	vs -> tight		2	0					
ANR	16	Identifier	vs		2	0					
ANR	17	Identifier	tight		2	1					
ANR	18	Identifier	stream		2	1					
ANR	19	Identifier	stream_id		2	1					
ANR	20	IdentifierDeclStatement	int previous_out ;	9:4:194:210	2	1	True				
ANR	21	IdentifierDecl	previous_out		2	0					
ANR	22	IdentifierDeclType	int		2	0					
ANR	23	Identifier	previous_out		2	1					
ANR	24	IfStatement	if ( bytes < VNC_TIGHT_MIN_TO_COMPRESS )		2	2					
ANR	25	Condition	bytes < VNC_TIGHT_MIN_TO_COMPRESS	13:8:223:255	2	0	True				
ANR	26	RelationalExpression	bytes < VNC_TIGHT_MIN_TO_COMPRESS		2	0		<			
ANR	27	Identifier	bytes		2	0					
ANR	28	Identifier	VNC_TIGHT_MIN_TO_COMPRESS		2	1					
ANR	29	CompoundStatement		9:43:125:125	2	1					
ANR	30	IfStatement	if ( 1 )		2	0					
ANR	31	Condition	1	15:12:273:273	2	0	True				
ANR	32	PrimaryExpression	1		2	0					
ANR	33	CompoundStatement		11:15:143:143	2	1					
ANR	34	ExpressionStatement	"vnc_write ( vs , vs -> tight . tight . buffer , vs -> tight . tight . offset )"	16:12:290:351	2	0	True				
ANR	35	CallExpression	"vnc_write ( vs , vs -> tight . tight . buffer , vs -> tight . tight . offset )"		2	0					
ANR	36	Callee	vnc_write		2	0					
ANR	37	Identifier	vnc_write		2	0					
ANR	38	ArgumentList	vs		2	1					
ANR	39	Argument	vs		2	0					
ANR	40	Identifier	vs		2	0					
ANR	41	Argument	vs -> tight . tight . buffer		2	1					
ANR	42	MemberAccess	vs -> tight . tight . buffer		2	0					
ANR	43	MemberAccess	vs -> tight . tight		2	0					
ANR	44	PtrMemberAccess	vs -> tight		2	0					
ANR	45	Identifier	vs		2	0					
ANR	46	Identifier	tight		2	1					
ANR	47	Identifier	tight		2	1					
ANR	48	Identifier	buffer		2	1					
ANR	49	Argument	vs -> tight . tight . offset		2	2					
ANR	50	MemberAccess	vs -> tight . tight . offset		2	0					
ANR	51	MemberAccess	vs -> tight . tight		2	0					
ANR	52	PtrMemberAccess	vs -> tight		2	0					
ANR	53	Identifier	vs		2	0					
ANR	54	Identifier	tight		2	1					
ANR	55	Identifier	tight		2	1					
ANR	56	Identifier	offset		2	1					
ANR	57	ReturnStatement	return bytes ;	19:8:372:384	2	1	True				
ANR	58	Identifier	bytes		2	0					
ANR	59	IfStatement	"if ( tight_init_stream ( vs , stream_id , level , strategy ) )"		2	3					
ANR	60	Condition	"tight_init_stream ( vs , stream_id , level , strategy )"	25:8:404:452	2	0	True				
ANR	61	CallExpression	"tight_init_stream ( vs , stream_id , level , strategy )"		2	0					
ANR	62	Callee	tight_init_stream		2	0					
ANR	63	Identifier	tight_init_stream		2	0					
ANR	64	ArgumentList	vs		2	1					
ANR	65	Argument	vs		2	0					
ANR	66	Identifier	vs		2	0					
ANR	67	Argument	stream_id		2	1					
ANR	68	Identifier	stream_id		2	0					
ANR	69	Argument	level		2	2					
ANR	70	Identifier	level		2	0					
ANR	71	Argument	strategy		2	3					
ANR	72	Identifier	strategy		2	0					
ANR	73	CompoundStatement		21:59:322:322	2	1					
ANR	74	ReturnStatement	return - 1 ;	27:8:466:475	2	0	True				
ANR	75	UnaryOperationExpression	- 1		2	0					
ANR	76	UnaryOperator	-		2	0					
ANR	77	PrimaryExpression	1		2	1					
ANR	78	ExpressionStatement	"buffer_reserve ( & vs -> tight . zlib , bytes + 64 )"	35:4:534:577	2	4	True				
ANR	79	CallExpression	"buffer_reserve ( & vs -> tight . zlib , bytes + 64 )"		2	0					
ANR	80	Callee	buffer_reserve		2	0					
ANR	81	Identifier	buffer_reserve		2	0					
ANR	82	ArgumentList	& vs -> tight . zlib		2	1					
ANR	83	Argument	& vs -> tight . zlib		2	0					
ANR	84	UnaryOperationExpression	& vs -> tight . zlib		2	0					
ANR	85	UnaryOperator	&		2	0					
ANR	86	MemberAccess	vs -> tight . zlib		2	1					
ANR	87	PtrMemberAccess	vs -> tight		2	0					
ANR	88	Identifier	vs		2	0					
ANR	89	Identifier	tight		2	1					
ANR	90	Identifier	zlib		2	1					
ANR	91	Argument	bytes + 64		2	1					
ANR	92	AdditiveExpression	bytes + 64		2	0		+			
ANR	93	Identifier	bytes		2	0					
ANR	94	PrimaryExpression	64		2	1					
ANR	95	ExpressionStatement	zstream -> next_in = vs -> tight . tight . buffer	41:4:610:651	2	5	True				
ANR	96	AssignmentExpression	zstream -> next_in = vs -> tight . tight . buffer		2	0		=			
ANR	97	PtrMemberAccess	zstream -> next_in		2	0					
ANR	98	Identifier	zstream		2	0					
ANR	99	Identifier	next_in		2	1					
ANR	100	MemberAccess	vs -> tight . tight . buffer		2	1					
ANR	101	MemberAccess	vs -> tight . tight		2	0					
