start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	18	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	19	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	23	IS_AST_PARENT	
20	21	IS_AST_PARENT	
4	20	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
25	26	IS_AST_PARENT	
24	25	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
34	35	IS_AST_PARENT	
36	37	IS_AST_PARENT	
36	38	IS_AST_PARENT	
34	36	IS_AST_PARENT	
31	34	IS_AST_PARENT	
30	31	IS_AST_PARENT	
29	30	IS_AST_PARENT	
40	41	IS_AST_PARENT	
42	43	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	47	IS_AST_PARENT	
44	45	IS_AST_PARENT	
44	48	IS_AST_PARENT	
42	44	IS_AST_PARENT	
40	42	IS_AST_PARENT	
39	40	IS_AST_PARENT	
29	39	IS_AST_PARENT	
51	52	IS_AST_PARENT	
50	51	IS_AST_PARENT	
54	55	IS_AST_PARENT	
53	54	IS_AST_PARENT	
59	60	IS_AST_PARENT	
59	61	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	62	IS_AST_PARENT	
57	58	IS_AST_PARENT	
57	63	IS_AST_PARENT	
56	57	IS_AST_PARENT	
53	56	IS_AST_PARENT	
67	68	IS_AST_PARENT	
67	69	IS_AST_PARENT	
66	67	IS_AST_PARENT	
66	70	IS_AST_PARENT	
65	66	IS_AST_PARENT	
65	71	IS_AST_PARENT	
64	65	IS_AST_PARENT	
53	64	IS_AST_PARENT	
50	53	IS_AST_PARENT	
49	50	IS_AST_PARENT	
29	49	IS_AST_PARENT	
72	73	IS_AST_PARENT	
29	72	IS_AST_PARENT	
24	29	IS_AST_PARENT	
4	24	IS_AST_PARENT	
77	78	IS_AST_PARENT	
76	77	IS_AST_PARENT	
80	81	IS_AST_PARENT	
79	80	IS_AST_PARENT	
82	83	IS_AST_PARENT	
79	82	IS_AST_PARENT	
84	85	IS_AST_PARENT	
79	84	IS_AST_PARENT	
86	87	IS_AST_PARENT	
79	86	IS_AST_PARENT	
76	79	IS_AST_PARENT	
75	76	IS_AST_PARENT	
74	75	IS_AST_PARENT	
90	91	IS_AST_PARENT	
90	92	IS_AST_PARENT	
89	90	IS_AST_PARENT	
88	89	IS_AST_PARENT	
74	88	IS_AST_PARENT	
4	74	IS_AST_PARENT	
95	96	IS_AST_PARENT	
94	95	IS_AST_PARENT	
99	100	IS_AST_PARENT	
102	103	IS_AST_PARENT	
102	104	IS_AST_PARENT	
101	102	IS_AST_PARENT	
101	105	IS_AST_PARENT	
99	101	IS_AST_PARENT	
98	99	IS_AST_PARENT	
97	98	IS_AST_PARENT	
107	108	IS_AST_PARENT	
107	109	IS_AST_PARENT	
106	107	IS_AST_PARENT	
97	106	IS_AST_PARENT	
94	97	IS_AST_PARENT	
93	94	IS_AST_PARENT	
4	93	IS_AST_PARENT	
112	113	IS_AST_PARENT	
112	114	IS_AST_PARENT	
111	112	IS_AST_PARENT	
117	118	IS_AST_PARENT	
117	119	IS_AST_PARENT	
116	117	IS_AST_PARENT	
116	120	IS_AST_PARENT	
115	116	IS_AST_PARENT	
115	121	IS_AST_PARENT	
111	115	IS_AST_PARENT	
110	111	IS_AST_PARENT	
4	110	IS_AST_PARENT	
124	125	IS_AST_PARENT	
124	126	IS_AST_PARENT	
123	124	IS_AST_PARENT	
129	130	IS_AST_PARENT	
129	131	IS_AST_PARENT	
128	129	IS_AST_PARENT	
128	132	IS_AST_PARENT	
127	128	IS_AST_PARENT	
127	133	IS_AST_PARENT	
123	127	IS_AST_PARENT	
122	123	IS_AST_PARENT	
4	122	IS_AST_PARENT	
136	137	IS_AST_PARENT	
136	138	IS_AST_PARENT	
135	136	IS_AST_PARENT	
142	143	IS_AST_PARENT	
142	144	IS_AST_PARENT	
141	142	IS_AST_PARENT	
141	145	IS_AST_PARENT	
140	141	IS_AST_PARENT	
140	146	IS_AST_PARENT	
139	140	IS_AST_PARENT	
149	150	IS_AST_PARENT	
149	151	IS_AST_PARENT	
148	149	IS_AST_PARENT	
148	152	IS_AST_PARENT	
147	148	IS_AST_PARENT	
147	153	IS_AST_PARENT	
139	147	IS_AST_PARENT	
135	139	IS_AST_PARENT	
134	135	IS_AST_PARENT	
4	134	IS_AST_PARENT	
156	157	IS_AST_PARENT	
156	158	IS_AST_PARENT	
155	156	IS_AST_PARENT	
162	163	IS_AST_PARENT	
162	164	IS_AST_PARENT	
161	162	IS_AST_PARENT	
161	165	IS_AST_PARENT	
160	161	IS_AST_PARENT	
160	166	IS_AST_PARENT	
159	160	IS_AST_PARENT	
169	170	IS_AST_PARENT	
169	171	IS_AST_PARENT	
168	169	IS_AST_PARENT	
168	172	IS_AST_PARENT	
167	168	IS_AST_PARENT	
167	173	IS_AST_PARENT	
159	167	IS_AST_PARENT	
155	159	IS_AST_PARENT	
154	155	IS_AST_PARENT	
4	154	IS_AST_PARENT	
176	177	IS_AST_PARENT	
176	178	IS_AST_PARENT	
175	176	IS_AST_PARENT	
175	179	IS_AST_PARENT	
174	175	IS_AST_PARENT	
4	174	IS_AST_PARENT	
181	182	IS_AST_PARENT	
183	184	IS_AST_PARENT	
183	185	IS_AST_PARENT	
181	183	IS_AST_PARENT	
180	181	IS_AST_PARENT	
4	180	IS_AST_PARENT	
190	191	IS_AST_PARENT	
189	190	IS_AST_PARENT	
193	194	IS_AST_PARENT	
192	193	IS_AST_PARENT	
195	196	IS_AST_PARENT	
192	195	IS_AST_PARENT	
189	192	IS_AST_PARENT	
188	189	IS_AST_PARENT	
188	197	IS_AST_PARENT	
187	188	IS_AST_PARENT	
186	187	IS_AST_PARENT	
201	202	IS_AST_PARENT	
200	201	IS_AST_PARENT	
204	205	IS_AST_PARENT	
203	204	IS_AST_PARENT	
206	207	IS_AST_PARENT	
203	206	IS_AST_PARENT	
200	203	IS_AST_PARENT	
199	200	IS_AST_PARENT	
198	199	IS_AST_PARENT	
209	210	IS_AST_PARENT	
209	211	IS_AST_PARENT	
208	209	IS_AST_PARENT	
198	208	IS_AST_PARENT	
186	198	IS_AST_PARENT	
4	186	IS_AST_PARENT	
216	217	IS_AST_PARENT	
216	218	IS_AST_PARENT	
215	216	IS_AST_PARENT	
215	219	IS_AST_PARENT	
214	215	IS_AST_PARENT	
214	220	IS_AST_PARENT	
213	214	IS_AST_PARENT	
224	225	IS_AST_PARENT	
224	226	IS_AST_PARENT	
223	224	IS_AST_PARENT	
223	227	IS_AST_PARENT	
222	223	IS_AST_PARENT	
222	228	IS_AST_PARENT	
221	222	IS_AST_PARENT	
229	230	IS_AST_PARENT	
229	231	IS_AST_PARENT	
221	229	IS_AST_PARENT	
213	221	IS_AST_PARENT	
212	213	IS_AST_PARENT	
4	212	IS_AST_PARENT	
233	234	IS_AST_PARENT	
236	237	IS_AST_PARENT	
236	238	IS_AST_PARENT	
235	236	IS_AST_PARENT	
235	239	IS_AST_PARENT	
233	235	IS_AST_PARENT	
232	233	IS_AST_PARENT	
4	232	IS_AST_PARENT	
242	243	IS_AST_PARENT	
241	242	IS_AST_PARENT	
245	246	IS_AST_PARENT	
244	245	IS_AST_PARENT	
247	248	IS_AST_PARENT	
244	247	IS_AST_PARENT	
241	244	IS_AST_PARENT	
240	241	IS_AST_PARENT	
4	240	IS_AST_PARENT	
251	252	IS_AST_PARENT	
250	251	IS_AST_PARENT	
254	255	IS_AST_PARENT	
253	254	IS_AST_PARENT	
259	260	IS_AST_PARENT	
259	261	IS_AST_PARENT	
258	259	IS_AST_PARENT	
258	262	IS_AST_PARENT	
257	258	IS_AST_PARENT	
257	263	IS_AST_PARENT	
256	257	IS_AST_PARENT	
253	256	IS_AST_PARENT	
264	265	IS_AST_PARENT	
253	264	IS_AST_PARENT	
250	253	IS_AST_PARENT	
249	250	IS_AST_PARENT	
4	249	IS_AST_PARENT	
268	269	IS_AST_PARENT	
267	268	IS_AST_PARENT	
272	273	IS_AST_PARENT	
275	276	IS_AST_PARENT	
275	277	IS_AST_PARENT	
274	275	IS_AST_PARENT	
274	278	IS_AST_PARENT	
272	274	IS_AST_PARENT	
271	272	IS_AST_PARENT	
270	271	IS_AST_PARENT	
267	270	IS_AST_PARENT	
266	267	IS_AST_PARENT	
4	266	IS_AST_PARENT	
279	280	IS_AST_PARENT	
4	279	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	281	IS_AST_PARENT	
3	282	IS_AST_PARENT	
284	285	IS_AST_PARENT	
284	286	IS_AST_PARENT	
283	284	IS_AST_PARENT	
287	288	IS_AST_PARENT	
287	289	IS_AST_PARENT	
283	287	IS_AST_PARENT	
290	291	IS_AST_PARENT	
290	292	IS_AST_PARENT	
283	290	IS_AST_PARENT	
293	294	IS_AST_PARENT	
293	295	IS_AST_PARENT	
283	293	IS_AST_PARENT	
296	297	IS_AST_PARENT	
296	298	IS_AST_PARENT	
283	296	IS_AST_PARENT	
3	283	IS_AST_PARENT	
299	284	FLOWS_TO	
284	287	FLOWS_TO	
287	290	FLOWS_TO	
290	293	FLOWS_TO	
293	296	FLOWS_TO	
296	5	FLOWS_TO	
5	20	FLOWS_TO	
20	25	FLOWS_TO	
25	30	FLOWS_TO	
25	75	FLOWS_TO	
30	39	FLOWS_TO	
39	49	FLOWS_TO	
49	72	FLOWS_TO	
72	300	FLOWS_TO	
75	89	FLOWS_TO	
75	93	FLOWS_TO	
89	300	FLOWS_TO	
93	110	FLOWS_TO	
110	122	FLOWS_TO	
122	134	FLOWS_TO	
134	154	FLOWS_TO	
154	174	FLOWS_TO	
174	180	FLOWS_TO	
180	187	FLOWS_TO	
187	199	FLOWS_TO	
187	212	FLOWS_TO	
199	208	FLOWS_TO	
208	300	FLOWS_TO	
212	232	FLOWS_TO	
232	240	FLOWS_TO	
240	249	FLOWS_TO	
249	266	FLOWS_TO	
266	279	FLOWS_TO	
279	300	FLOWS_TO	
154	301	DEF	
155	301	DEF	
212	301	USE	
213	301	USE	
134	302	USE	
135	302	USE	
140	302	USE	
147	302	USE	
154	302	USE	
160	302	USE	
167	302	USE	
155	302	USE	
212	302	USE	
222	302	USE	
213	302	USE	
214	302	USE	
212	302	DEF	
213	302	DEF	
249	302	USE	
256	302	USE	
257	302	USE	
187	303	USE	
25	304	USE	
5	305	USE	
14	305	USE	
9	305	USE	
13	305	USE	
49	305	USE	
57	305	USE	
64	305	USE	
66	305	USE	
65	305	USE	
56	305	USE	
58	305	USE	
93	305	USE	
101	305	USE	
110	305	USE	
115	305	USE	
111	305	USE	
116	305	USE	
122	305	USE	
127	305	USE	
123	305	USE	
128	305	USE	
134	305	USE	
135	305	USE	
140	305	USE	
148	305	USE	
147	305	USE	
141	305	USE	
154	305	USE	
160	305	USE	
168	305	USE	
161	305	USE	
155	305	USE	
167	305	USE	
212	305	DEF	
213	305	DEF	
212	305	USE	
214	305	USE	
215	305	USE	
223	305	USE	
213	305	USE	
222	305	USE	
249	305	USE	
256	305	USE	
257	305	USE	
258	305	USE	
266	305	USE	
274	305	USE	
93	306	USE	
98	306	USE	
266	306	USE	
271	306	USE	
110	307	DEF	
111	307	DEF	
287	308	DEF	
5	308	USE	
13	308	USE	
9	308	USE	
75	308	USE	
82	308	USE	
75	309	USE	
180	310	USE	
181	310	USE	
232	310	USE	
233	310	USE	
30	311	DEF	
34	311	DEF	
31	311	DEF	
39	311	DEF	
40	311	DEF	
39	311	USE	
40	311	USE	
93	312	USE	
98	312	USE	
266	312	USE	
271	312	USE	
134	313	DEF	
135	313	DEF	
134	314	USE	
135	314	USE	
249	314	USE	
256	314	USE	
5	315	USE	
13	315	USE	
14	315	USE	
9	315	USE	
49	315	USE	
65	315	USE	
56	315	USE	
66	315	USE	
58	315	USE	
57	315	USE	
64	315	USE	
93	315	USE	
101	315	USE	
110	315	USE	
116	315	USE	
111	315	USE	
115	315	USE	
122	315	USE	
123	315	USE	
127	315	USE	
128	315	USE	
134	315	USE	
141	315	USE	
148	315	USE	
147	315	USE	
140	315	USE	
135	315	USE	
154	315	USE	
167	315	USE	
155	315	USE	
168	315	USE	
161	315	USE	
160	315	USE	
212	315	USE	
222	315	USE	
223	315	USE	
213	315	USE	
212	315	DEF	
213	315	DEF	
214	315	USE	
215	315	USE	
249	315	USE	
258	315	USE	
257	315	USE	
256	315	USE	
266	315	USE	
274	315	USE	
187	316	USE	
195	316	USE	
5	317	USE	
9	317	USE	
13	317	USE	
122	318	DEF	
123	318	DEF	
49	319	USE	
56	319	USE	
110	319	USE	
111	319	USE	
174	320	USE	
175	320	USE	
293	321	DEF	
75	321	USE	
84	321	USE	
49	322	USE	
56	322	USE	
65	322	USE	
64	322	USE	
57	322	USE	
110	322	USE	
111	322	USE	
115	322	USE	
122	322	USE	
127	322	USE	
123	322	USE	
110	323	DEF	
111	323	DEF	
122	323	DEF	
123	323	DEF	
134	323	DEF	
135	323	DEF	
154	323	DEF	
155	323	DEF	
174	323	DEF	
175	323	DEF	
180	323	USE	
181	323	USE	
212	323	USE	
213	323	USE	
232	323	USE	
233	323	USE	
20	324	DEF	
21	324	DEF	
180	324	DEF	
181	324	DEF	
232	324	USE	
233	324	USE	
49	325	USE	
64	325	USE	
122	325	USE	
123	325	USE	
199	326	USE	
204	326	USE	
174	327	DEF	
175	327	DEF	
134	328	USE	
135	328	USE	
154	328	USE	
155	328	USE	
212	328	DEF	
213	328	DEF	
154	329	USE	
155	329	USE	
212	329	USE	
213	329	USE	
187	330	USE	
290	331	DEF	
25	331	USE	
72	331	USE	
93	331	USE	
106	331	USE	
232	331	DEF	
233	331	DEF	
240	331	USE	
247	331	USE	
249	331	USE	
264	331	USE	
279	331	USE	
5	332	DEF	
9	332	DEF	
6	332	DEF	
110	332	USE	
112	332	USE	
122	332	USE	
124	332	USE	
134	332	USE	
136	332	USE	
154	332	USE	
156	332	USE	
174	332	USE	
176	332	USE	
180	332	USE	
183	332	USE	
187	332	USE	
193	332	USE	
212	332	USE	
229	332	USE	
232	332	USE	
236	332	USE	
296	333	DEF	
75	333	USE	
86	333	USE	
284	334	DEF	
5	334	USE	
15	334	USE	
30	334	USE	
34	334	USE	
49	334	USE	
54	334	USE	
67	334	USE	
59	334	USE	
75	334	USE	
80	334	USE	
93	334	USE	
102	334	USE	
98	334	USE	
110	334	USE	
117	334	USE	
122	334	USE	
129	334	USE	
134	334	USE	
142	334	USE	
149	334	USE	
154	334	USE	
169	334	USE	
162	334	USE	
212	334	USE	
216	334	USE	
224	334	USE	
240	334	USE	
245	334	USE	
249	334	USE	
259	334	USE	
254	334	USE	
266	334	USE	
275	334	USE	
271	334	USE	
154	212	REACHES	zstream -> avail_out
212	249	REACHES	vs -> tight . zlib
212	249	REACHES	vs -> tight
212	266	REACHES	vs -> tight
287	5	REACHES	stream_id
287	75	REACHES	stream_id
30	39	REACHES	dwk_alias_1
212	300	REACHES	* vs
212	249	REACHES	* vs
212	266	REACHES	* vs
293	75	REACHES	level
174	180	REACHES	* zstream
174	212	REACHES	* zstream
174	232	REACHES	* zstream
180	232	REACHES	previous_out
290	25	REACHES	bytes
290	72	REACHES	bytes
290	93	REACHES	bytes
232	240	REACHES	bytes
232	249	REACHES	bytes
232	279	REACHES	bytes
5	110	REACHES	zstream
5	122	REACHES	zstream
5	134	REACHES	zstream
5	154	REACHES	zstream
5	174	REACHES	zstream
5	180	REACHES	zstream
5	187	REACHES	zstream
5	212	REACHES	zstream
5	232	REACHES	zstream
296	75	REACHES	strategy
284	122	REACHES	vs
284	5	REACHES	vs
284	30	REACHES	vs
284	49	REACHES	vs
284	75	REACHES	vs
284	249	REACHES	vs
284	93	REACHES	vs
284	110	REACHES	vs
284	266	REACHES	vs
284	240	REACHES	vs
284	134	REACHES	vs
284	154	REACHES	vs
284	212	REACHES	vs
299	284	CONTROLS	
299	287	CONTROLS	
299	290	CONTROLS	
299	293	CONTROLS	
299	296	CONTROLS	
299	5	CONTROLS	
299	20	CONTROLS	
299	25	CONTROLS	
25	30	CONTROLS	
25	39	CONTROLS	
