command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	/repo/outputs/run_20260731_014428_code_all_input_sources/runs/perturbed/devign__03_vulnerable_void_ff_insert_pad__control_wrapper__c1/_work/source/devign__03_vulnerable_void_ff_insert_pad__control_wrapper__c1.c								
ANR	2	Function	ff_insert_pad	1:0:0:801							
ANR	3	FunctionDef	"ff_insert_pad (unsigned idx , unsigned * count , size_t padidx_off , AVFilterPad * * pads , AVFilterLink * * * links , AVFilterPad * newpad)"		2	0					
ANR	4	CompoundStatement		7:0:174:801	2	0					
ANR	5	IdentifierDeclStatement	unsigned i ;	9:4:181:191	2	0	True				
ANR	6	IdentifierDecl	i		2	0					
ANR	7	IdentifierDeclType	unsigned		2	0					
ANR	8	Identifier	i		2	1					
ANR	9	IfStatement	if ( 1 )		2	1					
ANR	10	Condition	1	13:8:204:204	2	0	True				
ANR	11	PrimaryExpression	1		2	0					
ANR	12	CompoundStatement		7:11:32:32	2	1					
ANR	13	ExpressionStatement	"idx = FFMIN ( idx , * count )"	14:8:217:241	2	0	True				
ANR	14	AssignmentExpression	"idx = FFMIN ( idx , * count )"		2	0		=			
ANR	15	Identifier	idx		2	0					
ANR	16	CallExpression	"FFMIN ( idx , * count )"		2	1					
ANR	17	Callee	FFMIN		2	0					
ANR	18	Identifier	FFMIN		2	0					
ANR	19	ArgumentList	idx		2	1					
ANR	20	Argument	idx		2	0					
ANR	21	Identifier	idx		2	0					
ANR	22	Argument	* count		2	1					
ANR	23	UnaryOperationExpression	* count		2	0					
ANR	24	UnaryOperator	*		2	0					
ANR	25	Identifier	count		2	1					
ANR	26	ExpressionStatement	"* pads = av_realloc ( * pads , sizeof ( AVFilterPad ) * ( * count + 1 ) )"	19:4:256:321	2	2	True				
ANR	27	AssignmentExpression	"* pads = av_realloc ( * pads , sizeof ( AVFilterPad ) * ( * count + 1 ) )"		2	0		=			
ANR	28	UnaryOperationExpression	* pads		2	0					
ANR	29	UnaryOperator	*		2	0					
ANR	30	Identifier	pads		2	1					
ANR	31	CallExpression	"av_realloc ( * pads , sizeof ( AVFilterPad ) * ( * count + 1 ) )"		2	1					
ANR	32	Callee	av_realloc		2	0					
ANR	33	Identifier	av_realloc		2	0					
ANR	34	ArgumentList	* pads		2	1					
ANR	35	Argument	* pads		2	0					
ANR	36	UnaryOperationExpression	* pads		2	0					
ANR	37	UnaryOperator	*		2	0					
ANR	38	Identifier	pads		2	1					
ANR	39	Argument	sizeof ( AVFilterPad ) * ( * count + 1 )		2	1					
ANR	40	MultiplicativeExpression	sizeof ( AVFilterPad ) * ( * count + 1 )		2	0		*			
ANR	41	SizeofExpression	sizeof ( AVFilterPad )		2	0					
ANR	42	Sizeof	sizeof		2	0					
ANR	43	SizeofOperand	AVFilterPad		2	1					
ANR	44	AdditiveExpression	* count + 1		2	1		+			
ANR	45	UnaryOperationExpression	* count		2	0					
ANR	46	UnaryOperator	*		2	0					
ANR	47	Identifier	count		2	1					
ANR	48	PrimaryExpression	1		2	1					
ANR	49	ExpressionStatement	"* links = av_realloc ( * links , sizeof ( AVFilterLink * ) * ( * count + 1 ) )"	21:4:328:393	2	3	True				
ANR	50	AssignmentExpression	"* links = av_realloc ( * links , sizeof ( AVFilterLink * ) * ( * count + 1 ) )"		2	0		=			
ANR	51	UnaryOperationExpression	* links		2	0					
ANR	52	UnaryOperator	*		2	0					
ANR	53	Identifier	links		2	1					
ANR	54	CallExpression	"av_realloc ( * links , sizeof ( AVFilterLink * ) * ( * count + 1 ) )"		2	1					
ANR	55	Callee	av_realloc		2	0					
ANR	56	Identifier	av_realloc		2	0					
ANR	57	ArgumentList	* links		2	1					
ANR	58	Argument	* links		2	0					
ANR	59	UnaryOperationExpression	* links		2	0					
ANR	60	UnaryOperator	*		2	0					
ANR	61	Identifier	links		2	1					
ANR	62	Argument	sizeof ( AVFilterLink * ) * ( * count + 1 )		2	1					
ANR	63	MultiplicativeExpression	sizeof ( AVFilterLink * ) * ( * count + 1 )		2	0		*			
